profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
BUL01_2023-08-05_W3m,1,,72.94643833,37.70431834,3717.485,2023-08-05 11:57:20.8 UTC+02:00
BUL01_2023-08-05_W3m,2,,72.94646032,37.70433175,3717.161,2023-08-05 11:57:51.4 UTC+02:00
BUL01_2023-08-05_W3m,3,,72.94647864,37.70434154,3717.898,2023-08-05 11:58:11.2 UTC+02:00
BUL01_2023-08-05_W3m,4,,72.9465022,37.70434396,3717.983,2023-08-05 11:58:33.0 UTC+02:00
BUL01_2023-08-05_W3m,5,,72.94652586,37.704348,3718.235,2023-08-05 11:58:54.0 UTC+02:00
BUL01_2023-08-05_W3m,6,,72.94654726,37.70435331,3718.387,2023-08-05 11:59:14.0 UTC+02:00
BUL01_2023-08-05_W3m,7,,72.94657086,37.70436112,3718.481,2023-08-05 11:59:35.4 UTC+02:00
BUL01_2023-08-05_W3m,8,,72.94659029,37.70436521,3718.422,2023-08-05 11:59:57.2 UTC+02:00
BUL01_2023-08-05_W3m,9,,72.94661157,37.70436827,3718.751,2023-08-05 12:00:16.0 UTC+02:00
BUL01_2023-08-05_W3m,10,,72.94663335,37.70437176,3718.687,2023-08-05 12:00:34.0 UTC+02:00
BUL01_2023-08-05_W3m,11,,72.94665689,37.70437375,3718.472,2023-08-05 12:00:55.4 UTC+02:00
BUL01_2023-08-05_W3m,12,,72.9466787,37.7043758,3718.23,2023-08-05 12:01:14.4 UTC+02:00
BUL01_2023-08-05_W3m,13,1,72.94670142,37.70437606,3717.963,2023-08-05 12:01:37.2 UTC+02:00
BUL01_2023-08-05_W3m,14,2,72.94672377,37.70437735,3717.694,2023-08-05 12:01:56.6 UTC+02:00
BUL01_2023-08-05_W3m,15,3,72.94675001,37.70438157,3717.559,2023-08-05 12:02:15.6 UTC+02:00
BUL01_2023-08-05_W3m,16,4,72.94677527,37.70439146,3717.039,2023-08-05 12:02:40.2 UTC+02:00
BUL01_2023-08-05_W3m,17,5,72.9467998,37.70439521,3717.41,2023-08-05 12:03:44.2 UTC+02:00
BUL01_2023-08-05_W3m,18,6,72.94684377,37.70438546,3718.922,2023-08-05 12:04:09.2 UTC+02:00
BUL01_2023-08-05_W3m,19,7,72.94686911,37.70438807,3719.428,2023-08-05 12:04:32.0 UTC+02:00
BUL01_2023-08-05_W3m,20,8,72.94689278,37.7043996,3718.667,2023-08-05 12:04:52.6 UTC+02:00
BUL01_2023-08-05_W3m,21,9,72.94690961,37.70440659,3718.864,2023-08-05 12:05:22.2 UTC+02:00
BUL01_2023-08-05_W3m,22,10,72.94691125,37.70440771,3720.048,2023-08-05 12:05:43.2 UTC+02:00
BUL01_2023-08-05_W3m,23,11,72.94692649,37.70441114,3720.999,2023-08-05 12:06:02.6 UTC+02:00
BUL01_2023-08-05_W3m,24,12,72.94694592,37.70441492,3721.689,2023-08-05 12:06:23.4 UTC+02:00
BUL01_2023-08-05_W3m,25,13,72.94696657,37.70442058,3722.15,2023-08-05 12:06:49.0 UTC+02:00
BUL01_2023-08-05_W3m,26,14,72.94698534,37.70442563,3722.108,2023-08-05 12:07:09.2 UTC+02:00
BUL01_2023-08-05_W3m,27,15,72.94700758,37.70442821,3722.192,2023-08-05 12:07:32.0 UTC+02:00
BUL01_2023-08-05_W3m,28,16,72.94703105,37.70443197,3722.231,2023-08-05 12:07:50.6 UTC+02:00
BUL01_2023-08-05_W3m,29,17,72.94705376,37.70443756,3722.301,2023-08-05 12:08:10.0 UTC+02:00
BUL01_2023-08-05_W3m,30,18,72.94707523,37.70444275,3722.31,2023-08-05 12:08:28.4 UTC+02:00
BUL01_2023-08-05_W3m,31,19,72.94709667,37.70444724,3722.349,2023-08-05 12:08:47.6 UTC+02:00
BUL01_2023-08-05_W3m,32,20,72.94711891,37.70445368,3722.363,2023-08-05 12:09:07.0 UTC+02:00
