profile name,electrodes,geophones,x_m (electrodes),x_m (geohpones),electrode_spacing,geophone_spacing,Longitude,Latitude,Ellipsoidal height (electrodes,Ellipsoidal height (geophones),Averaging start
GOL01_2021-07-18_W5m.csv,1,,0,,5,,74.48657623,42.4794186,3244.381,,2022-08-07 10:35:36.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,2,,5,,5,,74.48653796,42.47944824,3243.012,,2022-08-07 10:36:15.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,3,,10,,5,,74.48648971,42.47947545,3241.326,,2022-08-07 10:36:54.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,4,,15,,5,,74.48645168,42.47950245,3239.598,,2022-08-07 10:37:47.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,5,,20,,5,,74.48640413,42.47952768,3239.666,,2022-08-07 10:38:21.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,6,,25,,5,,74.48635913,42.47955848,3239.1,,2022-08-07 10:38:58.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,7,,30,,5,,74.48631925,42.47958681,3238.859,,2022-08-07 10:39:27.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,8,,35,,5,,74.48627345,42.47961608,3237.75,,2022-08-07 10:40:26.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,9,,40,,5,,74.48622275,42.47964384,3237.58,,2022-08-07 10:40:54.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,10,,45,,5,,74.4861879,42.47967511,3237.533,,2022-08-07 10:41:20.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,11,,50,,5,,74.48614262,42.4797055,3237.223,,2022-08-07 10:41:42.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,12,,55,,5,,74.48609989,42.47973454,3236.129,,2022-08-07 10:42:08.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,13,,60,,5,,74.48605787,42.47976333,3236.006,,2022-08-07 10:42:37.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,14,,65,,5,,74.48601359,42.47979531,3234.74,,2022-08-07 10:43:08.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,15,,70,,5,,74.48597102,42.47982199,3234.345,,2022-08-07 10:43:33.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,16,,75,,5,,74.48592681,42.47985472,3233.353,,2022-08-07 10:43:59.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,17,,80,,5,,74.48588351,42.4798831,3232.508,,2022-08-07 10:44:29.3 UTC+06:00
GOL01_2021-07-18_W5m.csv,18,,85,,5,,74.48583841,42.47991119,3232.585,,2022-08-07 10:44:53.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,19,,90,,5,,74.48580167,42.47994215,3230.417,,2022-08-07 10:45:25.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,20,,95,,5,,74.48575973,42.4799712,3229.83,,2022-08-07 10:46:04.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,21,,100,,5,,74.48571279,42.48000487,3231.088,,2022-08-07 10:46:33.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,22,,105,,5,,74.48567439,42.4800347,3230.267,,2022-08-07 10:47:04.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,23,,110,,5,,74.48562762,42.48006708,3229.798,,2022-08-07 10:47:37.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,24,,115,,5,,74.48559501,42.4800972,3228.625,,2022-08-07 10:48:10.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,25,1,120,120,5,2.5,74.48554615,42.48012483,3228.389,3228.625,2022-08-07 10:48:50.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,26,2,125,122.5,5,2.5,74.48550275,42.48015352,3227.329,3229.2115,2022-08-07 10:49:29.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,27,3,130,125,5,2.5,74.48545346,42.48017966,3226.33,3229.798,2022-08-07 10:50:06.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,28,4,135,127.5,5,2.5,74.48540675,42.48020487,3226.393,3230.0325,2022-08-07 10:50:37.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,29,5,140,130,5,2.5,74.48535715,42.48023234,3227.055,3230.267,2022-08-07 10:51:18.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,30,6,145,132.5,5,2.5,74.48530935,42.48025856,3226.42,3230.6775,2022-08-07 10:51:51.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,31,7,150,135,5,2.5,74.48525961,42.48028168,3226.389,3231.088,2022-08-07 10:52:23.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,32,8,155,137.5,5,2.5,74.48521163,42.48030892,3226.676,3230.459,2022-08-07 10:52:56.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,33,9,160,140,5,2.5,74.48517287,42.4803436,3227.369,3229.83,2022-08-07 10:53:29.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,34,10,165,142.5,5,2.5,74.48512469,42.48037089,3228.222,3230.1235,2022-08-07 10:53:58.4 UTC+06:00
GOL01_2021-07-18_W5m.csv,35,11,170,145,5,2.5,74.48508485,42.48039595,3226.01,3230.417,2022-08-07 10:54:44.4 UTC+06:00
