profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
GOL05_2022-08-08_W5m,1,,74.48664581,42.47683457,3399.292,2022-08-08 10:53:13.1 UTC+06:00
GOL05_2022-08-08_W5m,2,,74.48667329,42.4767957,3398.924,2022-08-08 10:53:55.1 UTC+06:00
GOL05_2022-08-08_W5m,3,,74.48670957,42.47676027,3398.107,2022-08-08 10:54:31.1 UTC+06:00
GOL05_2022-08-08_W5m,4,,74.48674314,42.47672258,3396.931,2022-08-08 10:55:07.1 UTC+06:00
GOL05_2022-08-08_W5m,5,,74.48677676,42.4766868,3396.416,2022-08-08 10:55:53.1 UTC+06:00
GOL05_2022-08-08_W5m,6,,74.48680924,42.47665169,3396.554,2022-08-08 10:56:40.1 UTC+06:00
GOL05_2022-08-08_W5m,7,,74.48684788,42.47661753,3397.082,2022-08-08 10:57:25.1 UTC+06:00
GOL05_2022-08-08_W5m,8,,74.48687702,42.47657428,3397.918,2022-08-08 10:58:28.1 UTC+06:00
GOL05_2022-08-08_W5m,9,,74.48691006,42.47653854,3398.55,2022-08-08 10:59:25.1 UTC+06:00
GOL05_2022-08-08_W5m,10,,74.48694396,42.47650249,3399.138,2022-08-08 11:00:13.1 UTC+06:00
GOL05_2022-08-08_W5m,11,,74.48697613,42.47646859,3399.95,2022-08-08 11:01:01.1 UTC+06:00
GOL05_2022-08-08_W5m,12,,74.48700845,42.4764258,3400.837,2022-08-08 11:01:43.1 UTC+06:00
GOL05_2022-08-08_W5m,13,,74.48703655,42.4763905,3401.534,2022-08-08 11:02:33.1 UTC+06:00
GOL05_2022-08-08_W5m,14,1,74.48706463,42.47635047,3402.537,2022-08-08 11:03:12.1 UTC+06:00
GOL05_2022-08-08_W5m,15,2,74.48710763,42.47631593,3404.067,2022-08-08 11:04:17.1 UTC+06:00
GOL05_2022-08-08_W5m,16,3,74.48713341,42.47628151,3404.83,2022-08-08 11:04:54.2 UTC+06:00
GOL05_2022-08-08_W5m,17,4,74.48716122,42.47624064,3405.901,2022-08-08 11:05:25.1 UTC+06:00
GOL05_2022-08-08_W5m,18,5,74.48719529,42.47620486,3406.901,2022-08-08 11:05:52.2 UTC+06:00
GOL05_2022-08-08_W5m,19,6,74.48722742,42.47616815,3407.859,2022-08-08 11:06:24.1 UTC+06:00
GOL05_2022-08-08_W5m,20,7,74.48725867,42.47613372,3408.557,2022-08-08 11:06:55.1 UTC+06:00
GOL05_2022-08-08_W5m,21,8,74.48729245,42.47609399,3409.884,2022-08-08 11:07:35.1 UTC+06:00
GOL05_2022-08-08_W5m,22,9,74.48733005,42.47606021,3410.582,2022-08-08 11:08:15.2 UTC+06:00
GOL05_2022-08-08_W5m,23,10,74.4873605,42.47602297,3411.46,2022-08-08 11:08:48.2 UTC+06:00
GOL05_2022-08-08_W5m,24,11,74.48739583,42.47598778,3411.948,2022-08-08 11:09:19.1 UTC+06:00
GOL05_2022-08-08_W5m,25,12,74.48741585,42.47595012,3412.433,2022-08-08 11:09:54.1 UTC+06:00
GOL05_2022-08-08_W5m,26,13,74.48745034,42.4759091,3412.782,2022-08-08 11:10:37.1 UTC+06:00
GOL05_2022-08-08_W5m,27,14,74.48748514,42.47587568,3413.229,2022-08-08 11:11:03.1 UTC+06:00
GOL05_2022-08-08_W5m,28,15,74.48752053,42.47583758,3414.002,2022-08-08 11:11:31.1 UTC+06:00
GOL05_2022-08-08_W5m,29,16,74.48754588,42.47579567,3414.415,2022-08-08 11:12:01.1 UTC+06:00
GOL05_2022-08-08_W5m,30,17,74.48757703,42.47575498,3415.083,2022-08-08 11:12:31.1 UTC+06:00
GOL05_2022-08-08_W5m,31,18,74.48760655,42.4757227,3415.883,2022-08-08 11:13:01.1 UTC+06:00
GOL05_2022-08-08_W5m,32,19,74.48763465,42.47568129,3416.261,2022-08-08 11:13:33.1 UTC+06:00
GOL05_2022-08-08_W5m,33,20,74.48765851,42.47563755,3416.616,2022-08-08 11:14:01.1 UTC+06:00
GOL05_2022-08-08_W5m,34,21,74.48768923,42.47559972,3417.155,2022-08-08 11:14:26.2 UTC+06:00
GOL05_2022-08-08_W5m,35,22,74.48772054,42.47556352,3417.929,2022-08-08 11:14:55.2 UTC+06:00
GOL05_2022-08-08_W5m,36,23,74.48774658,42.47552354,3418.103,2022-08-08 11:15:23.2 UTC+06:00
GOL05_2022-08-08_W5m,37,24,74.487776,42.47548307,3418.23,2022-08-08 11:15:52.2 UTC+06:00
GOL05_2022-08-08_W5m,38,,74.48780903,42.47544342,3419.324,2022-08-08 11:16:26.2 UTC+06:00
GOL05_2022-08-08_W5m,39,,74.48783395,42.47540779,3419.904,2022-08-08 11:16:55.2 UTC+06:00
GOL05_2022-08-08_W5m,40,,74.48786788,42.47536964,3420.6,2022-08-08 11:17:30.2 UTC+06:00
GOL05_2022-08-08_W5m,41,,74.48789332,42.47532923,3421.041,2022-08-08 11:18:01.2 UTC+06:00
GOL05_2022-08-08_W5m,42,,74.48793013,42.47528882,3421.088,2022-08-08 11:18:28.2 UTC+06:00
GOL05_2022-08-08_W5m,43,,74.48796043,42.47525585,3421.009,2022-08-08 11:18:57.2 UTC+06:00
GOL05_2022-08-08_W5m,44,,74.48799681,42.47521759,3420.888,2022-08-08 11:19:23.2 UTC+06:00
GOL05_2022-08-08_W5m,45,,74.48803363,42.47517817,3420.415,2022-08-08 11:19:52.2 UTC+06:00
GOL05_2022-08-08_W5m,46,,74.48806998,42.47514689,3420.288,2022-08-08 11:20:21.2 UTC+06:00
GOL05_2022-08-08_W5m,47,,74.48811486,42.4751145,3420.491,2022-08-08 11:20:49.2 UTC+06:00
GOL05_2022-08-08_W5m,48,,74.48814425,42.47507269,3420.621,2022-08-08 11:21:22.2 UTC+06:00
