profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
KAR01_2023-08-07_W5m,1,,73.44203212,39.2034259,4231.147,2023-08-07 06:41:50.4 UTC+02:00
KAR01_2023-08-07_W5m,2,,73.44205608,39.20338507,4231.048,2023-08-07 06:42:10.6 UTC+02:00
KAR01_2023-08-07_W5m,3,,73.44208085,39.20334495,4230.985,2023-08-07 06:42:31.4 UTC+02:00
KAR01_2023-08-07_W5m,4,,73.44210458,39.20330315,4230.952,2023-08-07 06:42:51.2 UTC+02:00
KAR01_2023-08-07_W5m,5,,73.4421295,39.20326285,4231.445,2023-08-07 06:43:15.0 UTC+02:00
KAR01_2023-08-07_W5m,6,,73.44215317,39.20322296,4232.081,2023-08-07 06:43:35.8 UTC+02:00
KAR01_2023-08-07_W5m,7,,73.44217492,39.20318114,4232.589,2023-08-07 06:43:57.6 UTC+02:00
KAR01_2023-08-07_W5m,8,,73.44220059,39.20314142,4232.765,2023-08-07 06:44:24.4 UTC+02:00
KAR01_2023-08-07_W5m,9,,73.44222199,39.20309903,4232.727,2023-08-07 06:44:47.6 UTC+02:00
KAR01_2023-08-07_W5m,10,,73.44224506,39.20305865,4232.769,2023-08-07 06:45:11.2 UTC+02:00
KAR01_2023-08-07_W5m,11,,73.4422685,39.20301722,4232.65,2023-08-07 06:45:31.4 UTC+02:00
KAR01_2023-08-07_W5m,12,,73.44229251,39.20297634,4232.725,2023-08-07 06:45:53.0 UTC+02:00
KAR01_2023-08-07_W5m,13,,73.44231629,39.20293506,4232.898,2023-08-07 06:46:13.0 UTC+02:00
KAR01_2023-08-07_W5m,14,,73.44234019,39.20289463,4233.041,2023-08-07 06:46:33.0 UTC+02:00
KAR01_2023-08-07_W5m,15,,73.44236369,39.20285382,4233.344,2023-08-07 06:46:52.4 UTC+02:00
KAR01_2023-08-07_W5m,16,,73.44238728,39.20281284,4233.934,2023-08-07 06:47:12.6 UTC+02:00
KAR01_2023-08-07_W5m,17,,73.44240918,39.20277136,4234.336,2023-08-07 06:47:33.4 UTC+02:00
KAR01_2023-08-07_W5m,18,,73.44243196,39.20273011,4234.228,2023-08-07 06:47:57.8 UTC+02:00
KAR01_2023-08-07_W5m,19,,73.44245493,39.20268802,4234.278,2023-08-07 06:48:18.4 UTC+02:00
KAR01_2023-08-07_W5m,20,,73.44247676,39.20264729,4234.078,2023-08-07 06:48:38.4 UTC+02:00
KAR01_2023-08-07_W5m,21,,73.44249719,39.20260505,4233.946,2023-08-07 06:48:57.2 UTC+02:00
KAR01_2023-08-07_W5m,22,,73.44251676,39.2025627,4233.566,2023-08-07 06:49:16.2 UTC+02:00
KAR01_2023-08-07_W5m,23,,73.44253826,39.20252118,4233.379,2023-08-07 06:49:38.0 UTC+02:00
KAR01_2023-08-07_W5m,24,,73.44256146,39.20248024,4233.185,2023-08-07 06:49:57.2 UTC+02:00
KAR01_2023-08-07_W5m,25,,73.44258875,39.20244029,4232.996,2023-08-07 06:50:18.4 UTC+02:00
KAR01_2023-08-07_W5m,26,,73.44261846,39.20240161,4232.763,2023-08-07 06:50:37.8 UTC+02:00
KAR01_2023-08-07_W5m,27,,73.44264865,39.20236316,4232.564,2023-08-07 06:50:57.0 UTC+02:00
KAR01_2023-08-07_W5m,28,,73.44267852,39.20232468,4232.332,2023-08-07 06:51:16.0 UTC+02:00
KAR01_2023-08-07_W5m,29,,73.44270737,39.20228607,4232.091,2023-08-07 06:51:34.8 UTC+02:00
KAR01_2023-08-07_W5m,30,,73.44273748,39.20224786,4231.792,2023-08-07 06:51:54.0 UTC+02:00
KAR01_2023-08-07_W5m,31,,73.44276908,39.20221033,4231.506,2023-08-07 06:52:15.4 UTC+02:00
KAR01_2023-08-07_W5m,32,,73.44280006,39.20217285,4231.137,2023-08-07 06:52:33.8 UTC+02:00
KAR01_2023-08-07_W5m,33,,73.44283225,39.20213598,4230.524,2023-08-07 06:52:53.2 UTC+02:00
KAR01_2023-08-07_W5m,34,,73.44286329,39.20209813,4230.09,2023-08-07 06:53:12.6 UTC+02:00
KAR01_2023-08-07_W5m,35,,73.44289471,39.20206038,4229.811,2023-08-07 06:53:31.4 UTC+02:00
KAR01_2023-08-07_W5m,36,,73.44292666,39.20202277,4229.298,2023-08-07 06:53:50.8 UTC+02:00
KAR01_2023-08-07_W5m,37,,73.44295934,39.20198652,4228.592,2023-08-07 06:54:10.0 UTC+02:00
KAR01_2023-08-07_W5m,38,,73.44299376,39.20195036,4228.186,2023-08-07 06:54:28.4 UTC+02:00
KAR01_2023-08-07_W5m,39,,73.44302508,39.20191258,4228.003,2023-08-07 06:54:47.0 UTC+02:00
KAR01_2023-08-07_W5m,40,,73.44305918,39.20187608,4227.767,2023-08-07 06:55:08.6 UTC+02:00
KAR01_2023-08-07_W5m,41,,73.44309172,39.20183978,4227.632,2023-08-07 06:55:27.6 UTC+02:00
KAR01_2023-08-07_W5m,42,,73.4431242,39.20180267,4227.568,2023-08-07 06:55:46.0 UTC+02:00
KAR01_2023-08-07_W5m,43,,73.44315805,39.20176536,4227.421,2023-08-07 06:56:06.2 UTC+02:00
KAR01_2023-08-07_W5m,44,,73.44318953,39.20172858,4227.234,2023-08-07 06:56:25.0 UTC+02:00
KAR01_2023-08-07_W5m,45,,73.44322341,39.20169162,4226.905,2023-08-07 06:56:44.2 UTC+02:00
KAR01_2023-08-07_W5m,46,,73.44325398,39.2016535,4226.47,2023-08-07 06:57:03.6 UTC+02:00
KAR01_2023-08-07_W5m,47,,73.44328488,39.2016164,4225.763,2023-08-07 06:57:34.2 UTC+02:00
KAR01_2023-08-07_W5m,48,,73.44331406,39.20157956,4225.025,2023-08-07 06:57:56.0 UTC+02:00
KAR01_2023-08-07_W5m,1,,73.4428169,39.20258822,4234.453,2023-08-07 07:00:59.0 UTC+02:00
KAR01_2023-08-07_W5m,2,,73.4425592,39.20284311,4235.134,2023-08-07 07:14:16.2 UTC+02:00
KAR01_2023-08-07_W5m,3,,73.44315949,39.20248291,4234.237,2023-08-07 07:15:20.2 UTC+02:00
