Profile,Electrode,Geophone,Longitude,Latitude,Ellipsoidal height,Averaging start
KAR02_2024-08-15_W5m,,G01,73.54596591,38.99870093,3898.61,2024-08-15 06:23:55.0 UTC+02:00
KAR02_2024-08-15_W5m,,G02,73.54598474,38.99865845,3898.759,2024-08-15 06:24:27.2 UTC+02:00
KAR02_2024-08-15_W5m,,G03,73.54599979,38.99861469,3898.89,2024-08-15 06:24:48.4 UTC+02:00
KAR02_2024-08-15_W5m,,G04,73.54601575,38.9985715,3898.853,2024-08-15 06:25:09.8 UTC+02:00
KAR02_2024-08-15_W5m,,G05,73.54602923,38.99852777,3898.959,2024-08-15 06:25:37.4 UTC+02:00
KAR02_2024-08-15_W5m,,G06,73.54604185,38.99848385,3898.992,2024-08-15 06:26:04.4 UTC+02:00
KAR02_2024-08-15_W5m,,G07,73.54605548,38.99844039,3898.984,2024-08-15 06:26:31.2 UTC+02:00
KAR02_2024-08-15_W5m,,G08,73.54606954,38.99839589,3898.932,2024-08-15 06:26:54.0 UTC+02:00
KAR02_2024-08-15_W5m,,G09,73.54608429,38.99835246,3898.887,2024-08-15 06:27:18.8 UTC+02:00
KAR02_2024-08-15_W5m,,G10,73.54609675,38.9982983,3898.696,2024-08-15 06:27:47.6 UTC+02:00
KAR02_2024-08-15_W5m,,G11,73.54611237,38.99825201,3898.735,2024-08-15 06:28:11.4 UTC+02:00
KAR02_2024-08-15_W5m,,G12,73.54612647,38.99820719,3898.569,2024-08-15 06:28:32.8 UTC+02:00
KAR02_2024-08-15_W5m,,G13,73.54613877,38.99816395,3898.551,2024-08-15 06:28:55.6 UTC+02:00
KAR02_2024-08-15_W5m,,G14,73.54615354,38.99811925,3898.657,2024-08-15 06:29:17.2 UTC+02:00
KAR02_2024-08-15_W5m,,G15,73.54617091,38.99807694,3898.724,2024-08-15 06:29:39.0 UTC+02:00
KAR02_2024-08-15_W5m,,G16,73.54618719,38.99803441,3898.784,2024-08-15 06:30:03.6 UTC+02:00
KAR02_2024-08-15_W5m,,G17,73.54620278,38.99799096,3899.64,2024-08-15 06:30:26.4 UTC+02:00
KAR02_2024-08-15_W5m,,G18,73.5462188,38.9979483,3899.808,2024-08-15 06:30:56.8 UTC+02:00
KAR02_2024-08-15_W5m,,G19,73.54623507,38.99790642,3900.6,2024-08-15 06:31:25.2 UTC+02:00
KAR02_2024-08-15_W5m,,G20,73.54624976,38.99786254,3901.082,2024-08-15 06:31:48.8 UTC+02:00
KAR02_2024-08-15_W5m,,G21,73.54626194,38.99781927,3901.544,2024-08-15 06:32:12.2 UTC+02:00
KAR02_2024-08-15_W5m,,G22,73.54627393,38.99777555,3901.41,2024-08-15 06:32:37.0 UTC+02:00
KAR02_2024-08-15_W5m,,G23,73.54628678,38.99773117,3901.644,2024-08-15 06:33:01.8 UTC+02:00
KAR02_2024-08-15_W5m,,G24,73.54630292,38.9976863,3901.341,2024-08-15 06:33:26.6 UTC+02:00
