profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidalheight,Averaging start
KAR03_2024-08-15_W5m,,1,73.54607365,38.9986519,,2024-08-15 07:13:53.4 UTC+02:00
KAR03_2024-08-15_W5m,,2,73.54611956,38.99862467,,2024-08-15 07:14:23.4 UTC+02:00
KAR03_2024-08-15_W5m,,3,73.5461651,38.99859629,,2024-08-15 07:14:49.0 UTC+02:00
KAR03_2024-08-15_W5m,,4,73.54620899,38.99856688,,2024-08-15 07:15:16.4 UTC+02:00
KAR03_2024-08-15_W5m,,5,73.54625474,38.99853948,,2024-08-15 07:15:41.4 UTC+02:00
KAR03_2024-08-15_W5m,,6,73.54629959,38.99851102,,2024-08-15 07:16:06.6 UTC+02:00
KAR03_2024-08-15_W5m,,7,73.54634475,38.99848282,,2024-08-15 07:16:32.0 UTC+02:00
KAR03_2024-08-15_W5m,,8,73.54638976,38.9984544,,2024-08-15 07:16:55.8 UTC+02:00
KAR03_2024-08-15_W5m,,9,73.54643488,38.99842593,,2024-08-15 07:17:21.4 UTC+02:00
KAR03_2024-08-15_W5m,,10,73.54647828,38.99839594,,2024-08-15 07:17:44.4 UTC+02:00
KAR03_2024-08-15_W5m,,11,73.54652373,38.99836811,,2024-08-15 07:18:08.4 UTC+02:00
KAR03_2024-08-15_W5m,,12,73.54656776,38.99833938,,2024-08-15 07:18:32.2 UTC+02:00
KAR03_2024-08-15_W5m,,13,73.54661251,38.99831061,,2024-08-15 07:18:58.2 UTC+02:00
KAR03_2024-08-15_W5m,,14,73.54665864,38.99828314,,2024-08-15 07:19:22.0 UTC+02:00
KAR03_2024-08-15_W5m,,15,73.54670306,38.99825468,,2024-08-15 07:19:45.0 UTC+02:00
KAR03_2024-08-15_W5m,,16,73.54674777,38.99822623,,2024-08-15 07:20:07.8 UTC+02:00
KAR03_2024-08-15_W5m,,17,73.54679269,38.99819779,,2024-08-15 07:20:31.6 UTC+02:00
KAR03_2024-08-15_W5m,,18,73.54683754,38.99816931,,2024-08-15 07:20:52.4 UTC+02:00
KAR03_2024-08-15_W5m,,19,73.54688226,38.99814069,,2024-08-15 07:21:14.0 UTC+02:00
KAR03_2024-08-15_W5m,,20,73.54692709,38.9981121,,2024-08-15 07:21:35.4 UTC+02:00
KAR03_2024-08-15_W5m,,21,73.54697153,38.99808334,,2024-08-15 07:21:54.4 UTC+02:00
KAR03_2024-08-15_W5m,,22,73.54701668,38.99805513,,2024-08-15 07:22:15.0 UTC+02:00
KAR03_2024-08-15_W5m,,23,73.54706027,38.99802551,,2024-08-15 07:22:35.2 UTC+02:00
KAR03_2024-08-15_W5m,,24,73.54710539,38.99799727,,2024-08-15 07:22:59.6 UTC+02:00
KAR03_2024-08-15_W5m,,25,73.54715625,38.99796772,,2024-08-15 08:26:34.0 UTC+02:00
KAR03_2024-08-15_W5m,,26,73.54720179,38.99793976,,2024-08-15 08:26:57.8 UTC+02:00
KAR03_2024-08-15_W5m,,27,73.54724685,38.99791149,,2024-08-15 08:27:17.8 UTC+02:00
KAR03_2024-08-15_W5m,,28,73.54729194,38.99788358,,2024-08-15 08:27:39.8 UTC+02:00
KAR03_2024-08-15_W5m,,29,73.5473378,38.99785564,,2024-08-15 08:28:01.0 UTC+02:00
KAR03_2024-08-15_W5m,,30,73.54738273,38.99782782,,2024-08-15 08:28:25.0 UTC+02:00
KAR03_2024-08-15_W5m,,31,73.54742861,38.99780009,,2024-08-15 08:28:45.0 UTC+02:00
KAR03_2024-08-15_W5m,,32,73.54747395,38.99777227,,2024-08-15 08:29:06.0 UTC+02:00
KAR03_2024-08-15_W5m,,33,73.54752001,38.99774421,,2024-08-15 08:29:27.8 UTC+02:00
KAR03_2024-08-15_W5m,,34,73.54756581,38.99771656,,2024-08-15 08:29:51.6 UTC+02:00
KAR03_2024-08-15_W5m,,35,73.54761215,38.99768996,,2024-08-15 08:30:13.6 UTC+02:00
KAR03_2024-08-15_W5m,,36,73.54765698,38.99766136,,2024-08-15 08:30:28.6 UTC+02:00
KAR03_2024-08-15_W5m,,37,73.54770278,38.99763389,,2024-08-15 08:30:45.2 UTC+02:00
KAR03_2024-08-15_W5m,,38,73.5477482,38.99760596,,2024-08-15 08:31:02.4 UTC+02:00
KAR03_2024-08-15_W5m,,39,73.5477932,38.99757771,,2024-08-15 08:31:20.0 UTC+02:00
KAR03_2024-08-15_W5m,,40,73.54783848,38.99754954,,2024-08-15 08:31:39.2 UTC+02:00
KAR03_2024-08-15_W5m,,41,73.54788385,38.99752095,,2024-08-15 08:31:58.4 UTC+02:00
KAR03_2024-08-15_W5m,,42,73.5479293,38.99749332,,2024-08-15 08:32:17.2 UTC+02:00
