profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
KUM04b_2023-07-13_2m,1,,78.08482944,41.80030879,3544.4,2022-08-19 11:41:01.0 UTC+06:00
KUM04b_2023-07-13_2m,2,,78.0848527,41.80030093,3544.393,2022-08-19 11:41:22.0 UTC+06:00
KUM04b_2023-07-13_2m,3,,78.08487933,41.80029362,3544.731,2022-08-19 11:41:41.0 UTC+06:00
KUM04b_2023-07-13_2m,4,,78.08490483,41.8002857,3545.338,2022-08-19 11:41:58.0 UTC+06:00
KUM04b_2023-07-13_2m,5,,78.08492715,41.80027424,3545.998,2022-08-19 11:42:18.0 UTC+06:00
KUM04b_2023-07-13_2m,6,,78.08494804,41.80026544,3546.106,2022-08-19 11:42:42.0 UTC+06:00
KUM04b_2023-07-13_2m,7,,78.08496482,41.80025802,3546.509,2022-08-19 11:43:00.1 UTC+06:00
KUM04b_2023-07-13_2m,8,,78.08498409,41.80025101,3546.663,2022-08-19 11:43:19.0 UTC+06:00
KUM04b_2023-07-13_2m,9,,78.08501013,41.80024439,3547.005,2022-08-19 11:43:39.0 UTC+06:00
KUM04b_2023-07-13_2m,10,,78.08502892,41.80023659,3546.703,2022-08-19 11:43:58.0 UTC+06:00
KUM04b_2023-07-13_2m,11,,78.08504795,41.80023382,3546.729,2022-08-19 11:44:18.1 UTC+06:00
KUM04b_2023-07-13_2m,12,,78.08506991,41.80023028,3545.908,2022-08-19 11:44:38.0 UTC+06:00
KUM04b_2023-07-13_2m,13,1,78.08508836,41.80022508,3545.374,2022-08-19 11:45:00.0 UTC+06:00
KUM04b_2023-07-13_2m,14,2,78.08511301,41.80021507,3546.362,2022-08-19 11:45:20.0 UTC+06:00
KUM04b_2023-07-13_2m,15,3,78.08512721,41.80020254,3548.783,2022-08-19 11:45:41.0 UTC+06:00
KUM04b_2023-07-13_2m,16,4,78.08514142,41.80019401,3550.074,2022-08-19 11:46:02.0 UTC+06:00
KUM04b_2023-07-13_2m,17,5,78.08515362,41.80018643,3550.051,2022-08-19 11:46:21.0 UTC+06:00
KUM04b_2023-07-13_2m,18,6,78.08517667,41.80018024,3550.257,2022-08-19 11:46:41.0 UTC+06:00
KUM04b_2023-07-13_2m,19,7,78.08519809,41.80017233,3550.234,2022-08-19 11:47:00.1 UTC+06:00
KUM04b_2023-07-13_2m,20,8,78.08521893,41.80016281,3550.102,2022-08-19 11:47:20.0 UTC+06:00
KUM04b_2023-07-13_2m,21,9,78.08523977,41.8001532,3549.632,2022-08-19 11:48:06.0 UTC+06:00
KUM04b_2023-07-13_2m,22,10,78.08527326,41.80014814,3550.151,2022-08-19 11:48:26.0 UTC+06:00
KUM04b_2023-07-13_2m,23,11,78.08531108,41.80014177,3550.593,2022-08-19 11:48:47.0 UTC+06:00
KUM04b_2023-07-13_2m,24,12,78.08533724,41.80013398,3550.602,2022-08-19 11:49:11.0 UTC+06:00
KUM04b_2023-07-13_2m,25,13,78.08534802,41.80012461,3551.351,2022-08-19 11:50:08.0 UTC+06:00
KUM04b_2023-07-13_2m,26,14,78.0853699,41.80011547,3550.596,2022-08-19 11:50:30.1 UTC+06:00
KUM04b_2023-07-13_2m,27,15,78.08539482,41.80010599,3550.793,2022-08-19 11:50:48.1 UTC+06:00
KUM04b_2023-07-13_2m,28,16,78.08541368,41.80009965,3550.94,2022-08-19 11:51:06.1 UTC+06:00
KUM04b_2023-07-13_2m,29,17,78.08543456,41.8000902,3551.362,2022-08-19 11:51:24.1 UTC+06:00
KUM04b_2023-07-13_2m,30,18,78.08545645,41.80008159,3551.13,2022-08-19 11:51:42.1 UTC+06:00
KUM04b_2023-07-13_2m,31,19,78.08547808,41.80007594,3551.564,2022-08-19 11:51:59.0 UTC+06:00
KUM04b_2023-07-13_2m,32,20,78.08550043,41.8000698,3551.392,2022-08-19 11:52:17.0 UTC+06:00
KUM04b_2023-07-13_2m,33,21,78.08552317,41.80006002,3551.9,2022-08-19 11:52:33.1 UTC+06:00
KUM04b_2023-07-13_2m,34,22,78.08554791,41.80005202,3551.92,2022-08-19 11:52:49.0 UTC+06:00
KUM04b_2023-07-13_2m,35,23,78.08556676,41.80004318,3552.2,2022-08-19 11:53:05.0 UTC+06:00
KUM04b_2023-07-13_2m,36,24,78.08558666,41.80003594,3552.378,2022-08-19 11:53:21.0 UTC+06:00
KUM04b_2023-07-13_2m,37,,78.08560953,41.80002847,3552.424,2022-08-19 11:53:39.1 UTC+06:00
KUM04b_2023-07-13_2m,38,,78.08563401,41.80002013,3552.48,2022-08-19 11:53:59.0 UTC+06:00
KUM04b_2023-07-13_2m,39,,78.08565678,41.80001334,3552.725,2022-08-19 11:54:15.0 UTC+06:00
KUM04b_2023-07-13_2m,40,,78.08568041,41.80000449,3552.812,2022-08-19 11:54:32.1 UTC+06:00
KUM04b_2023-07-13_2m,41,,78.0857001,41.7999976,3552.809,2022-08-19 11:54:49.1 UTC+06:00
KUM04b_2023-07-13_2m,42,,78.08571689,41.79999163,3552.895,2022-08-19 11:55:08.1 UTC+06:00
KUM04b_2023-07-13_2m,43,,78.08574127,41.79998354,3553.247,2022-08-19 11:55:26.1 UTC+06:00
KUM04b_2023-07-13_2m,44,,78.08576613,41.79997626,3553.529,2022-08-19 11:55:42.1 UTC+06:00
KUM04b_2023-07-13_2m,45,,78.08578564,41.79996606,3553.533,2022-08-19 11:56:00.1 UTC+06:00
KUM04b_2023-07-13_2m,46,,78.08580336,41.79995817,3553.198,2022-08-19 11:56:17.1 UTC+06:00
KUM04b_2023-07-13_2m,47,,78.08582667,41.79994873,3552.921,2022-08-19 11:56:34.1 UTC+06:00
KUM04b_2023-07-13_2m,48,,78.08584976,41.79994151,3552.45,2022-08-19 11:56:53.1 UTC+06:00
