profile name,electrodes,geophones,x_m,electrode_spacing,geophone_spacing,Longitude,Latitude,Ellipsoidalheight,Averaging start
ZUL03_2023-08-11_W5m,1,,0.0,5.0,5.0,73.01513076,38.88429599,,2023-08-11 11:06:44.0 UTC+02:00
ZUL03_2023-08-11_W5m,2,,5.0,5.0,5.0,73.01517972,38.88431955,,2023-08-11 11:07:25.4 UTC+02:00
ZUL03_2023-08-11_W5m,3,,10.0,5.0,5.0,73.01522825,38.88434274,,2023-08-11 11:07:47.0 UTC+02:00
ZUL03_2023-08-11_W5m,4,,15.0,5.0,5.0,73.01527597,38.88436658,,2023-08-11 11:08:06.4 UTC+02:00
ZUL03_2023-08-11_W5m,5,,20.0,5.0,5.0,73.01532285,38.88439247,,2023-08-11 11:08:25.0 UTC+02:00
ZUL03_2023-08-11_W5m,6,,25.0,5.0,5.0,73.01536941,38.88441797,,2023-08-11 11:08:56.0 UTC+02:00
ZUL03_2023-08-11_W5m,7,,30.0,5.0,5.0,73.01541575,38.88444493,,2023-08-11 11:09:14.4 UTC+02:00
ZUL03_2023-08-11_W5m,8,,35.0,5.0,5.0,73.01546222,38.88446929,,2023-08-11 11:09:34.6 UTC+02:00
ZUL03_2023-08-11_W5m,9,,40.0,5.0,5.0,73.01551033,38.88449443,,2023-08-11 11:09:56.0 UTC+02:00
ZUL03_2023-08-11_W5m,10,,45.0,5.0,5.0,73.0155604,38.8845176,,2023-08-11 11:10:17.0 UTC+02:00
ZUL03_2023-08-11_W5m,11,,50.0,5.0,5.0,73.01560458,38.88454527,,2023-08-11 11:10:36.2 UTC+02:00
ZUL03_2023-08-11_W5m,12,,55.0,5.0,5.0,73.01565128,38.88457142,,2023-08-11 11:10:55.8 UTC+02:00
ZUL03_2023-08-11_W5m,13,,60.0,5.0,5.0,73.01569587,38.88459903,,2023-08-11 11:11:16.6 UTC+02:00
ZUL03_2023-08-11_W5m,14,,65.0,5.0,5.0,73.01574461,38.88462506,,2023-08-11 11:11:41.0 UTC+02:00
ZUL03_2023-08-11_W5m,15,,70.0,5.0,5.0,73.01578957,38.88465215,,2023-08-11 11:12:01.2 UTC+02:00
ZUL03_2023-08-11_W5m,16,,75.0,5.0,5.0,73.01583569,38.88467828,,2023-08-11 11:12:22.0 UTC+02:00
ZUL03_2023-08-11_W5m,17,,80.0,5.0,5.0,73.01587965,38.88470325,,2023-08-11 11:12:41.0 UTC+02:00
ZUL03_2023-08-11_W5m,18,,85.0,5.0,5.0,73.01592371,38.8847336,,2023-08-11 11:13:01.4 UTC+02:00
ZUL03_2023-08-11_W5m,19,,90.0,5.0,5.0,73.01596611,38.88476085,,2023-08-11 11:13:21.4 UTC+02:00
ZUL03_2023-08-11_W5m,20,,95.0,5.0,5.0,73.01601255,38.88478962,,2023-08-11 11:13:44.2 UTC+02:00
ZUL03_2023-08-11_W5m,21,,100.0,5.0,5.0,73.01605364,38.88481735,,2023-08-11 11:14:04.6 UTC+02:00
ZUL03_2023-08-11_W5m,22,,105.0,5.0,5.0,73.01609709,38.88484536,,2023-08-11 11:14:25.6 UTC+02:00
ZUL03_2023-08-11_W5m,23,,110.0,5.0,5.0,73.01613888,38.8848745,,2023-08-11 11:14:46.0 UTC+02:00
ZUL03_2023-08-11_W5m,24,,115.0,5.0,5.0,73.01618234,38.88490233,,2023-08-11 11:15:06.4 UTC+02:00
ZUL03_2023-08-11_W5m,25,,120.0,5.0,5.0,73.01622857,38.88493114,,2023-08-11 11:17:08.4 UTC+02:00
ZUL03_2023-08-11_W5m,26,,125.0,5.0,5.0,73.0162648,38.88496512,,2023-08-11 11:17:27.6 UTC+02:00
ZUL03_2023-08-11_W5m,27,,130.0,5.0,5.0,73.0163012,38.88499811,,2023-08-11 11:17:47.6 UTC+02:00
ZUL03_2023-08-11_W5m,28,,135.0,5.0,5.0,73.01634072,38.8850301,,2023-08-11 11:18:07.6 UTC+02:00
ZUL03_2023-08-11_W5m,29,,140.0,5.0,5.0,73.01637999,38.88506143,,2023-08-11 11:18:26.8 UTC+02:00
ZUL03_2023-08-11_W5m,30,,145.0,5.0,5.0,73.01642298,38.88509406,,2023-08-11 11:19:11.4 UTC+02:00
ZUL03_2023-08-11_W5m,31,,150.0,5.0,5.0,73.01646507,38.88512398,,2023-08-11 11:19:34.0 UTC+02:00
ZUL03_2023-08-11_W5m,32,,155.0,5.0,5.0,73.01650303,38.88515614,,2023-08-11 11:19:57.6 UTC+02:00
ZUL03_2023-08-11_W5m,33,,160.0,5.0,5.0,73.01653912,38.88519091,,2023-08-11 11:20:20.6 UTC+02:00
ZUL03_2023-08-11_W5m,34,,165.0,5.0,5.0,73.01657474,38.8852261,,2023-08-11 11:20:42.4 UTC+02:00
ZUL03_2023-08-11_W5m,35,,170.0,5.0,5.0,73.01661573,38.8852584,,2023-08-11 11:21:04.8 UTC+02:00
ZUL03_2023-08-11_W5m,36,,175.0,5.0,5.0,73.01665182,38.88529284,,2023-08-11 11:21:28.8 UTC+02:00
ZUL03_2023-08-11_W5m,37,,180.0,5.0,5.0,73.01669014,38.88532629,,2023-08-11 11:21:52.2 UTC+02:00
ZUL03_2023-08-11_W5m,38,,185.0,5.0,5.0,73.016729,38.88536033,,2023-08-11 11:22:59.0 UTC+02:00
ZUL03_2023-08-11_W5m,39,,190.0,5.0,5.0,73.01676363,38.88539578,,2023-08-11 11:23:24.8 UTC+02:00
ZUL03_2023-08-11_W5m,40,,195.0,5.0,5.0,73.01680161,38.88542946,,2023-08-11 11:23:52.4 UTC+02:00
ZUL03_2023-08-11_W5m,41,,200.0,5.0,5.0,73.0168384,38.88546239,,2023-08-11 11:24:19.4 UTC+02:00
ZUL03_2023-08-11_W5m,42,,205.0,5.0,5.0,73.01687491,38.88549545,,2023-08-11 11:24:46.0 UTC+02:00
ZUL03_2023-08-11_W5m,43,,210.0,5.0,5.0,73.01691363,38.88553029,,2023-08-11 11:25:13.2 UTC+02:00
ZUL03_2023-08-11_W5m,44,,215.0,5.0,5.0,73.01695087,38.8855599,,2023-08-11 11:25:38.8 UTC+02:00
ZUL03_2023-08-11_W5m,45,,220.0,5.0,5.0,73.01698663,38.88559603,,2023-08-11 11:26:08.2 UTC+02:00
ZUL03_2023-08-11_W5m,46,,225.0,5.0,5.0,73.01702641,38.88563182,,2023-08-11 11:26:40.6 UTC+02:00
ZUL03_2023-08-11_W5m,47,,230.0,5.0,5.0,73.01706453,38.88566516,,2023-08-11 11:27:09.0 UTC+02:00
ZUL03_2023-08-11_W5m,48,,235.0,5.0,5.0,73.01710379,38.88569461,,2023-08-11 11:27:58.2 UTC+02:00
