profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidalheight,Averaging start
abra02_2021-08-21_W5m,1,,71.58205598,39.64950447,,2022-07-24 16:31:51.9 UTC+06:00
abra02_2021-08-21_W5m,2,,71.58209864,39.64953525,,2022-07-24 16:32:12.9 UTC+06:00
abra02_2021-08-21_W5m,3,,71.58209949,39.64953421,,2022-07-24 16:32:22.8 UTC+06:00
abra02_2021-08-21_W5m,4,,71.58214735,39.64956013,,2022-07-24 16:32:48.9 UTC+06:00
abra02_2021-08-21_W5m,5,,71.58219589,39.64958166,,2022-07-24 16:33:11.8 UTC+06:00
abra02_2021-08-21_W5m,6,,71.58224808,39.64960755,,2022-07-24 16:33:37.8 UTC+06:00
abra02_2021-08-21_W5m,7,,71.58230319,39.64962934,,2022-07-24 16:33:57.8 UTC+06:00
abra02_2021-08-21_W5m,8,,71.58235247,39.64964901,,2022-07-24 16:34:17.8 UTC+06:00
abra02_2021-08-21_W5m,9,,71.58240362,39.64967047,,2022-07-24 16:34:38.8 UTC+06:00
abra02_2021-08-21_W5m,10,,71.58245411,39.64969398,,2022-07-24 16:35:01.8 UTC+06:00
abra02_2021-08-21_W5m,11,,71.58250512,39.64971719,,2022-07-24 16:35:26.3 UTC+06:00
abra02_2021-08-21_W5m,12,,71.58255612,39.64973798,,2022-07-24 16:35:47.9 UTC+06:00
abra02_2021-08-21_W5m,13,,71.58260739,39.64976063,,2022-07-24 16:37:00.8 UTC+06:00
abra02_2021-08-21_W5m,14,,71.58265515,39.64978085,,2022-07-24 16:37:32.8 UTC+06:00
abra02_2021-08-21_W5m,15,,71.58270341,39.64980962,,2022-07-24 16:37:58.8 UTC+06:00
abra02_2021-08-21_W5m,16,,71.58275128,39.64983573,,2022-07-24 16:38:23.9 UTC+06:00
abra02_2021-08-21_W5m,17,,71.58279462,39.64986501,,2022-07-24 16:38:46.9 UTC+06:00
abra02_2021-08-21_W5m,18,,71.58283806,39.64989391,,2022-07-24 16:39:00.9 UTC+06:00
abra02_2021-08-21_W5m,19,,71.58288274,39.64992366,,2022-07-24 16:39:21.8 UTC+06:00
abra02_2021-08-21_W5m,20,,71.58292516,39.64995253,,2022-07-24 16:39:44.8 UTC+06:00
abra02_2021-08-21_W5m,21,,71.58296882,39.64998085,,2022-07-24 16:40:06.8 UTC+06:00
abra02_2021-08-21_W5m,22,,71.58301199,39.65000938,,2022-07-24 16:40:28.9 UTC+06:00
abra02_2021-08-21_W5m,23,,71.58305691,39.65003791,,2022-07-24 16:40:49.8 UTC+06:00
abra02_2021-08-21_W5m,24,,71.58309716,39.65006766,,2022-07-24 16:41:23.9 UTC+06:00
abra02_2021-08-21_W5m,25,1,71.58313751,39.65009532,,2022-07-24 16:41:47.9 UTC+06:00
abra02_2021-08-21_W5m,26,2,71.58319253,39.65013811,,2022-07-24 16:42:22.9 UTC+06:00
abra02_2021-08-21_W5m,27,3,71.58323978,39.65016331,,2022-07-24 16:42:47.9 UTC+06:00
abra02_2021-08-21_W5m,28,4,71.58328402,39.65019156,,2022-07-24 16:43:11.9 UTC+06:00
abra02_2021-08-21_W5m,29,5,71.58332713,39.65022049,,2022-07-24 16:43:36.9 UTC+06:00
abra02_2021-08-21_W5m,30,6,71.58336878,39.65024825,,2022-07-24 16:43:57.9 UTC+06:00
abra02_2021-08-21_W5m,31,7,71.58341731,39.65027739,,2022-07-24 16:44:21.9 UTC+06:00
abra02_2021-08-21_W5m,32,8,71.58345813,39.65030178,,2022-07-24 16:44:44.9 UTC+06:00
abra02_2021-08-21_W5m,33,9,71.58345809,39.65030174,,2022-07-24 16:44:56.9 UTC+06:00
abra02_2021-08-21_W5m,34,10,71.58350369,39.6503273,,2022-07-24 16:45:23.9 UTC+06:00
abra02_2021-08-21_W5m,35,11,71.58354754,39.65035522,,2022-07-24 16:45:45.9 UTC+06:00
abra02_2021-08-21_W5m,36,12,71.58359276,39.65038253,,2022-07-24 16:46:09.9 UTC+06:00
abra02_2021-08-21_W5m,37,13,71.58363988,39.65040993,,2022-07-24 16:46:36.9 UTC+06:00
abra02_2021-08-21_W5m,38,14,71.58368188,39.65043548,,2022-07-24 16:47:00.9 UTC+06:00
abra02_2021-08-21_W5m,39,15,71.58373046,39.65046364,,2022-07-24 16:47:21.9 UTC+06:00
abra02_2021-08-21_W5m,40,16,71.58377423,39.65048856,,2022-07-24 16:47:51.9 UTC+06:00
abra02_2021-08-21_W5m,41,17,71.58381762,39.65051561,,2022-07-24 16:48:25.9 UTC+06:00
abra02_2021-08-21_W5m,42,18,71.58385681,39.65054339,,2022-07-24 16:48:55.9 UTC+06:00
abra02_2021-08-21_W5m,43,19,71.58389946,39.65057045,,2022-07-24 16:49:20.9 UTC+06:00
abra02_2021-08-21_W5m,44,20,71.58394389,39.65059708,,2022-07-24 16:50:31.9 UTC+06:00
abra02_2021-08-21_W5m,45,21,71.58398617,39.65062607,,2022-07-24 16:52:10.9 UTC+06:00
abra02_2021-08-21_W5m,46,22,71.58402712,39.65065299,,2022-07-24 16:52:39.9 UTC+06:00
abra02_2021-08-21_W5m,47,23,71.58406966,39.65067964,,2022-07-24 16:53:10.9 UTC+06:00
abra02_2021-08-21_W5m,48,24,71.58411441,39.65070698,,2022-07-24 16:53:39.9 UTC+06:00
abra02_2021-08-21_W5m,49,25,71.58415636,39.65073378,,2022-07-24 16:54:03.9 UTC+06:00
abra02_2021-08-21_W5m,50,26,71.58420238,39.65076002,,2022-07-24 16:54:25.9 UTC+06:00
abra02_2021-08-21_W5m,49,27,71.58424374,39.65078695,,2022-07-25 13:56:31.8 UTC+06:00
abra02_2021-08-21_W5m,491,28,71.58425147,39.65077621,,2022-07-25 13:56:40.8 UTC+06:00
abra02_2021-08-21_W5m,492,29,71.58424343,39.65078714,,2022-07-25 13:57:10.8 UTC+06:00
abra02_2021-08-21_W5m,50,30,71.58428268,39.65081351,,2022-07-25 13:57:44.8 UTC+06:00
abra02_2021-08-21_W5m,51,31,71.58432505,39.65084434,,2022-07-25 13:58:09.8 UTC+06:00
abra02_2021-08-21_W5m,52,32,71.58436247,39.65087715,,2022-07-25 14:02:28.8 UTC+06:00
abra02_2021-08-21_W5m,53,33,71.58440927,39.65090494,,2022-07-25 14:02:53.9 UTC+06:00
abra02_2021-08-21_W5m,54,34,71.58444874,39.65093173,,2022-07-25 14:03:35.9 UTC+06:00
