profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
gl09_2024-08-13_5,1,,74.485512,42.48148982,3229.616,
gl09_2024-08-13_5,2,,74.48557379,42.48150681,3228.263,
gl09_2024-08-13_5,3,,74.48562213,42.48151435,3226.311,
gl09_2024-08-13_5,4,,74.48567867,42.48152679,3225.692,
gl09_2024-08-13_5,5,,74.48574032,42.48153908,3224.76,
gl09_2024-08-13_5,6,,74.48579674,42.48155308,3223.519,
gl09_2024-08-13_5,7,,74.48586163,42.48156519,3223.571,
gl09_2024-08-13_5,8,,74.485898,42.48157444,3220.214,
gl09_2024-08-13_5,9,,74.48595159,42.48157742,3218.947,
gl09_2024-08-13_5,10,,74.48600465,42.48159048,3219.622,
gl09_2024-08-13_5,11,,74.48606004,42.48160741,3220.986,
gl09_2024-08-13_5,12,,74.4861128,42.48162138,3222.614,
gl09_2024-08-13_5,13,,74.48619571,42.48163262,3223.412,
gl09_2024-08-13_5,14,,74.4862759,42.48164492,3223.628,
gl09_2024-08-13_5,15,,74.48634047,42.48165441,3224.135,
gl09_2024-08-13_5,16,,74.4863987,42.48166762,3223.831,
gl09_2024-08-13_5,17,,74.48645544,42.48167943,3222.527,
gl09_2024-08-13_5,18,,74.48651066,42.48169623,3221.386,
gl09_2024-08-13_5,19,,74.48657576,42.481707,3220.607,
gl09_2024-08-13_5,20,,74.48662684,42.48171912,3220.018,
gl09_2024-08-13_5,21,,74.48668807,42.48173299,3219.132,
gl09_2024-08-13_5,22,,74.4867464,42.48174134,3218.804,
gl09_2024-08-13_5,23,,74.48680503,42.48175704,3218.925,
gl09_2024-08-13_5,24,,74.48685281,42.48176105,3219.813,
gl09_2024-08-13_5,25,,74.48692569,42.48177404,3221.187,
gl09_2024-08-13_5,26,,74.48698133,42.48178515,3221.349,
gl09_2024-08-13_5,27,,74.48703118,42.4817918,3220.06,
gl09_2024-08-13_5,28,,74.4870923,42.48180716,3218.882,
gl09_2024-08-13_5,29,,74.48714925,42.48182729,3217.564,
gl09_2024-08-13_5,30,,74.48721616,42.48184286,3216.986,
gl09_2024-08-13_5,31,,74.48728002,42.48186373,3216.523,
gl09_2024-08-13_5,32,,74.4873318,42.48188188,3214.139,
gl09_2024-08-13_5,33,,74.48738327,42.48190189,3212.168,
gl09_2024-08-13_5,34,,74.48742843,42.48191713,3207.967,
gl09_2024-08-13_5,35,,74.48748079,42.48193396,3205.286,
gl09_2024-08-13_5,36,,74.48754078,42.48194775,3204.369,
gl09_2024-08-13_5,37,,74.48759863,42.48196147,3204.279,
gl09_2024-08-13_5,38,,74.48765587,42.48197731,3203.862,
gl09_2024-08-13_5,39,,74.48770848,42.48199359,3203.224,
gl09_2024-08-13_5,40,,74.4877626,42.48200689,3203.165,
gl09_2024-08-13_5,41,,74.48781939,42.48202132,3202.432,
gl09_2024-08-13_5,42,,74.4878786,42.48203302,3202.705,
gl09_2024-08-13_5,43,,74.48793874,42.48205115,3201.622,
gl09_2024-08-13_5,44,,74.48799194,42.48207079,3200.935,
gl09_2024-08-13_5,45,,74.48804342,42.48208624,3199.922,
gl09_2024-08-13_5,46,,74.48809634,42.48210688,3199.504,
gl09_2024-08-13_5,47,,74.4881543,42.48212251,3199.451,
gl09_2024-08-13_5,48,,74.4882114,42.48215004,3198.745,
