profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
no457_01_2023-08-16_W5m,1,,72.80990244,37.41510466,4525.445,2023-08-16 05:59:59.0 UTC+02:00
no457_01_2023-08-16_W5m,2,,72.81089015,37.41442537,4515.956,2023-08-16 06:03:14.4 UTC+02:00
no457_01_2023-08-16_W5m,3,,72.81085026,37.41445567,4516.158,2023-08-16 06:04:04.0 UTC+02:00
no457_01_2023-08-16_W5m,4,,72.81076542,37.41451421,4516.374,2023-08-16 06:04:46.6 UTC+02:00
no457_01_2023-08-16_W5m,5,,72.81072258,37.4145425,4516.637,2023-08-16 06:05:42.6 UTC+02:00
no457_01_2023-08-16_W5m,6,,72.81067915,37.41457124,4516.824,2023-08-16 06:06:48.8 UTC+02:00
no457_01_2023-08-16_W5m,7,,72.81063779,37.41460088,4517.085,2023-08-16 06:07:24.4 UTC+02:00
no457_01_2023-08-16_W5m,8,,72.8105948,37.41463033,4517.479,2023-08-16 06:08:00.8 UTC+02:00
no457_01_2023-08-16_W5m,9,,72.81055193,37.41465894,4517.757,2023-08-16 06:08:42.4 UTC+02:00
no457_01_2023-08-16_W5m,10,,72.81050822,37.41468769,4518.168,2023-08-16 06:09:20.0 UTC+02:00
no457_01_2023-08-16_W5m,11,,72.81046475,37.41471594,4518.597,2023-08-16 06:09:56.4 UTC+02:00
no457_01_2023-08-16_W5m,12,,72.81042214,37.41474573,4518.972,2023-08-16 06:10:35.0 UTC+02:00
no457_01_2023-08-16_W5m,13,1,72.81037946,37.41477424,4519.249,2023-08-16 06:11:17.6 UTC+02:00
no457_01_2023-08-16_W5m,14,2,72.81033721,37.41480476,4519.628,2023-08-16 06:11:51.6 UTC+02:00
no457_01_2023-08-16_W5m,15,3,72.8102964,37.41483419,4519.939,2023-08-16 06:12:27.8 UTC+02:00
no457_01_2023-08-16_W5m,16,4,72.81025267,37.41486238,4520.559,2023-08-16 06:12:58.8 UTC+02:00
no457_01_2023-08-16_W5m,17,5,72.81020784,37.41489114,4521.095,2023-08-16 06:13:33.2 UTC+02:00
no457_01_2023-08-16_W5m,18,6,72.81016469,37.41492068,4521.412,2023-08-16 06:14:06.8 UTC+02:00
no457_01_2023-08-16_W5m,19,7,72.81012319,37.41494947,4521.877,2023-08-16 06:14:40.2 UTC+02:00
no457_01_2023-08-16_W5m,20,8,72.8100819,37.41497907,4522.793,2023-08-16 06:15:20.4 UTC+02:00
no457_01_2023-08-16_W5m,21,9,72.81003946,37.41500795,4523.197,2023-08-16 06:15:51.0 UTC+02:00
no457_01_2023-08-16_W5m,22,10,72.80999701,37.41503755,4523.78,2023-08-16 06:16:22.0 UTC+02:00
no457_01_2023-08-16_W5m,23,11,72.80995216,37.41506528,4524.401,2023-08-16 06:16:52.0 UTC+02:00
no457_01_2023-08-16_W5m,24,12,72.8099115,37.41509395,4525.369,2023-08-16 06:17:29.0 UTC+02:00
no457_01_2023-08-16_W5m,25,13,72.80986615,37.41512224,4525.99,2023-08-16 06:18:28.2 UTC+02:00
no457_01_2023-08-16_W5m,26,14,72.80982478,37.41515171,4526.717,2023-08-16 06:19:01.0 UTC+02:00
no457_01_2023-08-16_W5m,27,15,72.80978218,37.41518122,4527.107,2023-08-16 06:19:36.0 UTC+02:00
no457_01_2023-08-16_W5m,28,16,72.80973951,37.41521067,4527.628,2023-08-16 06:20:08.0 UTC+02:00
no457_01_2023-08-16_W5m,29,17,72.80969563,37.41523808,4528.239,2023-08-16 06:20:44.0 UTC+02:00
no457_01_2023-08-16_W5m,30,18,72.8096521,37.41526644,4528.756,2023-08-16 06:21:17.6 UTC+02:00
no457_01_2023-08-16_W5m,31,19,72.80960977,37.4152964,4529.443,2023-08-16 06:21:46.8 UTC+02:00
no457_01_2023-08-16_W5m,32,20,72.80956881,37.41532596,4529.93,2023-08-16 06:22:18.0 UTC+02:00
no457_01_2023-08-16_W5m,33,21,72.80952762,37.41535632,4530.513,2023-08-16 06:22:50.8 UTC+02:00
no457_01_2023-08-16_W5m,34,22,72.80948594,37.41538644,4531.057,2023-08-16 06:23:22.2 UTC+02:00
no457_01_2023-08-16_W5m,35,23,72.80944582,37.41541787,4531.636,2023-08-16 06:24:01.6 UTC+02:00
no457_01_2023-08-16_W5m,36,24,72.80940332,37.41544583,4532.244,2023-08-16 06:24:33.0 UTC+02:00
no457_01_2023-08-16_W5m,37,,72.80936081,37.41547577,4532.88,2023-08-16 06:25:06.0 UTC+02:00
no457_01_2023-08-16_W5m,38,,72.80931812,37.41550391,4533.563,2023-08-16 06:25:36.8 UTC+02:00
no457_01_2023-08-16_W5m,39,,72.80927709,37.41553493,4534.148,2023-08-16 06:26:08.8 UTC+02:00
no457_01_2023-08-16_W5m,40,,72.80923508,37.41556424,4534.862,2023-08-16 06:26:38.8 UTC+02:00
no457_01_2023-08-16_W5m,41,,72.80919365,37.41559282,4535.569,2023-08-16 06:27:09.8 UTC+02:00
no457_01_2023-08-16_W5m,42,,72.80915079,37.41562135,4536.235,2023-08-16 06:27:41.4 UTC+02:00
no457_01_2023-08-16_W5m,43,,72.80910841,37.41565094,4537.008,2023-08-16 06:28:18.2 UTC+02:00
no457_01_2023-08-16_W5m,44,,72.80906843,37.41568185,4537.707,2023-08-16 06:28:58.4 UTC+02:00
no457_01_2023-08-16_W5m,45,,72.80902689,37.41571158,4538.592,2023-08-16 06:29:31.6 UTC+02:00
no457_01_2023-08-16_W5m,46,,72.80898525,37.41574012,4539.474,2023-08-16 06:30:07.0 UTC+02:00
no457_01_2023-08-16_W5m,47,,72.80894393,37.41576975,4540.123,2023-08-16 06:30:39.2 UTC+02:00
no457_01_2023-08-16_W5m,48,,72.80890121,37.41579722,4540.768,2023-08-16 06:31:13.2 UTC+02:00
