Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,71.58205598,39.64950447,3854.89,0.013,0.012,0.012,0.018,2.134,m,FIX,2022-07-24 16:31:51.9 UTC+06:00,2022-07-24 16:31:57.9 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,55.854,Global CS
2,,,,,71.58209864,39.64953525,3854.882,0.111,0.101,0.062,0.15,2.134,m,FIX,2022-07-24 16:32:12.9 UTC+06:00,2022-07-24 16:32:17.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,50.808,Global CS
3,,,,,71.58209949,39.64953421,3854.839,0.011,0.011,0.011,0.015,2.134,m,FIX,2022-07-24 16:32:22.8 UTC+06:00,2022-07-24 16:32:27.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,50.878,Global CS
4,,,,,71.58214735,39.64956013,3854.818,0.011,0.01,0.011,0.015,2.134,m,FIX,2022-07-24 16:32:48.9 UTC+06:00,2022-07-24 16:32:53.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,45.885,Global CS
5,,,,,71.58219589,39.64958166,3854.809,0.014,0.011,0.014,0.018,2.134,m,FIX,2022-07-24 16:33:11.8 UTC+06:00,2022-07-24 16:33:17.8 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,41.172,Global CS
6,,,,,71.58224808,39.64960755,3854.817,0.011,0.01,0.017,0.015,2.134,m,FIX,2022-07-24 16:33:37.8 UTC+06:00,2022-07-24 16:33:42.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,35.925,Global CS
7,,,,,71.58230319,39.64962934,3854.806,0.013,0.012,0.011,0.018,2.134,m,FIX,2022-07-24 16:33:57.8 UTC+06:00,2022-07-24 16:34:02.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,30.856,Global CS
8,,,,,71.58235247,39.64964901,3854.853,0.011,0.012,0.011,0.016,2.134,m,FIX,2022-07-24 16:34:17.8 UTC+06:00,2022-07-24 16:34:23.8 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,26.396,Global CS
9,,,,,71.58240362,39.64967047,3854.856,0.011,0.01,0.013,0.015,2.134,m,FIX,2022-07-24 16:34:38.8 UTC+06:00,2022-07-24 16:34:43.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,21.8,Global CS
10,,,,,71.58245411,39.64969398,3854.905,0.011,0.011,0.011,0.016,2.134,m,FIX,2022-07-24 16:35:01.8 UTC+06:00,2022-07-24 16:35:06.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,17.261,Global CS
11,,,,,71.58250512,39.64971719,3854.984,0.012,0.013,0.015,0.018,2.134,m,FIX,2022-07-24 16:35:26.3 UTC+06:00,2022-07-24 16:35:31.8 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,13.134,Global CS
12,,,,,71.58255612,39.64973798,3854.996,0.013,0.014,0.015,0.019,2.134,m,FIX,2022-07-24 16:35:47.9 UTC+06:00,2022-07-24 16:35:53.9 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,10.189,Global CS
13,,,,,71.58260739,39.64976063,3855.055,0.012,0.012,0.013,0.017,2.134,m,FIX,2022-07-24 16:37:00.8 UTC+06:00,2022-07-24 16:37:05.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,9.014,Global CS
14,,,,,71.58265515,39.64978085,3855.176,0.011,0.011,0.012,0.015,2.134,m,FIX,2022-07-24 16:37:32.8 UTC+06:00,2022-07-24 16:37:38.8 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,10.395,Global CS
15,,,,,71.58270341,39.64980962,3855.193,0.012,0.011,0.012,0.016,2.134,m,FIX,2022-07-24 16:37:58.8 UTC+06:00,2022-07-24 16:38:03.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,13.194,Global CS
16,,,,,71.58275128,39.64983573,3855.525,0.012,0.011,0.013,0.016,2.134,m,FIX,2022-07-24 16:38:23.9 UTC+06:00,2022-07-24 16:38:29.9 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,17.163,Global CS
17,,,,,71.58279462,39.64986501,3855.383,0.2,0.128,0.054,0.237,2.134,m,FIX,2022-07-24 16:38:46.9 UTC+06:00,2022-07-24 16:38:51.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,21.669,Global CS
18,,,,,71.58283806,39.64989391,3855.221,0.011,0.011,0.011,0.016,2.134,m,FIX,2022-07-24 16:39:00.9 UTC+06:00,2022-07-24 16:39:05.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,25.592,Global CS
19,,,,,71.58288274,39.64992366,3855.328,0.012,0.011,0.012,0.017,2.134,m,FIX,2022-07-24 16:39:21.8 UTC+06:00,2022-07-24 16:39:26.9 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,30.265,Global CS
20,,,,,71.58292516,39.64995253,3856.578,0.01,0.011,0.011,0.015,2.134,m,FIX,2022-07-24 16:39:44.8 UTC+06:00,2022-07-24 16:39:49.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,34.923,Global CS
21,,,,,71.58296882,39.64998085,3857.462,0.012,0.012,0.011,0.017,2.134,m,FIX,2022-07-24 16:40:06.8 UTC+06:00,2022-07-24 16:40:11.8 UTC+06:00,6,1.4,,,,71.58255291,39.64982878,3855.731,39.708,Global CS
22,,,,,71.58301199,39.65000938,3858.524,0.01,0.012,0.011,0.016,2.134,m,FIX,2022-07-24 16:40:28.9 UTC+06:00,2022-07-24 16:40:34.9 UTC+06:00,7,1.4,,,,71.58255291,39.64982878,3855.731,44.508,Global CS
23,,,,,71.58305691,39.65003791,3859.652,0.012,0.012,0.01,0.017,2.134,m,FIX,2022-07-24 16:40:49.8 UTC+06:00,2022-07-24 16:40:54.9 UTC+06:00,6,1.5,,,,71.58255291,39.64982878,3855.731,49.491,Global CS
24,,,,,71.58309716,39.65006766,3860.308,0.012,0.013,0.015,0.018,2.134,m,FIX,2022-07-24 16:41:23.9 UTC+06:00,2022-07-24 16:41:28.9 UTC+06:00,6,1.5,,,,71.58255291,39.64982878,3855.731,54.165,Global CS
25,,,,,71.58313751,39.65009532,3861.019,0.01,0.011,0.011,0.015,2.134,m,FIX,2022-07-24 16:41:47.9 UTC+06:00,2022-07-24 16:41:53.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,58.761,Global CS
26,,,,,71.58319253,39.65013811,3861.839,0.011,0.011,0.011,0.015,2.134,m,FIX,2022-07-24 16:42:22.9 UTC+06:00,2022-07-24 16:42:28.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,65.312,Global CS
27,,,,,71.58323978,39.65016331,3861.73,0.011,0.011,0.011,0.016,2.134,m,FIX,2022-07-24 16:42:47.9 UTC+06:00,2022-07-24 16:42:53.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,70.189,Global CS
28,,,,,71.58328402,39.65019156,3862.493,0.011,0.011,0.011,0.015,2.134,m,FIX,2022-07-24 16:43:11.9 UTC+06:00,2022-07-24 16:43:17.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,75.139,Global CS
29,,,,,71.58332713,39.65022049,3863.137,0.011,0.012,0.01,0.016,2.134,m,FIX,2022-07-24 16:43:36.9 UTC+06:00,2022-07-24 16:43:41.9 UTC+06:00,6,1.5,,,,71.58255291,39.64982878,3855.731,80.037,Global CS
30,,,,,71.58336878,39.65024825,3863.678,0.01,0.012,0.013,0.016,2.134,m,FIX,2022-07-24 16:43:57.9 UTC+06:00,2022-07-24 16:44:03.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,84.753,Global CS
31,,,,,71.58341731,39.65027739,3863.512,0.012,0.011,0.014,0.016,2.134,m,FIX,2022-07-24 16:44:21.9 UTC+06:00,2022-07-24 16:44:26.9 UTC+06:00,6,1.5,,,,71.58255291,39.64982878,3855.731,89.967,Global CS
32,,,,,71.58345813,39.65030178,3862.611,0.011,0.012,0.014,0.016,2.134,m,FIX,2022-07-24 16:44:44.9 UTC+06:00,2022-07-24 16:44:50.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,94.267,Global CS
33,,,,,71.58345809,39.65030174,3862.605,0.012,0.011,0.015,0.016,2.134,m,FIX,2022-07-24 16:44:56.9 UTC+06:00,2022-07-24 16:45:02.9 UTC+06:00,7,1.5,,,,71.58255291,39.64982878,3855.731,94.266,Global CS
