Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
30,,,,,74.49048355,42.48105918,3191.947,0.015,0.014,0.011,0.020,1.934,m,FIX,2022-08-08 17:06:19.6 UTC+06:00,2022-08-08 17:06:25.6 UTC+06:00,7,1.5,,,,74.48979589,42.48000102,3213.017,131.906,Global CS
31,,,,,74.49052228,42.48109122,3191.722,0.012,0.011,0.011,0.016,1.934,m,FIX,2022-08-08 17:07:03.6 UTC+06:00,2022-08-08 17:07:09.6 UTC+06:00,7,2.2,,,,74.48979589,42.48000102,3213.017,136.485,Global CS
32,,,,,74.49055403,42.48112744,3190.622,0.011,0.010,0.011,0.015,1.934,m,FIX,2022-08-08 17:07:43.6 UTC+06:00,2022-08-08 17:07:49.6 UTC+06:00,7,1.4,,,,74.48979589,42.48000102,3213.017,141.352,Global CS
33,,,,,74.49059582,42.48116156,3188.925,0.011,0.011,0.015,0.015,1.934,m,FIX,2022-08-08 17:08:30.6 UTC+06:00,2022-08-08 17:08:35.6 UTC+06:00,6,1.5,,,,74.48979589,42.48000102,3213.017,146.487,Global CS
34,,,,,74.49061374,42.48120100,3187.821,0.010,0.011,0.011,0.015,1.934,m,FIX,2022-08-08 17:09:24.6 UTC+06:00,2022-08-08 17:09:29.6 UTC+06:00,6,1.4,,,,74.48979589,42.48000102,3213.017,151.177,Global CS
35,,,,,74.49065304,42.48123620,3187.012,0.011,0.011,0.011,0.015,1.934,m,FIX,2022-08-08 17:10:05.6 UTC+06:00,2022-08-08 17:10:11.6 UTC+06:00,7,2.0,,,,74.48979589,42.48000102,3213.017,156.188,Global CS
36,,,,,74.49068293,42.48128171,3186.971,0.010,0.012,0.011,0.015,1.934,m,FIX,2022-08-08 17:10:44.6 UTC+06:00,2022-08-08 17:10:49.6 UTC+06:00,6,1.9,,,,74.48979589,42.48000102,3213.017,161.749,Global CS
37,,,,,74.49071606,42.48130863,3186.895,0.011,0.010,0.011,0.015,1.934,m,FIX,2022-08-08 17:11:18.6 UTC+06:00,2022-08-08 17:11:23.6 UTC+06:00,6,1.9,,,,74.48979589,42.48000102,3213.017,165.633,Global CS
38,,,,,74.49075363,42.48134950,3186.233,0.011,0.016,0.011,0.019,1.934,m,FIX,2022-08-08 17:12:28.6 UTC+06:00,2022-08-08 17:12:33.6 UTC+06:00,6,1.6,,,,74.48979589,42.48000102,3213.017,171.132,Global CS
39,,,,,74.49079459,42.48137580,3185.937,0.014,0.011,0.011,0.017,1.934,m,FIX,2022-08-08 17:13:05.6 UTC+06:00,2022-08-08 17:13:11.6 UTC+06:00,7,1.6,,,,74.48979589,42.48000102,3213.017,175.292,Global CS
40,,,,,74.49082956,42.48142028,3185.416,0.010,0.011,0.018,0.015,1.934,m,FIX,2022-08-08 17:32:31.9 UTC+06:00,2022-08-08 17:32:37.9 UTC+06:00,7,1.7,,,,74.48979589,42.48000102,3213.017,181.019,Global CS
41,,,,,74.49086623,42.48145463,3184.731,0.010,0.011,0.013,0.015,1.934,m,FIX,2022-08-08 17:33:31.9 UTC+06:00,2022-08-08 17:33:37.9 UTC+06:00,7,1.6,,,,74.48979589,42.48000102,3213.017,185.867,Global CS
42,,,,,74.49087966,42.48148994,3184.247,0.010,0.011,0.013,0.015,1.934,m,FIX,2022-08-08 17:34:34.9 UTC+06:00,2022-08-08 17:34:40.0 UTC+06:00,6,1.7,,,,74.48979589,42.48000102,3213.017,189.869,Global CS
43,,,,,74.49093058,42.48152668,3183.650,0.015,0.011,0.017,0.019,1.934,m,FIX,2022-08-08 17:35:16.0 UTC+06:00,2022-08-08 17:35:22.0 UTC+06:00,7,4.9,,,,74.48979589,42.48000102,3213.017,195.495,Global CS
44,,,,,74.49095723,42.48156169,3182.962,0.010,0.010,0.014,0.015,1.934,m,FIX,2022-08-08 17:36:02.9 UTC+06:00,2022-08-08 17:36:08.0 UTC+06:00,6,1.7,,,,74.48979589,42.48000102,3213.017,200.006,Global CS
45,,,,,74.49099077,42.48161859,3177.252,0.821,0.386,0.752,0.907,1.934,m,SINGLE,2022-08-08 17:36:56.0 UTC+06:00,2022-08-08 17:37:01.9 UTC+06:00,7,1.5,,,,,,,,Global CS
46,,,,,74.49101130,42.48166433,3174.121,0.586,0.300,0.637,0.658,1.934,m,SINGLE,2022-08-08 17:37:31.9 UTC+06:00,2022-08-08 17:37:38.0 UTC+06:00,7,1.4,,,,,,,,Global CS
47,,,,,74.49103416,42.48168052,3173.359,0.550,0.300,0.656,0.627,1.934,m,SINGLE,2022-08-08 17:38:17.0 UTC+06:00,2022-08-08 17:38:22.9 UTC+06:00,7,1.5,,,,,,,,Global CS
48,,,,,74.49108471,42.48171693,3172.348,0.551,0.304,0.670,0.629,1.934,m,SINGLE,2022-08-08 17:38:57.0 UTC+06:00,2022-08-08 17:39:02.0 UTC+06:00,6,1.5,,,,,,,,Global CS
49,,,,,74.49112586,42.48175459,3171.611,0.569,0.301,0.688,0.643,1.934,m,SINGLE,2022-08-08 17:39:28.0 UTC+06:00,2022-08-08 17:39:34.0 UTC+06:00,7,1.5,,,,,,,,Global CS
50,,,,,74.49112953,42.48179167,3170.552,0.564,0.301,0.677,0.639,1.934,m,SINGLE,2022-08-08 17:40:14.0 UTC+06:00,2022-08-08 17:40:19.0 UTC+06:00,6,1.5,,,,,,,,Global CS
