Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,74.49808017,42.48280616,3176.814,0.695,0.395,1.001,0.799,2.134,m,SINGLE,2022-08-09 17:14:14.9 UTC+06:00,2022-08-09 17:14:24.9 UTC+06:00,11,1.2,,,,,,,,Global CS
2,,,,,74.49812273,42.48278593,3175.924,0.719,0.435,1.003,0.840,2.134,m,SINGLE,2022-08-09 17:14:38.9 UTC+06:00,2022-08-09 17:14:48.9 UTC+06:00,11,1.2,,,,,,,,Global CS
3,,,,,74.49817188,42.48275649,3176.623,0.706,0.412,1.002,0.817,2.134,m,SINGLE,2022-08-09 17:15:02.9 UTC+06:00,2022-08-09 17:15:12.9 UTC+06:00,11,1.2,,,,,,,,Global CS
4,,,,,74.49822524,42.48272637,3178.753,0.637,0.311,0.791,0.709,2.134,m,SINGLE,2022-08-09 17:15:40.9 UTC+06:00,2022-08-09 17:15:50.9 UTC+06:00,11,1.2,,,,,,,,Global CS
5,,,,,74.49827076,42.48270283,3179.971,0.619,0.333,0.666,0.702,2.134,m,SINGLE,2022-08-09 17:16:02.9 UTC+06:00,2022-08-09 17:16:12.9 UTC+06:00,11,1.2,,,,,,,,Global CS
6,,,,,74.49831931,42.48266882,3180.958,0.625,0.357,0.689,0.720,2.134,m,SINGLE,2022-08-09 17:16:25.9 UTC+06:00,2022-08-09 17:16:35.9 UTC+06:00,11,1.2,,,,,,,,Global CS
7,,,,,74.49837763,42.48264043,3181.196,0.623,0.308,0.632,0.695,2.134,m,SINGLE,2022-08-09 17:16:49.9 UTC+06:00,2022-08-09 17:16:59.9 UTC+06:00,11,1.2,,,,,,,,Global CS
8,,,,,74.49843356,42.48261542,3182.631,0.585,0.272,0.614,0.645,2.134,m,SINGLE,2022-08-09 17:17:10.9 UTC+06:00,2022-08-09 17:17:20.9 UTC+06:00,11,1.1,,,,,,,,Global CS
9,,,,,74.49848089,42.48259432,3183.463,0.581,0.305,0.743,0.656,2.134,m,SINGLE,2022-08-09 17:17:34.9 UTC+06:00,2022-08-09 17:17:44.9 UTC+06:00,11,1.2,,,,,,,,Global CS
10,,,,,74.49851804,42.48257631,3183.807,0.562,0.256,0.650,0.617,2.134,m,SINGLE,2022-08-09 17:17:55.9 UTC+06:00,2022-08-09 17:18:06.9 UTC+06:00,12,1.1,,,,,,,,Global CS
11,,,,,74.49855494,42.48255196,3185.731,0.598,0.310,0.612,0.674,2.134,m,SINGLE,2022-08-09 17:18:18.9 UTC+06:00,2022-08-09 17:18:28.9 UTC+06:00,11,1.2,,,,,,,,Global CS
12,,,,,74.49859424,42.48252222,3187.138,0.593,0.328,0.628,0.678,2.134,m,SINGLE,2022-08-09 17:18:40.9 UTC+06:00,2022-08-09 17:18:50.9 UTC+06:00,11,1.2,,,,,,,,Global CS
13,,,,,74.49863701,42.48250034,3188.777,0.663,0.298,0.722,0.727,2.134,m,SINGLE,2022-08-09 17:19:01.9 UTC+06:00,2022-08-09 17:19:11.9 UTC+06:00,11,1.1,,,,,,,,Global CS
14,,,,,74.49870278,42.48245734,3187.718,0.595,0.259,0.721,0.649,2.134,m,SINGLE,2022-08-09 17:19:38.9 UTC+06:00,2022-08-09 17:19:49.9 UTC+06:00,12,1.2,,,,,,,,Global CS
15,,,,,74.49874322,42.48243186,3189.677,0.586,0.288,0.608,0.653,2.134,m,SINGLE,2022-08-09 17:20:06.9 UTC+06:00,2022-08-09 17:20:17.9 UTC+06:00,12,1.1,,,,,,,,Global CS
16,,,,,74.49878197,42.48240091,3190.690,0.623,0.362,0.652,0.721,2.134,m,SINGLE,2022-08-09 17:20:29.9 UTC+06:00,2022-08-09 17:20:40.9 UTC+06:00,12,1.1,,,,,,,,Global CS
17,,,,,74.49882011,42.48237290,3191.308,0.588,0.299,0.642,0.660,2.134,m,SINGLE,2022-08-09 17:20:51.9 UTC+06:00,2022-08-09 17:21:02.9 UTC+06:00,12,1.1,,,,,,,,Global CS
18,,,,,74.49886846,42.48234313,3191.563,0.665,0.342,0.616,0.747,2.134,m,SINGLE,2022-08-09 17:21:14.9 UTC+06:00,2022-08-09 17:21:24.9 UTC+06:00,11,1.2,,,,,,,,Global CS
19,,,,,74.49891577,42.48230752,3192.832,0.628,0.371,0.630,0.729,2.134,m,SINGLE,2022-08-09 17:21:35.9 UTC+06:00,2022-08-09 17:21:45.9 UTC+06:00,11,1.1,,,,,,,,Global CS
20,,,,,74.49895248,42.48227861,3193.478,0.594,0.282,0.663,0.657,2.134,m,SINGLE,2022-08-09 17:21:56.9 UTC+06:00,2022-08-09 17:22:06.9 UTC+06:00,11,1.2,,,,,,,,Global CS
21,,,,,74.49899738,42.48225240,3193.470,0.651,0.302,0.653,0.718,2.134,m,SINGLE,2022-08-09 17:22:16.9 UTC+06:00,2022-08-09 17:22:26.9 UTC+06:00,11,1.1,,,,,,,,Global CS
22,,,,,74.49904234,42.48222819,3194.639,0.622,0.297,0.692,0.689,2.134,m,SINGLE,2022-08-09 17:22:38.9 UTC+06:00,2022-08-09 17:22:49.9 UTC+06:00,12,1.1,,,,,,,,Global CS
23,,,,,74.49908878,42.48219624,3193.793,0.630,0.325,0.659,0.709,2.134,m,SINGLE,2022-08-09 17:23:00.9 UTC+06:00,2022-08-09 17:23:11.9 UTC+06:00,12,1.1,,,,,,,,Global CS
24,,,,,74.49913505,42.48216448,3193.790,0.624,0.341,0.627,0.711,2.134,m,SINGLE,2022-08-09 17:23:25.9 UTC+06:00,2022-08-09 17:23:35.9 UTC+06:00,11,1.1,,,,,,,,Global CS
