Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,74.48990824,42.48877845,3021.208,0.563,0.429,1.302,0.708,2.134,m,SINGLE,2022-08-11 10:37:12.9 UTC+06:00,2022-08-11 10:37:22.9 UTC+06:00,11,1.5,,,,,,,,Global CS
2,,,,,74.48996278,42.48877411,3022.489,0.582,0.431,1.304,0.724,2.134,m,SINGLE,2022-08-11 10:37:44.9 UTC+06:00,2022-08-11 10:37:51.9 UTC+06:00,8,1.5,,,,,,,,Global CS
3,,,,,74.49002463,42.48876102,3025.109,0.514,0.381,1.162,0.640,2.134,m,SINGLE,2022-08-11 10:38:03.9 UTC+06:00,2022-08-11 10:38:12.0 UTC+06:00,9,1.5,,,,,,,,Global CS
4,,,,,74.49008448,42.48875735,3027.860,0.431,0.318,0.904,0.535,2.134,m,SINGLE,2022-08-11 10:38:30.9 UTC+06:00,2022-08-11 10:38:37.9 UTC+06:00,8,1.5,,,,,,,,Global CS
5,,,,,74.49014139,42.48874649,3029.766,0.365,0.289,0.771,0.466,2.134,m,SINGLE,2022-08-11 10:38:57.9 UTC+06:00,2022-08-11 10:39:05.9 UTC+06:00,9,1.5,,,,,,,,Global CS
6,,,,,74.49019836,42.48874303,3031.085,0.395,0.260,0.754,0.473,2.134,m,SINGLE,2022-08-11 10:39:19.9 UTC+06:00,2022-08-11 10:39:26.9 UTC+06:00,8,1.7,,,,,,,,Global CS
7,,,,,74.49025438,42.48873096,3032.597,0.369,0.266,0.770,0.455,2.134,m,SINGLE,2022-08-11 10:39:44.9 UTC+06:00,2022-08-11 10:39:52.9 UTC+06:00,9,1.7,,,,,,,,Global CS
8,,,,,74.49029960,42.48872320,3033.784,0.374,0.266,0.746,0.459,2.134,m,SINGLE,2022-08-11 10:40:06.0 UTC+06:00,2022-08-11 10:40:13.9 UTC+06:00,9,1.7,,,,,,,,Global CS
9,,,,,74.49035981,42.48871929,3034.738,0.390,0.311,0.856,0.499,2.134,m,SINGLE,2022-08-11 10:40:36.9 UTC+06:00,2022-08-11 10:40:43.9 UTC+06:00,8,1.7,,,,,,,,Global CS
10,,,,,74.49041133,42.48870650,3035.947,0.526,0.406,1.202,0.664,2.134,m,SINGLE,2022-08-11 10:41:12.0 UTC+06:00,2022-08-11 10:41:20.0 UTC+06:00,9,1.7,,,,,,,,Global CS
11,,,,,74.49046287,42.48869314,3036.497,0.561,0.433,1.301,0.709,2.134,m,SINGLE,2022-08-11 10:41:40.0 UTC+06:00,2022-08-11 10:41:47.0 UTC+06:00,8,1.7,,,,,,,,Global CS
12,,,,,74.49052115,42.48868449,3037.162,0.578,0.440,1.302,0.727,2.134,m,SINGLE,2022-08-11 10:42:01.0 UTC+06:00,2022-08-11 10:42:09.0 UTC+06:00,9,1.7,,,,,,,,Global CS
13,,,,,74.49058244,42.48867763,3038.081,0.575,0.442,1.301,0.725,2.134,m,SINGLE,2022-08-11 10:42:24.0 UTC+06:00,2022-08-11 10:42:32.0 UTC+06:00,9,1.7,,,,,,,,Global CS
14,,,,,74.49063398,42.48866994,3039.508,0.577,0.448,1.313,0.731,2.134,m,SINGLE,2022-08-11 10:42:46.0 UTC+06:00,2022-08-11 10:42:53.0 UTC+06:00,8,1.7,,,,,,,,Global CS
15,,,,,74.49069085,42.48866614,3041.697,0.578,0.451,1.310,0.733,2.134,m,SINGLE,2022-08-11 10:43:12.0 UTC+06:00,2022-08-11 10:43:20.0 UTC+06:00,9,1.7,,,,,,,,Global CS
16,,,,,74.49074363,42.48866191,3044.029,0.581,0.452,1.303,0.736,2.134,m,SINGLE,2022-08-11 10:43:34.0 UTC+06:00,2022-08-11 10:43:42.0 UTC+06:00,9,1.7,,,,,,,,Global CS
17,,,,,74.49079178,42.48865752,3045.569,0.576,0.449,1.311,0.731,2.134,m,SINGLE,2022-08-11 10:44:01.0 UTC+06:00,2022-08-11 10:44:09.0 UTC+06:00,9,1.7,,,,,,,,Global CS
18,,,,,74.49084918,42.48864988,3047.028,0.605,0.450,1.376,0.754,2.134,m,SINGLE,2022-08-11 10:44:24.0 UTC+06:00,2022-08-11 10:44:32.0 UTC+06:00,9,1.8,,,,,,,,Global CS
19,,,,,74.49091337,42.48864123,3048.924,0.648,0.439,1.364,0.782,2.134,m,SINGLE,2022-08-11 10:44:51.0 UTC+06:00,2022-08-11 10:44:59.0 UTC+06:00,9,1.8,,,,,,,,Global CS
20,,,,,74.49098146,42.48864190,3051.827,0.498,0.358,1.080,0.613,2.134,m,SINGLE,2022-08-11 10:45:15.0 UTC+06:00,2022-08-11 10:45:23.0 UTC+06:00,9,1.8,,,,,,,,Global CS
21,,,,,74.49103150,42.48863965,3054.969,0.430,0.312,0.907,0.532,2.134,m,SINGLE,2022-08-11 10:45:41.0 UTC+06:00,2022-08-11 10:45:48.0 UTC+06:00,8,1.8,,,,,,,,Global CS
22,,,,,74.49108298,42.48863368,3056.758,0.440,0.318,0.863,0.543,2.134,m,SINGLE,2022-08-11 10:46:07.0 UTC+06:00,2022-08-11 10:46:15.0 UTC+06:00,9,1.8,,,,,,,,Global CS
23,,,,,74.49113951,42.48863774,3057.778,0.430,0.292,0.818,0.520,2.134,m,SINGLE,2022-08-11 10:46:44.0 UTC+06:00,2022-08-11 10:46:52.0 UTC+06:00,9,1.8,,,,,,,,Global CS
24,,,,,74.49119987,42.48862782,3059.717,0.419,0.290,0.808,0.510,2.134,m,SINGLE,2022-08-11 10:47:07.0 UTC+06:00,2022-08-11 10:47:15.0 UTC+06:00,9,1.8,,,,,,,,Global CS
25,,,,,74.49125263,42.48862131,3061.934,0.364,0.267,0.725,0.451,2.134,m,SINGLE,2022-08-11 10:47:46.0 UTC+06:00,2022-08-11 10:47:54.0 UTC+06:00,9,1.8,,,,,,,,Global CS
26,,,,,74.49129335,42.48861716,3062.990,0.351,0.260,0.688,0.437,2.134,m,SINGLE,2022-08-11 10:48:19.0 UTC+06:00,2022-08-11 10:48:26.0 UTC+06:00,8,1.4,,,,,,,,Global CS
27,,,,,74.49134556,42.48862471,3064.520,0.360,0.264,0.638,0.447,2.134,m,SINGLE,2022-08-11 10:48:47.0 UTC+06:00,2022-08-11 10:48:54.0 UTC+06:00,8,1.4,,,,,,,,Global CS
28,,,,,74.49141068,42.48863808,3067.186,0.412,0.264,0.705,0.490,2.134,m,SINGLE,2022-08-11 10:49:18.0 UTC+06:00,2022-08-11 10:49:25.0 UTC+06:00,8,1.4,,,,,,,,Global CS
29,,,,,74.49147411,42.48863882,3068.549,0.384,0.237,0.646,0.452,2.134,m,SINGLE,2022-08-11 10:49:49.0 UTC+06:00,2022-08-11 10:49:57.0 UTC+06:00,9,1.4,,,,,,,,Global CS
30,,,,,74.49152560,42.48865094,3069.962,0.400,0.335,0.654,0.521,2.134,m,SINGLE,2022-08-11 10:50:19.0 UTC+06:00,2022-08-11 10:50:27.0 UTC+06:00,9,1.4,,,,,,,,Global CS
31,,,,,74.49157572,42.48866220,3071.847,0.438,0.304,0.662,0.533,2.134,m,SINGLE,2022-08-11 10:50:40.0 UTC+06:00,2022-08-11 10:50:48.0 UTC+06:00,9,1.4,,,,,,,,Global CS
32,,,,,74.49161806,42.48868813,3073.727,0.368,0.292,0.678,0.470,2.134,m,SINGLE,2022-08-11 10:51:17.0 UTC+06:00,2022-08-11 10:51:24.0 UTC+06:00,8,1.4,,,,,,,,Global CS
33,,,,,74.49167672,42.48869349,3075.119,0.355,0.257,0.680,0.438,2.134,m,SINGLE,2022-08-11 10:51:52.0 UTC+06:00,2022-08-11 10:51:59.0 UTC+06:00,8,1.4,,,,,,,,Global CS
34,,,,,74.49174249,42.48869818,3076.469,0.333,0.239,0.638,0.410,2.134,m,SINGLE,2022-08-11 10:52:25.0 UTC+06:00,2022-08-11 10:52:33.0 UTC+06:00,9,1.4,,,,,,,,Global CS
35,,,,,74.49178686,42.48870293,3077.519,0.400,0.260,0.642,0.477,2.134,m,SINGLE,2022-08-11 10:52:52.0 UTC+06:00,2022-08-11 10:53:00.0 UTC+06:00,9,1.4,,,,,,,,Global CS
36,,,,,74.49183641,42.48871412,3078.574,0.437,0.300,0.661,0.530,2.134,m,SINGLE,2022-08-11 10:53:13.0 UTC+06:00,2022-08-11 10:53:21.0 UTC+06:00,9,1.5,,,,,,,,Global CS
37,,,,,74.49189401,42.48873172,3078.660,0.437,0.256,0.676,0.507,2.134,m,SINGLE,2022-08-11 10:53:42.0 UTC+06:00,2022-08-11 10:53:50.0 UTC+06:00,9,1.5,,,,,,,,Global CS
38,,,,,74.49195767,42.48874242,3080.812,0.408,0.280,0.771,0.495,2.134,m,SINGLE,2022-08-11 10:54:12.0 UTC+06:00,2022-08-11 10:54:20.0 UTC+06:00,9,1.7,,,,,,,,Global CS
39,,,,,74.49200192,42.48875577,3082.043,0.414,0.282,0.784,0.501,2.134,m,SINGLE,2022-08-11 10:54:37.0 UTC+06:00,2022-08-11 10:54:44.0 UTC+06:00,8,1.7,,,,,,,,Global CS
40,,,,,74.49204599,42.48876320,3083.186,0.426,0.286,0.789,0.513,2.134,m,SINGLE,2022-08-11 10:55:08.0 UTC+06:00,2022-08-11 10:55:16.0 UTC+06:00,9,1.7,,,,,,,,Global CS
41,,,,,74.49210255,42.48878525,3084.628,0.465,0.312,0.791,0.560,2.134,m,SINGLE,2022-08-11 10:55:36.0 UTC+06:00,2022-08-11 10:55:44.0 UTC+06:00,9,1.7,,,,,,,,Global CS
42,,,,,74.49216840,42.48878406,3086.016,0.412,0.291,0.797,0.504,2.134,m,SINGLE,2022-08-11 10:56:03.0 UTC+06:00,2022-08-11 10:56:10.0 UTC+06:00,8,1.7,,,,,,,,Global CS
43,,,,,74.49221563,42.48879558,3085.577,0.416,0.322,0.809,0.526,2.134,m,SINGLE,2022-08-11 10:57:19.0 UTC+06:00,2022-08-11 10:57:27.0 UTC+06:00,9,1.8,,,,,,,,Global CS
44,,,,,74.49226145,42.48879546,3087.265,0.420,0.320,0.811,0.528,2.134,m,SINGLE,2022-08-11 10:57:49.0 UTC+06:00,2022-08-11 10:57:56.0 UTC+06:00,8,1.8,,,,,,,,Global CS
45,,,,,74.49229842,42.48879863,3088.169,0.532,0.420,1.030,0.678,2.134,m,SINGLE,2022-08-11 10:58:14.0 UTC+06:00,2022-08-11 10:58:22.0 UTC+06:00,9,1.9,,,,,,,,Global CS
46,,,,,74.49235312,42.48880166,3089.512,0.753,0.695,1.614,1.025,2.134,m,SINGLE,2022-08-11 10:58:53.0 UTC+06:00,2022-08-11 10:59:00.0 UTC+06:00,8,1.9,,,,,,,,Global CS
47,,,,,74.49240738,42.48881842,3090.573,0.826,0.866,1.996,1.197,2.134,m,SINGLE,2022-08-11 10:59:28.0 UTC+06:00,2022-08-11 10:59:36.0 UTC+06:00,9,2.0,,,,,,,,Global CS
48,,,,,74.49247855,42.48883906,3088.331,0.902,0.971,2.253,1.325,2.134,m,SINGLE,2022-08-11 11:00:31.0 UTC+06:00,2022-08-11 11:00:53.0 UTC+06:00,23,2.1,,,,,,,,Global CS
