Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;E48;;;;;73.44203212;39.2034259;4231.147;Global;0.014;0.016;0.011;0.021;1.134;m;FIX;2023-08-07 06:41:50.4 UTC+02:00;2023-08-07 06:42:00.4 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;117.445;Global CS
E2;;;;;;73.44205608;39.20338507;4231.048;Global;0.013;0.011;0.01;0.018;1.134;m;FIX;2023-08-07 06:42:10.6 UTC+02:00;2023-08-07 06:42:20.6 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;112.459;Global CS
E3;;;;;;73.44208085;39.20334495;4230.985;Global;0.014;0.013;0.01;0.019;1.134;m;FIX;2023-08-07 06:42:31.4 UTC+02:00;2023-08-07 06:42:41.4 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;107.53;Global CS
E4;;;;;;73.44210458;39.20330315;4230.952;Global;0.023;0.019;0.011;0.03;1.134;m;FIX;2023-08-07 06:42:51.2 UTC+02:00;2023-08-07 06:43:01.2 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;102.439;Global CS
E5;;;;;;73.4421295;39.20326285;4231.445;Global;0.013;0.012;0.011;0.018;1.134;m;FIX;2023-08-07 06:43:15.0 UTC+02:00;2023-08-07 06:43:25.0 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;97.484;Global CS
E6;;;;;;73.44215317;39.20322296;4232.081;Global;0.011;0.021;0.011;0.024;1.134;m;FIX;2023-08-07 06:43:35.8 UTC+02:00;2023-08-07 06:43:45.8 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;92.595;Global CS
E7;;;;;;73.44217492;39.20318114;4232.589;Global;0.014;0.014;0.011;0.02;1.134;m;FIX;2023-08-07 06:43:57.6 UTC+02:00;2023-08-07 06:44:07.6 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;87.588;Global CS
E8;;;;;;73.44220059;39.20314142;4232.765;Global;0.012;0.013;0.011;0.017;1.134;m;FIX;2023-08-07 06:44:24.4 UTC+02:00;2023-08-07 06:44:34.4 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;82.671;Global CS
E9;;;;;;73.44222199;39.20309903;4232.727;Global;0.023;0.018;0.013;0.029;1.134;m;FIX;2023-08-07 06:44:47.6 UTC+02:00;2023-08-07 06:44:57.6 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;77.63;Global CS
E10;;;;;;73.44224506;39.20305865;4232.769;Global;0.011;0.011;0.011;0.015;1.134;m;FIX;2023-08-07 06:45:11.2 UTC+02:00;2023-08-07 06:45:21.2 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;72.7;Global CS
E11;;;;;;73.4422685;39.20301722;4232.65;Global;0.011;0.014;0.011;0.018;1.134;m;FIX;2023-08-07 06:45:31.4 UTC+02:00;2023-08-07 06:45:41.4 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;67.683;Global CS
E12;;;;;;73.44229251;39.20297634;4232.725;Global;0.011;0.012;0.011;0.016;1.134;m;FIX;2023-08-07 06:45:53.0 UTC+02:00;2023-08-07 06:46:03.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;62.69;Global CS
E13;;;;;;73.44231629;39.20293506;4232.898;Global;0.012;0.014;0.011;0.018;1.134;m;FIX;2023-08-07 06:46:13.0 UTC+02:00;2023-08-07 06:46:23.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;57.678;Global CS
E14;;;;;;73.44234019;39.20289463;4233.041;Global;0.02;0.018;0.011;0.027;1.134;m;FIX;2023-08-07 06:46:33.0 UTC+02:00;2023-08-07 06:46:43.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;52.727;Global CS
E15;;;;;;73.44236369;39.20285382;4233.344;Global;0.014;0.013;0.011;0.019;1.134;m;FIX;2023-08-07 06:46:52.4 UTC+02:00;2023-08-07 06:47:02.4 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;47.79;Global CS
E16;;;;;;73.44238728;39.20281284;4233.934;Global;0.015;0.011;0.011;0.019;1.134;m;FIX;2023-08-07 06:47:12.6 UTC+02:00;2023-08-07 06:47:22.6 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;42.848;Global CS
E17;;;;;;73.44240918;39.20277136;4234.336;Global;0.012;0.012;0.011;0.017;1.134;m;FIX;2023-08-07 06:47:33.4 UTC+02:00;2023-08-07 06:47:43.4 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;37.877;Global CS
E18;;;;;;73.44243196;39.20273011;4234.228;Global;0.014;0.011;0.011;0.018;1.134;m;FIX;2023-08-07 06:47:57.8 UTC+02:00;2023-08-07 06:48:07.8 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;32.899;Global CS
E19;;;;;;73.44245493;39.20268802;4234.278;Global;0.013;0.018;0.01;0.022;1.134;m;FIX;2023-08-07 06:48:18.4 UTC+02:00;2023-08-07 06:48:28.4 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;27.866;Global CS
E20;;;;;;73.44247676;39.20264729;4234.078;Global;0.013;0.024;0.011;0.027;1.134;m;FIX;2023-08-07 06:48:38.4 UTC+02:00;2023-08-07 06:48:48.4 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;22.971;Global CS
