Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
E1,,,,2022-08-17,78.06445637,41.81630402,3533.206,0.452,0.309,0.640,0.548,2.134,m,SINGLE,2022-08-17 11:18:27.0 UTC+06:00,2022-08-17 11:18:42.0 UTC+06:00,16,1.0,,,,,,,,Global CS
E2,,,,2022-08-17,78.06455566,41.81626701,3537.063,0.385,0.240,0.673,0.454,2.134,m,SINGLE,2022-08-17 11:19:16.0 UTC+06:00,2022-08-17 11:19:32.0 UTC+06:00,17,1.0,,,,,,,,Global CS
E3,,,,2022-08-17,78.06458510,41.81626008,3534.913,0.291,0.227,0.534,0.369,2.134,m,SINGLE,2022-08-17 11:20:47.0 UTC+06:00,2022-08-17 11:21:03.0 UTC+06:00,17,1.0,,,,,,,,Global CS
E4,,,,2022-08-17,78.06462727,41.81624217,3534.405,0.354,0.269,0.618,0.445,2.134,m,SINGLE,2022-08-17 11:21:21.0 UTC+06:00,2022-08-17 11:21:38.0 UTC+06:00,18,0.9,,,,,,,,Global CS
E5,,,,2022-08-17,78.06469012,41.81621968,3534.662,0.285,0.242,0.548,0.374,2.134,m,SINGLE,2022-08-17 11:21:57.0 UTC+06:00,2022-08-17 11:22:10.0 UTC+06:00,14,1.0,,,,,,,,Global CS
E6,,,,2022-08-17,78.06473811,41.81620065,3535.698,0.288,0.249,0.539,0.380,2.134,m,SINGLE,2022-08-17 11:22:45.0 UTC+06:00,2022-08-17 11:22:59.0 UTC+06:00,15,0.9,,,,,,,,Global CS
E7,,,,2022-08-17,78.06479204,41.81617281,3536.068,0.294,0.224,0.538,0.370,2.134,m,SINGLE,2022-08-17 11:23:24.1 UTC+06:00,2022-08-17 11:23:37.0 UTC+06:00,14,0.9,,,,,,,,Global CS
E8,,,,2022-08-17,78.06483716,41.81614693,3536.397,0.296,0.242,0.592,0.383,2.134,m,SINGLE,2022-08-17 11:24:04.0 UTC+06:00,2022-08-17 11:24:18.1 UTC+06:00,15,0.9,,,,,,,,Global CS
E9,,,,2022-08-17,78.06488314,41.81612546,3535.996,0.294,0.303,0.898,0.422,2.134,m,SINGLE,2022-08-17 11:24:44.0 UTC+06:00,2022-08-17 11:25:00.1 UTC+06:00,17,1.0,,,,,,,,Global CS
E10,,,,2022-08-17,78.06493964,41.81609789,3535.806,0.323,0.249,0.617,0.408,2.134,m,SINGLE,2022-08-17 11:25:33.0 UTC+06:00,2022-08-17 11:25:47.0 UTC+06:00,15,1.0,,,,,,,,Global CS
E11,,,,2022-08-17,78.06498459,41.81607312,3536.835,0.365,0.263,0.588,0.450,2.134,m,SINGLE,2022-08-17 11:26:09.0 UTC+06:00,2022-08-17 11:26:22.1 UTC+06:00,14,1.0,,,,,,,,Global CS
