Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
G1;;;;;78.0653715;41.81584229;3524.558;1.891;1.932;1.918;2.703;2.134;m;SINGLE;2022-08-17 13:44:51.9 UTC+06:00;2022-08-17 13:45:06.9 UTC+06:00;16;1.3;;;;;;;;Global CS
G2;;;;;78.06528038;41.81591253;3532.786;0.761;0.678;1.227;1.019;2.134;m;SINGLE;2022-08-17 13:45:31.9 UTC+06:00;2022-08-17 13:45:46.9 UTC+06:00;16;1.3;;;;;;;;Global CS
G3;;;;;78.06530495;41.81591151;3536.811;0.446;0.289;0.754;0.532;2.134;m;SINGLE;2022-08-17 13:46:18.9 UTC+06:00;2022-08-17 13:46:33.9 UTC+06:00;16;1.2;;;;;;;;Global CS
G4;;;;;78.06534654;41.81588402;3536.72;0.386;0.351;0.659;0.522;2.134;m;SINGLE;2022-08-17 13:47:23.9 UTC+06:00;2022-08-17 13:47:36.9 UTC+06:00;14;1.2;;;;;;;;Global CS
G5;;;;;78.06536706;41.81587687;3540.882;0.312;0.23;0.603;0.388;2.134;m;SINGLE;2022-08-17 13:48:00.9 UTC+06:00;2022-08-17 13:48:13.9 UTC+06:00;14;1.1;;;;;;;;Global CS
G6;;;;;78.06538887;41.81585448;3541.932;0.333;0.254;0.602;0.419;2.134;m;SINGLE;2022-08-17 13:48:42.9 UTC+06:00;2022-08-17 13:48:56.9 UTC+06:00;15;1.1;;;;;;;;Global CS
G7;;;;;78.06541894;41.81583778;3541.63;0.331;0.248;0.598;0.413;2.134;m;SINGLE;2022-08-17 13:49:16.9 UTC+06:00;2022-08-17 13:49:30.9 UTC+06:00;15;1.1;;;;;;;;Global CS
G8;;;;;78.06545599;41.81581706;3542.027;0.331;0.248;0.602;0.414;2.134;m;SINGLE;2022-08-17 13:49:52.9 UTC+06:00;2022-08-17 13:50:06.9 UTC+06:00;15;1.1;;;;;;;;Global CS
G9;;;;;78.06548334;41.8158044;3542.038;0.34;0.261;0.597;0.429;2.134;m;SINGLE;2022-08-17 13:50:23.9 UTC+06:00;2022-08-17 13:50:37.9 UTC+06:00;15;1.1;;;;;;;;Global CS
G10;;;;;78.06551542;41.81578815;3542.254;0.351;0.251;0.595;0.432;2.134;m;SINGLE;2022-08-17 13:50:55.9 UTC+06:00;2022-08-17 13:51:10.9 UTC+06:00;16;1.1;;;;;;;;Global CS
G11;;;;;78.06554972;41.81577762;3541.987;0.334;0.242;0.594;0.412;2.134;m;SINGLE;2022-08-17 13:51:25.9 UTC+06:00;2022-08-17 13:51:40.9 UTC+06:00;16;1.1;;;;;;;;Global CS
G12;;;;;78.06557658;41.81576164;3542.264;0.398;0.308;0.647;0.503;2.134;m;SINGLE;2022-08-17 13:51:51.9 UTC+06:00;2022-08-17 13:52:05.9 UTC+06:00;15;1.1;;;;;;;;Global CS
G13;;;;;78.06560578;41.81574543;3542.739;0.361;0.256;0.685;0.442;2.134;m;SINGLE;2022-08-17 13:52:19.9 UTC+06:00;2022-08-17 13:52:35.9 UTC+06:00;17;1.1;;;;;;;;Global CS
G14;;;;;78.06563359;41.8157313;3541.558;0.356;0.286;0.61;0.457;2.134;m;SINGLE;2022-08-17 13:52:51.9 UTC+06:00;2022-08-17 13:53:06.9 UTC+06:00;16;1.1;;;;;;;;Global CS
G15;;;;;78.06567166;41.81571973;3542.2;0.375;0.249;0.65;0.451;2.134;m;SINGLE;2022-08-17 13:53:24.9 UTC+06:00;2022-08-17 13:53:38.9 UTC+06:00;15;1.1;;;;;;;;Global CS
G16;;;;;78.06570523;41.81570605;3541.537;0.37;0.257;0.683;0.45;2.134;m;SINGLE;2022-08-17 13:54:00.9 UTC+06:00;2022-08-17 13:54:12.9 UTC+06:00;13;1.2;;;;;;;;Global CS
G17;;;;;78.06572921;41.8156925;3541.421;0.332;0.26;0.627;0.422;2.134;m;SINGLE;2022-08-17 13:54:33.9 UTC+06:00;2022-08-17 13:54:46.9 UTC+06:00;14;1.2;;;;;;;;Global CS
G18;;;;;78.06575766;41.81568121;3541.549;0.341;0.263;0.618;0.43;2.134;m;SINGLE;2022-08-17 13:55:04.9 UTC+06:00;2022-08-17 13:55:18.9 UTC+06:00;15;1.2;;;;;;;;Global CS
G19;;;;;78.06579476;41.81566192;3542.095;0.324;0.257;0.618;0.414;2.134;m;SINGLE;2022-08-17 13:55:39.9 UTC+06:00;2022-08-17 13:55:50.9 UTC+06:00;12;1.2;;;;;;;;Global CS
G20;;;;;78.06582211;41.81564732;3542.447;0.315;0.231;0.587;0.391;2.134;m;SINGLE;2022-08-17 13:56:09.9 UTC+06:00;2022-08-17 13:56:22.9 UTC+06:00;14;1.2;;;;;;;;Global CS
G21;;;;;78.06584664;41.81563411;3542.382;0.33;0.265;0.611;0.424;2.134;m;SINGLE;2022-08-17 13:56:44.9 UTC+06:00;2022-08-17 13:56:55.9 UTC+06:00;12;1.2;;;;;;;;Global CS
G22;;;;;78.06588194;41.81561654;3542.004;0.349;0.263;0.611;0.437;2.134;m;SINGLE;2022-08-17 13:57:10.9 UTC+06:00;2022-08-17 13:57:21.9 UTC+06:00;12;1.2;;;;;;;;Global CS
G23;;;;;78.06591153;41.8155995;3542.346;0.344;0.241;0.644;0.42;2.134;m;SINGLE;2022-08-17 13:57:42.9 UTC+06:00;2022-08-17 13:57:55.9 UTC+06:00;14;1.2;;;;;;;;Global CS
G24;;;;;78.06593489;41.8155849;3542.278;0.315;0.231;0.591;0.391;2.134;m;SINGLE;2022-08-17 13:58:17.9 UTC+06:00;2022-08-17 13:58:31.9 UTC+06:00;15;1.2;;;;;;;;Global CS
