Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
E1,,,,,78.06783899,41.81460007,3536.244,0.282,0.235,0.661,0.367,2.134,m,SINGLE,2022-08-17 15:21:01.8 UTC+06:00,2022-08-17 15:21:23.8 UTC+06:00,23,1.0,,,,,,,,Global CS
E2,,,,,78.06789270,41.81457049,3536.266,0.407,0.286,0.629,0.498,2.134,m,SINGLE,2022-08-17 15:21:35.9 UTC+06:00,2022-08-17 15:21:58.8 UTC+06:00,24,1.0,,,,,,,,Global CS
E3,,,,,78.06794734,41.81455319,3536.478,0.491,0.363,0.853,0.611,2.134,m,SINGLE,2022-08-17 15:22:09.8 UTC+06:00,2022-08-17 15:22:32.8 UTC+06:00,24,1.0,,,,,,,,Global CS
E4,,,,,78.06800560,41.81453148,3536.152,0.543,0.407,0.947,0.678,2.134,m,SINGLE,2022-08-17 15:22:43.8 UTC+06:00,2022-08-17 15:23:05.8 UTC+06:00,23,1.0,,,,,,,,Global CS
E5,,,,,78.06805164,41.81450311,3535.809,0.381,0.450,0.784,0.589,2.134,m,SINGLE,2022-08-17 15:23:15.8 UTC+06:00,2022-08-17 15:23:32.8 UTC+06:00,18,1.0,,,,,,,,Global CS
E6,,,,,78.06807874,41.81447843,3536.244,0.331,0.230,0.597,0.403,2.134,m,SINGLE,2022-08-17 15:23:43.9 UTC+06:00,2022-08-17 15:24:00.8 UTC+06:00,18,1.0,,,,,,,,Global CS
E7,,,,,78.06812563,41.81445627,3535.974,0.452,0.240,0.572,0.511,2.134,m,SINGLE,2022-08-17 15:24:10.8 UTC+06:00,2022-08-17 15:24:29.8 UTC+06:00,20,1.0,,,,,,,,Global CS
E8,,,,,78.06817350,41.81443382,3535.861,0.307,0.229,0.589,0.383,2.134,m,SINGLE,2022-08-17 15:24:41.9 UTC+06:00,2022-08-17 15:24:58.8 UTC+06:00,18,1.0,,,,,,,,Global CS
E9,,,,,78.06821740,41.81441229,3535.916,0.532,0.360,0.592,0.642,2.134,m,SINGLE,2022-08-17 15:25:07.8 UTC+06:00,2022-08-17 15:25:27.8 UTC+06:00,21,1.0,,,,,,,,Global CS
E10,,,,,78.06827563,41.81438217,3536.297,0.345,0.242,0.560,0.421,2.134,m,SINGLE,2022-08-17 15:25:39.8 UTC+06:00,2022-08-17 15:25:55.8 UTC+06:00,17,1.0,,,,,,,,Global CS
E11,,,,,78.06831451,41.81436306,3536.002,0.369,0.262,0.645,0.452,2.134,m,SINGLE,2022-08-17 15:26:05.9 UTC+06:00,2022-08-17 15:26:21.8 UTC+06:00,17,1.0,,,,,,,,Global CS
E12,,,,,78.06836420,41.81433853,3536.658,0.450,0.271,0.591,0.525,2.134,m,SINGLE,2022-08-17 15:26:30.8 UTC+06:00,2022-08-17 15:26:43.8 UTC+06:00,14,1.0,,,,,,,,Global CS
E13,,,,,78.06841800,41.81431130,3536.894,0.491,0.340,0.575,0.598,2.134,m,SINGLE,2022-08-17 15:26:52.8 UTC+06:00,2022-08-17 15:27:11.9 UTC+06:00,20,1.0,,,,,,,,Global CS
E14,,,,,78.06847574,41.81428236,3537.003,0.482,0.350,0.607,0.596,2.134,m,SINGLE,2022-08-17 15:27:20.8 UTC+06:00,2022-08-17 15:27:34.8 UTC+06:00,15,1.0,,,,,,,,Global CS
E15,,,,,78.06854605,41.81425152,3536.123,1.020,0.382,0.941,1.089,2.134,m,SINGLE,2022-08-17 15:27:46.8 UTC+06:00,2022-08-17 15:28:01.8 UTC+06:00,16,1.0,,,,,,,,Global CS
E16,,,,,78.06864837,41.81422078,3536.578,0.693,0.393,0.577,0.796,2.134,m,SINGLE,2022-08-17 15:28:10.8 UTC+06:00,2022-08-17 15:28:32.9 UTC+06:00,23,1.0,,,,,,,,Global CS
E17,,,,,78.06869450,41.81419543,3537.228,0.398,0.251,0.553,0.471,2.134,m,SINGLE,2022-08-17 15:28:42.8 UTC+06:00,2022-08-17 15:28:58.9 UTC+06:00,17,1.0,,,,,,,,Global CS
E18,,,,,78.06874245,41.81417553,3536.619,0.447,0.245,0.593,0.510,2.134,m,SINGLE,2022-08-17 15:29:06.8 UTC+06:00,2022-08-17 15:29:22.9 UTC+06:00,17,1.0,,,,,,,,Global CS
E19,,,,,78.06880355,41.81414774,3535.969,0.448,0.346,0.585,0.566,2.134,m,SINGLE,2022-08-17 15:29:30.9 UTC+06:00,2022-08-17 15:29:52.9 UTC+06:00,23,1.0,,,,,,,,Global CS
E20,,,,,78.06884700,41.81412553,3536.352,0.427,0.229,0.549,0.484,2.134,m,SINGLE,2022-08-17 15:30:00.9 UTC+06:00,2022-08-17 15:30:22.9 UTC+06:00,23,1.0,,,,,,,,Global CS
E21,,,,,78.06890221,41.81410000,3535.908,0.488,0.380,0.555,0.618,2.134,m,SINGLE,2022-08-17 15:30:30.9 UTC+06:00,2022-08-17 15:30:47.9 UTC+06:00,18,1.0,,,,,,,,Global CS
E22,,,,,78.06895416,41.81407481,3535.457,0.319,0.229,0.587,0.393,2.134,m,SINGLE,2022-08-17 15:30:58.9 UTC+06:00,2022-08-17 15:31:20.9 UTC+06:00,23,1.0,,,,,,,,Global CS
E23,,,,,78.06901015,41.81405068,3534.277,0.396,0.262,0.605,0.475,2.134,m,SINGLE,2022-08-17 15:31:29.9 UTC+06:00,2022-08-17 15:31:45.9 UTC+06:00,17,1.0,,,,,,,,Global CS
E24,,,,,78.06905400,41.81402846,3534.712,0.310,0.231,0.575,0.386,2.134,m,SINGLE,2022-08-17 15:31:55.9 UTC+06:00,2022-08-17 15:32:14.9 UTC+06:00,20,1.0,,,,,,,,Global CS
E25,,,,,78.06910899,41.81400937,3535.212,0.305,0.219,0.530,0.375,2.134,m,SINGLE,2022-08-17 15:32:49.9 UTC+06:00,2022-08-17 15:33:03.9 UTC+06:00,15,1.0,,,,,,,,Global CS
E26,,,,,78.06915784,41.81398366,3534.914,0.280,0.205,0.509,0.347,2.134,m,SINGLE,2022-08-17 15:33:48.9 UTC+06:00,2022-08-17 15:34:04.9 UTC+06:00,17,1.0,,,,,,,,Global CS
E27,,,,,78.06921011,41.81396096,3534.113,0.292,0.211,0.523,0.360,2.134,m,SINGLE,2022-08-17 15:34:27.9 UTC+06:00,2022-08-17 15:34:46.9 UTC+06:00,20,1.0,,,,,,,,Global CS
E28,,,,,78.06925715,41.81393806,3532.749,0.306,0.261,0.601,0.402,2.134,m,SINGLE,2022-08-17 15:35:08.9 UTC+06:00,2022-08-17 15:35:20.9 UTC+06:00,13,1.0,,,,,,,,Global CS
E29,,,,,78.06931868,41.81390716,3533.766,0.293,0.221,0.495,0.367,2.134,m,SINGLE,2022-08-17 15:35:40.9 UTC+06:00,2022-08-17 15:35:55.9 UTC+06:00,16,1.0,,,,,,,,Global CS
E30,,,,,78.06935706,41.81388642,3533.086,0.309,0.224,0.548,0.382,2.134,m,SINGLE,2022-08-17 15:36:20.9 UTC+06:00,2022-08-17 15:36:34.9 UTC+06:00,15,1.0,,,,,,,,Global CS
