Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
E1,,,,,78.08411022,41.80058723,3539.937,0.627,0.593,1.149,0.863,2.134,m,SINGLE,2022-08-19 10:56:27.9 UTC+06:00,2022-08-19 10:56:38.9 UTC+06:00,12,1.1,,,,,,,,Global CS
E2,,,,,78.08414953,41.80058386,3539.067,0.602,0.591,1.189,0.843,2.134,m,SINGLE,2022-08-19 10:56:51.9 UTC+06:00,2022-08-19 10:57:02.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E3,,,,,78.08421193,41.80057504,3537.201,0.394,0.309,0.628,0.501,2.134,m,SINGLE,2022-08-19 10:57:16.9 UTC+06:00,2022-08-19 10:57:26.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E4,,,,,78.08426772,41.80055591,3537.122,0.427,0.303,0.584,0.523,2.134,m,SINGLE,2022-08-19 10:57:44.9 UTC+06:00,2022-08-19 10:57:54.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E5,,,,,78.08433125,41.80052939,3538.481,0.449,0.388,0.787,0.594,2.134,m,SINGLE,2022-08-19 10:58:09.9 UTC+06:00,2022-08-19 10:58:19.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E6,,,,,78.08439186,41.80050313,3540.296,0.483,0.429,0.881,0.646,2.134,m,SINGLE,2022-08-19 10:58:32.9 UTC+06:00,2022-08-19 10:58:43.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E7,,,,,78.08443819,41.80048057,3540.719,0.499,0.434,0.934,0.661,2.134,m,SINGLE,2022-08-19 10:58:56.9 UTC+06:00,2022-08-19 10:59:07.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E8,,,,,78.08448614,41.80046144,3540.724,0.415,0.334,0.803,0.533,2.134,m,SINGLE,2022-08-19 10:59:21.9 UTC+06:00,2022-08-19 10:59:31.9 UTC+06:00,11,1.1,,,,,,,,Global CS
E9,,,,,78.08453134,41.80044776,3540.312,0.317,0.268,0.631,0.415,2.134,m,SINGLE,2022-08-19 10:59:44.9 UTC+06:00,2022-08-19 10:59:55.9 UTC+06:00,12,1.1,,,,,,,,Global CS
E10,,,,,78.08457750,41.80043034,3540.923,0.316,0.249,0.591,0.402,2.134,m,SINGLE,2022-08-19 11:00:08.9 UTC+06:00,2022-08-19 11:00:18.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E11,,,,,78.08463421,41.80041471,3541.463,0.331,0.218,0.524,0.396,2.134,m,SINGLE,2022-08-19 11:00:32.9 UTC+06:00,2022-08-19 11:00:42.9 UTC+06:00,11,1.1,,,,,,,,Global CS
E12,,,,,78.08469851,41.80038857,3542.056,0.352,0.263,0.536,0.439,2.134,m,SINGLE,2022-08-19 11:00:55.9 UTC+06:00,2022-08-19 11:01:05.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E13,,,,,78.08474944,41.80036762,3542.492,0.302,0.231,0.544,0.380,2.134,m,SINGLE,2022-08-19 11:01:16.9 UTC+06:00,2022-08-19 11:01:27.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E14,,,,,78.08479220,41.80034860,3542.638,0.277,0.221,0.552,0.355,2.134,m,SINGLE,2022-08-19 11:01:40.9 UTC+06:00,2022-08-19 11:01:51.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E15,,,,,78.08483933,41.80033172,3542.907,0.320,0.237,0.566,0.398,2.134,m,SINGLE,2022-08-19 11:02:04.9 UTC+06:00,2022-08-19 11:02:14.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E16,,,,,78.08490325,41.80030938,3542.678,0.407,0.293,0.551,0.501,2.134,m,SINGLE,2022-08-19 11:02:26.9 UTC+06:00,2022-08-19 11:02:36.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E17,,,,,78.08496351,41.80028548,3543.657,0.338,0.259,0.515,0.425,2.134,m,SINGLE,2022-08-19 11:02:48.9 UTC+06:00,2022-08-19 11:02:58.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E18,,,,,78.08501486,41.80026288,3544.763,0.331,0.225,0.538,0.400,2.134,m,SINGLE,2022-08-19 11:03:10.9 UTC+06:00,2022-08-19 11:03:21.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E19,,,,,78.08506283,41.80024315,3545.030,0.297,0.222,0.561,0.371,2.134,m,SINGLE,2022-08-19 11:03:35.9 UTC+06:00,2022-08-19 11:03:46.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E20,,,,,78.08510876,41.80022661,3544.674,0.312,0.211,0.519,0.377,2.134,m,SINGLE,2022-08-19 11:04:01.9 UTC+06:00,2022-08-19 11:04:11.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E21,,,,,78.08517323,41.80020454,3545.472,0.354,0.239,0.539,0.427,2.134,m,SINGLE,2022-08-19 11:04:24.9 UTC+06:00,2022-08-19 11:04:35.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E22,,,,,78.08523215,41.80018311,3547.264,0.401,0.244,0.636,0.470,2.134,m,SINGLE,2022-08-19 11:04:53.9 UTC+06:00,2022-08-19 11:05:04.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E23,,,,,78.08529159,41.80016824,3547.008,0.354,0.239,0.686,0.427,2.134,m,SINGLE,2022-08-19 11:05:16.9 UTC+06:00,2022-08-19 11:05:26.9 UTC+06:00,11,1.1,,,,,,,,Global CS
E24,,,,,78.08534176,41.80015472,3546.474,0.285,0.225,0.540,0.363,2.134,m,SINGLE,2022-08-19 11:05:38.9 UTC+06:00,2022-08-19 11:05:49.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E25,,,,,78.08538816,41.80013145,3546.960,0.304,0.245,0.537,0.391,2.134,m,SINGLE,2022-08-19 11:06:05.9 UTC+06:00,2022-08-19 11:06:16.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E26,,,,,78.08543242,41.80011374,3546.874,0.289,0.228,0.528,0.368,2.134,m,SINGLE,2022-08-19 11:06:30.0 UTC+06:00,2022-08-19 11:06:40.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E27,,,,,78.08548424,41.80009688,3547.833,0.349,0.219,0.517,0.412,2.134,m,SINGLE,2022-08-19 11:06:53.9 UTC+06:00,2022-08-19 11:07:04.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E28,,,,,78.08555028,41.80007640,3547.491,0.406,0.245,0.489,0.474,2.134,m,SINGLE,2022-08-19 11:07:16.9 UTC+06:00,2022-08-19 11:07:27.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E29,,,,,78.08560419,41.80004826,3546.593,0.295,0.238,0.543,0.379,2.134,m,SINGLE,2022-08-19 11:08:42.9 UTC+06:00,2022-08-19 11:08:52.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E30,,,,,78.08564935,41.80003363,3547.580,0.277,0.229,0.535,0.359,2.134,m,SINGLE,2022-08-19 11:09:06.0 UTC+06:00,2022-08-19 11:09:16.9 UTC+06:00,12,1.1,,,,,,,,Global CS
E31,,,,,78.08569652,41.80001829,3547.618,0.321,0.224,0.539,0.391,2.134,m,SINGLE,2022-08-19 11:09:28.9 UTC+06:00,2022-08-19 11:09:38.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E32,,,,,78.08576348,41.79999458,3547.576,0.455,0.250,0.516,0.520,2.134,m,SINGLE,2022-08-19 11:09:49.9 UTC+06:00,2022-08-19 11:10:00.0 UTC+06:00,11,1.1,,,,,,,,Global CS
E33,,,,,78.08582195,41.79997146,3547.704,0.290,0.221,0.553,0.365,2.134,m,SINGLE,2022-08-19 11:10:12.9 UTC+06:00,2022-08-19 11:10:24.0 UTC+06:00,12,1.0,,,,,,,,Global CS
E34,,,,,78.08587020,41.79995434,3547.617,0.270,0.211,0.516,0.343,2.134,m,SINGLE,2022-08-19 11:10:36.9 UTC+06:00,2022-08-19 11:10:46.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E35,,,,,78.08591466,41.79993685,3548.063,0.298,0.214,0.515,0.367,2.134,m,SINGLE,2022-08-19 11:10:58.9 UTC+06:00,2022-08-19 11:11:09.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E36,,,,,78.08597800,41.79991105,3548.836,0.366,0.284,0.549,0.463,2.134,m,SINGLE,2022-08-19 11:11:20.9 UTC+06:00,2022-08-19 11:11:30.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E37,,,,,78.08601900,41.79988575,3549.523,0.309,0.298,0.740,0.430,2.134,m,SINGLE,2022-08-19 11:11:51.9 UTC+06:00,2022-08-19 11:12:01.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E38,,,,,78.08606406,41.79987410,3548.750,0.436,0.240,0.767,0.498,2.134,m,SINGLE,2022-08-19 11:12:12.9 UTC+06:00,2022-08-19 11:12:24.0 UTC+06:00,12,1.0,,,,,,,,Global CS
E39,,,,,78.08612968,41.79985556,3547.850,0.372,0.256,0.663,0.452,2.134,m,SINGLE,2022-08-19 11:12:36.0 UTC+06:00,2022-08-19 11:12:46.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E40,,,,,78.08619172,41.79983231,3547.906,0.441,0.251,0.537,0.508,2.134,m,SINGLE,2022-08-19 11:12:56.9 UTC+06:00,2022-08-19 11:13:07.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E41,,,,,78.08624595,41.79980609,3549.394,0.323,0.252,0.561,0.410,2.134,m,SINGLE,2022-08-19 11:13:20.9 UTC+06:00,2022-08-19 11:13:30.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E42,,,,,78.08629485,41.79978733,3549.606,0.320,0.234,0.562,0.397,2.134,m,SINGLE,2022-08-19 11:13:42.9 UTC+06:00,2022-08-19 11:13:52.9 UTC+06:00,11,1.0,,,,,,,,Global CS
E43,,,,,78.08634691,41.79977129,3549.427,0.299,0.233,0.641,0.379,2.134,m,SINGLE,2022-08-19 11:14:04.9 UTC+06:00,2022-08-19 11:14:15.9 UTC+06:00,12,1.1,,,,,,,,Global CS
E44,,,,,78.08639245,41.79975442,3549.347,0.304,0.229,0.521,0.380,2.134,m,SINGLE,2022-08-19 11:14:27.9 UTC+06:00,2022-08-19 11:14:38.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E45,,,,,78.08644187,41.79973293,3550.766,0.339,0.307,0.558,0.457,2.134,m,SINGLE,2022-08-19 11:14:50.9 UTC+06:00,2022-08-19 11:15:01.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E46,,,,,78.08649272,41.79970629,3551.818,0.390,0.249,0.554,0.463,2.134,m,SINGLE,2022-08-19 11:15:13.9 UTC+06:00,2022-08-19 11:15:24.0 UTC+06:00,11,1.0,,,,,,,,Global CS
E47,,,,,78.08654685,41.79968603,3552.357,0.402,0.258,0.569,0.478,2.134,m,SINGLE,2022-08-19 11:15:36.0 UTC+06:00,2022-08-19 11:15:46.9 UTC+06:00,12,1.0,,,,,,,,Global CS
E48,,,,,78.08661774,41.79966482,3551.907,0.522,0.257,0.724,0.582,2.134,m,SINGLE,2022-08-19 11:15:58.9 UTC+06:00,2022-08-19 11:16:08.9 UTC+06:00,11,1.0,,,,,,,,Global CS
