Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;;;;;77.74919655;41.80124635;3848.845;0.272;0.268;0.566;0.382;2.134;m;SINGLE;2022-08-20 13:15:19.8 UTC+06:00;2022-08-20 13:15:29.8 UTC+06:00;11;1.3;;;;;;;;Global CS
E2;;;;;77.74916842;41.80128188;3848.987;0.361;0.442;0.583;0.571;2.134;m;SINGLE;2022-08-20 13:15:54.8 UTC+06:00;2022-08-20 13:16:04.8 UTC+06:00;11;1.2;;;;;;;;Global CS
E3;;;;;77.74913535;41.80131672;3847.342;0.355;0.268;0.625;0.445;2.134;m;SINGLE;2022-08-20 13:16:14.8 UTC+06:00;2022-08-20 13:16:25.8 UTC+06:00;12;1.2;;;;;;;;Global CS
E4;;;;;77.74909426;41.80135816;3847.388;0.319;0.332;0.589;0.46;2.134;m;SINGLE;2022-08-20 13:16:53.8 UTC+06:00;2022-08-20 13:17:04.8 UTC+06:00;12;1.2;;;;;;;;Global CS
E5;;;;;77.74907995;41.80138886;3847.361;0.337;0.281;0.582;0.439;2.134;m;SINGLE;2022-08-20 13:17:33.8 UTC+06:00;2022-08-20 13:17:43.8 UTC+06:00;11;1.2;;;;;;;;Global CS
E6;;;;;77.74904742;41.80143047;3847.979;0.35;0.447;0.602;0.568;2.134;m;SINGLE;2022-08-20 13:17:56.8 UTC+06:00;2022-08-20 13:18:07.8 UTC+06:00;12;1.2;;;;;;;;Global CS
E7;;;;;77.74902072;41.80146886;3847.943;0.342;0.373;0.603;0.506;2.134;m;SINGLE;2022-08-20 13:18:17.8 UTC+06:00;2022-08-20 13:18:28.8 UTC+06:00;12;1.2;;;;;;;;Global CS
E8;;;;;77.74899844;41.80150976;3848.041;0.37;0.326;0.686;0.493;2.134;m;SINGLE;2022-08-20 13:18:39.8 UTC+06:00;2022-08-20 13:18:49.8 UTC+06:00;11;1.2;;;;;;;;Global CS
E9;;;;;77.74897374;41.80155358;3847.241;0.531;0.484;1.086;0.718;2.134;m;SINGLE;2022-08-20 13:19:09.8 UTC+06:00;2022-08-20 13:19:19.8 UTC+06:00;11;1.2;;;;;;;;Global CS
E10;;;;;77.74894789;41.80159702;3847.898;0.595;0.548;1.278;0.809;2.134;m;SINGLE;2022-08-20 13:19:45.9 UTC+06:00;2022-08-20 13:19:56.8 UTC+06:00;12;1.1;;;;;;;;Global CS
E11;;;;;77.74892246;41.80163647;3849.337;0.614;0.554;1.307;0.827;2.134;m;SINGLE;2022-08-20 13:20:15.8 UTC+06:00;2022-08-20 13:20:26.9 UTC+06:00;12;1.1;;;;;;;;Global CS
E12;;;;;77.74890255;41.80168085;3850.223;0.627;0.588;1.302;0.86;2.134;m;SINGLE;2022-08-20 13:20:43.9 UTC+06:00;2022-08-20 13:20:53.9 UTC+06:00;11;1.2;;;;;;;;Global CS
E13;;;;;77.74887809;41.80172995;3849.669;0.611;0.604;1.234;0.86;2.134;m;SINGLE;2022-08-20 13:21:09.9 UTC+06:00;2022-08-20 13:21:19.9 UTC+06:00;11;1.5;;;;;;;;Global CS
E14;;;;;77.74888523;41.80176693;3852.215;0.484;0.352;1.052;0.599;2.134;m;SINGLE;2022-08-20 13:21:31.9 UTC+06:00;2022-08-20 13:21:41.9 UTC+06:00;11;1.3;;;;;;;;Global CS
E15;;;;;77.74886484;41.8018052;3854.22;0.432;0.311;0.755;0.532;2.134;m;SINGLE;2022-08-20 13:21:54.9 UTC+06:00;2022-08-20 13:22:04.9 UTC+06:00;11;1.3;;;;;;;;Global CS
E16;G1;RST;;;77.74881329;41.8018302;3854.199;0.73;0.295;0.997;0.787;2.134;m;SINGLE;2022-08-20 13:22:16.9 UTC+06:00;2022-08-20 13:22:26.9 UTC+06:00;11;1.3;;;;;;;;Global CS
E17;G2;;;;77.74877581;41.80185866;3857.357;0.43;0.281;0.893;0.514;2.134;m;SINGLE;2022-08-20 13:22:39.9 UTC+06:00;2022-08-20 13:22:49.9 UTC+06:00;11;1.3;;;;;;;;Global CS
E18;G3;;;;77.74873228;41.80189896;3860.492;0.417;0.336;0.75;0.535;2.134;m;SINGLE;2022-08-20 13:23:02.9 UTC+06:00;2022-08-20 13:23:12.9 UTC+06:00;11;1.2;;;;;;;;Global CS
E19;G4;;;;77.74872319;41.8019425;3857.751;0.349;0.38;0.686;0.516;2.134;m;SINGLE;2022-08-20 13:23:25.9 UTC+06:00;2022-08-20 13:23:35.9 UTC+06:00;11;1.1;;;;;;;;Global CS
