Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,729298.405,4632001.965,3813.104,3pr._1,77.76025767,41.80673425,3813.104,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:18:20.0 UTC+06:00,2024-08-19 08:18:20.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,791.339,,WGS 84 / UTM zone 43N,7,7,5,0,0
2,,729297.046,4632006.69,3812.721,3pr._2,77.76024316,41.80677715,3812.721,Global,0.012,0.01,0.021,0.016,1.934,m,FIX,2024-08-19 08:18:31.9 UTC+06:00,2024-08-19 08:18:31.9 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,791.414,,WGS 84 / UTM zone 43N,7,7,5,0,0
3,,729295.573,4632011.413,3812.471,3pr._3,77.76022727,41.80682007,3812.471,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2024-08-19 08:18:39.0 UTC+06:00,2024-08-19 08:18:39.0 UTC+06:00,1,1.4,1.6,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,791.408,,WGS 84 / UTM zone 43N,7,7,5,0,0
4,,729294.215,4632016.201,3812.2,3pr._4,77.76021279,41.80686354,3812.2,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:18:48.0 UTC+06:00,2024-08-19 08:18:48.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,791.562,,WGS 84 / UTM zone 43N,7,7,5,0,0
5,,729292.759,4632021.081,3811.911,3pr._5,77.76019717,41.80690786,3811.911,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:18:56.0 UTC+06:00,2024-08-19 08:18:56.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,791.684,,WGS 84 / UTM zone 43N,7,7,5,0,0
6,,729291.317,4632025.771,3811.595,3pr._6,77.76018164,41.80695047,3811.595,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2024-08-19 08:19:06.0 UTC+06:00,2024-08-19 08:19:06.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,791.791,,WGS 84 / UTM zone 43N,7,0,0,0,0
7,,729289.945,4632030.493,3811.132,3pr._7,77.76016697,41.80699336,3811.132,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2024-08-19 08:19:14.0 UTC+06:00,2024-08-19 08:19:14.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,792.008,,WGS 84 / UTM zone 43N,7,0,0,0,0
8,,729288.492,4632035.236,3810.888,3pr._8,77.76015133,41.80703644,3810.888,Global,0.013,0.01,0.019,0.016,1.934,m,FIX,2024-08-19 08:19:22.0 UTC+06:00,2024-08-19 08:19:22.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,792.183,,WGS 84 / UTM zone 43N,7,0,0,0,0
9,,729287.097,4632040.044,3810.841,3pr._9,77.76013642,41.8070801,3810.841,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:19:30.0 UTC+06:00,2024-08-19 08:19:30.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,792.463,,WGS 84 / UTM zone 43N,7,7,5,0,0
10,,729285.639,4632044.879,3810.88,3pr._10,77.76012075,41.80712402,3810.88,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:19:40.0 UTC+06:00,2024-08-19 08:19:40.0 UTC+06:00,1,1.2,1.4,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,792.722,,WGS 84 / UTM zone 43N,7,7,5,0,0
11,,729284.112,4632049.614,3810.402,3pr._11,77.76010422,41.80716706,3810.402,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:19:48.0 UTC+06:00,2024-08-19 08:19:48.0 UTC+06:00,1,1.4,1.6,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,792.923,,WGS 84 / UTM zone 43N,7,7,5,0,0
12,,729282.726,4632054.363,3809.702,3pr._12,77.76008939,41.80721018,3809.702,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:19:56.0 UTC+06:00,2024-08-19 08:19:56.0 UTC+06:00,1,1.4,1.6,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,793.295,,WGS 84 / UTM zone 43N,7,7,6,0,0
13,,729281.394,4632059.153,3809.365,3pr._13,77.76007522,41.80725367,3809.365,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:20:05.0 UTC+06:00,2024-08-19 08:20:05.0 UTC+06:00,1,1.4,1.6,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,793.757,,WGS 84 / UTM zone 43N,7,7,6,0,0
14,,729279.967,4632063.88,3809.016,3pr._14,77.76005989,41.8072966,3809.016,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:20:13.0 UTC+06:00,2024-08-19 08:20:13.0 UTC+06:00,1,1.3,1.5,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,794.139,,WGS 84 / UTM zone 43N,7,7,6,0,0
15,,729278.489,4632068.707,3808.635,3pr._15,77.76004398,41.80734045,3808.635,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:20:21.0 UTC+06:00,2024-08-19 08:20:21.0 UTC+06:00,1,1.3,1.5,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,794.542,,WGS 84 / UTM zone 43N,7,7,6,0,0
16,,729277.001,4632073.491,3808.478,3pr._16,77.76002794,41.80738392,3808.478,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-19 08:20:29.0 UTC+06:00,2024-08-19 08:20:29.0 UTC+06:00,1,1.3,1.5,728540.676,4631774.945,3824.264,77.75105896,41.80491059,3824.264,794.947,,WGS 84 / UTM zone 43N,7,7,6,0,0
