Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
1;;;;;71.58106337;39.64949657;3852.129;0.013;0.013;0.01;0.018;2.134;m;FIX;2022-07-24 14:42:28.0 UTC+06:00;2022-07-24 14:42:34.0 UTC+06:00;7;1;;;;71.58104311;39.64925064;3854.582;27.382;Global CS
2;;;;;71.58110346;39.6494659;3852.23;0.013;0.019;0.011;0.023;2.134;m;FIX;2022-07-24 14:42:46.0 UTC+06:00;2022-07-24 14:42:51.0 UTC+06:00;6;1;;;;71.58104311;39.64925064;3854.582;24.479;Global CS
3;;;;;71.58114954;39.64944055;3852.384;0.011;0.011;0.011;0.016;2.134;m;FIX;2022-07-24 14:43:05.0 UTC+06:00;2022-07-24 14:43:11.0 UTC+06:00;7;1;;;;71.58104311;39.64925064;3854.582;22.996;Global CS
4;;;;;71.5811953;39.64941227;3852.52;0.011;0.011;0.011;0.015;2.134;m;FIX;2022-07-24 14:43:26.0 UTC+06:00;2022-07-24 14:43:31.0 UTC+06:00;6;1;;;;71.58104311;39.64925064;3854.582;22.211;Global CS
5;;;;;71.58123883;39.64938447;3852.73;0.013;0.014;0.012;0.019;2.134;m;FIX;2022-07-24 14:43:45.0 UTC+06:00;2022-07-24 14:43:51.0 UTC+06:00;7;1;;;;71.58104311;39.64925064;3854.582;22.435;Global CS
6;;;;;71.58128221;39.64935272;3853.095;0.01;0.016;0.011;0.019;2.134;m;FIX;2022-07-24 14:44:08.0 UTC+06:00;2022-07-24 14:44:13.0 UTC+06:00;6;1;;;;71.58104311;39.64925064;3854.582;23.459;Global CS
7;;;;;71.58132554;39.64932334;3853.375;0.012;0.013;0.01;0.017;2.134;m;FIX;2022-07-24 14:44:29.0 UTC+06:00;2022-07-24 14:44:34.0 UTC+06:00;6;1;;;;71.58104311;39.64925064;3854.582;25.592;Global CS
8;;;;;71.58137108;39.64929772;3853.596;0.012;0.011;0.011;0.016;2.134;m;FIX;2022-07-24 14:44:49.0 UTC+06:00;2022-07-24 14:44:54.0 UTC+06:00;6;1;;;;71.58104311;39.64925064;3854.582;28.671;Global CS
9;;;;;71.58141675;39.64926846;3854.002;0.011;0.013;0.011;0.017;2.134;m;FIX;2022-07-24 14:45:10.0 UTC+06:00;2022-07-24 14:45:15.0 UTC+06:00;6;1;;;;71.58104311;39.64925064;3854.582;32.19;Global CS
10;;;;;71.58145999;39.64923955;3854.641;0.011;0.011;0.01;0.016;2.134;m;FIX;2022-07-24 14:45:36.0 UTC+06:00;2022-07-24 14:45:42.0 UTC+06:00;7;1.1;;;;71.58104311;39.64925064;3854.582;35.888;Global CS
