ORIG_FID,Shape_Length,Latitude,Longitude,Ellipsoidal height
1,0.002168382,39.64963027,71.57916108,3891
2,0.002168382,39.64968603,71.57918141,3890.8
3,0.002168382,39.6497418,71.57920173,3890.7
4,0.002168382,39.64979756,71.57922206,3890.5
5,0.002168382,39.64985333,71.57924239,3890.3
6,0.002168382,39.64990909,71.57926272,3890.2
7,0.002168382,39.64996486,71.57928305,3890.1
8,0.002168382,39.65002062,71.57930338,3890.1
9,0.002168382,39.65007639,71.5793237,3890.1
10,0.002168382,39.65013215,71.57934403,3890
11,0.002168382,39.65018792,71.57936436,3890
12,0.002168382,39.65024368,71.57938469,3889.9
13,0.002168382,39.65029945,71.57940502,3889.8
14,0.002168382,39.65035521,71.57942534,3889.8
15,0.002168382,39.65041098,71.57944567,3889.8
16,0.002168382,39.65046674,71.579466,3889.8
17,0.002168382,39.65052251,71.57948633,3889.8
18,0.002168382,39.65057827,71.57950666,3889.7
19,0.002168382,39.65063404,71.57952699,3889.6
20,0.002168382,39.6506898,71.57954731,3889.5
21,0.002168382,39.65074557,71.57956764,3889.4
22,0.002168382,39.65080133,71.57958797,3889.3
23,0.002168382,39.6508571,71.5796083,3889.1
24,0.002168382,39.65091286,71.57962863,3889
25,0.002168382,39.65096863,71.57964895,3888.9
26,0.002168382,39.65102439,71.57966928,3888.9
27,0.002168382,39.65108016,71.57968961,3888.9
28,0.002168382,39.65113592,71.57970994,3888.8
29,0.002168382,39.65119169,71.57973027,3888.7
30,0.002168382,39.65124745,71.57975059,3888.8
31,0.002168382,39.65130322,71.57977092,3888.9
32,0.002168382,39.65135898,71.57979125,3888.9
33,0.002168382,39.65141475,71.57981158,3888.9
34,0.002168382,39.65147051,71.57983191,3888.9
35,0.002168382,39.65152628,71.57985224,3888.9
36,0.002168382,39.65158204,71.57987256,3889
37,0,39.64957425,71.57914032,3889.1
38,0,39.65161168,71.57988351,3889.2
39,0,39.65155333,71.57986098,3889.3
40,0,39.65149701,71.57984358,3889.3
41,0,39.65138951,71.57981081,3889.3
42,0,39.65127333,71.57976085,3889.3
43,0,39.65121304,71.57973923,3889.4
44,0,39.6504353,71.57945452,3889.5
45,0,39.6504957,71.57947807,3889.6
46,0,39.65026534,71.57939821,3889.6
47,0,39.64971036,71.57918837,3889.6
48,0,39.64988283,71.57926335,3889.6
