ORIG_FID,Shape_Length,Longitude,Latitude,Ellipsoidal height
1,0.002265111,71.57234772,39.64791063,3774
2,0.002265111,71.5723144,39.64786151,3775.1
3,0.002265111,71.57228107,39.64781239,3775.9
4,0.002265111,71.57224775,39.64776328,3775.8
5,0.002265111,71.57221442,39.64771416,3775.8
6,0.002265111,71.57218109,39.64766505,3775.3
7,0.002265111,71.57214777,39.64761593,3776
8,0.002265111,71.57211444,39.64756681,3776.5
9,0.002265111,71.57208112,39.6475177,3777.6
10,0.002265111,71.57204779,39.64746858,3777.3
11,0.002265111,71.57201447,39.64741947,3777.7
12,0.002265111,71.57198114,39.64737035,3778.6
13,0.002265111,71.57194782,39.64732123,3779.9
14,0.002265111,71.57191449,39.64727212,3780.5
15,0.002265111,71.57188117,39.647223,3781.5
16,0.002265111,71.57184784,39.64717389,3782.3
17,0.002265111,71.57181452,39.64712477,3783.1
18,0.002265111,71.57178119,39.64707565,3784.1
19,0.002265111,71.57174787,39.64702654,3785.2
20,0.002265111,71.57171454,39.64697742,3786.2
21,0.002265111,71.57168121,39.64692831,3786.6
22,0.002265111,71.57164789,39.64687919,3786.8
23,0.002265111,71.57161456,39.64683007,3787.5
24,0.002265111,71.57158124,39.64678096,3788.4
25,0.002265111,71.57154791,39.64673184,3789
26,0.002265111,71.57151459,39.64668273,3790
27,0.002265111,71.57148126,39.64663361,3791
28,0.002265111,71.57144794,39.64658449,3792.3
29,0.002265111,71.57141461,39.64653538,3793.5
30,0.002265111,71.57138129,39.64648626,3794.3
31,0.002265111,71.57134796,39.64643715,3795.2
32,0.002265111,71.57131464,39.64638803,3795.7
33,0.002265111,71.57128131,39.64633891,3796.5
34,0.002265111,71.57124798,39.6462898,3797.2
35,0.002265111,71.57121466,39.64624068,3798.4
36,0.002265111,71.57118133,39.64619157,3798.8
37,0.002265111,71.57114801,39.64614245,3800
38,0.002265111,71.57111468,39.64609333,3801.4
39,0.002265111,71.57108136,39.64604422,3803.5
40,0.002265111,71.57107595,39.64603624,3804.4
41,0,71.57230258,39.64783553,3805
42,0,71.57223005,39.64773819,3806.4
43,0,71.57203347,39.64743855,3807.7
44,0,71.57105163,39.64600378,3809
45,0,71.57236079,39.64793024,3809.1
46,0,71.57196293,39.64733609,3809.6
47,0,71.5713644,39.64646029,3809.7
48,0,71.57139494,39.64651281,3809.2
