Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,71.58231108,39.65175486,3864.187,0.011,0.012,0.011,0.016,2.134,m,FIX,2022-07-26 11:34:33.1 UTC+06:00,2022-07-26 11:34:39.1 UTC+06:00,7,1.5,,,,71.58390014,39.65183881,3870.069,136.837,Global CS
2,,,,,71.58236852,39.65175892,3864.427,0.012,0.01,0.011,0.016,2.134,m,FIX,2022-07-26 11:35:02.1 UTC+06:00,2022-07-26 11:35:07.1 UTC+06:00,6,1.5,,,,71.58390014,39.65183881,3870.069,131.877,Global CS
3,,,,,71.58242481,39.65176578,3865.014,0.012,0.011,0.011,0.016,2.134,m,FIX,2022-07-26 11:35:25.2 UTC+06:00,2022-07-26 11:35:31.1 UTC+06:00,7,1.5,,,,71.58390014,39.65183881,3870.069,126.994,Global CS
4,,,,,71.58248217,39.65177111,3865.709,0.011,0.015,0.011,0.018,2.134,m,FIX,2022-07-26 11:35:54.1 UTC+06:00,2022-07-26 11:35:59.1 UTC+06:00,6,1.5,,,,71.58390014,39.65183881,3870.069,122.018,Global CS
5,,,,,71.58253849,39.65177701,3866.369,0.01,0.011,0.01,0.015,2.134,m,FIX,2022-07-26 11:36:19.1 UTC+06:00,2022-07-26 11:36:25.2 UTC+06:00,7,1.5,,,,71.58390014,39.65183881,3870.069,117.148,Global CS
6,,,,,71.58259683,39.65178218,3866.712,0.01,0.011,0.011,0.015,2.134,m,FIX,2022-07-26 11:36:42.1 UTC+06:00,2022-07-26 11:36:47.2 UTC+06:00,6,1.5,,,,71.58390014,39.65183881,3870.069,112.107,Global CS
7,,,,,71.58265425,39.65178763,3867.038,0.01,0.011,0.012,0.015,2.134,m,FIX,2022-07-26 11:37:03.1 UTC+06:00,2022-07-26 11:37:09.2 UTC+06:00,7,1.5,,,,71.58390014,39.65183881,3870.069,107.149,Global CS
8,,,,,71.58271191,39.65179294,3866.85,0.01,0.011,0.01,0.015,2.134,m,FIX,2022-07-26 11:37:24.1 UTC+06:00,2022-07-26 11:37:29.2 UTC+06:00,6,1.5,,,,71.58390014,39.65183881,3870.069,102.178,Global CS
9,,,,,71.5827698,39.65179711,3866.658,0.011,0.015,0.011,0.018,2.134,m,FIX,2022-07-26 11:37:43.2 UTC+06:00,2022-07-26 11:37:49.2 UTC+06:00,7,1.5,,,,71.58390014,39.65183881,3870.069,97.192,Global CS
10,,,,,71.58282903,39.65180133,3866.398,0.01,0.011,0.015,0.015,2.134,m,FIX,2022-07-26 11:38:05.2 UTC+06:00,2022-07-26 11:38:11.2 UTC+06:00,7,1.5,,,,71.58390014,39.65183881,3870.069,92.096,Global CS
