Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;;;;;68.58568585;38.99160543;3359.662;0.802;0.726;1.845;1.081;1.134;m;SINGLE;2022-08-28 08:36:56.8 UTC+02:00;2022-08-28 08:37:06.8 UTC+02:00;11;2.1;;;;;;;;Global CS
E2;;;;;68.58567206;38.99160221;3357.788;0.778;0.751;1.951;1.081;1.134;m;SINGLE;2022-08-28 08:37:25.8 UTC+02:00;2022-08-28 08:37:35.8 UTC+02:00;11;2.3;;;;;;;;Global CS
E3;;;;;68.58564393;38.99158768;3354.845;0.746;0.714;1.806;1.032;1.134;m;SINGLE;2022-08-28 08:37:52.8 UTC+02:00;2022-08-28 08:38:02.8 UTC+02:00;11;1.8;;;;;;;;Global CS
E4;;;;;68.58560321;38.99155863;3356.961;0.796;0.733;1.714;1.082;1.134;m;SINGLE;2022-08-28 08:38:16.8 UTC+02:00;2022-08-28 08:38:27.8 UTC+02:00;12;2.2;;;;;;;;Global CS
E5;;;;;68.58554665;38.99151963;3359.377;0.818;0.805;1.742;1.148;1.134;m;SINGLE;2022-08-28 08:38:39.8 UTC+02:00;2022-08-28 08:38:49.8 UTC+02:00;11;1.7;;;;;;;;Global CS
E6;;;;;68.58548489;38.99148175;3361.876;0.826;0.815;1.815;1.16;1.134;m;SINGLE;2022-08-28 08:39:00.8 UTC+02:00;2022-08-28 08:39:10.8 UTC+02:00;11;1.5;;;;;;;;Global CS
E7;;;;;68.58542889;38.99144356;3366.271;0.782;0.73;1.676;1.069;1.134;m;SINGLE;2022-08-28 08:39:22.9 UTC+02:00;2022-08-28 08:39:32.9 UTC+02:00;11;1.4;;;;;;;;Global CS
E8;;;;;68.58537793;38.99140891;3369.841;0.82;0.729;1.691;1.097;1.134;m;SINGLE;2022-08-28 08:39:51.8 UTC+02:00;2022-08-28 08:40:01.8 UTC+02:00;11;2.5;;;;;;;;Global CS
E9;;;;;68.58533308;38.99138307;3372.174;0.734;0.72;1.613;1.028;1.134;m;SINGLE;2022-08-28 08:40:14.9 UTC+02:00;2022-08-28 08:40:25.8 UTC+02:00;12;1.6;;;;;;;;Global CS
E10;;;;;68.58529769;38.99135327;3373.542;0.755;0.72;1.621;1.044;1.134;m;SINGLE;2022-08-28 08:40:36.9 UTC+02:00;2022-08-28 08:40:47.9 UTC+02:00;12;1.6;;;;;;;;Global CS
E11;;;;;68.58525805;38.99133179;3375.243;0.729;0.718;1.548;1.023;1.134;m;SINGLE;2022-08-28 08:40:59.9 UTC+02:00;2022-08-28 08:41:10.8 UTC+02:00;12;1.5;;;;;;;;Global CS
E12;;;;;68.58521524;38.99129552;3377.032;0.752;0.71;1.61;1.035;1.134;m;SINGLE;2022-08-28 08:41:22.8 UTC+02:00;2022-08-28 08:41:32.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E13;;;;;68.58516878;38.99126211;3378.471;0.783;0.718;1.611;1.062;1.134;m;SINGLE;2022-08-28 08:41:43.9 UTC+02:00;2022-08-28 08:41:53.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E14;;;;;68.58512398;38.99122897;3379.797;;;;;1.134;m;SINGLE;2022-08-28 08:43:17.9 UTC+02:00;2022-08-28 08:43:17.9 UTC+02:00;1;1.6;;;;;;;;Global CS
E15;;;;;68.5851001;38.99120172;3381.567;0.853;0.805;1.753;1.173;1.134;m;SINGLE;2022-08-28 08:43:52.9 UTC+02:00;2022-08-28 08:44:03.9 UTC+02:00;12;2.2;;;;;;;;Global CS
E16;;;;;68.58507543;38.99117298;3382.416;0.767;0.785;1.608;1.097;1.134;m;SINGLE;2022-08-28 08:44:22.9 UTC+02:00;2022-08-28 08:44:32.9 UTC+02:00;11;1.5;;;;;;;;Global CS
E17;;;;;68.58500364;38.99113404;3384.615;0.866;0.696;1.502;1.111;1.134;m;SINGLE;2022-08-28 08:44:44.9 UTC+02:00;2022-08-28 08:44:55.9 UTC+02:00;12;1.7;;;;;;;;Global CS
E18;;;;;68.5849564;38.99110661;3385.507;0.627;0.586;1.508;0.858;1.134;m;SINGLE;2022-08-28 08:45:10.9 UTC+02:00;2022-08-28 08:45:21.9 UTC+02:00;12;1.6;;;;;;;;Global CS
E19;;;;;68.58491186;38.99107599;3386.405;0.595;0.611;1.472;0.853;1.134;m;SINGLE;2022-08-28 08:45:36.9 UTC+02:00;2022-08-28 08:45:47.9 UTC+02:00;12;2.1;;;;;;;;Global CS
E20;;;;;68.58487528;38.99104269;3386.914;0.65;0.617;1.403;0.896;1.134;m;SINGLE;2022-08-28 08:46:00.9 UTC+02:00;2022-08-28 08:46:10.9 UTC+02:00;11;1.7;;;;;;;;Global CS
E21;;;;;68.58483514;38.99100998;3387.241;0.624;0.685;1.509;0.927;1.134;m;SINGLE;2022-08-28 08:46:21.9 UTC+02:00;2022-08-28 08:46:32.9 UTC+02:00;12;1.6;;;;;;;;Global CS
E22;;;;;68.58479637;38.99097381;3388.724;0.695;0.653;1.501;0.954;1.134;m;SINGLE;2022-08-28 08:46:46.9 UTC+02:00;2022-08-28 08:46:56.9 UTC+02:00;11;1.8;;;;;;;;Global CS
E23;;;;;68.58475082;38.99093803;3389.926;0.704;0.643;1.5;0.954;1.134;m;SINGLE;2022-08-28 08:47:10.9 UTC+02:00;2022-08-28 08:47:21.9 UTC+02:00;12;1.8;;;;;;;;Global CS
E24;;;;;68.58472344;38.99091863;3390.211;0.691;0.621;1.602;0.929;1.134;m;SINGLE;2022-08-28 08:47:34.9 UTC+02:00;2022-08-28 08:47:44.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E25;;;;;68.58468397;38.99089654;3389.987;0.75;0.666;1.544;1.003;1.134;m;SINGLE;2022-08-28 08:47:56.9 UTC+02:00;2022-08-28 08:48:07.9 UTC+02:00;12;1.8;;;;;;;;Global CS
E26;;;;;68.58464544;38.99087896;3390.626;0.718;0.689;1.615;0.995;1.134;m;SINGLE;2022-08-28 08:48:19.9 UTC+02:00;2022-08-28 08:48:29.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E27;;;;;68.58460199;38.99085308;3393.063;0.69;0.768;1.757;1.032;1.134;m;SINGLE;2022-08-28 08:48:52.9 UTC+02:00;2022-08-28 08:49:03.9 UTC+02:00;12;1.8;;;;;;;;Global CS
E28;;;;;68.58457392;38.99084128;3394.244;0.764;0.832;1.92;1.129;1.134;m;SINGLE;2022-08-28 08:49:17.9 UTC+02:00;2022-08-28 08:49:27.9 UTC+02:00;11;2;;;;;;;;Global CS
E29;;;;;68.58452345;38.99081194;3397.937;0.596;0.721;1.713;0.936;1.134;m;SINGLE;2022-08-28 08:49:49.9 UTC+02:00;2022-08-28 08:49:59.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E30;;;;;68.58447992;38.99078478;3399.963;0.691;0.657;1.456;0.954;1.134;m;SINGLE;2022-08-28 08:50:15.9 UTC+02:00;2022-08-28 08:50:25.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E31;;;;;68.58443156;38.99074966;3401.171;0.572;0.662;1.406;0.875;1.134;m;SINGLE;2022-08-28 08:50:38.9 UTC+02:00;2022-08-28 08:50:48.9 UTC+02:00;11;2.1;;;;;;;;Global CS
E32;;;;;68.58439147;38.99071059;3401.717;0.667;0.693;1.402;0.962;1.134;m;SINGLE;2022-08-28 08:50:58.9 UTC+02:00;2022-08-28 08:51:08.9 UTC+02:00;11;1.9;;;;;;;;Global CS
E33;;;;;68.58435031;38.99068277;3401.946;0.588;0.615;1.402;0.851;1.134;m;SINGLE;2022-08-28 08:51:18.9 UTC+02:00;2022-08-28 08:51:28.9 UTC+02:00;11;2.1;;;;;;;;Global CS
E34;;;;;68.58432103;38.99065447;3402.044;0.643;0.713;1.509;0.96;1.134;m;SINGLE;2022-08-28 08:51:38.9 UTC+02:00;2022-08-28 08:51:49.9 UTC+02:00;12;1.7;;;;;;;;Global CS
E35;;;;;68.5842777;38.99062622;3401.858;0.696;0.739;1.5;1.015;1.134;m;SINGLE;2022-08-28 08:51:58.9 UTC+02:00;2022-08-28 08:52:09.9 UTC+02:00;12;1.9;;;;;;;;Global CS
