4  5.00 0.00 0.00  0.00 10.00  0.00 15.00  0.00 2285.97
4  5.00 0.00 0.00  0.00 15.00  0.00 20.00  0.00 2197.44
4  5.00 0.00 0.00  0.00 20.00  0.00 25.00  0.00 2153.62
4  5.00 0.00 0.00  0.00 25.00  0.00 30.00  0.00 2471.33
4  5.00 0.00 0.00  0.00 30.00  0.00 35.00  0.00 2355.87
4  5.00 0.00 0.00  0.00 35.00  0.00 40.00  0.00 2283.12
4  5.00 0.00 0.00  0.00 40.00  0.00 45.00  0.00 1931.95
4  5.00 0.00 0.00  0.00 45.00  0.00 50.00  0.00 3987.01
4  5.00 0.00 0.00  0.00 50.00  0.00 55.00  0.00 2625.93
4  5.00 0.00 0.00  0.00 55.00  0.00 60.00  0.00 2767.50
4  5.00 0.00 0.00  0.00 60.00  0.00 65.00  0.00 4345.77
4  5.00 0.00 0.00  0.00 70.00  0.00 75.00  0.00 2138.11
4  5.00 0.00 0.00  0.00 75.00  0.00 80.00  0.00 4163.51
4  5.00 0.00 0.00  0.00 80.00  0.00 85.00  0.00 3822.82
4  5.00 0.00 0.00  0.00 85.00  0.00 90.00  0.00 3590.22
4  5.00 0.00 0.00  0.00 110.00  0.00 115.00  0.00 5569.54
4  5.00 0.00 0.00  0.00 125.00  0.00 130.00  0.00 6540.33
4  5.00 0.00 0.00  0.00 130.00  0.00 135.00  0.00 7939.97
4  5.00 0.00 0.00  0.00 135.00  0.00 140.00  0.00 6617.64
4  5.00 0.00 0.00  0.00 150.00  0.00 155.00  0.00 9324.21
4  5.00 0.00 0.00  0.00 160.00  0.00 165.00  0.00 7222.42
4  5.00 0.00 0.00  0.00 165.00  0.00 170.00  0.00 11096.67
4  10.00 0.00 5.00  0.00 15.00  0.00 20.00  0.00 4045.71
4  10.00 0.00 5.00  0.00 20.00  0.00 25.00  0.00 3257.23
4  10.00 0.00 5.00  0.00 25.00  0.00 30.00  0.00 3587.03
4  10.00 0.00 5.00  0.00 30.00  0.00 35.00  0.00 3849.60
4  10.00 0.00 5.00  0.00 35.00  0.00 40.00  0.00 3306.66
4  10.00 0.00 5.00  0.00 40.00  0.00 45.00  0.00 5112.65
4  10.00 0.00 5.00  0.00 45.00  0.00 50.00  0.00 1584.21
4  10.00 0.00 5.00  0.00 50.00  0.00 55.00  0.00 3071.64
