4  0.00  0.00 15.00  0.00 5.00  0.00 10.00  0.00 128.67 
4  0.00  0.00 30.00  0.00 10.00  0.00 20.00  0.00 157.29 
4  0.00  0.00 45.00  0.00 15.00  0.00 30.00  0.00 380.30 
4  0.00  0.00 60.00  0.00 20.00  0.00 40.00  0.00 456.80 
4  0.00  0.00 75.00  0.00 25.00  0.00 50.00  0.00 486.10 
4  0.00  0.00 90.00  0.00 30.00  0.00 60.00  0.00 457.76 
4  0.00  0.00 105.00  0.00 35.00  0.00 70.00  0.00 412.39 
4  0.00  0.00 120.00  0.00 40.00  0.00 80.00  0.00 491.82 
4  0.00  0.00 135.00  0.00 45.00  0.00 90.00  0.00 820.54 
4  0.00  0.00 150.00  0.00 50.00  0.00 100.00  0.00 972.10 
4  0.00  0.00 165.00  0.00 55.00  0.00 110.00  0.00 1113.36 
4  0.00  0.00 180.00  0.00 60.00  0.00 120.00  0.00 1225.43 
4  0.00  0.00 195.00  0.00 65.00  0.00 130.00  0.00 1326.71 
4  0.00  0.00 210.00  0.00 70.00  0.00 140.00  0.00 1435.70 
4  0.00  0.00 225.00  0.00 75.00  0.00 150.00  0.00 1482.77 
4  5.00  0.00 20.00  0.00 10.00  0.00 15.00  0.00 70.50 
4  5.00  0.00 35.00  0.00 15.00  0.00 25.00  0.00 162.17 
4  5.00  0.00 50.00  0.00 20.00  0.00 35.00  0.00 516.71 
4  5.00  0.00 65.00  0.00 25.00  0.00 45.00  0.00 400.01 
4  5.00  0.00 80.00  0.00 30.00  0.00 55.00  0.00 394.03 
4  5.00  0.00 95.00  0.00 35.00  0.00 65.00  0.00 325.70 
4  5.00  0.00 110.00  0.00 40.00  0.00 75.00  0.00 391.24 
4  5.00  0.00 125.00  0.00 45.00  0.00 85.00  0.00 658.82 
4  5.00  0.00 140.00  0.00 50.00  0.00 95.00  0.00 931.48 
4  5.00  0.00 155.00  0.00 55.00  0.00 105.00  0.00 1081.66 
4  5.00  0.00 170.00  0.00 60.00  0.00 115.00  0.00 1122.86 
4  5.00  0.00 185.00  0.00 65.00  0.00 125.00  0.00 1243.67 
4  5.00  0.00 200.00  0.00 70.00  0.00 135.00  0.00 1365.14 
4  5.00  0.00 215.00  0.00 75.00  0.00 145.00  0.00 1447.68 
4  5.00  0.00 230.00  0.00 80.00  0.00 155.00  0.00 1480.09 
4  10.00  0.00 25.00  0.00 15.00  0.00 20.00  0.00 115.18 
4  10.00  0.00 40.00  0.00 20.00  0.00 30.00  0.00 147.19 
4  10.00  0.00 55.00  0.00 25.00  0.00 40.00  0.00 339.06 
4  10.00  0.00 70.00  0.00 30.00  0.00 50.00  0.00 331.63 
4  10.00  0.00 85.00  0.00 35.00  0.00 60.00  0.00 272.10 
4  10.00  0.00 100.00  0.00 40.00  0.00 70.00  0.00 318.07 
4  10.00  0.00 115.00  0.00 45.00  0.00 80.00  0.00 440.80 
4  10.00  0.00 130.00  0.00 50.00  0.00 90.00  0.00 821.14 
4  10.00  0.00 145.00  0.00 55.00  0.00 100.00  0.00 969.78 
4  10.00  0.00 160.00  0.00 60.00  0.00 110.00  0.00 1105.30 
4  10.00  0.00 175.00  0.00 65.00  0.00 120.00  0.00 1171.53 
4  10.00  0.00 190.00  0.00 70.00  0.00 130.00  0.00 1248.83 
4  10.00  0.00 205.00  0.00 75.00  0.00 140.00  0.00 1368.48 
4  10.00  0.00 220.00  0.00 80.00  0.00 150.00  0.00 1416.21 
4  10.00  0.00 235.00  0.00 85.00  0.00 160.00  0.00 1378.13 
4  15.00  0.00 30.00  0.00 20.00  0.00 25.00  0.00 109.83 
4  15.00  0.00 45.00  0.00 25.00  0.00 35.00  0.00 212.90 
4  15.00  0.00 60.00  0.00 30.00  0.00 45.00  0.00 273.94 
4  15.00  0.00 75.00  0.00 35.00  0.00 55.00  0.00 189.67 
4  15.00  0.00 90.00  0.00 40.00  0.00 65.00  0.00 245.35 
4  15.00  0.00 105.00  0.00 45.00  0.00 75.00  0.00 348.27 
4  15.00  0.00 120.00  0.00 50.00  0.00 85.00  0.00 633.51 
4  15.00  0.00 135.00  0.00 55.00  0.00 95.00  0.00 930.51 
4  15.00  0.00 150.00  0.00 60.00  0.00 105.00  0.00 1045.52 
4  15.00  0.00 165.00  0.00 65.00  0.00 115.00  0.00 1078.22 
4  15.00  0.00 180.00  0.00 70.00  0.00 125.00  0.00 1201.85 
4  15.00  0.00 195.00  0.00 75.00  0.00 135.00  0.00 1283.59 
4  15.00  0.00 210.00  0.00 80.00  0.00 145.00  0.00 1354.50 
4  15.00  0.00 225.00  0.00 85.00  0.00 155.00  0.00 1291.93 
4  20.00  0.00 35.00  0.00 25.00  0.00 30.00  0.00 123.50 
4  20.00  0.00 50.00  0.00 30.00  0.00 40.00  0.00 205.98 
4  20.00  0.00 65.00  0.00 35.00  0.00 50.00  0.00 155.54 
4  20.00  0.00 80.00  0.00 40.00  0.00 60.00  0.00 197.83 
4  20.00  0.00 95.00  0.00 45.00  0.00 70.00  0.00 267.92 
4  20.00  0.00 110.00  0.00 50.00  0.00 80.00  0.00 412.47 
4  20.00  0.00 125.00  0.00 55.00  0.00 90.00  0.00 820.88 
4  20.00  0.00 140.00  0.00 60.00  0.00 100.00  0.00 965.59 
4  20.00  0.00 155.00  0.00 65.00  0.00 110.00  0.00 1100.77 
4  20.00  0.00 170.00  0.00 70.00  0.00 120.00  0.00 1101.76 
4  20.00  0.00 185.00  0.00 75.00  0.00 130.00  0.00 1196.06 
4  20.00  0.00 200.00  0.00 80.00  0.00 140.00  0.00 1311.26 
4  20.00  0.00 215.00  0.00 85.00  0.00 150.00  0.00 1262.61 
4  20.00  0.00 230.00  0.00 90.00  0.00 160.00  0.00 1215.63 
4  25.00  0.00 40.00  0.00 30.00  0.00 35.00  0.00 159.17 
4  25.00  0.00 55.00  0.00 35.00  0.00 45.00  0.00 103.32 
4  25.00  0.00 70.00  0.00 40.00  0.00 55.00  0.00 116.73 
4  25.00  0.00 85.00  0.00 45.00  0.00 65.00  0.00 219.84 
4  25.00  0.00 100.00  0.00 50.00  0.00 75.00  0.00 339.93 
4  25.00  0.00 115.00  0.00 55.00  0.00 85.00  0.00 628.69 
4  25.00  0.00 130.00  0.00 60.00  0.00 95.00  0.00 950.29 
4  25.00  0.00 145.00  0.00 65.00  0.00 105.00  0.00 1046.33 
4  25.00  0.00 160.00  0.00 70.00  0.00 115.00  0.00 1095.15 
4  25.00  0.00 175.00  0.00 75.00  0.00 125.00  0.00 1160.49 
4  25.00  0.00 190.00  0.00 80.00  0.00 135.00  0.00 1220.92 
4  25.00  0.00 205.00  0.00 85.00  0.00 145.00  0.00 1227.12 
4  25.00  0.00 220.00  0.00 90.00  0.00 155.00  0.00 1166.86 
4  25.00  0.00 235.00  0.00 95.00  0.00 165.00  0.00 1142.49 
4  30.00  0.00 45.00  0.00 35.00  0.00 40.00  0.00 77.61 
4  30.00  0.00 60.00  0.00 40.00  0.00 50.00  0.00 72.47 
4  30.00  0.00 75.00  0.00 45.00  0.00 60.00  0.00 171.69 
4  30.00  0.00 90.00  0.00 50.00  0.00 70.00  0.00 259.74 
4  30.00  0.00 105.00  0.00 55.00  0.00 80.00  0.00 407.01 
4  30.00  0.00 120.00  0.00 60.00  0.00 90.00  0.00 814.77 
4  30.00  0.00 135.00  0.00 65.00  0.00 100.00  0.00 966.39 
4  30.00  0.00 150.00  0.00 70.00  0.00 110.00  0.00 1097.51 
4  30.00  0.00 165.00  0.00 75.00  0.00 120.00  0.00 1072.72 
4  30.00  0.00 180.00  0.00 80.00  0.00 130.00  0.00 1183.81 
4  30.00  0.00 195.00  0.00 85.00  0.00 140.00  0.00 1167.88 
4  30.00  0.00 210.00  0.00 90.00  0.00 150.00  0.00 1133.52 
4  30.00  0.00 225.00  0.00 95.00  0.00 160.00  0.00 1078.87 
4  35.00  0.00 50.00  0.00 40.00  0.00 45.00  0.00 51.70 
4  35.00  0.00 65.00  0.00 45.00  0.00 55.00  0.00 78.48 
4  35.00  0.00 80.00  0.00 50.00  0.00 65.00  0.00 246.56 
4  35.00  0.00 95.00  0.00 55.00  0.00 75.00  0.00 336.29 
4  35.00  0.00 110.00  0.00 60.00  0.00 85.00  0.00 607.53 
4  35.00  0.00 125.00  0.00 65.00  0.00 95.00  0.00 976.90 
4  35.00  0.00 140.00  0.00 70.00  0.00 105.00  0.00 1099.00 
4  35.00  0.00 155.00  0.00 75.00  0.00 115.00  0.00 1126.15 
4  35.00  0.00 170.00  0.00 80.00  0.00 125.00  0.00 1135.08 
4  35.00  0.00 185.00  0.00 85.00  0.00 135.00  0.00 1137.98 
4  35.00  0.00 200.00  0.00 90.00  0.00 145.00  0.00 1123.34 
4  35.00  0.00 215.00  0.00 95.00  0.00 155.00  0.00 1063.84 
4  35.00  0.00 230.00  0.00 100.00  0.00 165.00  0.00 1099.09 
4  40.00  0.00 55.00  0.00 45.00  0.00 50.00  0.00 39.79 
4  40.00  0.00 70.00  0.00 50.00  0.00 60.00  0.00 113.11 
4  40.00  0.00 85.00  0.00 55.00  0.00 70.00  0.00 282.69 
4  40.00  0.00 100.00  0.00 60.00  0.00 80.00  0.00 384.25 
4  40.00  0.00 115.00  0.00 65.00  0.00 90.00  0.00 784.89 
4  40.00  0.00 130.00  0.00 70.00  0.00 100.00  0.00 1003.01 
4  40.00  0.00 145.00  0.00 75.00  0.00 110.00  0.00 1094.05 
4  40.00  0.00 160.00  0.00 80.00  0.00 120.00  0.00 1098.05 
4  40.00  0.00 175.00  0.00 85.00  0.00 130.00  0.00 1066.79 
4  40.00  0.00 190.00  0.00 90.00  0.00 140.00  0.00 1027.29 
4  40.00  0.00 205.00  0.00 95.00  0.00 150.00  0.00 1023.54 
4  40.00  0.00 220.00  0.00 100.00  0.00 160.00  0.00 1032.56 
4  40.00  0.00 235.00  0.00 105.00  0.00 170.00  0.00 1012.47 
4  45.00  0.00 60.00  0.00 50.00  0.00 55.00  0.00 27.02 
4  45.00  0.00 75.00  0.00 55.00  0.00 65.00  0.00 163.10 
4  45.00  0.00 90.00  0.00 60.00  0.00 75.00  0.00 316.25 
4  45.00  0.00 105.00  0.00 65.00  0.00 85.00  0.00 542.74 
4  45.00  0.00 120.00  0.00 70.00  0.00 95.00  0.00 914.91 
4  45.00  0.00 135.00  0.00 75.00  0.00 105.00  0.00 1039.82 
4  45.00  0.00 150.00  0.00 80.00  0.00 115.00  0.00 1056.78 
4  45.00  0.00 165.00  0.00 85.00  0.00 125.00  0.00 966.17 
4  45.00  0.00 180.00  0.00 90.00  0.00 135.00  0.00 982.29 
4  45.00  0.00 195.00  0.00 95.00  0.00 145.00  0.00 947.09 
4  45.00  0.00 210.00  0.00 100.00  0.00 155.00  0.00 969.94 
4  45.00  0.00 225.00  0.00 105.00  0.00 165.00  0.00 948.02 
4  50.00  0.00 65.00  0.00 55.00  0.00 60.00  0.00 63.93 
4  50.00  0.00 80.00  0.00 60.00  0.00 70.00  0.00 195.46 
4  50.00  0.00 95.00  0.00 65.00  0.00 80.00  0.00 315.05 
4  50.00  0.00 110.00  0.00 70.00  0.00 90.00  0.00 682.20 
4  50.00  0.00 125.00  0.00 75.00  0.00 100.00  0.00 901.16 
4  50.00  0.00 140.00  0.00 80.00  0.00 110.00  0.00 1028.20 
4  50.00  0.00 155.00  0.00 85.00  0.00 120.00  0.00 920.44 
4  50.00  0.00 170.00  0.00 90.00  0.00 130.00  0.00 836.61 
4  50.00  0.00 185.00  0.00 95.00  0.00 140.00  0.00 848.89 
4  50.00  0.00 200.00  0.00 100.00  0.00 150.00  0.00 898.32 
4  50.00  0.00 215.00  0.00 105.00  0.00 160.00  0.00 874.26 
4  50.00  0.00 230.00  0.00 110.00  0.00 170.00  0.00 878.11 
4  55.00  0.00 70.00  0.00 60.00  0.00 65.00  0.00 72.00 
4  55.00  0.00 85.00  0.00 65.00  0.00 75.00  0.00 211.44 
4  55.00  0.00 100.00  0.00 70.00  0.00 85.00  0.00 515.95 
4  55.00  0.00 115.00  0.00 75.00  0.00 95.00  0.00 787.76 
4  55.00  0.00 130.00  0.00 80.00  0.00 105.00  0.00 983.70 
4  55.00  0.00 145.00  0.00 85.00  0.00 115.00  0.00 872.72 
4  55.00  0.00 160.00  0.00 90.00  0.00 125.00  0.00 808.43 
4  55.00  0.00 175.00  0.00 95.00  0.00 135.00  0.00 789.82 
4  55.00  0.00 190.00  0.00 100.00  0.00 145.00  0.00 806.18 
4  55.00  0.00 205.00  0.00 105.00  0.00 155.00  0.00 820.78 
4  55.00  0.00 220.00  0.00 110.00  0.00 165.00  0.00 834.14 
4  55.00  0.00 235.00  0.00 115.00  0.00 175.00  0.00 807.14 
4  60.00  0.00 75.00  0.00 65.00  0.00 70.00  0.00 99.52 
4  60.00  0.00 90.00  0.00 70.00  0.00 80.00  0.00 244.90 
4  60.00  0.00 105.00  0.00 75.00  0.00 90.00  0.00 627.19 
4  60.00  0.00 120.00  0.00 80.00  0.00 100.00  0.00 837.30 
4  60.00  0.00 135.00  0.00 85.00  0.00 110.00  0.00 882.25 
4  60.00  0.00 150.00  0.00 90.00  0.00 120.00  0.00 772.86 
4  60.00  0.00 165.00  0.00 95.00  0.00 130.00  0.00 695.57 
4  60.00  0.00 180.00  0.00 100.00  0.00 140.00  0.00 785.15 
4  60.00  0.00 195.00  0.00 105.00  0.00 150.00  0.00 762.80 
4  60.00  0.00 210.00  0.00 110.00  0.00 160.00  0.00 783.33 
4  60.00  0.00 225.00  0.00 115.00  0.00 170.00  0.00 800.69 
4  65.00  0.00 80.00  0.00 70.00  0.00 75.00  0.00 149.06 
4  65.00  0.00 95.00  0.00 75.00  0.00 85.00  0.00 382.54 
4  65.00  0.00 110.00  0.00 80.00  0.00 95.00  0.00 806.07 
4  65.00  0.00 125.00  0.00 85.00  0.00 105.00  0.00 841.99 
4  65.00  0.00 140.00  0.00 90.00  0.00 115.00  0.00 763.81 
4  65.00  0.00 155.00  0.00 95.00  0.00 125.00  0.00 706.02 
4  65.00  0.00 170.00  0.00 100.00  0.00 135.00  0.00 699.31 
4  65.00  0.00 185.00  0.00 105.00  0.00 145.00  0.00 711.21 
4  65.00  0.00 200.00  0.00 110.00  0.00 155.00  0.00 736.77 
4  65.00  0.00 215.00  0.00 115.00  0.00 165.00  0.00 784.30 
4  65.00  0.00 230.00  0.00 120.00  0.00 175.00  0.00 748.24 
4  70.00  0.00 85.00  0.00 75.00  0.00 80.00  0.00 171.19 
4  70.00  0.00 100.00  0.00 80.00  0.00 90.00  0.00 563.21 
4  70.00  0.00 115.00  0.00 85.00  0.00 100.00  0.00 674.22 
4  70.00  0.00 130.00  0.00 90.00  0.00 110.00  0.00 779.15 
4  70.00  0.00 145.00  0.00 95.00  0.00 120.00  0.00 654.51 
4  70.00  0.00 160.00  0.00 100.00  0.00 130.00  0.00 679.95 
4  70.00  0.00 175.00  0.00 105.00  0.00 140.00  0.00 679.06 
4  70.00  0.00 190.00  0.00 110.00  0.00 150.00  0.00 672.74 
4  70.00  0.00 205.00  0.00 115.00  0.00 160.00  0.00 744.07 
4  70.00  0.00 220.00  0.00 120.00  0.00 170.00  0.00 768.29 
4  70.00  0.00 235.00  0.00 125.00  0.00 180.00  0.00 710.21 
4  75.00  0.00 90.00  0.00 80.00  0.00 85.00  0.00 364.10 
4  75.00  0.00 105.00  0.00 85.00  0.00 95.00  0.00 534.20 
4  75.00  0.00 120.00  0.00 90.00  0.00 105.00  0.00 728.00 
4  75.00  0.00 135.00  0.00 95.00  0.00 115.00  0.00 653.55 
4  75.00  0.00 150.00  0.00 100.00  0.00 125.00  0.00 674.63 
4  75.00  0.00 165.00  0.00 105.00  0.00 135.00  0.00 629.28 
4  75.00  0.00 180.00  0.00 110.00  0.00 145.00  0.00 684.85 
4  75.00  0.00 195.00  0.00 115.00  0.00 155.00  0.00 707.88 
4  75.00  0.00 210.00  0.00 120.00  0.00 165.00  0.00 771.84 
4  75.00  0.00 225.00  0.00 125.00  0.00 175.00  0.00 703.33 
4  80.00  0.00 95.00  0.00 85.00  0.00 90.00  0.00 333.89 
4  80.00  0.00 110.00  0.00 90.00  0.00 100.00  0.00 451.26 
4  80.00  0.00 125.00  0.00 95.00  0.00 110.00  0.00 715.11 
4  80.00  0.00 140.00  0.00 100.00  0.00 120.00  0.00 631.87 
4  80.00  0.00 155.00  0.00 105.00  0.00 130.00  0.00 609.90 
4  80.00  0.00 170.00  0.00 110.00  0.00 140.00  0.00 603.69 
4  80.00  0.00 185.00  0.00 115.00  0.00 150.00  0.00 666.23 
4  80.00  0.00 200.00  0.00 120.00  0.00 160.00  0.00 728.76 
4  80.00  0.00 215.00  0.00 125.00  0.00 170.00  0.00 735.45 
4  80.00  0.00 230.00  0.00 130.00  0.00 180.00  0.00 682.78 
4  85.00  0.00 100.00  0.00 90.00  0.00 95.00  0.00 422.43 
4  85.00  0.00 115.00  0.00 95.00  0.00 105.00  0.00 536.20 
4  85.00  0.00 130.00  0.00 100.00  0.00 115.00  0.00 701.26 
4  85.00  0.00 145.00  0.00 105.00  0.00 125.00  0.00 634.42 
4  85.00  0.00 160.00  0.00 110.00  0.00 135.00  0.00 670.28 
4  85.00  0.00 175.00  0.00 115.00  0.00 145.00  0.00 723.06 
4  85.00  0.00 190.00  0.00 120.00  0.00 155.00  0.00 740.28 
4  85.00  0.00 205.00  0.00 125.00  0.00 165.00  0.00 808.81 
4  85.00  0.00 220.00  0.00 130.00  0.00 175.00  0.00 754.09 
4  85.00  0.00 235.00  0.00 135.00  0.00 185.00  0.00 740.54 
4  90.00  0.00 105.00  0.00 95.00  0.00 100.00  0.00 293.78 
4  90.00  0.00 120.00  0.00 100.00  0.00 110.00  0.00 642.96 
4  90.00  0.00 135.00  0.00 105.00  0.00 120.00  0.00 653.55 
4  90.00  0.00 150.00  0.00 110.00  0.00 130.00  0.00 652.33 
4  90.00  0.00 165.00  0.00 115.00  0.00 140.00  0.00 711.58 
4  90.00  0.00 180.00  0.00 120.00  0.00 150.00  0.00 806.45 
4  90.00  0.00 195.00  0.00 125.00  0.00 160.00  0.00 816.20 
4  90.00  0.00 210.00  0.00 130.00  0.00 170.00  0.00 852.79 
4  90.00  0.00 225.00  0.00 135.00  0.00 180.00  0.00 741.93 
4  95.00  0.00 110.00  0.00 100.00  0.00 105.00  0.00 408.49 
4  95.00  0.00 125.00  0.00 105.00  0.00 115.00  0.00 526.23 
4  95.00  0.00 140.00  0.00 110.00  0.00 125.00  0.00 655.95 
4  95.00  0.00 155.00  0.00 115.00  0.00 135.00  0.00 731.16 
4  95.00  0.00 170.00  0.00 120.00  0.00 145.00  0.00 768.34 
4  95.00  0.00 185.00  0.00 125.00  0.00 155.00  0.00 801.08 
4  95.00  0.00 200.00  0.00 130.00  0.00 165.00  0.00 877.94 
4  95.00  0.00 215.00  0.00 135.00  0.00 175.00  0.00 775.68 
4  95.00  0.00 230.00  0.00 140.00  0.00 185.00  0.00 782.51 
4  100.00  0.00 115.00  0.00 105.00  0.00 110.00  0.00 327.62 
4  100.00  0.00 130.00  0.00 110.00  0.00 120.00  0.00 460.20 
4  100.00  0.00 145.00  0.00 115.00  0.00 130.00  0.00 663.96 
4  100.00  0.00 160.00  0.00 120.00  0.00 140.00  0.00 735.49 
4  100.00  0.00 175.00  0.00 125.00  0.00 150.00  0.00 763.44 
4  100.00  0.00 190.00  0.00 130.00  0.00 160.00  0.00 770.64 
4  100.00  0.00 205.00  0.00 135.00  0.00 170.00  0.00 805.09 
4  100.00  0.00 220.00  0.00 140.00  0.00 180.00  0.00 727.50 
4  100.00  0.00 235.00  0.00 145.00  0.00 190.00  0.00 746.27 
4  105.00  0.00 120.00  0.00 110.00  0.00 115.00  0.00 287.03 
4  105.00  0.00 135.00  0.00 115.00  0.00 125.00  0.00 533.95 
4  105.00  0.00 150.00  0.00 120.00  0.00 135.00  0.00 732.91 
4  105.00  0.00 165.00  0.00 125.00  0.00 145.00  0.00 741.82 
4  105.00  0.00 180.00  0.00 130.00  0.00 155.00  0.00 818.43 
4  105.00  0.00 195.00  0.00 135.00  0.00 165.00  0.00 827.41 
4  105.00  0.00 210.00  0.00 140.00  0.00 175.00  0.00 763.40 
4  105.00  0.00 225.00  0.00 145.00  0.00 185.00  0.00 751.48 
4  110.00  0.00 125.00  0.00 115.00  0.00 120.00  0.00 268.76 
4  110.00  0.00 140.00  0.00 120.00  0.00 130.00  0.00 536.54 
4  110.00  0.00 155.00  0.00 125.00  0.00 140.00  0.00 716.71 
4  110.00  0.00 170.00  0.00 130.00  0.00 150.00  0.00 718.64 
4  110.00  0.00 185.00  0.00 135.00  0.00 160.00  0.00 742.06 
4  110.00  0.00 200.00  0.00 140.00  0.00 170.00  0.00 791.72 
4  110.00  0.00 215.00  0.00 145.00  0.00 180.00  0.00 691.43 
4  110.00  0.00 230.00  0.00 150.00  0.00 190.00  0.00 737.69 
4  115.00  0.00 130.00  0.00 120.00  0.00 125.00  0.00 316.00 
4  115.00  0.00 145.00  0.00 125.00  0.00 135.00  0.00 516.69 
4  115.00  0.00 160.00  0.00 130.00  0.00 145.00  0.00 689.67 
4  115.00  0.00 175.00  0.00 135.00  0.00 155.00  0.00 658.86 
4  115.00  0.00 190.00  0.00 140.00  0.00 165.00  0.00 708.97 
4  115.00  0.00 205.00  0.00 145.00  0.00 175.00  0.00 665.04 
4  115.00  0.00 220.00  0.00 150.00  0.00 185.00  0.00 711.19 
4  115.00  0.00 235.00  0.00 155.00  0.00 195.00  0.00 654.39 
4  120.00  0.00 135.00  0.00 125.00  0.00 130.00  0.00 254.58 
4  120.00  0.00 150.00  0.00 130.00  0.00 140.00  0.00 498.97 
4  120.00  0.00 165.00  0.00 135.00  0.00 150.00  0.00 555.95 
4  120.00  0.00 180.00  0.00 140.00  0.00 160.00  0.00 635.78 
4  120.00  0.00 195.00  0.00 145.00  0.00 170.00  0.00 659.68 
4  120.00  0.00 210.00  0.00 150.00  0.00 180.00  0.00 618.84 
4  120.00  0.00 225.00  0.00 155.00  0.00 190.00  0.00 665.86 
4  125.00  0.00 140.00  0.00 130.00  0.00 135.00  0.00 321.70 
4  125.00  0.00 155.00  0.00 135.00  0.00 145.00  0.00 465.36 
4  125.00  0.00 170.00  0.00 140.00  0.00 155.00  0.00 543.43 
4  125.00  0.00 185.00  0.00 145.00  0.00 165.00  0.00 599.86 
