KAR02_2024-08-18_DD5m.binx
         5.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
717
 2
0
4  0.00  0.00 5.00  0.00 10.00  0.00 15.00  0.00 2397.45 
4  0.00  0.00 5.00  0.00 15.00  0.00 20.00  0.00 1983.51 
4  0.00  0.00 5.00  0.00 20.00  0.00 25.00  0.00 1855.13 
4  0.00  0.00 5.00  0.00 25.00  0.00 30.00  0.00 1869.61 
4  0.00  0.00 5.00  0.00 30.00  0.00 35.00  0.00 1045.47 
4  0.00  0.00 5.00  0.00 35.00  0.00 40.00  0.00 1584.44 
4  0.00  0.00 5.00  0.00 50.00  0.00 55.00  0.00 1758.41 
4  0.00  0.00 5.00  0.00 55.00  0.00 60.00  0.00 2134.83 
4  0.00  0.00 5.00  0.00 70.00  0.00 75.00  0.00 1589.33 
4  0.00  0.00 5.00  0.00 95.00  0.00 100.00  0.00 5803.43 
4  0.00  0.00 5.00  0.00 135.00  0.00 140.00  0.00 4143.11 
4  0.00  0.00 5.00  0.00 145.00  0.00 150.00  0.00 3871.76 
4  0.00  0.00 5.00  0.00 155.00  0.00 160.00  0.00 3943.14 
4  0.00  0.00 5.00  0.00 165.00  0.00 170.00  0.00 5710.35 
4  0.00  0.00 5.00  0.00 205.00  0.00 210.00  0.00 3625.56 
4  0.00  0.00 5.00  0.00 225.00  0.00 230.00  0.00 4839.94 
4  5.00  0.00 10.00  0.00 15.00  0.00 20.00  0.00 1488.73 
4  5.00  0.00 10.00  0.00 20.00  0.00 25.00  0.00 1463.45 
4  5.00  0.00 10.00  0.00 25.00  0.00 30.00  0.00 1949.10 
4  5.00  0.00 10.00  0.00 30.00  0.00 35.00  0.00 787.16 
4  5.00  0.00 10.00  0.00 35.00  0.00 40.00  0.00 1499.41 
4  5.00  0.00 10.00  0.00 40.00  0.00 45.00  0.00 6144.38 
4  5.00  0.00 10.00  0.00 55.00  0.00 60.00  0.00 710.34 
4  5.00  0.00 10.00  0.00 85.00  0.00 90.00  0.00 3077.68 
4  5.00  0.00 10.00  0.00 95.00  0.00 100.00  0.00 6216.21 
4  5.00  0.00 10.00  0.00 125.00  0.00 130.00  0.00 1742.00 
4  5.00  0.00 10.00  0.00 135.00  0.00 140.00  0.00 4990.39 
4  10.00  0.00 15.00  0.00 20.00  0.00 25.00  0.00 2515.86 
4  10.00  0.00 15.00  0.00 25.00  0.00 30.00  0.00 2588.73 
4  10.00  0.00 15.00  0.00 30.00  0.00 35.00  0.00 2631.76 
4  10.00  0.00 15.00  0.00 35.00  0.00 40.00  0.00 2374.02 
4  10.00  0.00 15.00  0.00 40.00  0.00 45.00  0.00 1271.90 
4  10.00  0.00 15.00  0.00 45.00  0.00 50.00  0.00 784.61 
4  10.00  0.00 15.00  0.00 50.00  0.00 55.00  0.00 1377.82 
4  10.00  0.00 15.00  0.00 55.00  0.00 60.00  0.00 807.61 
4  10.00  0.00 15.00  0.00 60.00  0.00 65.00  0.00 687.56 
4  10.00  0.00 15.00  0.00 65.00  0.00 70.00  0.00 481.35 
4  10.00  0.00 15.00  0.00 70.00  0.00 75.00  0.00 1202.26 
4  10.00  0.00 15.00  0.00 75.00  0.00 80.00  0.00 229.55 
4  10.00  0.00 15.00  0.00 80.00  0.00 85.00  0.00 668.37 
4  10.00  0.00 15.00  0.00 85.00  0.00 90.00  0.00 1410.35 
4  10.00  0.00 15.00  0.00 90.00  0.00 95.00  0.00 783.72 
4  10.00  0.00 15.00  0.00 95.00  0.00 100.00  0.00 684.06 
4  10.00  0.00 15.00  0.00 105.00  0.00 110.00  0.00 2132.97 
4  10.00  0.00 15.00  0.00 110.00  0.00 115.00  0.00 556.90 
4  10.00  0.00 15.00  0.00 115.00  0.00 120.00  0.00 967.42 
4  10.00  0.00 15.00  0.00 125.00  0.00 130.00  0.00 634.78 
4  10.00  0.00 15.00  0.00 135.00  0.00 140.00  0.00 543.86 
4  10.00  0.00 15.00  0.00 140.00  0.00 145.00  0.00 612.52 
4  10.00  0.00 15.00  0.00 150.00  0.00 155.00  0.00 378.93 
4  10.00  0.00 15.00  0.00 175.00  0.00 180.00  0.00 620.40 
4  10.00  0.00 15.00  0.00 220.00  0.00 225.00  0.00 1282.24 
4  15.00  0.00 20.00  0.00 25.00  0.00 30.00  0.00 2223.41 
4  15.00  0.00 20.00  0.00 30.00  0.00 35.00  0.00 2762.39 
4  15.00  0.00 20.00  0.00 35.00  0.00 40.00  0.00 2014.20 
4  15.00  0.00 20.00  0.00 40.00  0.00 45.00  0.00 1557.18 
4  15.00  0.00 20.00  0.00 50.00  0.00 55.00  0.00 5914.72 
4  15.00  0.00 20.00  0.00 55.00  0.00 60.00  0.00 785.55 
4  15.00  0.00 20.00  0.00 60.00  0.00 65.00  0.00 1646.12 
4  15.00  0.00 20.00  0.00 110.00  0.00 115.00  0.00 5602.94 
4  15.00  0.00 20.00  0.00 130.00  0.00 135.00  0.00 4963.51 
4  20.00  0.00 25.00  0.00 30.00  0.00 35.00  0.00 2124.87 
