KAR04_2024-08-18_W5m.binx
         5.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
0
360
 2
0
4  0.00  0.00 15.00  0.00 5.00  0.00 10.00  0.00 383.46 
4  0.00  0.00 30.00  0.00 10.00  0.00 20.00  0.00 569.83 
4  0.00  0.00 45.00  0.00 15.00  0.00 30.00  0.00 589.99 
4  0.00  0.00 60.00  0.00 20.00  0.00 40.00  0.00 622.97 
4  0.00  0.00 75.00  0.00 25.00  0.00 50.00  0.00 677.52 
4  0.00  0.00 90.00  0.00 30.00  0.00 60.00  0.00 732.08 
4  0.00  0.00 105.00  0.00 35.00  0.00 70.00  0.00 697.92 
4  0.00  0.00 120.00  0.00 40.00  0.00 80.00  0.00 794.95 
4  0.00  0.00 135.00  0.00 45.00  0.00 90.00  0.00 738.26 
4  0.00  0.00 150.00  0.00 50.00  0.00 100.00  0.00 783.45 
4  0.00  0.00 165.00  0.00 55.00  0.00 110.00  0.00 697.86 
4  0.00  0.00 180.00  0.00 60.00  0.00 120.00  0.00 714.04 
4  0.00  0.00 195.00  0.00 65.00  0.00 130.00  0.00 756.40 
4  0.00  0.00 210.00  0.00 70.00  0.00 140.00  0.00 763.77 
4  0.00  0.00 225.00  0.00 75.00  0.00 150.00  0.00 693.56 
4  5.00  0.00 20.00  0.00 10.00  0.00 15.00  0.00 370.97 
4  5.00  0.00 35.00  0.00 15.00  0.00 25.00  0.00 485.26 
4  5.00  0.00 50.00  0.00 20.00  0.00 35.00  0.00 627.77 
4  5.00  0.00 65.00  0.00 25.00  0.00 45.00  0.00 685.32 
4  5.00  0.00 80.00  0.00 30.00  0.00 55.00  0.00 717.52 
4  5.00  0.00 95.00  0.00 35.00  0.00 65.00  0.00 703.46 
4  5.00  0.00 110.00  0.00 40.00  0.00 75.00  0.00 793.10 
4  5.00  0.00 125.00  0.00 45.00  0.00 85.00  0.00 753.42 
4  5.00  0.00 140.00  0.00 50.00  0.00 95.00  0.00 803.44 
4  5.00  0.00 155.00  0.00 55.00  0.00 105.00  0.00 745.51 
4  5.00  0.00 170.00  0.00 60.00  0.00 115.00  0.00 690.84 
4  5.00  0.00 185.00  0.00 65.00  0.00 125.00  0.00 718.03 
4  5.00  0.00 200.00  0.00 70.00  0.00 135.00  0.00 788.20 
4  5.00  0.00 215.00  0.00 75.00  0.00 145.00  0.00 734.74 
4  5.00  0.00 230.00  0.00 80.00  0.00 155.00  0.00 704.74 
4  10.00  0.00 25.00  0.00 15.00  0.00 20.00  0.00 313.39 
4  10.00  0.00 40.00  0.00 20.00  0.00 30.00  0.00 468.94 
4  10.00  0.00 55.00  0.00 25.00  0.00 40.00  0.00 611.30 
4  10.00  0.00 70.00  0.00 30.00  0.00 50.00  0.00 708.45 
4  10.00  0.00 85.00  0.00 35.00  0.00 60.00  0.00 682.82 
4  10.00  0.00 100.00  0.00 40.00  0.00 70.00  0.00 712.22 
4  10.00  0.00 115.00  0.00 45.00  0.00 80.00  0.00 752.74 
4  10.00  0.00 130.00  0.00 50.00  0.00 90.00  0.00 747.69 
4  10.00  0.00 145.00  0.00 55.00  0.00 100.00  0.00 777.00 
4  10.00  0.00 160.00  0.00 60.00  0.00 110.00  0.00 699.19 
4  10.00  0.00 175.00  0.00 65.00  0.00 120.00  0.00 685.25 
4  10.00  0.00 190.00  0.00 70.00  0.00 130.00  0.00 746.72 
4  10.00  0.00 205.00  0.00 75.00  0.00 140.00  0.00 752.88 
4  10.00  0.00 220.00  0.00 80.00  0.00 150.00  0.00 700.98 
4  10.00  0.00 235.00  0.00 85.00  0.00 160.00  0.00 723.38 
4  15.00  0.00 30.00  0.00 20.00  0.00 25.00  0.00 279.35 
4  15.00  0.00 45.00  0.00 25.00  0.00 35.00  0.00 535.44 
4  15.00  0.00 60.00  0.00 30.00  0.00 45.00  0.00 701.58 
4  15.00  0.00 75.00  0.00 35.00  0.00 55.00  0.00 656.92 
4  15.00  0.00 90.00  0.00 40.00  0.00 65.00  0.00 743.44 
4  15.00  0.00 105.00  0.00 45.00  0.00 75.00  0.00 713.61 
4  15.00  0.00 120.00  0.00 50.00  0.00 85.00  0.00 735.24 
4  15.00  0.00 135.00  0.00 55.00  0.00 95.00  0.00 808.31 
4  15.00  0.00 150.00  0.00 60.00  0.00 105.00  0.00 749.02 
4  15.00  0.00 165.00  0.00 65.00  0.00 115.00  0.00 667.31 
4  15.00  0.00 180.00  0.00 70.00  0.00 125.00  0.00 703.75 
4  15.00  0.00 195.00  0.00 75.00  0.00 135.00  0.00 741.30 
4  15.00  0.00 210.00  0.00 80.00  0.00 145.00  0.00 758.00 
4  15.00  0.00 225.00  0.00 85.00  0.00 155.00  0.00 709.94 
4  20.00  0.00 35.00  0.00 25.00  0.00 30.00  0.00 249.99 
4  20.00  0.00 50.00  0.00 30.00  0.00 40.00  0.00 483.73 
4  20.00  0.00 65.00  0.00 35.00  0.00 50.00  0.00 612.20 
4  20.00  0.00 80.00  0.00 40.00  0.00 60.00  0.00 660.63 
4  20.00  0.00 95.00  0.00 45.00  0.00 70.00  0.00 635.48 
4  20.00  0.00 110.00  0.00 50.00  0.00 80.00  0.00 702.84 
4  20.00  0.00 125.00  0.00 55.00  0.00 90.00  0.00 714.04 
4  20.00  0.00 140.00  0.00 60.00  0.00 100.00  0.00 798.16 
4  20.00  0.00 155.00  0.00 65.00  0.00 110.00  0.00 663.24 
4  20.00  0.00 170.00  0.00 70.00  0.00 120.00  0.00 673.20 
4  20.00  0.00 185.00  0.00 75.00  0.00 130.00  0.00 678.09 
4  20.00  0.00 200.00  0.00 80.00  0.00 140.00  0.00 760.25 
4  20.00  0.00 215.00  0.00 85.00  0.00 150.00  0.00 732.34 
4  20.00  0.00 230.00  0.00 90.00  0.00 160.00  0.00 719.51 
4  25.00  0.00 40.00  0.00 30.00  0.00 35.00  0.00 331.54 
4  25.00  0.00 55.00  0.00 35.00  0.00 45.00  0.00 436.97 
4  25.00  0.00 70.00  0.00 40.00  0.00 55.00  0.00 648.65 
4  25.00  0.00 85.00  0.00 45.00  0.00 65.00  0.00 587.47 
4  25.00  0.00 100.00  0.00 50.00  0.00 75.00  0.00 617.44 
4  25.00  0.00 115.00  0.00 55.00  0.00 85.00  0.00 646.64 
4  25.00  0.00 130.00  0.00 60.00  0.00 95.00  0.00 777.02 
4  25.00  0.00 145.00  0.00 65.00  0.00 105.00  0.00 694.95 
4  25.00  0.00 160.00  0.00 70.00  0.00 115.00  0.00 631.44 
4  25.00  0.00 175.00  0.00 75.00  0.00 125.00  0.00 605.60 
4  25.00  0.00 190.00  0.00 80.00  0.00 135.00  0.00 700.84 
4  25.00  0.00 205.00  0.00 85.00  0.00 145.00  0.00 773.71 
4  25.00  0.00 220.00  0.00 90.00  0.00 155.00  0.00 705.17 
4  25.00  0.00 235.00  0.00 95.00  0.00 165.00  0.00 699.20 
4  30.00  0.00 45.00  0.00 35.00  0.00 40.00  0.00 197.05 
4  30.00  0.00 60.00  0.00 40.00  0.00 50.00  0.00 448.98 
4  30.00  0.00 75.00  0.00 45.00  0.00 60.00  0.00 519.00 
4  30.00  0.00 90.00  0.00 50.00  0.00 70.00  0.00 547.82 
4  30.00  0.00 105.00  0.00 55.00  0.00 80.00  0.00 567.64 
4  30.00  0.00 120.00  0.00 60.00  0.00 90.00  0.00 635.44 
4  30.00  0.00 135.00  0.00 65.00  0.00 100.00  0.00 751.74 
4  30.00  0.00 150.00  0.00 70.00  0.00 110.00  0.00 623.59 
4  30.00  0.00 165.00  0.00 75.00  0.00 120.00  0.00 572.73 
4  30.00  0.00 180.00  0.00 80.00  0.00 130.00  0.00 624.36 
4  30.00  0.00 195.00  0.00 85.00  0.00 140.00  0.00 740.92 
4  30.00  0.00 210.00  0.00 90.00  0.00 150.00  0.00 731.40 
4  30.00  0.00 225.00  0.00 95.00  0.00 160.00  0.00 648.04 
4  35.00  0.00 50.00  0.00 40.00  0.00 45.00  0.00 308.46 
4  35.00  0.00 65.00  0.00 45.00  0.00 55.00  0.00 407.71 
4  35.00  0.00 80.00  0.00 50.00  0.00 65.00  0.00 514.01 
4  35.00  0.00 95.00  0.00 55.00  0.00 75.00  0.00 538.70 
4  35.00  0.00 110.00  0.00 60.00  0.00 85.00  0.00 565.05 
4  35.00  0.00 125.00  0.00 65.00  0.00 95.00  0.00 732.90 
4  35.00  0.00 140.00  0.00 70.00  0.00 105.00  0.00 697.70 
4  35.00  0.00 155.00  0.00 75.00  0.00 115.00  0.00 539.67 
4  35.00  0.00 170.00  0.00 80.00  0.00 125.00  0.00 570.12 
4  35.00  0.00 185.00  0.00 85.00  0.00 135.00  0.00 672.88 
4  35.00  0.00 200.00  0.00 90.00  0.00 145.00  0.00 779.84 
4  35.00  0.00 215.00  0.00 95.00  0.00 155.00  0.00 665.16 
4  35.00  0.00 230.00  0.00 100.00  0.00 165.00  0.00 650.86 
4  40.00  0.00 55.00  0.00 45.00  0.00 50.00  0.00 211.81 
4  40.00  0.00 70.00  0.00 50.00  0.00 60.00  0.00 386.37 
4  40.00  0.00 85.00  0.00 55.00  0.00 70.00  0.00 449.50 
4  40.00  0.00 100.00  0.00 60.00  0.00 80.00  0.00 472.06 
4  40.00  0.00 115.00  0.00 65.00  0.00 90.00  0.00 541.86 
4  40.00  0.00 130.00  0.00 70.00  0.00 100.00  0.00 730.41 
4  40.00  0.00 145.00  0.00 75.00  0.00 110.00  0.00 524.91 
4  40.00  0.00 160.00  0.00 80.00  0.00 120.00  0.00 532.18 
4  40.00  0.00 175.00  0.00 85.00  0.00 130.00  0.00 586.08 
4  40.00  0.00 190.00  0.00 90.00  0.00 140.00  0.00 701.80 
4  40.00  0.00 205.00  0.00 95.00  0.00 150.00  0.00 685.80 
4  40.00  0.00 220.00  0.00 100.00  0.00 160.00  0.00 607.82 
4  40.00  0.00 235.00  0.00 105.00  0.00 170.00  0.00 682.58 
4  45.00  0.00 60.00  0.00 50.00  0.00 55.00  0.00 240.83 
4  45.00  0.00 75.00  0.00 55.00  0.00 65.00  0.00 354.19 
4  45.00  0.00 90.00  0.00 60.00  0.00 75.00  0.00 499.50 
4  45.00  0.00 105.00  0.00 65.00  0.00 85.00  0.00 434.89 
4  45.00  0.00 120.00  0.00 70.00  0.00 95.00  0.00 666.04 
4  45.00  0.00 135.00  0.00 75.00  0.00 105.00  0.00 613.25 
4  45.00  0.00 150.00  0.00 80.00  0.00 115.00  0.00 497.21 
4  45.00  0.00 165.00  0.00 85.00  0.00 125.00  0.00 540.19 
4  45.00  0.00 180.00  0.00 90.00  0.00 135.00  0.00 628.98 
4  45.00  0.00 195.00  0.00 95.00  0.00 145.00  0.00 697.73 
4  45.00  0.00 210.00  0.00 100.00  0.00 155.00  0.00 637.05 
4  45.00  0.00 225.00  0.00 105.00  0.00 165.00  0.00 639.43 
4  50.00  0.00 65.00  0.00 55.00  0.00 60.00  0.00 204.20 
4  50.00  0.00 80.00  0.00 60.00  0.00 70.00  0.00 313.23 
4  50.00  0.00 95.00  0.00 65.00  0.00 80.00  0.00 396.92 
4  50.00  0.00 110.00  0.00 70.00  0.00 90.00  0.00 459.05 
