4  5.00 0.00 0.00  0.00 10.00  0.00 15.00  0.00 2301.76 
4  5.00 0.00 0.00  0.00 15.00  0.00 20.00  0.00 2412.98 
4  5.00 0.00 0.00  0.00 20.00  0.00 25.00  0.00 3641.43 
4  5.00 0.00 0.00  0.00 25.00  0.00 30.00  0.00 4195.38 
4  5.00 0.00 0.00  0.00 30.00  0.00 35.00  0.00 3345.86 
4  5.00 0.00 0.00  0.00 35.00  0.00 40.00  0.00 2568.95 
4  5.00 0.00 0.00  0.00 40.00  0.00 45.00  0.00 3109.93 
4  5.00 0.00 0.00  0.00 45.00  0.00 50.00  0.00 6039.28 
4  5.00 0.00 0.00  0.00 50.00  0.00 55.00  0.00 3510.43 
4  5.00 0.00 0.00  0.00 55.00  0.00 60.00  0.00 2031.41 
4  5.00 0.00 0.00  0.00 60.00  0.00 65.00  0.00 3051.49 
4  5.00 0.00 0.00  0.00 65.00  0.00 70.00  0.00 3051.16 
4  5.00 0.00 0.00  0.00 70.00  0.00 75.00  0.00 3202.17 
4  5.00 0.00 0.00  0.00 75.00  0.00 80.00  0.00 3881.29 
4  5.00 0.00 0.00  0.00 80.00  0.00 85.00  0.00 3330.20 
4  5.00 0.00 0.00  0.00 85.00  0.00 90.00  0.00 6491.99 
4  5.00 0.00 0.00  0.00 90.00  0.00 95.00  0.00 5320.08 
4  5.00 0.00 0.00  0.00 95.00  0.00 100.00  0.00 4426.62 
4  5.00 0.00 0.00  0.00 100.00  0.00 105.00  0.00 7174.97 
4  5.00 0.00 0.00  0.00 105.00  0.00 110.00  0.00 7034.79 
4  5.00 0.00 0.00  0.00 110.00  0.00 115.00  0.00 7004.30 
4  5.00 0.00 0.00  0.00 115.00  0.00 120.00  0.00 11781.03 
4  5.00 0.00 0.00  0.00 120.00  0.00 125.00  0.00 8678.62 
4  5.00 0.00 0.00  0.00 125.00  0.00 130.00  0.00 9590.04 
4  5.00 0.00 0.00  0.00 130.00  0.00 135.00  0.00 8531.05 
4  5.00 0.00 0.00  0.00 135.00  0.00 140.00  0.00 10645.40 
4  5.00 0.00 0.00  0.00 140.00  0.00 145.00  0.00 10694.11 
4  5.00 0.00 0.00  0.00 145.00  0.00 150.00  0.00 13677.72 
4  5.00 0.00 0.00  0.00 150.00  0.00 155.00  0.00 10678.23 
4  5.00 0.00 0.00  0.00 155.00  0.00 160.00  0.00 11902.32 
4  5.00 0.00 0.00  0.00 160.00  0.00 165.00  0.00 7426.05 
4  5.00 0.00 0.00  0.00 165.00  0.00 170.00  0.00 11813.36 
4  10.00 0.00 5.00  0.00 15.00  0.00 20.00  0.00 9239.26 
4  10.00 0.00 5.00  0.00 20.00  0.00 25.00  0.00 11776.12 
4  10.00 0.00 5.00  0.00 25.00  0.00 30.00  0.00 14740.28 
4  10.00 0.00 5.00  0.00 30.00  0.00 35.00  0.00 11800.46 
4  10.00 0.00 5.00  0.00 35.00  0.00 40.00  0.00 7805.27 
4  10.00 0.00 5.00  0.00 40.00  0.00 45.00  0.00 11076.88 
