48 	 # Number of sensors 
# x z 
0	-21.8
5	-22.17
10	-22.98
15	-24.16
20	-24.67
25	-24.54
30	-24.01
35	-23.17
40	-22.54
45	-21.95
50	-21.14
55	-20.25
60	-19.56
65	-18.55
70	-17.02
75	-16.26
80	-15.19
85	-14.19
90	-13.23
95	-12.53
100	-11.21
105	-10.51
110	-9.63
115	-9.14
120	-8.66
125	-8.31
130	-7.86
135	-7.09
140	-6.68
145	-6.01
150	-5.21
155	-4.83
160	-4.47
165	-3.93
170	-3.16
175	-2.99
180	-2.86
185	-1.77
190	-1.19
195	-0.49
200	-0.05
205	0
210	-0.08
215	-0.2
220	-0.68
225	-0.8
230	-0.6
235	-0.47
896 	 # Number of measurements 
# a b m n rhoa err
2 1 3 4 17705.00 0.040 
3 2 4 5 10922.00 0.040 
4 3 5 6 10567.00 0.040 
5 4 6 7 12906.00 0.040 
6 5 7 8 13558.00 0.040 
7 6 8 9 13182.00 0.040 
8 7 9 10 20883.00 0.040 
9 8 10 11 17618.00 0.040 
10 9 11 12 18039.00 0.040 
11 10 12 13 12851.00 0.040 
12 11 13 14 21445.00 0.040 
13 12 14 15 15093.00 0.040 
14 13 15 16 13601.00 0.040 
15 14 16 17 24209.00 0.040 
16 15 17 18 12224.00 0.040 
17 16 18 19 17160.00 0.040 
18 17 19 20 17717.00 0.040 
19 18 20 21 22050.00 0.040 
20 19 21 22 15418.00 0.040 
21 20 22 23 24237.00 0.040 
22 21 23 24 15655.00 0.040 
23 22 24 25 23219.00 0.040 
24 23 25 26 16435.00 0.040 
25 24 26 27 18711.00 0.040 
26 25 27 28 14563.00 0.040 
27 26 28 29 22569.00 0.040 
28 27 29 30 18763.00 0.040 
29 28 30 31 21603.00 0.040 
30 29 31 32 30667.00 0.040 
31 30 32 33 16063.00 0.040 
32 31 33 34 24854.00 0.040 
33 32 34 35 15039.00 0.040 
34 33 35 36 20775.00 0.040 
35 34 36 37 16594.00 0.040 
36 35 37 38 23323.00 0.040 
37 36 38 39 14832.00 0.040 
38 37 39 40 30556.00 0.040 
39 38 40 41 36413.00 0.040 
40 39 41 42 54348.00 0.040 
41 40 42 43 24116.00 0.040 
42 41 43 44 23916.00 0.040 
43 42 44 45 17311.00 0.040 
44 43 45 46 16196.00 0.040 
45 44 46 47 19176.00 0.040 
46 45 47 48 17962.00 0.040 
2 1 4 5 24351.00 0.040 
3 2 5 6 16751.00 0.040 
4 3 6 7 22062.00 0.040 
5 4 7 8 22696.00 0.040 
6 5 8 9 21356.00 0.040 
7 6 9 10 26433.00 0.040 
8 7 10 11 32967.00 0.040 
9 8 11 12 32773.00 0.040 
10 9 12 13 22190.00 0.040 
11 10 13 14 30104.00 0.040 
12 11 14 15 37517.00 0.040 
13 12 15 16 17918.00 0.040 
14 13 16 17 33252.00 0.040 
15 14 17 18 35314.00 0.040 
16 15 18 19 22707.00 0.040 
17 16 19 20 27282.00 0.040 
18 17 20 21 36794.00 0.040 
19 18 21 22 28819.00 0.040 
20 19 22 23 29445.00 0.040 
21 20 23 24 32060.00 0.040 
22 21 24 25 35719.00 0.040 
23 22 25 26 32085.00 0.040 
24 23 26 27 26512.00 0.040 
25 24 27 28 26986.00 0.040 
26 25 28 29 36898.00 0.040 
27 26 29 30 38571.00 0.040 
28 27 30 31 30886.00 0.040 
29 28 31 32 47406.00 0.040 
30 29 32 33 36987.00 0.040 
31 30 33 34 39819.00 0.040 
32 31 34 35 41347.00 0.040 
33 32 35 36 26733.00 0.040 
34 33 36 37 33843.00 0.040 
35 34 37 38 49487.00 0.040 
36 35 38 39 27163.00 0.040 
37 36 39 40 31450.00 0.040 
38 37 40 41 39899.00 0.040 
39 38 41 42 40334.00 0.040 
40 39 42 43 57600.00 0.040 
41 40 43 44 37602.00 0.040 
42 41 44 45 36213.00 0.040 
43 42 45 46 27242.00 0.040 
44 43 46 47 35824.00 0.040 
45 44 47 48 38185.00 0.040 
2 1 5 6 31558.00 0.040 
3 2 6 7 28436.00 0.040 
4 3 7 8 35573.00 0.040 
5 4 8 9 29437.00 0.040 
6 5 9 10 33449.00 0.040 
7 6 10 11 37412.00 0.040 
8 7 11 12 52969.00 0.040 
9 8 12 13 33489.00 0.040 
10 9 13 14 37831.00 0.040 
11 10 14 15 49558.00 0.040 
12 11 15 16 36899.00 0.040 
13 12 16 17 37500.00 0.040 
15 14 18 19 53394.00 0.040 
16 15 19 20 31251.00 0.040 
17 16 20 21 52277.00 0.040 
18 17 21 22 42945.00 0.040 
19 18 22 23 47828.00 0.040 
20 19 23 24 33348.00 0.040 
21 20 24 25 59228.00 0.040 
22 21 25 26 42337.00 0.040 
23 22 26 27 47184.00 0.040 
24 23 27 28 33960.00 0.040 
25 24 28 29 53217.00 0.040 
26 25 29 30 59028.00 0.040 
27 26 30 31 51529.00 0.040 
28 27 31 32 54859.00 0.040 
29 28 32 33 47814.00 0.040 
30 29 33 34 70909.00 0.040 
31 30 34 35 54444.00 0.040 
32 31 35 36 58302.00 0.040 
33 32 36 37 36517.00 0.040 
34 33 37 38 81928.00 0.040 
35 34 38 39 41062.00 0.040 
36 35 39 40 49620.00 0.040 
37 36 40 41 36365.00 0.040 
38 37 41 42 59397.00 0.040 
39 38 42 43 44425.00 0.040 
40 39 43 44 70832.00 0.040 
41 40 44 45 50942.00 0.040 
42 41 45 46 46994.00 0.040 
43 42 46 47 47916.00 0.040 
44 43 47 48 51959.00 0.040 
2 1 6 7 46564.00 0.040 
3 2 7 8 41614.00 0.040 
4 3 8 9 43996.00 0.040 
5 4 9 10 42615.00 0.040 
6 5 10 11 42068.00 0.040 
7 6 11 12 54411.00 0.040 
8 7 12 13 48620.00 0.040 
9 8 13 14 61706.00 0.040 
10 9 14 15 62867.00 0.040 
11 10 15 16 43921.00 0.040 
12 11 16 17 68682.00 0.040 
13 12 17 18 44897.00 0.040 
14 13 18 19 63559.00 0.040 
15 14 19 20 64852.00 0.040 
16 15 20 21 52394.00 0.040 
17 16 21 22 57118.00 0.040 
18 17 22 23 62124.00 0.040 
19 18 23 24 49659.00 0.040 
20 19 24 25 58062.00 0.040 
21 20 25 26 65011.00 0.040 
22 21 26 27 58552.00 0.040 
23 22 27 28 56649.00 0.040 
24 23 28 29 63828.00 0.040 
25 24 29 30 75237.00 0.040 
26 25 30 31 72630.00 0.040 
27 26 31 32 80166.00 0.040 
28 27 32 33 48762.00 0.040 
29 28 33 34 84158.00 0.040 
30 29 34 35 84359.00 0.040 
31 30 35 36 67828.00 0.040 
32 31 36 37 72756.00 0.040 
33 32 37 38 86770.00 0.040 
34 33 38 39 58130.00 0.040 
35 34 39 40 70477.00 0.040 
36 35 40 41 51743.00 0.040 
37 36 41 42 51789.00 0.040 
38 37 42 43 69320.00 0.040 
39 38 43 44 55438.00 0.040 
40 39 44 45 83808.00 0.040 
41 40 45 46 59690.00 0.040 
42 41 46 47 74270.00 0.040 
43 42 47 48 60502.00 0.040 
2 1 7 8 74954.00 0.040 
3 2 8 9 50464.00 0.040 
4 3 9 10 59875.00 0.040 
5 4 10 11 52120.00 0.040 
6 5 11 12 58992.00 0.040 
7 6 12 13 47296.00 0.040 
8 7 13 14 85651.00 0.040 
9 8 14 15 80892.00 0.040 
10 9 15 16 51251.00 0.040 
11 10 16 17 76232.00 0.040 
12 11 17 18 80168.00 0.040 
13 12 18 19 58079.00 0.040 
14 13 19 20 74609.00 0.040 
15 14 20 21 102714.00 0.040 
16 15 21 22 53940.00 0.040 
17 16 22 23 78239.00 0.040 
18 17 23 24 61484.00 0.040 
19 18 24 25 80680.00 0.040 
20 19 25 26 60157.00 0.040 
21 20 26 27 86600.00 0.040 
22 21 27 28 67502.00 0.040 
23 22 28 29 100902.00 0.040 
24 23 29 30 84207.00 0.040 
25 24 30 31 82675.00 0.040 
26 25 31 32 108980.00 0.040 
27 26 32 33 67638.00 0.040 
28 27 33 34 80986.00 0.040 
29 28 34 35 97394.00 0.040 
30 29 35 36 96241.00 0.040 
31 30 36 37 76841.00 0.040 
32 31 37 38 168555.00 0.040 
33 32 38 39 55685.00 0.040 
34 33 39 40 101475.00 0.040 
35 34 40 41 69076.00 0.040 
36 35 41 42 68470.00 0.040 
37 36 42 43 58200.00 0.040 
38 37 43 44 90777.00 0.040 
39 38 44 45 61434.00 0.040 
40 39 45 46 92816.00 0.040 
41 40 46 47 88413.00 0.040 
42 41 47 48 86128.00 0.040 
2 1 8 9 79804.00 0.040 
3 2 9 10 69781.00 0.040 
4 3 10 11 71383.00 0.040 
