48 	 # Number of sensors 
# x z 
0	0
5	-1.75
10	-3.19
15	-4.58
20	-6.25
25	-7.5
30	-9.17
35	-10.18
40	-11.41
45	-12.55
50	-12.76
55	-12.4
60	-11.7
65	-11.6
70	-11.46
75	-12.54
80	-13.28
85	-14.07
90	-15.52
95	-16.69
100	-17.79
105	-17.54
110	-17.56
115	-18.56
120	-19.06
125	-20.12
130	-19.87
135	-19.85
140	-20.08
145	-21.18
150	-22.87
155	-23.98
160	-24.79
165	-24.83
170	-24.91
175	-25.57
180	-25.86
185	-26.38
190	-27.07
195	-27.55
200	-28.15
205	-31.8
210	-34.55
215	-37.68
220	-38.44
225	-39.45
230	-40.19
235	-41.25
360 	 # Number of measurements 
# a b m n rhoa err
48 45 47 46 183101.16 0.040 
47 44 46 45 206677.61 0.040 
46 43 45 44 208371.03 0.040 
45 42 44 43 181507.97 0.040 
44 41 43 42 150697.22 0.040 
43 40 42 41 123251.01 0.040 
42 39 41 40 175771.28 0.040 
41 38 40 39 119198.12 0.040 
40 37 39 38 135548.45 0.040 
39 36 38 37 159814.88 0.040 
38 35 37 36 117498.95 0.040 
37 34 36 35 191522.67 0.040 
36 33 35 34 106435.98 0.040 
35 32 34 33 156903.39 0.040 
34 31 33 32 132569.92 0.040 
33 30 32 31 106015.44 0.040 
32 29 31 30 136959.28 0.040 
31 28 30 29 102367.22 0.040 
30 27 29 28 111545.13 0.040 
29 26 28 27 105368.00 0.040 
28 25 27 26 124466.94 0.040 
27 24 26 25 120665.45 0.040 
26 23 25 24 117308.01 0.040 
25 22 24 23 107763.67 0.040 
24 21 23 22 112036.69 0.040 
23 20 22 21 61753.79 0.040 
22 19 21 20 89547.46 0.040 
21 18 20 19 97367.86 0.040 
20 17 19 18 126986.43 0.040 
19 16 18 17 127064.00 0.040 
18 15 17 16 99343.35 0.040 
17 14 16 15 144939.58 0.040 
16 13 15 14 62880.80 0.040 
15 12 14 13 59044.06 0.040 
14 11 13 12 36638.63 0.040 
13 10 12 11 29776.66 0.040 
12 9 11 10 52761.57 0.040 
11 8 10 9 46730.70 0.040 
10 7 9 8 25038.26 0.040 
9 6 8 7 46816.74 0.040 
8 5 7 6 23075.60 0.040 
7 4 6 5 22286.97 0.040 
6 3 5 4 14476.15 0.040 
5 2 4 3 10649.59 0.040 
4 1 3 2 5635.79 0.040 
48 42 46 44 202903.72 0.040 
47 41 45 43 217417.75 0.040 
46 40 44 42 220064.03 0.040 
45 39 43 41 203737.52 0.040 
44 38 42 40 209245.53 0.040 
43 37 41 39 206556.59 0.040 
42 36 40 38 184602.31 0.040 
41 35 39 37 192957.22 0.040 
40 34 38 36 211988.66 0.040 
39 33 37 35 210574.81 0.040 
38 32 36 34 183786.48 0.040 
37 31 35 33 174990.30 0.040 
36 30 34 32 210722.45 0.040 
35 29 33 31 201701.55 0.040 
34 28 32 30 187397.66 0.040 
33 27 31 29 176004.12 0.040 
32 26 30 28 149971.16 0.040 
31 25 29 27 153215.42 0.040 
30 24 28 26 191000.70 0.040 
29 23 27 25 179135.33 0.040 
28 22 26 24 158744.42 0.040 
27 21 25 23 165217.36 0.040 
26 20 24 22 175741.67 0.040 
25 19 23 21 150592.84 0.040 
