48 	 # Number of sensors 
# x z 
0.00 -9.30 
4.90 -8.60 
9.90 -7.90 
14.90 -7.40 
19.90 -7.10 
24.90 -6.90 
29.90 -6.80 
34.90 -6.70 
39.90 -6.60 
44.90 -6.30 
49.80 -6.20 
54.80 -5.70 
59.80 -5.00 
64.80 -4.50 
69.70 -4.20 
74.70 -3.80 
79.70 -3.20 
84.70 -2.80 
89.70 -2.50 
94.70 -2.20 
99.70 -2.00 
104.60 -1.80 
109.60 -1.60 
114.60 -1.30 
119.60 -1.20 
124.60 -1.00 
129.60 -0.80 
134.60 -0.40 
139.60 -0.30 
144.60 -0.10 
149.60 -0.10 
154.60 0.00 
159.60 -0.40 
164.60 -1.00 
169.50 -1.30 
174.50 -1.40 
179.50 -1.60 
184.50 -1.70 
189.50 -1.60 
194.50 -1.60 
199.50 -1.60 
204.50 -1.70 
209.50 -2.30 
214.50 -2.90 
219.40 -3.40 
224.40 -3.40 
229.40 -3.30 
234.40 -3.20 
792 	 # Number of measurements 
# a b m n rhoa err
1 2 3 4 62.79 0.040 
2 3 4 5 32.63 0.040 
3 4 5 6 57.11 0.040 
4 5 6 7 125.78 0.040 
5 6 7 8 149.50 0.040 
6 7 8 9 100.24 0.040 
7 8 9 10 77.66 0.040 
10 11 12 13 23.07 0.040 
11 12 13 14 16.86 0.040 
13 14 15 16 57.24 0.040 
14 15 16 17 73.28 0.040 
15 16 17 18 173.27 0.040 
16 17 18 19 197.84 0.040 
17 18 19 20 438.71 0.040 
18 19 20 21 268.09 0.040 
19 20 21 22 313.29 0.040 
20 21 22 23 226.90 0.040 
21 22 23 24 258.65 0.040 
22 23 24 25 201.32 0.040 
23 24 25 26 177.20 0.040 
25 26 27 28 229.81 0.040 
26 27 28 29 180.92 0.040 
27 28 29 30 227.44 0.040 
28 29 30 31 152.17 0.040 
29 30 31 32 185.65 0.040 
30 31 32 33 167.26 0.040 
31 32 33 34 239.11 0.040 
32 33 34 35 258.27 0.040 
33 34 35 36 97.96 0.040 
34 35 36 37 116.49 0.040 
35 36 37 38 110.57 0.040 
36 37 38 39 163.07 0.040 
37 38 39 40 111.09 0.040 
38 39 40 41 188.15 0.040 
39 40 41 42 139.60 0.040 
41 42 43 44 318.15 0.040 
42 43 44 45 247.40 0.040 
43 44 45 46 522.73 0.040 
44 45 46 47 283.67 0.040 
45 46 47 48 365.14 0.040 
2 3 5 6 37.22 0.040 
3 4 6 7 77.44 0.040 
4 5 7 8 200.36 0.040 
5 6 8 9 76.53 0.040 
6 7 9 10 60.95 0.040 
9 10 12 13 25.44 0.040 
11 12 14 15 29.25 0.040 
12 13 15 16 84.84 0.040 
13 14 16 17 103.35 0.040 
14 15 17 18 237.35 0.040 
15 16 18 19 240.34 0.040 
16 17 19 20 293.25 0.040 
17 18 20 21 340.88 0.040 
18 19 21 22 549.24 0.040 
19 20 22 23 438.91 0.040 
20 21 23 24 282.81 0.040 
21 22 24 25 424.86 0.040 
22 23 25 26 392.59 0.040 
23 24 26 27 284.59 0.040 
24 25 27 28 323.25 0.040 
25 26 28 29 361.88 0.040 
26 27 29 30 298.12 0.040 
27 28 30 31 307.57 0.040 
28 29 31 32 230.17 0.040 
29 30 32 33 269.61 0.040 
30 31 33 34 292.75 0.040 
31 32 34 35 257.36 0.040 
32 33 35 36 109.21 0.040 
33 34 36 37 175.89 0.040 
34 35 37 38 218.53 0.040 
35 36 38 39 96.40 0.040 
36 37 39 40 59.57 0.040 
37 38 40 41 341.72 0.040 
38 39 41 42 222.24 0.040 
40 41 43 44 659.82 0.040 
42 43 45 46 448.47 0.040 
43 44 46 47 462.19 0.040 
44 45 47 48 355.39 0.040 
1 2 5 6 74.47 0.040 
2 3 6 7 77.44 0.040 
3 4 7 8 117.23 0.040 
