72 	 # Number of sensors 
# x z 
0.00 4237.96 
5.00 4238.56 
10.00 4238.00 
15.00 4238.43 
20.00 4238.79 
25.00 4238.43 
30.00 4238.04 
35.00 4237.89 
40.00 4237.40 
45.00 4235.92 
50.00 4234.80 
55.00 4233.89 
60.00 4233.53 
65.00 4232.72 
70.00 4232.40 
75.00 4232.21 
80.00 4232.16 
85.00 4232.13 
90.00 4230.68 
95.00 4229.63 
100.00 4229.31 
105.00 4228.98 
110.00 4228.75 
115.00 4229.17 
120.00 4228.48 
125.00 4228.04 
130.00 4228.96 
135.00 4229.17 
140.00 4229.28 
145.00 4229.37 
150.00 4229.02 
155.00 4228.07 
160.00 4229.83 
165.00 4229.53 
170.00 4229.40 
175.00 4229.23 
180.00 4229.09 
185.00 4228.86 
190.00 4228.66 
195.00 4228.50 
200.00 4228.46 
205.00 4228.52 
210.00 4228.30 
215.00 4227.88 
220.00 4227.19 
225.00 4226.28 
230.00 4225.02 
235.00 4223.81 
240.00 4224.78 
245.00 4223.73 
250.00 4223.09 
255.00 4222.64 
260.00 4222.00 
265.00 4221.11 
270.00 4220.58 
275.00 4219.67 
280.00 4219.79 
285.00 4219.45 
290.00 4218.37 
295.00 4217.65 
300.00 4217.81 
305.00 4219.25 
310.00 4219.25 
315.00 4218.36 
320.00 4217.90 
325.00 4218.74 
330.00 4220.00 
335.00 4220.38 
340.00 4220.49 
345.00 4220.27 
350.00 4214.46 
355.00 4213.69 
1022 	 # Number of measurements 
# a b m n rhoa err
1 2 3 4 312.31 0.040 
1 2 4 5 442.38 0.040 
1 2 5 6 481.15 0.040 
1 2 6 7 608.53 0.040 
1 2 7 8 964.65 0.040 
1 2 8 9 761.65 0.040 
1 2 9 10 1268.04 0.040 
1 2 10 11 1029.32 0.040 
1 2 11 12 1153.82 0.040 
1 2 12 13 1020.65 0.040 
1 2 13 14 1152.65 0.040 
1 2 14 15 949.23 0.040 
1 2 15 16 1505.92 0.040 
1 2 16 17 939.02 0.040 
1 2 17 18 767.35 0.040 
1 2 18 19 799.90 0.040 
1 2 19 20 1376.59 0.040 
1 2 20 21 1109.37 0.040 
1 2 21 22 546.29 0.040 
1 2 22 23 271.14 0.040 
1 2 23 24 609.14 0.040 
1 2 24 25 1077.95 0.040 
1 2 25 26 989.58 0.040 
1 2 26 27 1342.54 0.040 
1 2 27 28 1443.69 0.040 
1 2 28 29 1435.52 0.040 
1 2 29 30 1596.64 0.040 
1 2 30 31 876.42 0.040 
1 2 31 32 1003.62 0.040 
1 2 32 33 840.40 0.040 
1 2 33 34 1129.59 0.040 
1 2 34 35 980.18 0.040 
1 2 35 36 1155.19 0.040 
1 2 36 37 578.78 0.040 
1 2 37 38 852.61 0.040 
1 2 38 39 771.47 0.040 
1 2 39 40 786.61 0.040 
1 2 40 41 1314.40 0.040 
1 2 41 42 1915.83 0.040 
1 2 42 43 2153.27 0.040 
1 2 43 44 1829.47 0.040 
1 2 44 45 1963.40 0.040 
1 2 45 46 1142.47 0.040 
1 2 46 47 670.45 0.040 
1 2 47 48 567.95 0.040 
2 3 4 5 253.50 0.040 
2 3 5 6 343.46 0.040 
2 3 6 7 483.43 0.040 
2 3 7 8 795.41 0.040 
2 3 8 9 648.69 0.040 
2 3 9 10 1099.71 0.040 
2 3 10 11 893.61 0.040 
2 3 11 12 1003.78 0.040 
2 3 12 13 882.68 0.040 
2 3 13 14 1015.89 0.040 
2 3 14 15 826.70 0.040 
2 3 15 16 1317.92 0.040 
2 3 16 17 845.19 0.040 
2 3 17 18 647.77 0.040 
2 3 18 19 699.80 0.040 
2 3 19 20 1288.16 0.040 
2 3 20 21 903.26 0.040 
2 3 21 22 621.94 0.040 
2 3 22 23 228.18 0.040 
2 3 23 24 539.09 0.040 
2 3 24 25 1028.99 0.040 
2 3 25 26 899.38 0.040 
2 3 26 27 1095.35 0.040 
2 3 27 28 1344.52 0.040 
2 3 28 29 1150.65 0.040 
2 3 29 30 1533.32 0.040 
2 3 30 31 715.98 0.040 
2 3 31 32 932.77 0.040 
2 3 32 33 636.45 0.040 
2 3 33 34 1203.99 0.040 
2 3 34 35 770.20 0.040 
2 3 35 36 1166.58 0.040 
2 3 36 37 482.62 0.040 
2 3 37 38 765.83 0.040 
2 3 38 39 623.09 0.040 
2 3 39 40 789.32 0.040 
2 3 40 41 1097.26 0.040 
2 3 41 42 1647.75 0.040 
2 3 42 43 638.04 0.040 
2 3 44 45 1556.25 0.040 
2 3 45 46 1230.66 0.040 
2 3 46 47 469.63 0.040 
2 3 47 48 603.08 0.040 
3 4 5 6 232.35 0.040 
3 4 6 7 405.59 0.040 
3 4 7 8 722.59 0.040 
3 4 8 9 631.20 0.040 
3 4 9 10 1094.02 0.040 
3 4 10 11 924.52 0.040 
3 4 11 12 1031.65 0.040 
3 4 12 13 919.06 0.040 
3 4 13 14 1056.82 0.040 
3 4 14 15 891.36 0.040 
3 4 15 16 1367.15 0.040 
3 4 16 17 890.46 0.040 
3 4 17 18 682.97 0.040 
3 4 18 19 795.96 0.040 
3 4 19 20 1312.44 0.040 
3 4 20 21 1041.40 0.040 
3 4 21 22 586.61 0.040 
3 4 22 23 272.46 0.040 
3 4 23 24 571.31 0.040 
3 4 24 25 1102.73 0.040 
3 4 25 26 928.55 0.040 
3 4 26 27 1254.28 0.040 
3 4 27 28 1277.80 0.040 
3 4 28 29 1362.09 0.040 
3 4 29 30 1530.56 0.040 
3 4 30 31 727.33 0.040 
3 4 31 32 1041.84 0.040 
3 4 32 33 643.17 0.040 
3 4 33 34 1280.11 0.040 
3 4 34 35 784.78 0.040 
3 4 35 36 1639.36 0.040 
3 4 37 38 1654.86 0.040 
3 4 39 40 2209.30 0.040 
3 4 42 43 155.97 0.040 
4 5 6 7 177.79 0.040 
4 5 7 8 373.72 0.040 
4 5 8 9 373.13 0.040 
4 5 9 10 709.85 0.040 
4 5 10 11 631.02 0.040 
4 5 11 12 725.37 0.040 
4 5 12 13 664.52 0.040 
4 5 13 14 751.53 0.040 
4 5 14 15 664.39 0.040 
4 5 15 16 1012.85 0.040 
4 5 16 17 642.66 0.040 
4 5 17 18 549.03 0.040 
4 5 18 19 621.50 0.040 
4 5 19 20 895.35 0.040 
4 5 20 21 928.81 0.040 
4 5 21 22 231.20 0.040 
4 5 22 23 235.33 0.040 
4 5 23 24 449.95 0.040 
4 5 24 25 753.39 0.040 
4 5 25 26 685.53 0.040 
4 5 26 27 1110.64 0.040 
4 5 27 28 859.94 0.040 
4 5 28 29 1279.15 0.040 
4 5 29 30 893.99 0.040 
4 5 30 31 739.74 0.040 
4 5 31 32 596.60 0.040 
4 5 32 33 960.78 0.040 
4 5 33 34 492.75 0.040 
4 5 34 35 1000.93 0.040 
4 5 35 36 552.27 0.040 
4 5 36 37 552.39 0.040 
4 5 37 38 545.28 0.040 
4 5 38 39 729.16 0.040 
4 5 39 40 433.90 0.040 
4 5 40 41 1180.12 0.040 
