72 	 # Number of sensors 
# x z 
0.00 4237.96 
5.00 4238.56 
10.00 4238.00 
15.00 4238.43 
20.00 4238.79 
25.00 4238.43 
30.00 4238.04 
35.00 4237.89 
40.00 4237.40 
45.00 4235.92 
50.00 4234.80 
55.00 4233.89 
60.00 4233.53 
65.00 4232.72 
70.00 4232.40 
75.00 4232.21 
80.00 4232.16 
85.00 4232.13 
90.00 4230.68 
95.00 4229.63 
100.00 4229.31 
105.00 4228.98 
110.00 4228.75 
115.00 4229.17 
120.00 4228.48 
125.00 4228.04 
130.00 4228.96 
135.00 4229.17 
140.00 4229.28 
145.00 4229.37 
150.00 4229.02 
155.00 4228.07 
160.00 4229.83 
165.00 4229.53 
170.00 4229.40 
175.00 4229.23 
180.00 4229.09 
185.00 4228.86 
190.00 4228.66 
195.00 4228.50 
200.00 4228.46 
205.00 4228.52 
210.00 4228.30 
215.00 4227.88 
220.00 4227.19 
225.00 4226.28 
230.00 4225.02 
235.00 4223.81 
240.00 4224.78 
245.00 4223.73 
250.00 4223.09 
255.00 4222.64 
260.00 4222.00 
265.00 4221.11 
270.00 4220.58 
275.00 4219.67 
280.00 4219.79 
285.00 4219.45 
290.00 4218.37 
295.00 4217.65 
300.00 4217.81 
305.00 4219.25 
310.00 4219.25 
315.00 4218.36 
320.00 4217.90 
325.00 4218.74 
330.00 4220.00 
335.00 4220.38 
340.00 4220.49 
345.00 4220.27 
350.00 4214.46 
355.00 4213.69 
360 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 383.46 0.040 
1 7 3 5 569.83 0.040 
1 10 4 7 589.99 0.040 
1 13 5 9 622.97 0.040 
1 16 6 11 677.52 0.040 
1 19 7 13 732.08 0.040 
1 22 8 15 697.92 0.040 
1 25 9 17 794.95 0.040 
1 28 10 19 738.26 0.040 
1 31 11 21 783.45 0.040 
1 34 12 23 697.86 0.040 
1 37 13 25 714.04 0.040 
1 40 14 27 756.40 0.040 
1 43 15 29 763.77 0.040 
1 46 16 31 693.56 0.040 
2 5 3 4 370.97 0.040 
2 8 4 6 485.26 0.040 
2 11 5 8 627.77 0.040 
2 14 6 10 685.32 0.040 
2 17 7 12 717.52 0.040 
2 20 8 14 703.46 0.040 
2 23 9 16 793.10 0.040 
2 26 10 18 753.42 0.040 
2 29 11 20 803.44 0.040 
2 32 12 22 745.51 0.040 
2 35 13 24 690.84 0.040 
2 38 14 26 718.03 0.040 
2 41 15 28 788.20 0.040 
2 44 16 30 734.74 0.040 
2 47 17 32 704.74 0.040 
3 6 4 5 313.39 0.040 
3 9 5 7 468.94 0.040 
3 12 6 9 611.30 0.040 
3 15 7 11 708.45 0.040 
3 18 8 13 682.82 0.040 
3 21 9 15 712.22 0.040 
3 24 10 17 752.74 0.040 
3 27 11 19 747.69 0.040 
3 30 12 21 777.00 0.040 
3 33 13 23 699.19 0.040 
3 36 14 25 685.25 0.040 
3 39 15 27 746.72 0.040 
3 42 16 29 752.88 0.040 
3 45 17 31 700.98 0.040 
3 48 18 33 723.38 0.040 
4 7 5 6 279.35 0.040 
4 10 6 8 535.44 0.040 
4 13 7 10 701.58 0.040 
4 16 8 12 656.92 0.040 
4 19 9 14 743.44 0.040 
4 22 10 16 713.61 0.040 
4 25 11 18 735.24 0.040 
4 28 12 20 808.31 0.040 
4 31 13 22 749.02 0.040 
4 34 14 24 667.31 0.040 
4 37 15 26 703.75 0.040 
4 40 16 28 741.30 0.040 
4 43 17 30 758.00 0.040 
4 46 18 32 709.94 0.040 
5 8 6 7 249.99 0.040 
5 11 7 9 483.73 0.040 
5 14 8 11 612.20 0.040 
5 17 9 13 660.63 0.040 
5 20 10 15 635.48 0.040 
5 23 11 17 702.84 0.040 
5 26 12 19 714.04 0.040 
5 29 13 21 798.16 0.040 
5 32 14 23 663.24 0.040 
5 35 15 25 673.20 0.040 
5 38 16 27 678.09 0.040 
5 41 17 29 760.25 0.040 
5 44 18 31 732.34 0.040 
5 47 19 33 719.51 0.040 
6 9 7 8 331.54 0.040 
6 12 8 10 436.97 0.040 
6 15 9 12 648.65 0.040 
6 18 10 14 587.47 0.040 
6 21 11 16 617.44 0.040 
6 24 12 18 646.64 0.040 
6 27 13 20 777.02 0.040 
6 30 14 22 694.95 0.040 
6 33 15 24 631.44 0.040 
6 36 16 26 605.60 0.040 
6 39 17 28 700.84 0.040 
6 42 18 30 773.71 0.040 
6 45 19 32 705.17 0.040 
6 48 20 34 699.20 0.040 
7 10 8 9 197.05 0.040 
7 13 9 11 448.98 0.040 
7 16 10 13 519.00 0.040 
7 19 11 15 547.82 0.040 
7 22 12 17 567.64 0.040 
7 25 13 19 635.44 0.040 
7 28 14 21 751.74 0.040 
7 31 15 23 623.59 0.040 
7 34 16 25 572.73 0.040 
7 37 17 27 624.36 0.040 
7 40 18 29 740.92 0.040 
7 43 19 31 731.40 0.040 
7 46 20 33 648.04 0.040 
8 11 9 10 308.46 0.040 
8 14 10 12 407.71 0.040 
8 17 11 14 514.01 0.040 
8 20 12 16 538.70 0.040 
8 23 13 18 565.05 0.040 
8 26 14 20 732.90 0.040 
8 29 15 22 697.70 0.040 
8 32 16 24 539.67 0.040 
8 35 17 26 570.12 0.040 
8 38 18 28 672.88 0.040 
8 41 19 30 779.84 0.040 
8 44 20 32 665.16 0.040 
8 47 21 34 650.86 0.040 
9 12 10 11 211.81 0.040 
9 15 11 13 386.37 0.040 
9 18 12 15 449.50 0.040 
9 21 13 17 472.06 0.040 
9 24 14 19 541.86 0.040 
9 27 15 21 730.41 0.040 
9 30 16 23 524.91 0.040 
9 33 17 25 532.18 0.040 
9 36 18 27 586.08 0.040 
9 39 19 29 701.80 0.040 
9 42 20 31 685.80 0.040 
9 45 21 33 607.82 0.040 
9 48 22 35 682.58 0.040 
10 13 11 12 240.83 0.040 
10 16 12 14 354.19 0.040 
10 19 13 16 499.50 0.040 
10 22 14 18 434.89 0.040 
10 25 15 20 666.04 0.040 
10 28 16 22 613.25 0.040 
10 31 17 24 497.21 0.040 
10 34 18 26 540.19 0.040 
10 37 19 28 628.98 0.040 
10 40 20 30 697.73 0.040 
10 43 21 32 637.05 0.040 
10 46 22 34 639.43 0.040 
11 14 12 13 204.20 0.040 
11 17 13 15 313.23 0.040 
11 20 14 17 396.92 0.040 
11 23 15 19 459.05 0.040 
