48 	 # Number of sensors 
# x z 
0.00 -6.55 
2.00 -6.34 
4.00 -6.13 
6.00 -5.88 
7.90 -5.63 
9.90 -5.36 
11.90 -5.10 
13.90 -4.80 
15.90 -4.62 
17.90 -4.38 
19.90 -4.22 
21.90 -4.09 
23.80 -3.86 
25.80 -3.65 
27.80 -3.55 
29.80 -3.17 
31.80 -2.91 
33.80 -2.69 
35.80 -2.60 
37.80 -2.45 
39.70 -2.26 
41.70 -2.19 
43.70 -2.03 
45.70 -1.87 
47.70 -1.59 
49.70 -1.46 
51.70 -1.29 
53.70 -1.08 
55.70 -0.94 
57.70 -0.80 
59.70 -0.65 
61.70 -0.52 
63.70 -0.48 
65.70 -0.24 
67.70 -0.11 
69.60 0.00 
71.60 0.07 
73.60 0.15 
75.60 0.26 
77.60 0.34 
79.60 0.43 
81.60 0.58 
83.60 0.70 
85.60 0.81 
87.60 0.96 
89.60 1.03 
91.60 1.09 
93.60 1.15 
337 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 775.29 0.040 
1 43 15 29 755.43 0.040 
1 40 14 27 707.37 0.040 
1 37 13 25 656.01 0.040 
1 34 12 23 628.82 0.040 
1 31 11 21 637.30 0.040 
1 28 10 19 566.92 0.040 
1 25 9 17 526.17 0.040 
1 19 7 13 467.84 0.040 
1 16 6 11 440.74 0.040 
1 13 5 9 406.18 0.040 
1 10 4 7 349.51 0.040 
1 7 3 5 305.86 0.040 
1 4 2 3 213.35 0.040 
2 47 17 32 769.82 0.040 
2 44 16 30 759.39 0.040 
2 41 15 28 716.67 0.040 
2 38 14 26 668.44 0.040 
2 35 13 24 619.59 0.040 
2 32 12 22 631.52 0.040 
2 29 11 20 566.15 0.040 
2 26 10 18 543.09 0.040 
2 23 9 16 479.81 0.040 
2 17 7 12 430.81 0.040 
2 14 6 10 396.84 0.040 
2 5 3 4 207.30 0.040 
3 48 18 33 748.68 0.040 
3 45 17 31 759.57 0.040 
3 42 16 29 732.80 0.040 
3 39 15 27 683.49 0.040 
3 36 14 25 627.67 0.040 
3 33 13 23 623.20 0.040 
3 30 12 21 622.37 0.040 
3 27 11 19 545.68 0.040 
3 24 10 17 494.20 0.040 
3 21 9 15 441.31 0.040 
3 15 7 11 391.80 0.040 
3 12 6 9 357.83 0.040 
3 9 5 7 282.18 0.040 
3 6 4 5 211.02 0.040 
4 46 18 32 745.15 0.040 
4 43 17 30 741.85 0.040 
4 40 16 28 696.83 0.040 
4 37 15 26 648.03 0.040 
4 34 14 24 602.10 0.040 
4 31 13 22 611.44 0.040 
4 28 12 20 549.29 0.040 
4 25 11 18 523.66 0.040 
4 22 10 16 445.68 0.040 
4 19 9 14 412.78 0.040 
4 13 7 10 348.45 0.040 
4 10 6 8 35.26 0.040 
4 7 5 6 200.21 0.040 
5 47 19 33 739.42 0.040 
5 44 18 31 737.06 0.040 
5 41 17 29 706.76 0.040 
5 38 16 27 667.87 0.040 
5 35 15 25 604.12 0.040 
5 32 14 23 605.04 0.040 
5 29 13 21 600.53 0.040 
5 26 12 19 534.77 0.040 
5 23 11 17 465.06 0.040 
5 20 10 15 431.23 0.040 
5 17 9 13 380.33 0.040 
5 11 7 9 295.54 0.040 
6 48 20 34 764.55 0.040 
6 45 19 32 726.27 0.040 
6 42 18 30 702.02 0.040 
6 39 17 28 671.23 0.040 
6 36 16 26 620.40 0.040 
6 33 15 24 598.23 0.040 
6 30 14 22 593.85 0.040 
6 27 13 20 523.11 0.040 
6 24 12 18 496.93 0.040 
6 21 11 16 413.86 0.040 
6 18 10 14 371.26 0.040 
6 15 9 12 317.51 0.040 
6 9 7 8 74.40 0.040 
7 46 20 33 722.57 0.040 
7 43 19 31 707.49 0.040 
7 40 18 29 661.40 0.040 
7 37 17 27 637.65 0.040 
7 34 16 25 578.23 0.040 
7 31 15 23 577.38 0.040 
7 28 14 21 576.89 0.040 
7 25 13 19 501.40 0.040 
7 22 12 17 427.83 0.040 
7 19 11 15 377.66 0.040 
7 16 10 13 323.59 0.040 
7 13 9 11 256.84 0.040 
9 48 22 35 694.70 0.040 
9 45 21 33 657.07 0.040 
9 42 20 31 681.03 0.040 
9 39 19 29 627.93 0.040 
9 36 18 27 588.55 0.040 
9 33 17 25 567.84 0.040 
9 30 16 23 553.02 0.040 
9 27 15 21 550.11 0.040 
9 24 14 19 463.38 0.040 
9 21 13 17 381.85 0.040 
9 18 12 15 335.45 0.040 
9 15 11 13 255.36 0.040 
9 12 10 11 160.36 0.040 
10 46 22 34 681.88 0.040 
10 43 21 32 633.19 0.040 
10 40 20 30 632.25 0.040 
10 37 19 28 590.22 0.040 
10 34 18 26 537.54 0.040 
10 31 17 24 536.26 0.040 
10 28 16 22 531.03 0.040 
