48 	 # Number of sensors 
# x z 
0.00 3953.49 
5.00 3953.63 
10.00 3954.01 
15.00 3955.71 
20.00 3956.96 
25.00 3958.78 
30.00 3960.26 
35.00 3961.64 
40.00 3963.74 
45.00 3965.35 
50.00 3966.97 
55.00 3968.21 
60.00 3968.94 
65.00 3969.19 
70.00 3969.24 
75.00 3969.11 
80.00 3968.85 
85.00 3968.56 
90.00 3968.65 
95.00 3968.68 
100.00 3968.61 
105.00 3968.76 
110.00 3968.75 
115.00 3968.50 
120.00 3968.28 
125.00 3967.92 
130.00 3967.14 
135.00 3966.62 
140.00 3965.53 
145.00 3964.32 
150.00 3963.15 
155.00 3962.23 
160.00 3961.78 
165.00 3961.74 
170.00 3962.03 
175.00 3962.28 
180.00 3962.25 
185.00 3962.17 
190.00 3961.68 
195.00 3960.87 
200.00 3960.06 
205.00 3959.14 
210.00 3958.26 
215.00 3957.20 
220.00 3955.81 
225.00 3954.19 
230.00 3952.70 
235.00 3951.28 
943 	 # Number of measurements 
# a b m n rhoa err
2 1 3 4 2301.76 0.040 
2 1 4 5 2412.98 0.040 
2 1 5 6 3641.43 0.040 
2 1 6 7 4195.38 0.040 
2 1 7 8 3345.86 0.040 
2 1 8 9 2568.95 0.040 
2 1 9 10 3109.93 0.040 
2 1 10 11 6039.28 0.040 
2 1 11 12 3510.43 0.040 
2 1 12 13 2031.41 0.040 
2 1 13 14 3051.49 0.040 
2 1 14 15 3051.16 0.040 
2 1 15 16 3202.17 0.040 
2 1 16 17 3881.29 0.040 
2 1 17 18 3330.20 0.040 
2 1 18 19 6491.99 0.040 
2 1 19 20 5320.08 0.040 
2 1 20 21 4426.62 0.040 
2 1 21 22 7174.97 0.040 
2 1 22 23 7034.79 0.040 
2 1 23 24 7004.30 0.040 
2 1 24 25 11781.03 0.040 
2 1 25 26 8678.62 0.040 
2 1 26 27 9590.04 0.040 
2 1 27 28 8531.05 0.040 
2 1 28 29 10645.40 0.040 
2 1 29 30 10694.11 0.040 
2 1 30 31 13677.72 0.040 
2 1 31 32 10678.23 0.040 
2 1 32 33 11902.32 0.040 
2 1 33 34 7426.05 0.040 
2 1 34 35 11813.36 0.040 
3 2 4 5 9239.26 0.040 
3 2 5 6 11776.12 0.040 
3 2 6 7 14740.28 0.040 
3 2 7 8 11800.46 0.040 
3 2 8 9 7805.27 0.040 
3 2 9 10 11076.88 0.040 
3 2 10 11 18385.57 0.040 
3 2 11 12 12891.74 0.040 
3 2 12 13 7951.88 0.040 
3 2 13 14 11117.85 0.040 
3 2 14 15 13325.30 0.040 
3 2 15 16 13581.25 0.040 
3 2 16 17 16659.51 0.040 
3 2 17 18 13291.29 0.040 
3 2 18 19 26008.28 0.040 
3 2 19 20 20227.19 0.040 
3 2 20 21 14112.50 0.040 
3 2 21 22 29385.16 0.040 
3 2 22 23 26839.76 0.040 
3 2 23 24 14209.46 0.040 
3 2 24 25 58424.91 0.040 
3 2 25 26 33043.66 0.040 
3 2 26 27 38474.50 0.040 
3 2 27 28 28418.73 0.040 
3 2 28 29 39994.92 0.040 
3 2 29 30 44348.17 0.040 
3 2 30 31 57492.09 0.040 
3 2 31 32 45484.28 0.040 
3 2 32 33 42802.55 0.040 
3 2 33 34 29475.57 0.040 
3 2 34 35 45380.54 0.040 
3 2 35 36 33250.21 0.040 
4 3 5 6 11734.19 0.040 
4 3 6 7 17751.45 0.040 
4 3 7 8 16122.46 0.040 
4 3 8 9 11671.33 0.040 
4 3 9 10 17349.53 0.040 
4 3 10 11 31208.26 0.040 
4 3 11 12 21334.63 0.040 
4 3 12 13 12039.46 0.040 
4 3 13 14 22231.41 0.040 
4 3 14 15 19302.54 0.040 
4 3 15 16 22433.04 0.040 
4 3 16 17 27911.72 0.040 
4 3 17 18 25548.61 0.040 
4 3 18 19 46517.02 0.040 
4 3 19 20 41006.51 0.040 
4 3 20 21 38395.49 0.040 
4 3 21 22 51004.42 0.040 
4 3 22 23 54043.86 0.040 
4 3 23 24 71127.33 0.040 
4 3 24 25 74845.98 0.040 
4 3 25 26 70100.07 0.040 
4 3 26 27 79796.59 0.040 
4 3 27 28 75693.40 0.040 
4 3 28 29 90338.45 0.040 
4 3 29 30 87651.80 0.040 
4 3 30 31 114791.59 0.040 
4 3 31 32 86185.58 0.040 
4 3 32 33 108735.06 0.040 
4 3 33 34 64563.68 0.040 
4 3 34 35 104761.96 0.040 
4 3 35 36 67359.41 0.040 
4 3 36 37 63618.34 0.040 
5 4 6 7 7424.26 0.040 
5 4 7 8 7516.49 0.040 
5 4 8 9 6275.36 0.040 
5 4 9 10 9206.73 0.040 
5 4 10 11 17420.45 0.040 
5 4 11 12 11407.43 0.040 
5 4 12 13 6643.71 0.040 
5 4 13 14 11308.45 0.040 
5 4 14 15 9732.35 0.040 
5 4 15 16 11210.90 0.040 
5 4 16 17 14020.83 0.040 
5 4 17 18 13061.92 0.040 
5 4 18 19 24859.64 0.040 
5 4 19 20 21965.96 0.040 
5 4 20 21 20681.08 0.040 
5 4 21 22 27894.51 0.040 
5 4 22 23 29880.75 0.040 
5 4 23 24 40686.70 0.040 
5 4 24 25 38204.43 0.040 
5 4 25 26 38539.55 0.040 
5 4 26 27 43035.20 0.040 
5 4 27 28 41489.30 0.040 
5 4 28 29 49551.13 0.040 
5 4 29 30 48249.68 0.040 
5 4 30 31 62602.49 0.040 
5 4 31 32 47808.74 0.040 
5 4 32 33 59046.33 0.040 
5 4 33 34 35573.86 0.040 
5 4 34 35 57441.13 0.040 
5 4 35 36 37104.07 0.040 
5 4 36 37 33865.55 0.040 
5 4 37 38 36625.90 0.040 
6 5 7 8 8811.84 0.040 
6 5 8 9 6300.55 0.040 
6 5 9 10 10632.83 0.040 
6 5 10 11 21869.40 0.040 
6 5 11 12 15220.51 0.040 
6 5 12 13 9405.23 0.040 
6 5 13 14 14808.50 0.040 
6 5 14 15 14439.17 0.040 
6 5 15 16 15888.17 0.040 
6 5 16 17 20152.49 0.040 
