48 	 # Number of sensors 
# x z 
0.00 3725.95 
5.00 3725.53 
10.00 3725.41 
15.00 3725.40 
20.00 3725.52 
25.00 3725.78 
30.00 3725.59 
35.00 3725.32 
40.00 3724.88 
45.00 3725.36 
50.00 3725.69 
55.00 3725.95 
60.00 3725.50 
65.00 3725.57 
70.00 3725.19 
75.00 3725.04 
80.00 3725.36 
85.00 3725.73 
90.00 3725.96 
95.00 3726.72 
100.00 3727.00 
105.00 3726.54 
110.00 3726.93 
115.00 3726.79 
120.00 3727.05 
125.00 3726.55 
130.00 3726.82 
135.00 3726.84 
140.00 3726.79 
145.00 3726.87 
150.00 3727.73 
155.00 3727.70 
160.00 3726.76 
165.00 3726.72 
170.00 3726.47 
175.00 3727.00 
180.00 3727.84 
185.00 3726.87 
190.00 3725.89 
195.00 3726.09 
200.00 3726.46 
205.00 3726.63 
210.00 3726.26 
215.00 3726.28 
220.00 3726.41 
225.00 3726.21 
230.00 3725.75 
235.00 3726.03 
288 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 71.06 0.040 
2 5 3 4 99.73 0.040 
3 6 4 5 86.81 0.040 
4 7 5 6 85.30 0.040 
7 10 8 9 27.05 0.040 
9 12 10 11 84.02 0.040 
10 13 11 12 79.43 0.040 
11 14 12 13 61.17 0.040 
12 15 13 14 86.23 0.040 
13 16 14 15 83.34 0.040 
14 17 15 16 93.74 0.040 
15 18 16 17 113.71 0.040 
16 19 17 18 119.75 0.040 
17 20 18 19 128.24 0.040 
18 21 19 20 133.78 0.040 
19 22 20 21 125.70 0.040 
20 23 21 22 133.53 0.040 
21 24 22 23 158.22 0.040 
22 25 23 24 136.14 0.040 
23 26 24 25 132.50 0.040 
24 27 25 26 129.32 0.040 
25 28 26 27 123.54 0.040 
26 29 27 28 109.04 0.040 
27 30 28 29 112.67 0.040 
32 35 33 34 135.66 0.040 
33 36 34 35 164.16 0.040 
34 37 35 36 119.46 0.040 
37 40 38 39 153.15 0.040 
38 41 39 40 223.11 0.040 
39 42 40 41 256.59 0.040 
40 43 41 42 245.66 0.040 
41 44 42 43 294.60 0.040 
42 45 43 44 200.93 0.040 
43 46 44 45 260.97 0.040 
44 47 45 46 218.89 0.040 
45 48 46 47 240.44 0.040 
1 7 3 5 165.23 0.040 
3 9 5 7 157.17 0.040 
5 11 7 9 160.13 0.040 
6 12 8 10 93.46 0.040 
7 13 9 11 153.65 0.040 
9 15 11 13 132.44 0.040 
10 16 12 14 138.79 0.040 
11 17 13 15 166.38 0.040 
12 18 14 16 170.00 0.040 
13 19 15 17 190.68 0.040 
14 20 16 18 219.93 0.040 
15 21 17 19 239.07 0.040 
16 22 18 20 245.70 0.040 
17 23 19 21 224.00 0.040 
18 24 20 22 224.52 0.040 
19 25 21 23 270.33 0.040 
20 26 22 24 286.73 0.040 
21 27 23 25 251.87 0.040 
22 28 24 26 252.25 0.040 
23 29 25 27 260.34 0.040 
24 30 26 28 220.54 0.040 
26 32 28 30 277.64 0.040 
28 34 30 32 275.28 0.040 
30 36 32 34 306.32 0.040 
31 37 33 35 376.99 0.040 
34 40 36 38 331.23 0.040 
36 42 38 40 375.47 0.040 
37 43 39 41 320.45 0.040 
38 44 40 42 435.86 0.040 
39 45 41 43 447.01 0.040 
40 46 42 44 453.41 0.040 
41 47 43 45 415.28 0.040 
42 48 44 46 476.68 0.040 
1 10 4 7 224.96 0.040 
3 12 6 9 229.39 0.040 
4 13 7 10 230.86 0.040 
6 15 9 12 223.04 0.040 
7 16 10 13 209.37 0.040 
9 18 12 15 214.59 0.040 
10 19 13 16 238.59 0.040 
11 20 14 17 267.47 0.040 
12 21 15 18 302.53 0.040 
13 22 16 19 322.87 0.040 
14 23 17 20 321.55 0.040 
15 24 18 21 305.52 0.040 
16 25 19 22 307.14 0.040 
17 26 20 23 339.06 0.040 
18 27 21 24 373.85 0.040 
19 28 22 25 397.06 0.040 
20 29 23 26 393.07 0.040 
21 30 24 27 357.98 0.040 
23 32 26 29 285.29 0.040 
24 33 27 30 321.02 0.040 
26 35 29 32 435.27 0.040 
27 36 30 33 446.40 0.040 
29 38 32 35 384.11 0.040 
32 41 35 38 471.88 0.040 
33 42 36 39 469.50 0.040 
34 43 37 40 557.69 0.040 
35 44 38 41 518.51 0.040 
36 45 39 42 562.76 0.040 
37 46 40 43 486.49 0.040 
38 47 41 44 542.65 0.040 
39 48 42 45 545.21 0.040 
1 13 5 9 302.18 0.040 
2 14 6 10 302.53 0.040 
3 15 7 11 303.72 0.040 
5 17 9 13 279.82 0.040 
6 18 10 14 279.00 0.040 
7 19 11 15 276.39 0.040 
9 21 13 17 337.61 0.040 
10 22 14 18 365.36 0.040 
11 23 15 19 382.22 0.040 
12 24 16 20 399.40 0.040 
13 25 17 21 382.20 0.040 
14 26 18 22 382.70 0.040 
15 27 19 23 407.47 0.040 
16 28 20 24 438.06 0.040 
17 29 21 25 486.98 0.040 
18 30 22 26 495.33 0.040 
20 32 24 28 412.99 0.040 
21 33 25 29 358.10 0.040 
22 34 26 30 397.01 0.040 
24 36 28 32 468.14 0.040 
26 38 30 34 519.33 0.040 
30 42 34 38 535.58 0.040 
32 44 36 40 574.26 0.040 
34 46 38 42 630.20 0.040 
35 47 39 43 665.61 0.040 
36 48 40 44 651.12 0.040 
1 16 6 11 377.45 0.040 
2 17 7 12 370.99 0.040 
4 19 9 14 340.72 0.040 
5 20 10 15 342.50 0.040 
6 21 11 16 347.14 0.040 
7 22 12 17 374.62 0.040 
9 24 14 19 435.86 0.040 
10 25 15 20 452.80 0.040 
11 26 16 21 462.07 0.040 
12 27 17 22 445.73 0.040 
13 28 18 23 491.00 0.040 
14 29 19 24 526.62 0.040 
15 30 20 25 527.61 0.040 
17 32 22 27 545.27 0.040 
18 33 23 28 479.19 0.040 
19 34 24 29 450.37 0.040 
20 35 25 30 495.60 0.040 
23 38 28 33 606.02 0.040 
24 39 29 34 632.02 0.040 
25 40 30 35 614.55 0.040 
29 44 34 39 600.77 0.040 
30 45 35 40 652.82 0.040 
33 48 38 43 747.05 0.040 
1 19 7 13 401.99 0.040 
3 21 9 15 394.80 0.040 
4 22 10 16 406.66 0.040 
5 23 11 17 415.93 0.040 
6 24 12 18 438.87 0.040 
7 25 13 19 481.26 0.040 
