48 	 # Number of sensors 
# x z 
0	-12.84
5	-12.287
10	-11.663
15	-10.922
20	-10.506
25	-11.024
30	-12.656
35	-13.592
40	-14.218
45	-14.316
50	-14.493
55	-16.285
60	-17.049
65	-17.027
70	-17.965
75	-17.73
80	-17.054
85	-17.483
90	-17.268
95	-15.194
100	-12.564
105	-10.231
110	-9.606
115	-9.353
120	-10.28
125	-9.83
130	-9.427
135	-9.285
140	-9.466
145	-9.526
150	-9.197
155	-8.806
160	-9.361
165	-8.826
170	-8.009
175	-8.78
180	-8.13
185	-8.497
190	-6.324
195	-5.137
200	-4.451
205	-4.905
210	-5.304
215	-4.587
220	-2.937
225	-1.113
230	0
235	-0.252
360 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 7554.10 0.040 
1 7 3 5 9114.19 0.040 
1 10 4 7 10961.91 0.040 
1 13 5 9 9227.96 0.040 
1 16 6 11 11409.45 0.040 
1 19 7 13 11726.18 0.040 
1 22 8 15 12877.54 0.040 
1 25 9 17 13075.35 0.040 
1 28 10 19 14093.69 0.040 
1 31 11 21 14308.91 0.040 
1 34 12 23 14531.65 0.040 
1 37 13 25 15990.43 0.040 
1 40 14 27 15666.30 0.040 
1 43 15 29 15074.41 0.040 
1 46 16 31 14859.38 0.040 
2 5 3 4 4555.61 0.040 
2 8 4 6 9084.75 0.040 
2 11 5 8 8391.75 0.040 
2 14 6 10 9954.90 0.040 
2 17 7 12 11808.98 0.040 
2 20 8 14 11401.80 0.040 
2 23 9 16 14052.64 0.040 
2 26 10 18 12917.86 0.040 
2 29 11 20 13739.46 0.040 
2 32 12 22 14270.03 0.040 
2 35 13 24 16022.03 0.040 
2 38 14 26 16595.43 0.040 
2 41 15 28 14999.62 0.040 
2 44 16 30 14936.67 0.040 
2 47 17 32 15623.21 0.040 
3 6 4 5 7804.76 0.040 
3 9 5 7 7472.11 0.040 
3 12 6 9 7621.48 0.040 
3 15 7 11 11203.16 0.040 
3 18 8 13 11214.08 0.040 
3 21 9 15 12652.34 0.040 
3 24 10 17 12854.99 0.040 
3 27 11 19 12858.82 0.040 
