48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 -0.20 
10.00 0.20 
15.00 0.30 
20.00 1.00 
25.00 1.90 
30.00 2.40 
35.00 2.40 
40.00 3.20 
45.00 4.10 
50.00 4.30 
55.00 4.70 
60.00 4.60 
65.00 5.00 
70.00 5.30 
75.00 6.20 
80.00 6.90 
85.00 7.10 
90.00 7.40 
95.00 7.60 
100.00 7.60 
105.00 8.00 
110.00 8.00 
115.00 7.90 
120.00 8.30 
125.00 9.00 
130.00 10.30 
135.00 11.10 
140.00 11.60 
145.00 12.50 
150.00 12.60 
155.00 12.90 
160.00 12.40 
165.00 11.90 
170.00 11.50 
175.00 10.80 
180.00 10.80 
185.00 10.60 
190.00 10.10 
195.00 10.30 
200.00 10.90 
205.00 10.90 
210.00 11.20 
215.00 11.90 
220.00 11.70 
225.00 11.40 
230.00 11.20 
235.00 11.20 
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 1497.19 0.040 
1 43 15 29 1439.12 0.040 
1 40 14 27 1615.72 0.040 
1 37 13 25 1365.69 0.040 
1 34 12 23 1293.15 0.040 
1 31 11 21 1317.51 0.040 
1 28 10 19 1259.55 0.040 
1 25 9 17 1240.53 0.040 
1 22 8 15 1137.47 0.040 
1 19 7 13 1244.31 0.040 
1 16 6 11 1258.45 0.040 
1 13 5 9 1250.46 0.040 
1 10 4 7 1453.70 0.040 
1 7 3 5 1656.16 0.040 
1 4 2 3 2040.38 0.040 
2 47 17 32 1411.73 0.040 
2 44 16 30 1364.68 0.040 
2 41 15 28 1423.76 0.040 
2 38 14 26 1453.55 0.040 
2 35 13 24 1287.53 0.040 
2 32 12 22 1344.89 0.040 
2 29 11 20 1271.11 0.040 
2 26 10 18 1236.89 0.040 
2 23 9 16 1236.97 0.040 
2 20 8 14 1195.06 0.040 
2 17 7 12 1252.64 0.040 
2 14 6 10 1279.26 0.040 
2 11 5 8 1699.65 0.040 
2 8 4 6 1703.53 0.040 
2 5 3 4 2492.33 0.040 
3 48 18 33 1426.25 0.040 
3 45 17 31 1352.50 0.040 
3 42 16 29 1403.06 0.040 
3 39 15 27 1429.14 0.040 
3 36 14 25 1385.38 0.040 
3 33 13 23 1267.18 0.040 
3 30 12 21 1328.41 0.040 
3 27 11 19 1250.79 0.040 
3 24 10 17 1317.51 0.040 
3 21 9 15 1196.54 0.040 
3 18 8 13 1374.86 0.040 
3 15 7 11 1388.41 0.040 
3 12 6 9 1545.51 0.040 
3 9 5 7 1839.50 0.040 
3 6 4 5 2398.28 0.040 
4 46 18 32 1395.08 0.040 
4 43 17 30 1291.28 0.040 
4 40 16 28 1377.08 0.040 
4 37 15 26 1318.70 0.040 
4 34 14 24 1258.46 0.040 
4 31 13 22 1312.71 0.040 
4 28 12 20 1252.54 0.040 
4 25 11 18 1260.98 0.040 
4 22 10 16 1279.16 0.040 
4 19 9 14 1438.73 0.040 
4 16 8 12 1460.19 0.040 
4 13 7 10 1600.33 0.040 
4 10 6 8 2195.06 0.040 
4 7 5 6 2970.01 0.040 
5 47 19 33 1379.78 0.040 
5 44 18 31 1334.01 0.040 
5 41 17 29 1305.78 0.040 
5 38 16 27 1367.86 0.040 
5 35 15 25 1306.65 0.040 
5 32 14 23 1296.04 0.040 
5 29 13 21 1296.29 0.040 
5 26 12 19 1334.81 0.040 
5 23 11 17 1466.30 0.040 
5 20 10 15 1435.41 0.040 
5 17 9 13 1606.86 0.040 
5 14 8 11 1530.73 0.040 
5 11 7 9 2131.63 0.040 
5 8 6 7 2397.21 0.040 
6 48 20 34 1376.87 0.040 
6 45 19 32 1328.50 0.040 
6 42 18 30 1295.16 0.040 
6 39 17 28 1367.10 0.040 
6 36 16 26 1392.96 0.040 
6 33 15 24 1323.24 0.040 
6 30 14 22 1358.58 0.040 
6 27 13 20 1291.98 0.040 
6 24 12 18 1418.91 0.040 
6 21 11 16 1479.63 0.040 
6 18 10 14 1841.61 0.040 
6 15 9 12 1836.09 0.040 
6 12 8 10 2075.38 0.040 
6 9 7 8 3294.75 0.040 
7 46 20 33 1387.09 0.040 
7 43 19 31 1277.85 0.040 
7 40 18 29 1349.15 0.040 
7 37 17 27 1312.64 0.040 
7 34 16 25 1342.05 0.040 
7 31 15 23 1369.93 0.040 
7 28 14 21 1323.37 0.040 
7 25 13 19 1405.92 0.040 
7 22 12 17 1601.46 0.040 
7 19 11 15 1751.85 0.040 
7 16 10 13 2132.92 0.040 
7 13 9 11 2059.38 0.040 
7 10 8 9 2302.20 0.040 
8 47 21 34 1359.70 0.040 
8 44 20 32 1297.10 0.040 
8 41 19 30 1251.76 0.040 
8 38 18 28 1358.11 0.040 
8 35 17 26 1307.18 0.040 
8 32 16 24 1425.66 0.040 
8 29 15 22 1427.04 0.040 
8 26 14 20 1438.86 0.040 
8 23 13 18 1617.34 0.040 
8 20 12 16 1792.75 0.040 
8 17 11 14 2244.04 0.040 
8 14 10 12 2327.56 0.040 
8 11 9 10 3035.90 0.040 
9 48 22 35 1341.56 0.040 
9 45 21 33 1300.86 0.040 
9 42 20 31 1247.96 0.040 
9 39 19 29 1308.84 0.040 
9 36 18 27 1360.83 0.040 
9 33 17 25 1386.49 0.040 
9 30 16 23 1469.36 0.040 
9 27 15 21 1450.76 0.040 
9 24 14 19 1596.65 0.040 
9 21 13 17 1765.02 0.040 
9 18 12 15 2062.54 0.040 
9 15 11 13 2452.44 0.040 
9 12 10 11 2700.63 0.040 
10 46 22 34 1340.71 0.040 
10 43 21 32 1241.15 0.040 
10 40 20 30 1233.86 0.040 
10 37 19 28 1311.37 0.040 
10 34 18 26 1380.90 0.040 
10 31 17 24 1420.18 0.040 
10 28 16 22 1502.37 0.040 
10 25 15 20 1584.23 0.040 
10 22 14 18 1670.50 0.040 
10 19 13 16 1964.37 0.040 
10 16 12 14 2712.70 0.040 
10 13 11 12 2904.63 0.040 
11 47 23 35 1347.31 0.040 
11 44 22 33 1271.44 0.040 
11 41 21 31 1220.27 0.040 
11 38 20 29 1283.10 0.040 
11 35 19 27 1344.89 0.040 
11 32 18 25 1516.29 0.040 
11 29 17 23 1433.87 0.040 
11 26 16 21 1688.40 0.040 
11 23 15 19 1890.98 0.040 
11 20 14 17 2056.93 0.040 
11 17 13 15 2050.01 0.040 
11 14 12 13 2736.04 0.040 
12 48 24 36 1441.39 0.040 
12 45 23 34 1327.36 0.040 
12 42 22 32 1223.12 0.040 
12 39 21 30 1244.88 0.040 
12 36 20 28 1320.58 0.040 
12 33 19 26 1419.23 0.040 
12 30 18 24 1572.91 0.040 
12 27 17 22 1525.71 0.040 
12 24 16 20 1917.27 0.040 
12 21 15 18 1951.11 0.040 
12 18 14 16 2227.58 0.040 
12 15 13 14 2760.98 0.040 
13 46 24 35 1344.94 0.040 
13 43 23 33 1284.04 0.040 
13 40 22 31 1246.46 0.040 
13 37 21 29 1271.10 0.040 
13 34 20 27 1420.97 0.040 
13 31 19 25 1641.39 0.040 
13 28 18 23 1615.36 0.040 
13 25 17 21 1800.09 0.040 
13 22 16 19 2239.96 0.040 
13 19 15 17 2759.08 0.040 
13 16 14 15 2512.32 0.040 
14 47 25 36 1285.30 0.040 
14 44 24 34 1315.16 0.040 
14 41 23 32 1269.64 0.040 
14 38 22 30 1235.94 0.040 
14 35 21 28 1367.10 0.040 
14 32 20 26 1542.52 0.040 
14 29 19 24 1592.04 0.040 
14 26 18 22 1920.79 0.040 
14 23 17 20 2152.92 0.040 
14 20 16 18 2702.43 0.040 
14 17 15 16 2545.95 0.040 
15 48 26 37 1252.64 0.040 
15 45 25 35 1257.25 0.040 
15 42 24 33 1248.86 0.040 
15 39 23 31 1300.40 0.040 
15 36 22 29 1265.28 0.040 
15 33 21 27 1469.06 0.040 
15 30 20 25 1711.44 0.040 
15 27 19 23 1612.25 0.040 
15 24 18 21 2255.41 0.040 
15 21 17 19 2211.08 0.040 
15 18 16 17 4351.11 0.040 
16 46 26 36 1311.51 0.040 
16 43 25 34 1232.01 0.040 
16 40 24 32 1249.49 0.040 
16 37 23 30 1239.11 0.040 
16 34 22 28 1391.57 0.040 
16 31 21 26 1541.97 0.040 
16 28 20 24 1612.80 0.040 
16 25 19 22 1983.65 0.040 
16 22 18 20 2551.35 0.040 
16 19 17 18 2559.57 0.040 
17 47 27 37 1277.32 0.040 
17 44 26 35 1285.75 0.040 
17 41 25 33 1233.34 0.040 
17 38 24 31 1312.78 0.040 
17 35 23 29 1425.54 0.040 
17 32 22 27 1698.91 0.040 
17 29 21 25 1714.53 0.040 
17 26 20 23 2044.30 0.040 
17 23 19 21 2826.12 0.040 
17 20 18 19 4948.69 0.040 
18 48 28 38 1250.36 0.040 
18 45 27 36 1233.79 0.040 
18 42 26 34 1250.51 0.040 
18 39 25 32 1238.96 0.040 
18 36 24 30 1272.59 0.040 
18 33 23 28 1621.34 0.040 
18 30 22 26 1695.21 0.040 
18 27 21 24 1632.60 0.040 
18 24 20 22 2497.42 0.040 
18 21 19 20 2869.32 0.040 
19 46 28 37 1280.32 0.040 
19 43 27 35 1225.52 0.040 
19 40 26 33 1261.68 0.040 
19 37 25 31 1229.12 0.040 
19 34 24 29 1480.34 0.040 
19 31 23 27 1917.93 0.040 
19 28 22 25 1800.40 0.040 
19 25 21 23 1989.52 0.040 
19 22 20 21 3846.28 0.040 
20 47 29 38 1319.67 0.040 
20 44 28 36 1231.48 0.040 
20 41 27 34 1198.19 0.040 
20 38 26 32 1245.09 0.040 
20 35 25 30 1228.23 0.040 
20 32 24 28 1815.24 0.040 
20 29 23 26 1855.53 0.040 
20 26 22 24 2003.80 0.040 
20 23 21 22 2763.26 0.040 
21 48 30 39 1333.87 0.040 
21 45 29 37 1287.87 0.040 
21 42 28 35 1221.60 0.040 
21 39 27 33 1246.97 0.040 
21 36 26 31 1303.37 0.040 
21 33 25 29 1530.30 0.040 
21 30 24 27 2175.78 0.040 
21 27 23 25 2133.47 0.040 
21 24 22 23 2723.09 0.040 
22 46 30 38 1395.51 0.040 
22 43 29 36 1256.46 0.040 
22 40 28 34 1251.42 0.040 
22 37 27 32 1171.61 0.040 
22 34 26 30 1319.61 0.040 
22 31 25 28 1818.52 0.040 
22 28 24 26 1967.09 0.040 
22 25 23 24 2404.75 0.040 
23 47 31 39 1346.70 0.040 
23 44 30 37 1334.75 0.040 
23 41 29 35 1238.20 0.040 
23 38 28 33 1207.51 0.040 
23 35 27 31 1216.69 0.040 
23 32 26 29 1702.07 0.040 
23 29 25 27 1868.56 0.040 
23 26 24 25 2534.59 0.040 
24 48 32 40 1489.26 0.040 
24 45 31 38 1329.82 0.040 
24 42 30 36 1322.33 0.040 
24 39 29 34 1338.34 0.040 
24 36 28 32 1174.68 0.040 
24 33 27 30 1279.08 0.040 
24 30 26 28 2080.54 0.040 
24 27 25 26 1617.92 0.040 
25 46 32 39 1375.62 0.040 
25 43 31 37 1364.59 0.040 
25 40 30 35 1434.53 0.040 
25 37 29 33 1272.73 0.040 
25 34 28 31 1308.35 0.040 
25 31 27 29 1608.65 0.040 
25 28 26 27 2227.25 0.040 
26 47 33 40 1530.36 0.040 
26 44 32 38 1333.77 0.040 
26 41 31 36 1321.77 0.040 
26 38 30 34 1455.05 0.040 
26 35 29 32 1302.89 0.040 
26 32 28 30 1360.01 0.040 
26 29 27 28 1461.01 0.040 
27 48 34 41 1531.56 0.040 
27 45 33 39 1295.80 0.040 
27 42 32 37 1364.29 0.040 
27 39 31 35 1548.38 0.040 
27 36 30 33 1634.89 0.040 
27 33 29 31 1871.68 0.040 
27 30 28 29 1846.90 0.040 
28 46 34 40 1502.15 0.040 
28 43 33 38 1313.70 0.040 
28 40 32 36 1454.21 0.040 
28 37 31 34 1580.52 0.040 
28 34 30 32 1911.07 0.040 
28 31 29 30 1359.68 0.040 
29 47 35 41 1579.54 0.040 
29 44 34 39 1147.85 0.040 
29 41 33 37 1274.67 0.040 
29 38 32 35 1502.95 0.040 
29 35 31 33 1737.54 0.040 
29 32 30 31 2636.49 0.040 
30 48 36 42 1401.83 0.040 
30 45 35 40 1359.41 0.040 
