48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 -0.20 
10.00 -0.30 
15.00 -0.50 
20.00 -0.70 
25.00 -0.80 
30.00 -0.90 
35.00 -0.90 
40.00 -0.90 
45.00 -1.00 
50.00 -1.00 
55.00 -1.10 
60.00 -1.20 
65.00 -1.20 
70.00 -1.20 
75.00 -1.20 
80.00 -1.20 
85.00 -1.30 
90.00 -1.40 
95.00 -1.50 
100.00 -1.60 
105.00 -1.70 
110.00 -1.90 
115.00 -2.00 
120.00 -2.10 
125.00 -2.10 
130.00 -2.10 
135.00 -2.20 
140.00 -2.30 
145.00 -2.20 
150.00 -2.10 
155.00 -2.10 
160.00 -2.10 
165.00 -2.10 
170.00 -2.10 
175.00 -2.00 
180.00 -1.90 
185.00 -1.80 
190.00 -1.70 
195.00 -1.70 
200.00 -1.70 
205.00 -1.70 
210.00 -1.60 
215.00 -1.50 
220.00 -1.40 
225.00 -1.40 
230.00 -1.40 
235.00 -1.40 
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 1576.48 0.040 
1 43 15 29 1577.35 0.040 
1 40 14 27 1577.08 0.040 
1 37 13 25 1564.65 0.040 
1 34 12 23 1495.00 0.040 
1 31 11 21 1454.29 0.040 
1 28 10 19 1388.24 0.040 
1 25 9 17 1310.89 0.040 
1 22 8 15 1211.61 0.040 
1 19 7 13 1138.60 0.040 
1 16 6 11 1124.62 0.040 
1 13 5 9 1152.10 0.040 
1 10 4 7 1162.30 0.040 
1 7 3 5 1026.44 0.040 
1 4 2 3 928.80 0.040 
2 47 17 32 1515.46 0.040 
2 44 16 30 1516.71 0.040 
2 41 15 28 1519.42 0.040 
2 38 14 26 1510.11 0.040 
2 35 13 24 1449.80 0.040 
2 32 12 22 1417.27 0.040 
2 29 11 20 1347.64 0.040 
2 26 10 18 1269.77 0.040 
2 23 9 16 1188.71 0.040 
2 20 8 14 1077.33 0.040 
2 17 7 12 1024.64 0.040 
2 14 6 10 971.40 0.040 
2 11 5 8 962.95 0.040 
2 8 4 6 925.39 0.040 
2 5 3 4 695.92 0.040 
3 48 18 33 1487.11 0.040 
3 45 17 31 1462.59 0.040 
3 42 16 29 1461.71 0.040 
