72 	 # Number of sensors 
# x z 
0	-31.56
5	-31.32
10	-30.74
15	-30.04
20	-29.38
25	-29.04
30	-28.71
35	-28.9
40	-29.09
45	-29.35
50	-29.53
55	-30.03
60	-30.79
65	-31.79
70	-32.86
75	-33.67
80	-34.12
85	-34.37
90	-34
95	-33.31
100	-32.41
105	-31.49
110	-30.53
115	-29.73
120	-28.74
125	-27.95
130	-27.24
135	-26.74
140	-26.62
145	-26.79
150	-27.06
155	-27.18
160	-27.55
165	-27.78
170	-28.1
175	-28.31
180	-28.45
185	-28.7
190	-28.51
195	-28.84
200	-28.58
205	-28.03
210	-27.1
215	-25.08
220	-24.06
225	-23.01
230	-21.95
235	-20.6
240	-16.72
245	-15.3
250	-14
255	-13.64
260	-12.89
265	-12.75
270	-11.71
275	-10.42
280	-9.81
285	-9.75
290	-6.98
295	-5.8
300	-6.05
305	-5.51
310	-5.26
315	-5.3
320	-5.2
325	-4.97
330	-4.46
335	-3.36
340	-2.42
345	-1.36
350	-0.01
355	0
564 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 721.47 0.040 
2 5 3 4 700.24 0.040 
3 6 4 5 657.58 0.040 
4 7 5 6 808.20 0.040 
5 8 6 7 682.20 0.040 
6 9 7 8 774.55 0.040 
7 10 8 9 706.16 0.040 
8 11 9 10 798.50 0.040 
9 12 10 11 749.64 0.040 
10 13 11 12 799.93 0.040 
11 14 12 13 776.75 0.040 
12 15 13 14 721.12 0.040 
13 16 14 15 748.87 0.040 
14 17 15 16 817.75 0.040 
15 18 16 17 736.61 0.040 
16 19 17 18 809.31 0.040 
17 20 18 19 789.27 0.040 
18 21 19 20 915.35 0.040 
19 22 20 21 883.21 0.040 
20 23 21 22 962.56 0.040 
21 24 22 23 795.09 0.040 
22 25 23 24 600.44 0.040 
23 26 24 25 933.66 0.040 
24 27 25 26 754.85 0.040 
25 28 26 27 878.25 0.040 
26 29 27 28 879.96 0.040 
27 30 28 29 1131.30 0.040 
28 31 29 30 908.58 0.040 
29 32 30 31 1471.40 0.040 
30 33 31 32 986.10 0.040 
31 34 32 33 1161.00 0.040 
32 35 33 34 1043.00 0.040 
33 36 34 35 713.62 0.040 
34 37 35 36 1011.20 0.040 
