48 	 # Number of sensors 
# x z 
0.00 3207.31 
5.00 3205.40 
10.00 3203.33 
15.00 3200.62 
20.00 3199.24 
25.00 3198.59 
30.00 3196.93 
35.00 3196.96 
40.00 3196.36 
45.00 3195.09 
50.00 3195.11 
55.00 3192.48 
60.00 3191.67 
65.00 3191.83 
70.00 3191.58 
75.00 3189.69 
80.00 3190.47 
85.00 3188.35 
90.00 3186.83 
95.00 3187.77 
100.00 3188.17 
105.00 3188.28 
110.00 3188.64 
115.00 3187.55 
120.00 3187.17 
125.00 3186.61 
130.00 3185.82 
135.00 3184.27 
140.00 3181.52 
145.00 3183.81 
150.00 3184.42 
155.00 3183.80 
160.00 3182.57 
165.00 3181.14 
170.00 3179.24 
175.00 3178.76 
180.00 3177.53 
185.00 3177.69 
190.00 3176.65 
195.00 3175.63 
200.00 3175.36 
205.00 3176.01 
210.00 3176.20 
215.00 3174.65 
220.00 3173.84 
225.00 3170.59 
230.00 3168.97 
235.00 3167.49 
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 5654.87 0.040 
1 43 15 29 5656.07 0.040 
1 40 14 27 6093.15 0.040 
1 37 13 25 7035.12 0.040 
1 34 12 23 8273.36 0.040 
1 31 11 21 8127.24 0.040 
1 28 10 19 8275.68 0.040 
1 25 9 17 7640.35 0.040 
1 22 8 15 7442.36 0.040 
1 19 7 13 7577.52 0.040 
1 16 6 11 7392.69 0.040 
1 13 5 9 7897.59 0.040 
1 10 4 7 9404.34 0.040 
1 7 3 5 4597.20 0.040 
1 4 2 3 4744.52 0.040 
2 47 17 32 5315.86 0.040 
2 44 16 30 5572.83 0.040 
2 41 15 28 5533.71 0.040 
2 38 14 26 6514.93 0.040 
2 35 13 24 7896.76 0.040 
2 32 12 22 8262.39 0.040 
2 29 11 20 8245.98 0.040 
2 26 10 18 8245.76 0.040 
2 23 9 16 7561.87 0.040 
2 20 8 14 7605.38 0.040 
2 17 7 12 7505.34 0.040 
2 14 6 10 7725.59 0.040 
2 11 5 8 8540.00 0.040 
2 8 4 6 6624.27 0.040 
2 5 3 4 2869.75 0.040 
3 48 18 33 4802.15 0.040 
3 45 17 31 5365.22 0.040 
3 42 16 29 5342.73 0.040 
3 39 15 27 5998.72 0.040 
3 36 14 25 7634.33 0.040 
3 33 13 23 7971.39 0.040 
3 30 12 21 7792.73 0.040 
3 27 11 19 8258.17 0.040 
3 24 10 17 7728.97 0.040 
3 21 9 15 7706.30 0.040 
3 18 8 13 7442.33 0.040 
3 15 7 11 6943.56 0.040 
3 12 6 9 8015.31 0.040 
3 9 5 7 8116.27 0.040 
3 6 4 5 3935.45 0.040 
4 46 18 32 4947.00 0.040 
4 43 17 30 5230.02 0.040 
4 40 16 28 5663.14 0.040 
4 37 15 26 6762.78 0.040 
4 34 14 24 8084.49 0.040 
4 31 13 22 7835.56 0.040 
4 28 12 20 8038.64 0.040 
4 25 11 18 8194.37 0.040 
4 22 10 16 7451.78 0.040 
