71 	 # Number of sensors 
# x z 
0.00 0.00 
3.00 -0.10 
6.00 0.00 
9.00 -0.10 
12.00 0.00 
15.00 0.20 
18.00 0.60 
21.00 1.40 
24.00 1.50 
27.00 1.80 
30.00 1.60 
33.00 2.30 
36.00 2.30 
39.00 2.20 
42.00 2.20 
45.00 2.30 
48.00 2.30 
51.00 2.40 
54.00 2.40 
57.00 2.70 
60.00 2.80 
63.00 3.00 
66.00 3.00 
69.00 3.10 
72.00 2.70 
75.00 2.40 
78.00 2.20 
81.00 1.70 
84.00 1.40 
87.00 0.80 
90.00 0.10 
93.00 -0.90 
96.00 -1.50 
99.00 -2.40 
102.00 -3.50 
105.00 -4.10 
108.00 -4.70 
111.00 -4.90 
114.00 -5.00 
117.00 -5.10 
120.00 -5.10 
123.00 -5.10 
126.00 -5.10 
129.00 -5.10 
132.00 -5.10 
135.00 -5.10 
138.00 -5.20 
141.00 -5.40 
144.00 -5.50 
147.00 -5.80 
150.00 -6.20 
153.00 -6.30 
156.00 -6.50 
159.00 -6.60 
162.00 -6.60 
165.00 -6.80 
168.00 -7.00 
171.00 -7.10 
174.00 -7.20 
177.00 -7.30 
180.00 -7.60 
183.00 -7.70 
186.00 -7.80 
189.00 -8.00 
192.00 -8.10 
195.00 -8.40 
198.00 -8.60 
201.00 -8.80 
204.00 -9.10 
207.00 -9.40 
210.00 -9.50 
565 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 1341.20 0.040 
2 5 3 4 3612.30 0.040 
3 6 4 5 5846.10 0.040 
4 7 5 6 8331.50 0.040 
5 8 6 7 12068.00 0.040 
6 9 7 8 8735.40 0.040 
7 10 8 9 13496.00 0.040 
8 11 9 10 4517.60 0.040 
9 12 10 11 7197.50 0.040 
10 13 11 12 5193.40 0.040 
11 14 12 13 5901.20 0.040 
12 15 13 14 6405.40 0.040 
13 16 14 15 8859.30 0.040 
14 17 15 16 8275.00 0.040 
15 18 16 17 6562.20 0.040 
16 19 17 18 10289.00 0.040 
17 20 18 19 6880.10 0.040 
18 21 19 20 5491.50 0.040 
19 22 20 21 6199.60 0.040 
20 23 21 22 4606.50 0.040 
22 25 23 24 5471.40 0.040 
23 26 24 25 3085.70 0.040 
24 27 25 26 5296.00 0.040 
25 28 26 27 2621.30 0.040 
26 29 27 28 4249.60 0.040 
27 30 28 29 3404.10 0.040 
29 32 30 31 3044.90 0.040 
30 33 31 32 3260.10 0.040 
31 34 32 33 3194.60 0.040 
32 35 33 34 3968.60 0.040 
33 36 34 35 3245.70 0.040 
34 37 35 36 8675.20 0.040 
35 38 36 37 3902.60 0.040 
36 39 37 38 7648.50 0.040 
37 40 38 39 1949.40 0.040 
38 41 39 40 1865.80 0.040 
39 42 40 41 1618.00 0.040 
40 43 41 42 1717.50 0.040 
41 44 42 43 1588.90 0.040 
42 45 43 44 1878.90 0.040 
43 46 44 45 1702.20 0.040 
44 47 45 46 1651.20 0.040 
45 48 46 47 1573.90 0.040 
46 49 47 48 2086.20 0.040 
47 50 48 49 1849.50 0.040 
48 51 49 50 2043.30 0.040 
49 52 50 51 2081.30 0.040 
50 53 51 52 1830.40 0.040 
51 54 52 53 1744.70 0.040 
52 55 53 54 1761.20 0.040 
53 56 54 55 1414.50 0.040 
54 57 55 56 1751.50 0.040 
55 58 56 57 1802.60 0.040 
57 60 58 59 1210.00 0.040 
60 63 61 62 1919.20 0.040 
61 64 62 63 2273.10 0.040 
62 65 63 64 1974.50 0.040 
63 66 64 65 2312.50 0.040 
64 67 65 66 2430.90 0.040 
