48 	 # Number of sensors 
# x z 
0.00 -12.51 
5.00 -12.37 
10.00 -13.52 
15.00 -13.47 
20.00 -13.50 
25.00 -12.88 
30.00 -12.92 
35.00 -12.82 
40.00 -13.62 
45.00 -12.96 
50.00 -11.52 
55.00 -10.64 
60.00 -10.19 
65.00 -8.64 
70.00 -6.64 
75.00 -5.66 
80.00 -3.50 
85.00 -3.17 
90.00 -3.11 
95.00 -2.78 
100.00 -2.38 
105.00 -1.68 
110.00 -1.29 
115.00 -0.21 
120.00 -1.30 
125.00 -1.96 
130.00 -0.96 
135.00 0.00 
140.00 -1.19 
145.00 -2.18 
150.00 -3.30 
155.00 -2.64 
160.00 -3.05 
165.00 -3.02 
170.00 -3.01 
175.00 -3.05 
180.00 -3.48 
185.00 -4.95 
190.00 -6.02 
195.00 -5.53 
200.00 -5.44 
205.00 -5.50 
210.00 -6.38 
215.00 -6.70 
220.00 -7.74 
225.00 -7.88 
230.00 -8.12 
235.00 -8.28 
340 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 6896.50 0.040 
2 5 3 4 6363.60 0.040 
3 6 4 5 6079.00 0.040 
4 7 5 6 5613.90 0.040 
5 8 6 7 5509.20 0.040 
6 9 7 8 6304.10 0.040 
7 10 8 9 9025.80 0.040 
8 11 9 10 10615.00 0.040 
9 12 10 11 14741.00 0.040 
10 13 11 12 26149.00 0.040 
11 14 12 13 47615.00 0.040 
13 16 14 15 79367.00 0.040 
16 19 17 18 76964.00 0.040 
17 20 18 19 62450.00 0.040 
19 22 20 21 46646.00 0.040 
20 23 21 22 34718.00 0.040 
21 24 22 23 26019.00 0.040 
22 25 23 24 23665.00 0.040 
23 26 24 25 17223.00 0.040 
24 27 25 26 20219.00 0.040 
25 28 26 27 19551.00 0.040 
26 29 27 28 19279.00 0.040 
27 30 28 29 36743.00 0.040 
28 31 29 30 76757.00 0.040 
29 32 30 31 49905.00 0.040 
30 33 31 32 79241.00 0.040 
31 34 32 33 28309.00 0.040 
32 35 33 34 22871.00 0.040 
33 36 34 35 30563.00 0.040 
34 37 35 36 40841.00 0.040 
35 38 36 37 47113.00 0.040 
38 41 39 40 47244.00 0.040 
40 43 41 42 37516.00 0.040 
41 44 42 43 22484.00 0.040 
42 45 43 44 25093.00 0.040 
43 46 44 45 18910.00 0.040 
44 47 45 46 17005.00 0.040 
45 48 46 47 13783.00 0.040 
1 7 3 5 9303.30 0.040 
2 8 4 6 8958.00 0.040 
3 9 5 7 9041.20 0.040 
4 10 6 8 10190.00 0.040 
5 11 7 9 12378.00 0.040 
6 12 8 10 14269.00 0.040 
7 13 9 11 15117.00 0.040 
8 14 10 12 24553.00 0.040 
10 16 12 14 46378.00 0.040 
11 17 13 15 54056.00 0.040 
13 19 15 17 61450.00 0.040 
14 20 16 18 66373.00 0.040 
16 22 18 20 63385.00 0.040 
17 23 19 21 61611.00 0.040 
19 25 21 23 48833.00 0.040 
20 26 22 24 47180.00 0.040 
21 27 23 25 37101.00 0.040 
22 28 24 26 35331.00 0.040 
23 29 25 27 42578.00 0.040 
24 30 26 28 31493.00 0.040 
25 31 27 29 34960.00 0.040 
26 32 28 30 48943.00 0.040 
27 33 29 31 58301.00 0.040 
28 34 30 32 54639.00 0.040 
29 35 31 33 49619.00 0.040 
31 37 33 35 34580.00 0.040 
