48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 -1.90 
10.00 -4.40 
15.00 -6.60 
20.00 -8.80 
25.00 -11.00 
30.00 -13.20 
35.00 -15.30 
40.00 -17.50 
45.00 -16.00 
50.00 -17.30 
55.00 -18.40 
60.00 -19.20 
65.00 -19.20 
70.00 -19.50 
75.00 -20.30 
80.00 -21.40 
85.00 -22.80 
90.00 -24.50 
95.00 -26.10 
100.00 -27.00 
105.00 -27.90 
110.00 -28.60 
115.00 -29.70 
120.00 -30.30 
125.00 -30.40 
130.00 -29.10 
135.00 -29.40 
140.00 -30.50 
145.00 -32.10 
150.00 -34.60 
155.00 -36.00 
160.00 -37.60 
165.00 -39.60 
170.00 -41.50 
175.00 -43.70 
180.00 -45.90 
185.00 -47.80 
190.00 -50.50 
195.00 -52.30 
200.00 -54.00 
205.00 -56.20 
210.00 -57.90 
215.00 -58.30 
220.00 -59.00 
225.00 -59.50 
230.00 -59.90 
235.00 -60.10 
345 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 12966.00 0.040 
2 5 3 4 14258.00 0.040 
3 6 4 5 16415.00 0.040 
4 7 5 6 13847.00 0.040 
5 8 6 7 12025.00 0.040 
6 9 7 8 11424.00 0.040 
7 10 8 9 10740.00 0.040 
8 11 9 10 9811.80 0.040 
9 12 10 11 7869.20 0.040 
10 13 11 12 7028.60 0.040 
11 14 12 13 5771.50 0.040 
12 15 13 14 3700.80 0.040 
13 16 14 15 3893.80 0.040 
14 17 15 16 5492.10 0.040 
15 18 16 17 4427.40 0.040 
16 19 17 18 5090.40 0.040 
17 20 18 19 4261.10 0.040 
18 21 19 20 3191.00 0.040 
19 22 20 21 2667.60 0.040 
20 23 21 22 2029.30 0.040 
21 24 22 23 1522.70 0.040 
22 25 23 24 1004.70 0.040 
23 26 24 25 549.01 0.040 
24 27 25 26 753.98 0.040 
25 28 26 27 727.67 0.040 
26 29 27 28 1324.10 0.040 
27 30 28 29 1628.40 0.040 
28 31 29 30 3368.30 0.040 
29 32 30 31 1614.80 0.040 
30 33 31 32 2992.10 0.040 
31 34 32 33 3458.60 0.040 
32 35 33 34 2233.20 0.040 
33 36 34 35 1814.90 0.040 
34 37 35 36 1797.10 0.040 
35 38 36 37 1444.10 0.040 
36 39 37 38 1489.00 0.040 
37 40 38 39 1531.80 0.040 
38 41 39 40 1313.30 0.040 
39 42 40 41 1472.70 0.040 
40 43 41 42 1190.10 0.040 
41 44 42 43 878.27 0.040 
42 45 43 44 687.89 0.040 
43 46 44 45 693.11 0.040 
44 47 45 46 467.10 0.040 
45 48 46 47 410.59 0.040 
1 7 3 5 12910.00 0.040 
2 8 4 6 16713.00 0.040 
3 9 5 7 15768.00 0.040 
4 10 6 8 14469.00 0.040 
5 11 7 9 14054.00 0.040 
6 12 8 10 14508.00 0.040 
7 13 9 11 12912.00 0.040 
8 14 10 12 11990.00 0.040 
9 15 11 13 11032.00 0.040 
10 16 12 14 7989.60 0.040 
11 17 13 15 5765.20 0.040 
12 18 14 16 7898.00 0.040 
13 19 15 17 6698.60 0.040 
14 20 16 18 7070.40 0.040 
16 22 18 20 5538.70 0.040 
17 23 19 21 4320.50 0.040 
18 24 20 22 3997.10 0.040 
19 25 21 23 3541.70 0.040 
21 27 23 25 1440.60 0.040 
22 28 24 26 1213.80 0.040 
23 29 25 27 1511.60 0.040 
24 30 26 28 1368.50 0.040 
25 31 27 29 2644.40 0.040 
26 32 28 30 4542.00 0.040 
27 33 29 31 2696.60 0.040 
28 34 30 32 2201.80 0.040 
29 35 31 33 4354.90 0.040 
30 36 32 34 4851.90 0.040 
31 37 33 35 2343.50 0.040 
32 38 34 36 2371.30 0.040 
33 39 35 37 2779.90 0.040 
34 40 36 38 2293.90 0.040 
35 41 37 39 1882.20 0.040 
36 42 38 40 1537.40 0.040 
37 43 39 41 1558.20 0.040 
38 44 40 42 1590.30 0.040 
39 45 41 43 1178.10 0.040 
40 46 42 44 915.98 0.040 
41 47 43 45 1026.60 0.040 
42 48 44 46 1104.10 0.040 
1 10 4 7 13923.00 0.040 
2 11 5 8 14761.00 0.040 
3 12 6 9 14440.00 0.040 
4 13 7 10 14437.00 0.040 
5 14 8 11 15535.00 0.040 
6 15 9 12 16046.00 0.040 
7 16 10 13 13650.00 0.040 
8 17 11 14 11239.00 0.040 
9 18 12 15 8937.20 0.040 
10 19 13 16 8512.60 0.040 
13 22 16 19 9282.50 0.040 
14 23 17 20 7401.80 0.040 
15 24 18 21 6054.60 0.040 
16 25 19 22 5526.60 0.040 
17 26 20 23 4668.70 0.040 
18 27 21 24 4319.50 0.040 
19 28 22 25 3058.80 0.040 
20 29 23 26 2082.70 0.040 
21 30 24 27 1575.20 0.040 
22 31 25 28 2202.50 0.040 
23 32 26 29 3288.60 0.040 
24 33 27 30 4013.30 0.040 
25 34 28 31 3271.70 0.040 
26 35 29 32 3641.40 0.040 
27 36 30 33 3513.70 0.040 
28 37 31 34 3719.00 0.040 
29 38 32 35 3798.60 0.040 
30 39 33 36 2931.20 0.040 
31 40 34 37 2185.80 0.040 
32 41 35 38 2364.30 0.040 
33 42 36 39 2465.80 0.040 
