48 	 # Number of sensors 
# x z 
0	-10.54
5	-10.51
10	-11.83
15	-13.01
20	-14.55
25	-14.06
30	-12.9
35	-12.09
40	-12.36
45	-12.01
50	-9.37
55	-8.63
60	-7.32
65	-4.78
70	-3.12
75	-0.67
80	0
85	-0.9
90	-2.11
95	-2.68
100	-1.6
105	-2.62
110	-3.45
115	-2.48
120	-1.44
125	-0.94
130	-1.57
135	-1.35
140	-1.49
145	-2.44
150	-3.87
155	-6.14
160	-6.58
165	-6.81
170	-6.2
175	-6.91
180	-8.61
185	-10.64
190	-11.6
195	-11.67
200	-11.47
205	-9.72
210	-8.36
215	-6.93
220	-3.74
225	-2.44
230	-3.08
235	-1.86 
337 	 # Number of measurements 
# a b m n rhoa err
48 45 47 46 12203.00 0.040 
47 44 46 45 17764.00 0.040 
46 43 45 44 10244.00 0.040 
45 42 44 43 12972.00 0.040 
44 41 43 42 32559.00 0.040 
43 40 42 41 8636.90 0.040 
41 38 40 39 12111.00 0.040 
39 36 38 37 13312.00 0.040 
38 35 37 36 5539.90 0.040 
37 34 36 35 38576.00 0.040 
36 33 35 34 4683.50 0.040 
35 32 34 33 40938.00 0.040 
34 31 33 32 10516.00 0.040 
32 29 31 30 7994.60 0.040 
31 28 30 29 24827.00 0.040 
30 27 29 28 4866.80 0.040 
29 26 28 27 20476.00 0.040 
28 25 27 26 27785.00 0.040 
27 24 26 25 10649.00 0.040 
26 23 25 24 27169.00 0.040 
25 22 24 23 21166.00 0.040 
24 21 23 22 24176.00 0.040 
23 20 22 21 29957.00 0.040 
22 19 21 20 20229.00 0.040 
21 18 20 19 16842.00 0.040 
20 17 19 18 25355.00 0.040 
19 16 18 17 11765.00 0.040 
18 15 17 16 21260.00 0.040 
17 14 16 15 7161.10 0.040 
15 12 14 13 4834.60 0.040 
14 11 13 12 15263.00 0.040 
13 10 12 11 4592.90 0.040 
12 9 11 10 8203.80 0.040 
11 8 10 9 3600.70 0.040 
10 7 9 8 4142.20 0.040 
9 6 8 7 5261.00 0.040 
8 5 7 6 2309.70 0.040 
7 4 6 5 2605.30 0.040 
6 3 5 4 1526.20 0.040 
5 2 4 3 1949.90 0.040 
4 1 3 2 2825.00 0.040 
48 42 46 44 23628.00 0.040 
47 41 45 43 22614.00 0.040 
46 40 44 42 21004.00 0.040 
45 39 43 41 18139.00 0.040 
44 38 42 40 49204.00 0.040 
43 37 41 39 61808.00 0.040 
42 36 40 38 51720.00 0.040 
41 35 39 37 29833.00 0.040 
40 34 38 36 12545.00 0.040 
39 33 37 35 23239.00 0.040 
38 32 36 34 36052.00 0.040 
37 31 35 33 46512.00 0.040 
36 30 34 32 42770.00 0.040 
34 28 32 30 18321.00 0.040 
33 27 31 29 18552.00 0.040 
32 26 30 28 14677.00 0.040 
31 25 29 27 15193.00 0.040 
30 24 28 26 34974.00 0.040 
29 23 27 25 26122.00 0.040 
28 22 26 24 16923.00 0.040 
27 21 25 23 14362.00 0.040 
26 20 24 22 31457.00 0.040 
25 19 23 21 36469.00 0.040 
24 18 22 20 24128.00 0.040 
23 17 21 19 13987.00 0.040 
22 16 20 18 22886.00 0.040 
21 15 19 17 31531.00 0.040 
20 14 18 16 14610.00 0.040 
19 13 17 15 11848.00 0.040 
17 11 15 13 24397.00 0.040 
16 10 14 12 6520.90 0.040 
15 9 13 11 6228.50 0.040 
14 8 12 10 7906.00 0.040 
13 7 11 9 7354.10 0.040 
12 6 10 8 4323.70 0.040 
11 5 9 7 5859.40 0.040 
10 4 8 6 5255.30 0.040 
9 3 7 5 1921.20 0.040 
8 2 6 4 2116.90 0.040 
7 1 5 3 2451.70 0.040 
48 39 45 42 20643.00 0.040 
47 38 44 41 12419.00 0.040 
46 37 43 40 58745.00 0.040 
45 36 42 39 74109.00 0.040 
44 35 41 38 91040.00 0.040 
43 34 40 37 47020.00 0.040 
42 33 39 36 27513.00 0.040 
41 32 38 35 16536.00 0.040 
40 31 37 34 26571.00 0.040 
39 30 36 33 57643.00 0.040 
38 29 35 32 53574.00 0.040 
37 28 34 31 53321.00 0.040 
36 27 33 30 22711.00 0.040 
35 26 32 29 23279.00 0.040 
34 25 31 28 13185.00 0.040 
33 24 30 27 25013.00 0.040 
32 23 29 26 35771.00 0.040 
31 22 28 25 33393.00 0.040 
30 21 27 24 25522.00 0.040 
29 20 26 23 16405.00 0.040 
28 19 25 22 24005.00 0.040 
27 18 24 21 26471.00 0.040 
