profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
GOL08_2022-08-11_W5m,1,,74.48990824,42.48877845,3021.208,2022-08-11 10:37:12.9 UTC+06:00
GOL08_2022-08-11_W5m,2,,74.48996278,42.48877411,3022.489,2022-08-11 10:37:44.9 UTC+06:00
GOL08_2022-08-11_W5m,3,,74.49002463,42.48876102,3025.109,2022-08-11 10:38:03.9 UTC+06:00
GOL08_2022-08-11_W5m,4,,74.49008448,42.48875735,3027.86,2022-08-11 10:38:30.9 UTC+06:00
GOL08_2022-08-11_W5m,5,,74.49014139,42.48874649,3029.766,2022-08-11 10:38:57.9 UTC+06:00
GOL08_2022-08-11_W5m,6,,74.49019836,42.48874303,3031.085,2022-08-11 10:39:19.9 UTC+06:00
GOL08_2022-08-11_W5m,7,,74.49025438,42.48873096,3032.597,2022-08-11 10:39:44.9 UTC+06:00
GOL08_2022-08-11_W5m,8,,74.4902996,42.4887232,3033.784,2022-08-11 10:40:06.0 UTC+06:00
GOL08_2022-08-11_W5m,9,,74.49035981,42.48871929,3034.738,2022-08-11 10:40:36.9 UTC+06:00
GOL08_2022-08-11_W5m,10,,74.49041133,42.4887065,3035.947,2022-08-11 10:41:12.0 UTC+06:00
GOL08_2022-08-11_W5m,11,,74.49046287,42.48869314,3036.497,2022-08-11 10:41:40.0 UTC+06:00
GOL08_2022-08-11_W5m,12,,74.49052115,42.48868449,3037.162,2022-08-11 10:42:01.0 UTC+06:00
GOL08_2022-08-11_W5m,13,,74.49058244,42.48867763,3038.081,2022-08-11 10:42:24.0 UTC+06:00
GOL08_2022-08-11_W5m,14,,74.49063398,42.48866994,3039.508,2022-08-11 10:42:46.0 UTC+06:00
GOL08_2022-08-11_W5m,15,,74.49069085,42.48866614,3041.697,2022-08-11 10:43:12.0 UTC+06:00
GOL08_2022-08-11_W5m,16,,74.49074363,42.48866191,3044.029,2022-08-11 10:43:34.0 UTC+06:00
GOL08_2022-08-11_W5m,17,,74.49079178,42.48865752,3045.569,2022-08-11 10:44:01.0 UTC+06:00
GOL08_2022-08-11_W5m,18,,74.49084918,42.48864988,3047.028,2022-08-11 10:44:24.0 UTC+06:00
GOL08_2022-08-11_W5m,19,,74.49091337,42.48864123,3048.924,2022-08-11 10:44:51.0 UTC+06:00
GOL08_2022-08-11_W5m,20,,74.49098146,42.4886419,3051.827,2022-08-11 10:45:15.0 UTC+06:00
GOL08_2022-08-11_W5m,21,,74.4910315,42.48863965,3054.969,2022-08-11 10:45:41.0 UTC+06:00
GOL08_2022-08-11_W5m,22,,74.49108298,42.48863368,3056.758,2022-08-11 10:46:07.0 UTC+06:00
GOL08_2022-08-11_W5m,23,,74.49113951,42.48863774,3057.778,2022-08-11 10:46:44.0 UTC+06:00
GOL08_2022-08-11_W5m,24,,74.49119987,42.48862782,3059.717,2022-08-11 10:47:07.0 UTC+06:00
GOL08_2022-08-11_W5m,25,,74.49125263,42.48862131,3061.934,2022-08-11 10:47:46.0 UTC+06:00
GOL08_2022-08-11_W5m,26,,74.49129335,42.48861716,3062.99,2022-08-11 10:48:19.0 UTC+06:00
GOL08_2022-08-11_W5m,27,,74.49134556,42.48862471,3064.52,2022-08-11 10:48:47.0 UTC+06:00
