Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
G01,,,,,,73.54596591,38.99870093,3898.610,Global,0.280,0.252,0.636,0.376,1.134,m,SINGLE,2024-08-15 06:23:55.0 UTC+02:00,2024-08-15 06:24:00.0 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G02,,,,,,73.54598474,38.99865845,3898.759,Global,0.240,0.220,0.570,0.326,1.134,m,SINGLE,2024-08-15 06:24:27.2 UTC+02:00,2024-08-15 06:24:32.2 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G03,,,,,,73.54599979,38.99861469,3898.890,Global,0.230,0.210,0.550,0.311,1.134,m,SINGLE,2024-08-15 06:24:48.4 UTC+02:00,2024-08-15 06:24:53.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G04,,,,,,73.54601575,38.99857150,3898.853,Global,0.220,0.210,0.540,0.304,1.134,m,SINGLE,2024-08-15 06:25:09.8 UTC+02:00,2024-08-15 06:25:14.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G05,,,,,,73.54602923,38.99852777,3898.959,Global,0.220,0.200,0.530,0.297,1.134,m,SINGLE,2024-08-15 06:25:37.4 UTC+02:00,2024-08-15 06:25:42.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G06,,,,,,73.54604185,38.99848385,3898.992,Global,0.220,0.200,0.530,0.297,1.134,m,SINGLE,2024-08-15 06:26:04.4 UTC+02:00,2024-08-15 06:26:09.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G07,,,,,,73.54605548,38.99844039,3898.984,Global,0.210,0.200,0.529,0.290,1.134,m,SINGLE,2024-08-15 06:26:31.2 UTC+02:00,2024-08-15 06:26:36.2 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G08,,,,,,73.54606954,38.99839589,3898.932,Global,0.217,0.200,0.530,0.295,1.134,m,SINGLE,2024-08-15 06:26:54.0 UTC+02:00,2024-08-15 06:26:59.0 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G09,,,,,,73.54608429,38.99835246,3898.887,Global,0.210,0.200,0.520,0.290,1.134,m,SINGLE,2024-08-15 06:27:18.8 UTC+02:00,2024-08-15 06:27:23.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G10,,,,,,73.54609675,38.99829830,3898.696,Global,0.278,0.241,0.533,0.368,1.134,m,SINGLE,2024-08-15 06:27:47.6 UTC+02:00,2024-08-15 06:27:52.6 UTC+02:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,
G11,,,,,,73.54611237,38.99825201,3898.735,Global,0.132,0.116,0.335,0.176,1.134,m,SINGLE,2024-08-15 06:28:11.4 UTC+02:00,2024-08-15 06:28:16.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G12,,,,,,73.54612647,38.99820719,3898.569,Global,0.120,0.110,0.313,0.163,1.134,m,SINGLE,2024-08-15 06:28:32.8 UTC+02:00,2024-08-15 06:28:37.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G13,,,,,,73.54613877,38.99816395,3898.551,Global,0.121,0.100,0.301,0.157,1.134,m,SINGLE,2024-08-15 06:28:55.6 UTC+02:00,2024-08-15 06:29:00.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G14,,,,,,73.54615354,38.99811925,3898.657,Global,0.111,0.100,0.290,0.149,1.134,m,SINGLE,2024-08-15 06:29:17.2 UTC+02:00,2024-08-15 06:29:22.2 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G15,,,,,,73.54617091,38.99807694,3898.724,Global,0.110,0.100,0.290,0.149,1.134,m,SINGLE,2024-08-15 06:29:39.0 UTC+02:00,2024-08-15 06:29:44.0 UTC+02:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,
G16,,,,,,73.54618719,38.99803441,3898.784,Global,0.113,0.101,0.279,0.151,1.134,m,SINGLE,2024-08-15 06:30:03.6 UTC+02:00,2024-08-15 06:30:08.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G17,,,,,,73.54620278,38.99799096,3899.640,Global,0.110,0.095,0.265,0.146,1.134,m,SINGLE,2024-08-15 06:30:26.4 UTC+02:00,2024-08-15 06:30:31.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G18,,,,,,73.54621880,38.99794830,3899.808,Global,0.110,0.101,0.280,0.149,1.134,m,SINGLE,2024-08-15 06:30:56.8 UTC+02:00,2024-08-15 06:31:01.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G19,,,,,,73.54623507,38.99790642,3900.600,Global,0.111,0.095,0.248,0.146,1.134,m,SINGLE,2024-08-15 06:31:25.2 UTC+02:00,2024-08-15 06:31:30.2 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G20,,,,,,73.54624976,38.99786254,3901.082,Global,0.110,0.088,0.230,0.141,1.134,m,SINGLE,2024-08-15 06:31:48.8 UTC+02:00,2024-08-15 06:31:53.8 UTC+02:00,26,1.0,1.1,,,,,,,,,Global CS,,,,,
G21,,,,,,73.54626194,38.99781927,3901.544,Global,0.110,0.093,0.233,0.144,1.134,m,SINGLE,2024-08-15 06:32:12.2 UTC+02:00,2024-08-15 06:32:17.2 UTC+02:00,26,1.0,1.1,,,,,,,,,Global CS,,,,,
G22,,,,,,73.54627393,38.99777555,3901.410,Global,0.111,0.091,0.231,0.143,1.134,m,SINGLE,2024-08-15 06:32:37.0 UTC+02:00,2024-08-15 06:32:42.0 UTC+02:00,26,1.0,1.1,,,,,,,,,Global CS,,,,,
G23,,,,,,73.54628678,38.99773117,3901.644,Global,0.110,0.093,0.243,0.144,1.134,m,SINGLE,2024-08-15 06:33:01.8 UTC+02:00,2024-08-15 06:33:06.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G24,,,,,,73.54630292,38.99768630,3901.341,Global,0.112,0.095,0.241,0.147,1.134,m,SINGLE,2024-08-15 06:33:26.6 UTC+02:00,2024-08-15 06:33:31.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
G01_new,,,,,,73.54596490,38.99868999,3898.667,Global,0.011,0.010,0.011,0.015,1.134,m,FIX,2024-08-15 06:40:23.8 UTC+02:00,2024-08-15 06:40:28.8 UTC+02:00,26,1.0,1.2,,,,73.54594755,38.99877236,3898.229,9.406,,Global CS,8,5,8,6,0
