profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidalheight,Averaging start
KAR04_2024-08-18_W5m,1,,73.44233022,39.20261855,,2024-08-18 08:20:42.6 UTC+02:00
KAR04_2024-08-18_W5m,2,,73.44237297,39.20258718,,2024-08-18 08:21:07.6 UTC+02:00
KAR04_2024-08-18_W5m,3,,73.4424143,39.20255857,,2024-08-18 08:21:27.6 UTC+02:00
KAR04_2024-08-18_W5m,4,,73.4424574,39.20252699,,2024-08-18 08:21:49.6 UTC+02:00
KAR04_2024-08-18_W5m,5,,73.44250105,39.20249293,,2024-08-18 08:22:09.0 UTC+02:00
KAR04_2024-08-18_W5m,6,,73.44254285,39.20245962,,2024-08-18 08:22:27.8 UTC+02:00
KAR04_2024-08-18_W5m,7,,73.44257927,39.20242669,,2024-08-18 08:22:47.4 UTC+02:00
KAR04_2024-08-18_W5m,8,,73.44261661,39.20239367,,2024-08-18 08:23:07.0 UTC+02:00
KAR04_2024-08-18_W5m,9,,73.4426591,39.20235949,,2024-08-18 08:23:26.8 UTC+02:00
KAR04_2024-08-18_W5m,10,,73.44270279,39.20233737,,2024-08-18 08:23:49.6 UTC+02:00
KAR04_2024-08-18_W5m,11,,73.4427408,39.20231195,,2024-08-18 08:24:10.4 UTC+02:00
KAR04_2024-08-18_W5m,12,,73.44278224,39.20228404,,2024-08-18 08:24:29.8 UTC+02:00
KAR04_2024-08-18_W5m,13,,73.44282112,39.20225314,,2024-08-18 08:24:46.4 UTC+02:00
KAR04_2024-08-18_W5m,14,,73.44286013,39.20222321,,2024-08-18 08:25:19.2 UTC+02:00
KAR04_2024-08-18_W5m,15,,73.44289961,39.20219024,,2024-08-18 08:25:39.0 UTC+02:00
KAR04_2024-08-18_W5m,16,,73.44293767,39.20215658,,2024-08-18 08:25:58.6 UTC+02:00
KAR04_2024-08-18_W5m,17,,73.44297663,39.20212248,,2024-08-18 08:26:14.2 UTC+02:00
KAR04_2024-08-18_W5m,18,,73.44301612,39.20208819,,2024-08-18 08:26:33.8 UTC+02:00
KAR04_2024-08-18_W5m,19,,73.44305426,39.20205824,,2024-08-18 08:26:54.4 UTC+02:00
KAR04_2024-08-18_W5m,20,,73.4430962,39.20202727,,2024-08-18 08:27:13.8 UTC+02:00
KAR04_2024-08-18_W5m,21,,73.4431338,39.20199418,,2024-08-18 08:27:36.0 UTC+02:00
KAR04_2024-08-18_W5m,22,,73.44317221,39.20196105,,2024-08-18 08:27:59.8 UTC+02:00
KAR04_2024-08-18_W5m,23,,73.44321536,39.20192885,,2024-08-18 08:28:18.4 UTC+02:00
KAR04_2024-08-18_W5m,24,,73.44325814,39.2018954,,2024-08-18 08:28:41.6 UTC+02:00
KAR04_2024-08-18_W5m,25,,73.44330393,39.20186247,,2024-08-18 08:29:12.8 UTC+02:00
KAR04_2024-08-18_W5m,26,,73.44333995,39.20182989,,2024-08-18 08:29:35.0 UTC+02:00
KAR04_2024-08-18_W5m,27,,73.44337712,39.20179502,,2024-08-18 08:29:57.0 UTC+02:00
KAR04_2024-08-18_W5m,28,,73.44341209,39.20176067,,2024-08-18 08:30:17.4 UTC+02:00
KAR04_2024-08-18_W5m,29,,73.44344903,39.20172923,,2024-08-18 08:30:38.8 UTC+02:00
KAR04_2024-08-18_W5m,30,,73.44348519,39.20169617,,2024-08-18 08:30:59.8 UTC+02:00
KAR04_2024-08-18_W5m,31,,73.44352049,39.20166096,,2024-08-18 08:31:20.0 UTC+02:00
KAR04_2024-08-18_W5m,32,,73.44355722,39.20162963,,2024-08-18 08:32:14.0 UTC+02:00
KAR04_2024-08-18_W5m,33,,73.44359545,39.20157527,,2024-08-18 08:32:41.6 UTC+02:00
KAR04_2024-08-18_W5m,34,,73.44363226,39.20154109,,2024-08-18 08:33:07.8 UTC+02:00
KAR04_2024-08-18_W5m,35,,73.44367031,39.20150726,,2024-08-18 08:33:28.8 UTC+02:00
KAR04_2024-08-18_W5m,36,,73.4437104,39.20147522,,2024-08-18 08:33:47.6 UTC+02:00
KAR04_2024-08-18_W5m,37,,73.44374679,39.20143988,,2024-08-18 08:34:11.0 UTC+02:00
KAR04_2024-08-18_W5m,38,,73.44378473,39.20140634,,2024-08-18 08:34:29.0 UTC+02:00
KAR04_2024-08-18_W5m,39,,73.44382402,39.20137301,,2024-08-18 08:34:46.8 UTC+02:00
KAR04_2024-08-18_W5m,40,,73.44386239,39.20133969,,2024-08-18 08:35:03.2 UTC+02:00
KAR04_2024-08-18_W5m,41,,73.44389939,39.20130521,,2024-08-18 08:35:20.2 UTC+02:00
KAR04_2024-08-18_W5m,42,,73.44393697,39.20127069,,2024-08-18 08:35:37.4 UTC+02:00
KAR04_2024-08-18_W5m,43,,73.44397386,39.2012364,,2024-08-18 08:35:54.2 UTC+02:00
KAR04_2024-08-18_W5m,44,,73.44401449,39.20120498,,2024-08-18 08:36:12.4 UTC+02:00
KAR04_2024-08-18_W5m,45,,73.44405421,39.20117271,,2024-08-18 08:36:32.2 UTC+02:00
KAR04_2024-08-18_W5m,46,,73.44409287,39.20114103,,2024-08-18 08:36:49.6 UTC+02:00
KAR04_2024-08-18_W5m,47,,73.44413065,39.20110866,,2024-08-18 08:37:08.8 UTC+02:00
KAR04_2024-08-18_W5m,48,,73.44416864,39.20107931,,2024-08-18 08:37:23.6 UTC+02:00
KAR04_2024-08-18_W5m,49,,73.44423421,39.20103793,,2024-08-18 10:46:54.4 UTC+02:00
KAR04_2024-08-18_W5m,50,,73.4442754,39.20100601,,2024-08-18 10:47:20.0 UTC+02:00
KAR04_2024-08-18_W5m,51,,73.44431408,39.20097484,,2024-08-18 10:47:46.2 UTC+02:00
KAR04_2024-08-18_W5m,52,,73.44435095,39.20093961,,2024-08-18 10:48:07.8 UTC+02:00
KAR04_2024-08-18_W5m,53,,73.44438662,39.20090465,,2024-08-18 10:48:27.4 UTC+02:00
KAR04_2024-08-18_W5m,54,,73.44442467,39.20087019,,2024-08-18 10:48:43.6 UTC+02:00
KAR04_2024-08-18_W5m,55,,73.44446472,39.20083765,,2024-08-18 10:48:57.6 UTC+02:00
KAR04_2024-08-18_W5m,56,,73.44449999,39.20080285,,2024-08-18 10:49:16.4 UTC+02:00
KAR04_2024-08-18_W5m,57,,73.44454188,39.20077413,,2024-08-18 10:49:32.0 UTC+02:00
KAR04_2024-08-18_W5m,58,,73.44458232,39.20074298,,2024-08-18 10:49:47.0 UTC+02:00
KAR04_2024-08-18_W5m,59,,73.44462229,39.20070793,,2024-08-18 10:50:25.8 UTC+02:00
KAR04_2024-08-18_W5m,60,,73.44466087,39.20067732,,2024-08-18 10:50:43.4 UTC+02:00
KAR04_2024-08-18_W5m,61,,73.44470185,39.200648,,2024-08-18 10:51:03.8 UTC+02:00
KAR04_2024-08-18_W5m,62,,73.44473755,39.2006161,,2024-08-18 10:51:24.0 UTC+02:00
KAR04_2024-08-18_W5m,63,,73.44477768,39.20058573,,2024-08-18 10:51:43.0 UTC+02:00
KAR04_2024-08-18_W5m,64,,73.44481653,39.20055167,,2024-08-18 10:52:00.8 UTC+02:00
KAR04_2024-08-18_W5m,65,,73.44485697,39.20051936,,2024-08-18 10:52:14.8 UTC+02:00
KAR04_2024-08-18_W5m,66,,73.44489938,39.20049042,,2024-08-18 10:52:31.2 UTC+02:00
