profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
KUM02_2022-08-18_5m,1,,78.06783899,41.81460007,3536.244,2022-08-17 15:21:01.8 UTC+06:00
KUM02_2022-08-18_5m,2,,78.0678927,41.81457049,3536.266,2022-08-17 15:21:35.9 UTC+06:00
KUM02_2022-08-18_5m,3,,78.06794734,41.81455319,3536.478,2022-08-17 15:22:09.8 UTC+06:00
KUM02_2022-08-18_5m,4,,78.0680056,41.81453148,3536.152,2022-08-17 15:22:43.8 UTC+06:00
KUM02_2022-08-18_5m,5,,78.06805164,41.81450311,3535.809,2022-08-17 15:23:15.8 UTC+06:00
KUM02_2022-08-18_5m,6,,78.06807874,41.81447843,3536.244,2022-08-17 15:23:43.9 UTC+06:00
KUM02_2022-08-18_5m,7,,78.06812563,41.81445627,3535.974,2022-08-17 15:24:10.8 UTC+06:00
KUM02_2022-08-18_5m,8,,78.0681735,41.81443382,3535.861,2022-08-17 15:24:41.9 UTC+06:00
KUM02_2022-08-18_5m,9,,78.0682174,41.81441229,3535.916,2022-08-17 15:25:07.8 UTC+06:00
KUM02_2022-08-18_5m,10,,78.06827563,41.81438217,3536.297,2022-08-17 15:25:39.8 UTC+06:00
KUM02_2022-08-18_5m,11,,78.06831451,41.81436306,3536.002,2022-08-17 15:26:05.9 UTC+06:00
KUM02_2022-08-18_5m,12,,78.0683642,41.81433853,3536.658,2022-08-17 15:26:30.8 UTC+06:00
KUM02_2022-08-18_5m,13,,78.068418,41.8143113,3536.894,2022-08-17 15:26:52.8 UTC+06:00
KUM02_2022-08-18_5m,14,,78.06847574,41.81428236,3537.003,2022-08-17 15:27:20.8 UTC+06:00
KUM02_2022-08-18_5m,15,,78.06854605,41.81425152,3536.123,2022-08-17 15:27:46.8 UTC+06:00
KUM02_2022-08-18_5m,16,,78.06864837,41.81422078,3536.578,2022-08-17 15:28:10.8 UTC+06:00
KUM02_2022-08-18_5m,17,,78.0686945,41.81419543,3537.228,2022-08-17 15:28:42.8 UTC+06:00
KUM02_2022-08-18_5m,18,,78.06874245,41.81417553,3536.619,2022-08-17 15:29:06.8 UTC+06:00
KUM02_2022-08-18_5m,19,,78.06880355,41.81414774,3535.969,2022-08-17 15:29:30.9 UTC+06:00
KUM02_2022-08-18_5m,20,,78.068847,41.81412553,3536.352,2022-08-17 15:30:00.9 UTC+06:00
KUM02_2022-08-18_5m,21,,78.06890221,41.8141,3535.908,2022-08-17 15:30:30.9 UTC+06:00
KUM02_2022-08-18_5m,22,,78.06895416,41.81407481,3535.457,2022-08-17 15:30:58.9 UTC+06:00
KUM02_2022-08-18_5m,23,,78.06901015,41.81405068,3534.277,2022-08-17 15:31:29.9 UTC+06:00
KUM02_2022-08-18_5m,24,,78.069054,41.81402846,3534.712,2022-08-17 15:31:55.9 UTC+06:00
KUM02_2022-08-18_5m,25,,78.06910899,41.81400937,3535.212,2022-08-17 15:32:49.9 UTC+06:00
KUM02_2022-08-18_5m,26,,78.06915784,41.81398366,3534.914,2022-08-17 15:33:48.9 UTC+06:00
KUM02_2022-08-18_5m,27,,78.06921011,41.81396096,3534.113,2022-08-17 15:34:27.9 UTC+06:00
KUM02_2022-08-18_5m,28,,78.06925715,41.81393806,3532.749,2022-08-17 15:35:08.9 UTC+06:00
KUM02_2022-08-18_5m,29,,78.06931868,41.81390716,3533.766,2022-08-17 15:35:40.9 UTC+06:00
KUM02_2022-08-18_5m,30,,78.06935706,41.81388642,3533.086,2022-08-17 15:36:20.9 UTC+06:00
KUM02_2022-08-18_5m,31,,78.06940256,41.8138633,3532.774,2022-08-17 15:36:50.9 UTC+06:00
KUM02_2022-08-18_5m,32,,78.06946155,41.81383582,3532.336,2022-08-17 15:37:28.9 UTC+06:00
KUM02_2022-08-18_5m,33,,78.06950206,41.81381918,3531.841,2022-08-17 15:38:02.9 UTC+06:00
KUM02_2022-08-18_5m,34,,78.06955845,41.8137935,3531.676,2022-08-17 15:38:34.9 UTC+06:00
KUM02_2022-08-18_5m,35,,78.06955679,41.8137928,3531.344,2022-08-17 15:38:59.9 UTC+06:00
KUM02_2022-08-18_5m,36,,78.06961823,41.81376332,3531.827,2022-08-17 15:39:23.9 UTC+06:00
KUM02_2022-08-18_5m,37,,78.06965785,41.81374523,3531.568,2022-08-17 15:40:03.9 UTC+06:00
KUM02_2022-08-18_5m,38,,78.06970673,41.81371977,3531.403,2022-08-17 15:40:48.9 UTC+06:00
KUM02_2022-08-18_5m,39,,78.06975773,41.81369784,3531.192,2022-08-17 15:41:20.9 UTC+06:00
KUM02_2022-08-18_5m,40,,78.06980439,41.81367651,3531.906,2022-08-17 15:42:02.9 UTC+06:00
KUM02_2022-08-18_5m,41,,78.06986183,41.81364187,3531.375,2022-08-17 15:42:41.9 UTC+06:00
KUM02_2022-08-18_5m,42,,78.06991409,41.81362194,3531.34,2022-08-17 15:43:22.9 UTC+06:00
KUM02_2022-08-18_5m,43,,78.06996241,41.81359703,3531.047,2022-08-17 15:43:53.9 UTC+06:00
KUM02_2022-08-18_5m,44,,78.07002066,41.81356909,3531.996,2022-08-17 15:44:29.9 UTC+06:00
KUM02_2022-08-18_5m,45,,78.07006399,41.81355218,3531.006,2022-08-17 15:45:11.9 UTC+06:00
KUM02_2022-08-18_5m,46,,78.07011274,41.81353413,3530.621,2022-08-17 15:45:47.9 UTC+06:00
KUM02_2022-08-18_5m,47,,78.07015887,41.81351322,3530.616,2022-08-17 15:46:22.9 UTC+06:00
KUM02_2022-08-18_5m,48,,78.07021943,41.81348373,3529.883,2022-08-17 15:46:58.9 UTC+06:00
KUM02_2022-08-18_5m,49,,78.0702559,41.81346397,3529.435,2022-08-17 15:47:31.9 UTC+06:00
KUM02_2022-08-18_5m,49,,78.07031837,41.81344931,3529.708,2022-08-17 16:46:03.9 UTC+06:00
KUM02_2022-08-18_5m,50,,78.07037779,41.81341606,3528.911,2022-08-17 16:46:48.9 UTC+06:00
KUM02_2022-08-18_5m,51,,78.07043275,41.81338865,3528.744,2022-08-17 16:47:19.9 UTC+06:00
KUM02_2022-08-18_5m,52,,78.07048309,41.81336558,3528.433,2022-08-17 16:47:45.9 UTC+06:00
KUM02_2022-08-18_5m,53,,78.07052984,41.81334094,3527.966,2022-08-17 16:48:17.9 UTC+06:00
KUM02_2022-08-18_5m,54,,78.07057678,41.8133157,3528.567,2022-08-17 16:48:47.9 UTC+06:00
KUM02_2022-08-18_5m,55,,78.07061761,41.81329444,3528.051,2022-08-17 16:49:25.9 UTC+06:00
KUM02_2022-08-18_5m,56,,78.07066385,41.8132708,3528.227,2022-08-17 16:49:48.9 UTC+06:00
KUM02_2022-08-18_5m,57,,78.07071764,41.81324114,3528.559,2022-08-17 16:50:13.9 UTC+06:00
KUM02_2022-08-18_5m,58,,78.0707726,41.81321426,3527.995,2022-08-17 16:50:41.9 UTC+06:00
KUM02_2022-08-18_5m,59,,78.07081908,41.81319379,3528.553,2022-08-17 16:51:08.9 UTC+06:00
KUM02_2022-08-18_5m,60,,78.07087063,41.81317148,3528.603,2022-08-17 16:51:34.9 UTC+06:00
KUM02_2022-08-18_5m,61,,78.07091669,41.81315352,3527.503,2022-08-17 16:51:56.9 UTC+06:00
KUM02_2022-08-18_5m,62,,78.07096509,41.81313039,3527.246,2022-08-17 16:52:19.9 UTC+06:00
KUM02_2022-08-18_5m,63,,78.07100606,41.81310579,3523.88,2022-08-17 16:52:50.9 UTC+06:00
KUM02_2022-08-18_5m,64,,78.0710491,41.81308011,3522.5,2022-08-17 16:53:17.9 UTC+06:00
KUM02_2022-08-18_5m,65,,78.07109669,41.81305546,3521.957,2022-08-17 16:53:43.9 UTC+06:00
KUM02_2022-08-18_5m,66,,78.07114631,41.81303189,3521.47,2022-08-17 16:54:09.9 UTC+06:00
KUM02_2022-08-18_5m,67,,78.0712104,41.81300825,3521.837,2022-08-17 16:54:48.9 UTC+06:00
KUM02_2022-08-18_5m,68,,78.07127885,41.81297231,3525.1,2022-08-17 16:55:13.9 UTC+06:00
KUM02_2022-08-18_5m,69,,78.07134066,41.81294718,3526.208,2022-08-17 16:55:34.9 UTC+06:00
KUM02_2022-08-18_5m,70,,78.07141176,41.81293725,3524.019,2022-08-17 16:56:07.9 UTC+06:00
KUM02_2022-08-18_5m,71,,78.07145042,41.81292383,3523.034,2022-08-17 16:56:33.9 UTC+06:00
KUM02_2022-08-18_5m,72,,78.07146889,41.8129015,3523.84,2022-08-17 16:57:03.9 UTC+06:00
KUM02_2022-08-18_5m,49,,78.06998942,41.81356568,3525.129,2022-08-18 10:50:47.9 UTC+06:00
KUM02_2022-08-18_5m,50,,78.07004309,41.81354403,3525.688,2022-08-18 10:51:17.9 UTC+06:00
KUM02_2022-08-18_5m,51,,78.07009477,41.81352138,3526.31,2022-08-18 10:51:43.9 UTC+06:00
KUM02_2022-08-18_5m,52,,78.07014367,41.81349709,3526.336,2022-08-18 10:52:08.9 UTC+06:00
KUM02_2022-08-18_5m,53,,78.07019056,41.81347572,3526.283,2022-08-18 10:52:30.9 UTC+06:00
KUM02_2022-08-18_5m,54,,78.07024089,41.81345363,3526.628,2022-08-18 10:52:55.9 UTC+06:00
KUM02_2022-08-18_5m,55,,78.0702919,41.81343021,3526.34,2022-08-18 10:53:25.9 UTC+06:00
KUM02_2022-08-18_5m,56,,78.07035965,41.81340687,3525.132,2022-08-18 10:53:51.9 UTC+06:00
KUM02_2022-08-18_5m,57,,78.07040794,41.8133906,3524.217,2022-08-18 10:54:15.9 UTC+06:00
KUM02_2022-08-18_5m,58,,78.07045317,41.81336966,3523.264,2022-08-18 10:54:40.9 UTC+06:00
KUM02_2022-08-18_5m,59,,78.0705147,41.81334349,3523.672,2022-08-18 10:55:06.9 UTC+06:00
KUM02_2022-08-18_5m,60,,78.07057225,41.81331487,3525.983,2022-08-18 10:55:37.9 UTC+06:00
KUM02_2022-08-18_5m,61,,78.07062733,41.81328978,3527.271,2022-08-18 10:56:06.9 UTC+06:00
KUM02_2022-08-18_5m,62,,78.07069814,41.81328741,3524.428,2022-08-18 10:56:31.9 UTC+06:00
KUM02_2022-08-18_5m,63,,78.07070487,41.81325306,3527.441,2022-08-18 10:57:34.9 UTC+06:00
KUM02_2022-08-18_5m,64,,78.07074894,41.81322981,3526.702,2022-08-18 10:58:11.9 UTC+06:00
KUM02_2022-08-18_5m,65,,78.07080147,41.81320573,3525.981,2022-08-18 10:58:39.9 UTC+06:00
KUM02_2022-08-18_5m,66,,78.0708607,41.81317709,3525.592,2022-08-18 10:59:04.9 UTC+06:00
KUM02_2022-08-18_5m,67,,78.07091252,41.81315139,3525.857,2022-08-18 10:59:28.9 UTC+06:00
KUM02_2022-08-18_5m,68,,78.07095659,41.81312684,3525.834,2022-08-18 10:59:50.9 UTC+06:00
KUM02_2022-08-18_5m,69,,78.07099972,41.81310188,3525.214,2022-08-18 11:00:17.9 UTC+06:00
KUM02_2022-08-18_5m,70,,78.07105645,41.81307499,3525.238,2022-08-18 11:00:41.9 UTC+06:00
KUM02_2022-08-18_5m,71,,78.07111179,41.81305099,3525.773,2022-08-18 11:01:06.9 UTC+06:00
KUM02_2022-08-18_5m,72,,78.07116359,41.81302891,3526.493,2022-08-18 11:01:33.9 UTC+06:00
KUM02_2022-08-18_5m,73,,78.07119589,41.81300926,3525.237,2022-08-18 11:02:06.9 UTC+06:00
KUM02_2022-08-18_5m,74,,78.07124217,41.812982,3524.668,2022-08-18 11:02:33.2 UTC+06:00
KUM02_2022-08-18_5m,75,,78.07128775,41.81296302,3524.795,2022-08-18 11:02:56.9 UTC+06:00
KUM02_2022-08-18_5m,76,,78.07133594,41.81293896,3524.793,2022-08-18 11:03:20.9 UTC+06:00
KUM02_2022-08-18_5m,77,,78.07138939,41.81290515,3524.198,2022-08-18 11:03:43.9 UTC+06:00
KUM02_2022-08-18_5m,78,,78.07143809,41.81288168,3524.404,2022-08-18 11:04:05.9 UTC+06:00
KUM02_2022-08-18_5m,79,,78.07148728,41.81286149,3524.534,2022-08-18 11:04:31.9 UTC+06:00
