profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
SUE05_2023-07-12_DD5m,1,,77.76225361,41.77840165,3953.489,2023-07-12 09:31:59.0 UTC+06:00
SUE05_2023-07-12_DD5m,2,,77.76223917,41.77835895,3953.63,2023-07-12 09:32:31.0 UTC+06:00
SUE05_2023-07-12_DD5m,3,,77.76222591,41.77831483,3954.014,2023-07-12 09:33:21.0 UTC+06:00
SUE05_2023-07-12_DD5m,4,,77.76221634,41.77827332,3955.714,2023-07-12 09:34:01.0 UTC+06:00
SUE05_2023-07-12_DD5m,5,,77.76220162,41.7782333,3956.962,2023-07-12 09:34:35.0 UTC+06:00
SUE05_2023-07-12_DD5m,6,,77.76218655,41.77819157,3958.779,2023-07-12 09:35:08.0 UTC+06:00
SUE05_2023-07-12_DD5m,7,,77.76217471,41.77814968,3960.262,2023-07-12 09:35:48.0 UTC+06:00
SUE05_2023-07-12_DD5m,8,,77.76216713,41.77810662,3961.641,2023-07-12 09:36:25.0 UTC+06:00
SUE05_2023-07-12_DD5m,9,,77.76214892,41.77806801,3963.739,2023-07-12 09:37:08.0 UTC+06:00
SUE05_2023-07-12_DD5m,10,,77.76213412,41.77802773,3965.348,2023-07-12 09:37:41.0 UTC+06:00
SUE05_2023-07-12_DD5m,11,,77.7621174,41.77798672,3966.967,2023-07-12 09:38:12.0 UTC+06:00
SUE05_2023-07-12_DD5m,12,,77.76210452,41.77794561,3968.209,2023-07-12 09:38:41.0 UTC+06:00
SUE05_2023-07-12_DD5m,13,,77.76208924,41.7779031,3968.937,2023-07-12 09:39:10.0 UTC+06:00
SUE05_2023-07-12_DD5m,14,,77.76207643,41.77785882,3969.187,2023-07-12 09:39:36.0 UTC+06:00
SUE05_2023-07-12_DD5m,15,,77.76205903,41.77781458,3969.241,2023-07-12 09:40:06.0 UTC+06:00
SUE05_2023-07-12_DD5m,16,,77.76204725,41.77777141,3969.105,2023-07-12 09:40:34.0 UTC+06:00
SUE05_2023-07-12_DD5m,17,,77.76203397,41.77772739,3968.853,2023-07-12 09:41:06.0 UTC+06:00
SUE05_2023-07-12_DD5m,18,,77.76202771,41.7776841,3968.564,2023-07-12 09:41:48.0 UTC+06:00
SUE05_2023-07-12_DD5m,19,,77.76201167,41.77764013,3968.646,2023-07-12 09:42:16.0 UTC+06:00
SUE05_2023-07-12_DD5m,20,,77.76199332,41.77759682,3968.685,2023-07-12 09:42:49.0 UTC+06:00
SUE05_2023-07-12_DD5m,21,,77.76197982,41.77755334,3968.615,2023-07-12 09:43:27.0 UTC+06:00
SUE05_2023-07-12_DD5m,22,,77.76195649,41.77751213,3968.763,2023-07-12 09:44:06.0 UTC+06:00
SUE05_2023-07-12_DD5m,23,,77.76193782,41.77746943,3968.747,2023-07-12 09:44:45.0 UTC+06:00
SUE05_2023-07-12_DD5m,24,,77.76191772,41.77742626,3968.501,2023-07-12 09:45:21.0 UTC+06:00
SUE05_2023-07-12_DD5m,25,,77.76189293,41.77737818,3968.277,2023-07-12 09:46:20.0 UTC+06:00
SUE05_2023-07-12_DD5m,26,,77.7618726,41.77733649,3967.919,2023-07-12 09:46:56.0 UTC+06:00
SUE05_2023-07-12_DD5m,27,,77.76185781,41.77729472,3967.144,2023-07-12 09:47:42.0 UTC+06:00
SUE05_2023-07-12_DD5m,28,,77.76183116,41.77725475,3966.622,2023-07-12 09:48:41.0 UTC+06:00
SUE05_2023-07-12_DD5m,29,,77.76180655,41.77721148,3965.525,2023-07-12 09:49:12.0 UTC+06:00
SUE05_2023-07-12_DD5m,30,,77.76178428,41.77717331,3964.318,2023-07-12 09:49:42.0 UTC+06:00
SUE05_2023-07-12_DD5m,31,,77.76175994,41.77713309,3963.146,2023-07-12 09:50:13.0 UTC+06:00
SUE05_2023-07-12_DD5m,32,,77.76173493,41.7770939,3962.228,2023-07-12 09:51:18.0 UTC+06:00
SUE05_2023-07-12_DD5m,33,,77.76171369,41.77704959,3961.785,2023-07-12 09:51:50.0 UTC+06:00
SUE05_2023-07-12_DD5m,34,,77.76169231,41.77700967,3961.742,2023-07-12 09:52:23.0 UTC+06:00
SUE05_2023-07-12_DD5m,35,,77.76166691,41.776971,3962.032,2023-07-12 09:53:12.0 UTC+06:00
SUE05_2023-07-12_DD5m,36,,77.76164269,41.77692815,3962.276,2023-07-12 09:53:45.0 UTC+06:00
SUE05_2023-07-12_DD5m,37,,77.76162348,41.77688474,3962.246,2023-07-12 09:54:21.0 UTC+06:00
SUE05_2023-07-12_DD5m,38,,77.76160255,41.77684407,3962.174,2023-07-12 09:54:53.0 UTC+06:00
SUE05_2023-07-12_DD5m,39,,77.76158227,41.77680091,3961.68,2023-07-12 09:55:23.0 UTC+06:00
SUE05_2023-07-12_DD5m,40,,77.76156556,41.77676028,3960.871,2023-07-12 09:56:00.0 UTC+06:00
SUE05_2023-07-12_DD5m,41,,77.76154659,41.77671735,3960.061,2023-07-12 09:56:38.0 UTC+06:00
SUE05_2023-07-12_DD5m,42,,77.76152773,41.77667411,3959.136,2023-07-12 09:57:17.0 UTC+06:00
SUE05_2023-07-12_DD5m,43,,77.76150844,41.77663062,3958.264,2023-07-12 09:57:58.0 UTC+06:00
SUE05_2023-07-12_DD5m,44,,77.76149222,41.7765898,3957.205,2023-07-12 09:58:31.0 UTC+06:00
SUE05_2023-07-12_DD5m,45,,77.7614698,41.7765519,3955.81,2023-07-12 09:59:10.0 UTC+06:00
SUE05_2023-07-12_DD5m,46,,77.76145336,41.77651197,3954.186,2023-07-12 09:59:47.0 UTC+06:00
SUE05_2023-07-12_DD5m,47,,77.76142716,41.77647041,3952.696,2023-07-12 10:00:23.0 UTC+06:00
SUE05_2023-07-12_DD5m,48,,77.76141007,41.77643179,3951.283,2023-07-12 10:00:59.0 UTC+06:00
