profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
SUE06_2023-07-12_DD5m,,,77.76191355,41.77738476,3961.08,2023-07-12 09:39:28.0 UTC+02:00
SUE06_2023-07-12_DD5m,1,,77.76287999,41.77669415,3933.485,2023-07-12 09:42:43.0 UTC+02:00
SUE06_2023-07-12_DD5m,2,,77.76284045,41.77672328,3935.292,2023-07-12 09:43:17.0 UTC+02:00
SUE06_2023-07-12_DD5m,3,,77.76280055,41.77675533,3936.365,2023-07-12 09:43:51.0 UTC+02:00
SUE06_2023-07-12_DD5m,4,,77.76276254,41.776787,3937.841,2023-07-12 09:44:37.0 UTC+02:00
SUE06_2023-07-12_DD5m,5,,77.76272268,41.7768192,3939.32,2023-07-12 09:45:27.0 UTC+02:00
SUE06_2023-07-12_DD5m,6,,77.76268655,41.77685292,3940.75,2023-07-12 09:46:06.0 UTC+02:00
SUE06_2023-07-12_DD5m,7,,77.76264718,41.77688412,3942.146,2023-07-12 09:46:44.0 UTC+02:00
SUE06_2023-07-12_DD5m,8,,77.76261018,41.77691652,3943.608,2023-07-12 09:47:19.0 UTC+02:00
SUE06_2023-07-12_DD5m,9,,77.76256612,41.7769465,3945.112,2023-07-12 09:47:59.0 UTC+02:00
SUE06_2023-07-12_DD5m,10,,77.76252567,41.7769766,3946.562,2023-07-12 09:48:40.0 UTC+02:00
SUE06_2023-07-12_DD5m,11,,77.76248598,41.77700768,3947.83,2023-07-12 09:49:22.0 UTC+02:00
SUE06_2023-07-12_DD5m,12,,77.7624447,41.77703779,3948.948,2023-07-12 09:49:54.0 UTC+02:00
SUE06_2023-07-12_DD5m,13,,77.76240132,41.77706735,3950.175,2023-07-12 09:50:34.0 UTC+02:00
SUE06_2023-07-12_DD5m,14,,77.76235867,41.77709691,3951.324,2023-07-12 09:51:14.0 UTC+02:00
SUE06_2023-07-12_DD5m,15,,77.76231297,41.77712438,3952.3,2023-07-12 09:52:02.0 UTC+02:00
SUE06_2023-07-12_DD5m,16,,77.7622721,41.77715611,3953.127,2023-07-12 09:52:41.0 UTC+02:00
SUE06_2023-07-12_DD5m,17,,77.76222277,41.77718281,3953.839,2023-07-12 09:53:24.0 UTC+02:00
SUE06_2023-07-12_DD5m,18,,77.76217694,41.77721056,3954.704,2023-07-12 09:54:04.0 UTC+02:00
SUE06_2023-07-12_DD5m,19,,77.76212775,41.77723515,3955.655,2023-07-12 09:54:41.0 UTC+02:00
SUE06_2023-07-12_DD5m,20,,77.76207994,41.77726298,3956.35,2023-07-12 09:55:19.0 UTC+02:00
SUE06_2023-07-12_DD5m,21,,77.76203544,41.77729052,3957.47,2023-07-12 09:55:54.0 UTC+02:00
SUE06_2023-07-12_DD5m,22,,77.7619927,41.77731943,3958.801,2023-07-12 09:56:33.0 UTC+02:00
SUE06_2023-07-12_DD5m,23,,77.76195231,41.77734797,3959.853,2023-07-12 09:57:06.0 UTC+02:00
SUE06_2023-07-12_DD5m,24,,77.76191398,41.77738504,3960.997,2023-07-12 09:57:59.0 UTC+02:00
SUE06_2023-07-12_DD5m,25,,77.76185586,41.77740447,3962.387,2023-07-12 09:58:53.0 UTC+02:00
SUE06_2023-07-12_DD5m,26,,77.76180868,41.77742981,3963.598,2023-07-12 09:59:23.0 UTC+02:00
SUE06_2023-07-12_DD5m,27,,77.76176334,41.77745606,3964.688,2023-07-12 10:00:03.0 UTC+02:00
SUE06_2023-07-12_DD5m,28,,77.76171626,41.77748359,3965.822,2023-07-12 10:00:42.0 UTC+02:00
SUE06_2023-07-12_DD5m,29,,77.76166686,41.7775113,3966.891,2023-07-12 10:01:17.0 UTC+02:00
SUE06_2023-07-12_DD5m,30,,77.76162186,41.77753313,3967.977,2023-07-12 10:02:00.0 UTC+02:00
SUE06_2023-07-12_DD5m,31,,77.76157543,41.77756156,3969.161,2023-07-12 10:02:52.0 UTC+02:00
SUE06_2023-07-12_DD5m,32,,77.76152774,41.77758911,3970.147,2023-07-12 10:03:35.0 UTC+02:00
