profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
ZUL01_2023-08-09_W5m,,,73.01709172,38.88390356,4572.003,2023-08-09 10:50:52.8 UTC+02:00
ZUL01_2023-08-09_W5m,1,,73.01794219,38.88476566,4585.414,2023-08-09 10:58:42.8 UTC+02:00
ZUL01_2023-08-09_W5m,2,,73.01791977,38.88472422,4585.207,2023-08-09 10:59:09.2 UTC+02:00
ZUL01_2023-08-09_W5m,3,,73.01789434,38.8846845,4584.892,2023-08-09 10:59:55.4 UTC+02:00
ZUL01_2023-08-09_W5m,4,,73.01786868,38.88464473,4584.22,2023-08-09 11:00:24.8 UTC+02:00
ZUL01_2023-08-09_W5m,5,,73.01784506,38.88460403,4583.842,2023-08-09 11:00:45.4 UTC+02:00
ZUL01_2023-08-09_W5m,6,,73.01782024,38.88456404,4583.084,2023-08-09 11:01:04.8 UTC+02:00
ZUL01_2023-08-09_W5m,7,,73.01779365,38.88452514,4582.448,2023-08-09 11:01:30.0 UTC+02:00
ZUL01_2023-08-09_W5m,8,,73.0177679,38.88448492,4582.044,2023-08-09 11:01:51.6 UTC+02:00
ZUL01_2023-08-09_W5m,9,,73.01774433,38.88444429,4581.678,2023-08-09 11:02:14.8 UTC+02:00
ZUL01_2023-08-09_W5m,10,,73.01771794,38.88440394,4581.374,2023-08-09 11:02:39.6 UTC+02:00
ZUL01_2023-08-09_W5m,11,,73.01769548,38.88436493,4580.815,2023-08-09 11:02:59.4 UTC+02:00
ZUL01_2023-08-09_W5m,12,,73.01767154,38.88432299,4580.366,2023-08-09 11:03:23.4 UTC+02:00
ZUL01_2023-08-09_W5m,13,,73.01764716,38.88428251,4580.359,2023-08-09 11:03:47.4 UTC+02:00
ZUL01_2023-08-09_W5m,14,,73.01762161,38.88424327,4579.815,2023-08-09 11:04:08.8 UTC+02:00
ZUL01_2023-08-09_W5m,15,,73.01759545,38.88420314,4579.536,2023-08-09 11:04:33.4 UTC+02:00
ZUL01_2023-08-09_W5m,16,,73.01756692,38.88416432,4579.083,2023-08-09 11:04:53.4 UTC+02:00
ZUL01_2023-08-09_W5m,17,,73.01753718,38.88412526,4578.777,2023-08-09 11:05:12.6 UTC+02:00
ZUL01_2023-08-09_W5m,18,,73.01750757,38.88408687,4578.329,2023-08-09 11:05:30.6 UTC+02:00
ZUL01_2023-08-09_W5m,19,,73.01747759,38.88404906,4577.859,2023-08-09 11:05:50.6 UTC+02:00
ZUL01_2023-08-09_W5m,20,,73.01744687,38.8840121,4576.994,2023-08-09 11:06:11.2 UTC+02:00
ZUL01_2023-08-09_W5m,21,,73.01736824,38.88393688,4576.124,2023-08-09 11:06:59.0 UTC+02:00
ZUL01_2023-08-09_W5m,22,,73.01733942,38.88389831,4575.383,2023-08-09 11:07:20.8 UTC+02:00
ZUL01_2023-08-09_W5m,23,,73.01730917,38.88386072,4574.477,2023-08-09 11:07:42.8 UTC+02:00
ZUL01_2023-08-09_W5m,24,,73.01727891,38.88382328,4573.93,2023-08-09 11:08:06.2 UTC+02:00
ZUL01_2023-08-09_W5m,25,,73.01723484,38.88377309,4572.933,2023-08-09 11:08:38.2 UTC+02:00
ZUL01_2023-08-09_W5m,26,,73.01719762,38.88374021,4572.114,2023-08-09 11:09:01.2 UTC+02:00
ZUL01_2023-08-09_W5m,27,,73.01715766,38.88370833,4571.641,2023-08-09 11:09:21.6 UTC+02:00
ZUL01_2023-08-09_W5m,28,,73.01712329,38.8836733,4571.113,2023-08-09 11:09:51.4 UTC+02:00
ZUL01_2023-08-09_W5m,29,,73.01708875,38.88363791,4570.107,2023-08-09 11:10:15.0 UTC+02:00
ZUL01_2023-08-09_W5m,30,,73.0170611,38.88359948,4569.617,2023-08-09 11:10:36.0 UTC+02:00
ZUL01_2023-08-09_W5m,31,,73.01703154,38.88356045,4569.14,2023-08-09 11:11:18.2 UTC+02:00
ZUL01_2023-08-09_W5m,32,,73.01699964,38.88352347,4568.412,2023-08-09 11:11:43.8 UTC+02:00
ZUL01_2023-08-09_W5m,33,,73.01696985,38.88348459,4568.002,2023-08-09 11:12:38.6 UTC+02:00
ZUL01_2023-08-09_W5m,34,,73.01694245,38.88344626,4567.501,2023-08-09 11:12:58.0 UTC+02:00
ZUL01_2023-08-09_W5m,35,,73.01690594,38.88341286,4567.219,2023-08-09 11:13:21.0 UTC+02:00
ZUL01_2023-08-09_W5m,36,,73.01687406,38.88337819,4566.958,2023-08-09 11:13:57.0 UTC+02:00
ZUL01_2023-08-09_W5m,37,,73.01684437,38.88333955,4566.691,2023-08-09 11:14:23.8 UTC+02:00
ZUL01_2023-08-09_W5m,38,,73.01680571,38.88330551,4566.635,2023-08-09 11:14:46.8 UTC+02:00
ZUL01_2023-08-09_W5m,39,,73.01677162,38.88326876,4566.478,2023-08-09 11:15:08.6 UTC+02:00
ZUL01_2023-08-09_W5m,40,,73.01673921,38.88323183,4566.248,2023-08-09 11:15:34.6 UTC+02:00
ZUL01_2023-08-09_W5m,41,,73.01670103,38.88319843,4566.072,2023-08-09 11:15:58.8 UTC+02:00
ZUL01_2023-08-09_W5m,42,,73.01665888,38.88316731,4565.926,2023-08-09 11:16:42.4 UTC+02:00
ZUL01_2023-08-09_W5m,43,,73.01662127,38.88313372,4565.83,2023-08-09 11:17:07.4 UTC+02:00
ZUL01_2023-08-09_W5m,44,,73.01658348,38.88309892,4565.857,2023-08-09 11:17:28.0 UTC+02:00
ZUL01_2023-08-09_W5m,45,,73.01654385,38.88306721,4565.992,2023-08-09 11:17:49.6 UTC+02:00
ZUL01_2023-08-09_W5m,46,,73.0165053,38.88303314,4566.252,2023-08-09 11:18:10.6 UTC+02:00
ZUL01_2023-08-09_W5m,47,,73.01646567,38.88300125,4566.484,2023-08-09 11:18:33.4 UTC+02:00
ZUL01_2023-08-09_W5m,48,,73.01642256,38.88297295,4566.671,2023-08-09 11:18:57.0 UTC+02:00
ZUL01_2023-08-09_W5m,49,1,73.01639756,38.88294689,4567.58,2023-08-10 06:38:15.0 UTC+02:00
ZUL01_2023-08-09_W5m,50,2,73.01635526,38.88291902,4568.045,2023-08-10 06:38:54.8 UTC+02:00
ZUL01_2023-08-09_W5m,51,3,73.0163073,38.88289527,4568.493,2023-08-10 06:40:35.2 UTC+02:00
ZUL01_2023-08-09_W5m,52,4,73.01625597,38.8828778,4569.373,2023-08-10 06:41:22.6 UTC+02:00
ZUL01_2023-08-09_W5m,53,5,73.01621191,38.88284894,4570.582,2023-08-10 06:41:53.6 UTC+02:00
ZUL01_2023-08-09_W5m,54,6,73.01616879,38.88282294,4572.033,2023-08-10 06:42:17.0 UTC+02:00
ZUL01_2023-08-09_W5m,55,7,73.01611962,38.8827983,4572.883,2023-08-10 06:42:44.6 UTC+02:00
ZUL01_2023-08-09_W5m,56,8,73.01607281,38.88277418,4573.451,2023-08-10 06:43:06.2 UTC+02:00
ZUL01_2023-08-09_W5m,57,9,73.01602086,38.88275467,4573.37,2023-08-10 06:43:33.2 UTC+02:00
ZUL01_2023-08-09_W5m,58,10,73.01597759,38.88273199,4572.732,2023-08-10 06:44:01.2 UTC+02:00
ZUL01_2023-08-09_W5m,59,11,73.01593177,38.88271856,4574.2,2023-08-10 06:44:40.8 UTC+02:00
ZUL01_2023-08-09_W5m,60,12,73.01590513,38.8827036,4574.663,2023-08-10 06:45:37.8 UTC+02:00
ZUL01_2023-08-09_W5m,61,13,73.01583541,38.88266981,4578.13,2023-08-10 06:46:21.2 UTC+02:00
ZUL01_2023-08-09_W5m,62,14,73.01578464,38.8826669,4578.809,2023-08-10 06:47:06.0 UTC+02:00
ZUL01_2023-08-09_W5m,63,15,73.01574118,38.8826425,4578.295,2023-08-10 06:47:38.0 UTC+02:00
ZUL01_2023-08-09_W5m,64,16,73.0156905,38.88260401,4581.236,2023-08-10 06:48:29.2 UTC+02:00
ZUL01_2023-08-09_W5m,65,17,73.01564059,38.88259125,4583.765,2023-08-10 06:49:32.0 UTC+02:00
ZUL01_2023-08-09_W5m,66,18,73.01559235,38.88257749,4581.505,2023-08-10 06:50:00.0 UTC+02:00
ZUL01_2023-08-09_W5m,67,19,73.01554477,38.88254938,4583.542,2023-08-10 06:50:33.8 UTC+02:00
ZUL01_2023-08-09_W5m,68,20,73.01549304,38.88253061,4584.59,2023-08-10 06:51:04.6 UTC+02:00
ZUL01_2023-08-09_W5m,69,21,73.01544194,38.88250327,4583.543,2023-08-10 06:51:34.0 UTC+02:00
ZUL01_2023-08-09_W5m,70,22,73.01539348,38.88248522,4583.562,2023-08-10 06:51:59.0 UTC+02:00
ZUL01_2023-08-09_W5m,71,23,73.01534862,38.88247211,4584.508,2023-08-10 06:52:29.4 UTC+02:00
ZUL01_2023-08-09_W5m,72,24,73.01529456,38.88245446,4585.944,2023-08-10 06:52:57.0 UTC+02:00
