profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
no457_02_2023-08-17_W5m,1,,72.80913677,37.40965986,4624.54,2023-08-17 08:46:40.4 UTC+02:00
no457_02_2023-08-17_W5m,2,,72.80911519,37.40962454,4625.984,2023-08-17 08:47:08.8 UTC+02:00
no457_02_2023-08-17_W5m,3,,72.80908898,37.40958695,4628.058,2023-08-17 08:48:02.4 UTC+02:00
no457_02_2023-08-17_W5m,4,,72.80906394,37.40955391,4630.314,2023-08-17 08:48:33.0 UTC+02:00
no457_02_2023-08-17_W5m,5,,72.8090445,37.4095179,4632.235,2023-08-17 08:49:03.6 UTC+02:00
no457_02_2023-08-17_W5m,6,,72.80901424,37.4094823,4634.028,2023-08-17 08:49:34.6 UTC+02:00
no457_02_2023-08-17_W5m,7,,72.80899169,37.40943982,4634.249,2023-08-17 08:50:06.8 UTC+02:00
no457_02_2023-08-17_W5m,8,,72.80896663,37.40939769,4634.201,2023-08-17 08:50:33.2 UTC+02:00
no457_02_2023-08-17_W5m,9,,72.80895937,37.40935666,4633.979,2023-08-17 08:51:00.4 UTC+02:00
no457_02_2023-08-17_W5m,10,,72.80892522,37.40932046,4634.439,2023-08-17 08:51:26.6 UTC+02:00
no457_02_2023-08-17_W5m,11,,72.80889097,37.40928228,4634.705,2023-08-17 08:51:51.6 UTC+02:00
no457_02_2023-08-17_W5m,12,,72.80887205,37.40923779,4635.29,2023-08-17 08:52:24.8 UTC+02:00
no457_02_2023-08-17_W5m,13,,72.80883883,37.40920244,4635.042,2023-08-17 08:52:53.8 UTC+02:00
no457_02_2023-08-17_W5m,14,,72.80881059,37.40916361,4634.899,2023-08-17 08:53:15.8 UTC+02:00
no457_02_2023-08-17_W5m,15,,72.80877091,37.40913007,4634.689,2023-08-17 08:53:46.0 UTC+02:00
no457_02_2023-08-17_W5m,16,,72.80874744,37.40909006,4635.661,2023-08-17 08:54:16.8 UTC+02:00
no457_02_2023-08-17_W5m,17,,72.80871754,37.40905227,4635.884,2023-08-17 08:54:41.0 UTC+02:00
no457_02_2023-08-17_W5m,18,,72.80869983,37.40901153,4636.5,2023-08-17 08:55:03.8 UTC+02:00
no457_02_2023-08-17_W5m,19,,72.80867871,37.4089682,4637.004,2023-08-17 08:55:25.0 UTC+02:00
no457_02_2023-08-17_W5m,20,,72.80864753,37.40893277,4637.119,2023-08-17 08:55:49.0 UTC+02:00
no457_02_2023-08-17_W5m,21,,72.80861573,37.40889633,4636.856,2023-08-17 08:56:25.0 UTC+02:00
no457_02_2023-08-17_W5m,22,,72.8086036,37.40885464,4638.988,2023-08-17 08:56:59.4 UTC+02:00
no457_02_2023-08-17_W5m,23,,72.80858599,37.40881449,4638.819,2023-08-17 08:57:26.4 UTC+02:00
no457_02_2023-08-17_W5m,24,,72.80855162,37.40878309,4640.314,2023-08-17 08:57:55.6 UTC+02:00
no457_02_2023-08-17_W5m,25,,72.80852609,37.40872391,4640.695,2023-08-17 09:19:21.4 UTC+02:00
no457_02_2023-08-17_W5m,26,,72.80851773,37.40868197,4641.381,2023-08-17 09:19:49.8 UTC+02:00
no457_02_2023-08-17_W5m,27,,72.80848649,37.4086457,4641.884,2023-08-17 09:20:15.2 UTC+02:00
