Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;;;;;;72.94643833;37.70431834;3717.485;Global;0.249;0.219;0.51;0.331;1.134;m;SINGLE;2023-08-05 11:57:20.8 UTC+02:00;2023-08-05 11:57:30.8 UTC+02:00;51;0.9;;;;;;;;Global CS
E2;;;;;;72.94646032;37.70433175;3717.161;Global;0.264;0.219;0.416;0.342;1.134;m;SINGLE;2023-08-05 11:57:51.4 UTC+02:00;2023-08-05 11:58:01.4 UTC+02:00;51;1;;;;;;;;Global CS
E3;;;;;;72.94647864;37.70434154;3717.898;Global;0.155;0.152;0.297;0.217;1.134;m;SINGLE;2023-08-05 11:58:11.2 UTC+02:00;2023-08-05 11:58:21.2 UTC+02:00;51;1;;;;;;;;Global CS
E4;;;;;;72.9465022;37.70434396;3717.983;Global;0.144;0.123;0.26;0.19;1.134;m;SINGLE;2023-08-05 11:58:33.0 UTC+02:00;2023-08-05 11:58:43.0 UTC+02:00;51;1;;;;;;;;Global CS
E5;;;;;;72.94652586;37.704348;3718.235;Global;0.141;0.114;0.258;0.181;1.134;m;SINGLE;2023-08-05 11:58:54.0 UTC+02:00;2023-08-05 11:59:04.0 UTC+02:00;51;1;;;;;;;;Global CS
E6;;;;;;72.94654726;37.70435331;3718.387;Global;0.137;0.12;0.258;0.182;1.134;m;SINGLE;2023-08-05 11:59:14.0 UTC+02:00;2023-08-05 11:59:24.0 UTC+02:00;51;1;;;;;;;;Global CS
E7;;;;;;72.94657086;37.70436112;3718.481;Global;0.13;0.138;0.241;0.19;1.134;m;SINGLE;2023-08-05 11:59:35.4 UTC+02:00;2023-08-05 11:59:45.4 UTC+02:00;51;1;;;;;;;;Global CS
E8;;;;;;72.94659029;37.70436521;3718.422;Global;0.128;0.116;0.241;0.173;1.134;m;SINGLE;2023-08-05 11:59:57.2 UTC+02:00;2023-08-05 12:00:07.2 UTC+02:00;51;1;;;;;;;;Global CS
E9;;;;;;72.94661157;37.70436827;3718.751;Global;0.131;0.121;0.246;0.178;1.134;m;SINGLE;2023-08-05 12:00:16.0 UTC+02:00;2023-08-05 12:00:26.0 UTC+02:00;51;1;;;;;;;;Global CS
E10;;;;;;72.94663335;37.70437176;3718.687;Global;0.135;0.119;0.255;0.18;1.134;m;SINGLE;2023-08-05 12:00:34.0 UTC+02:00;2023-08-05 12:00:44.0 UTC+02:00;51;1;;;;;;;;Global CS
E11;;;;;;72.94665689;37.70437375;3718.472;Global;0.164;0.16;0.356;0.23;1.134;m;SINGLE;2023-08-05 12:00:55.4 UTC+02:00;2023-08-05 12:01:05.4 UTC+02:00;51;1;;;;;;;;Global CS
E12;;;;;;72.9466787;37.7043758;3718.23;Global;0.185;0.186;0.417;0.262;1.134;m;SINGLE;2023-08-05 12:01:14.4 UTC+02:00;2023-08-05 12:01:24.4 UTC+02:00;51;1;;;;;;;;Global CS
E13;RST;;;;;72.94670142;37.70437606;3717.963;Global;0.2;0.196;0.458;0.28;1.134;m;SINGLE;2023-08-05 12:01:37.2 UTC+02:00;2023-08-05 12:01:47.2 UTC+02:00;51;1;;;;;;;;Global CS
E14;;;;;;72.94672377;37.70437735;3717.694;Global;0.211;0.206;0.479;0.295;1.134;m;SINGLE;2023-08-05 12:01:56.6 UTC+02:00;2023-08-05 12:02:06.6 UTC+02:00;51;1;;;;;;;;Global CS
E15;;;;;;72.94675001;37.70438157;3717.559;Global;0.219;0.221;0.376;0.312;1.134;m;SINGLE;2023-08-05 12:02:15.6 UTC+02:00;2023-08-05 12:02:25.6 UTC+02:00;51;1.1;;;;;;;;Global CS
E16;;;;;;72.94677527;37.70439146;3717.039;Global;0.13;0.113;0.292;0.172;1.134;m;SINGLE;2023-08-05 12:02:40.2 UTC+02:00;2023-08-05 12:02:50.2 UTC+02:00;51;1;;;;;;;;Global CS
E17;;;;;;72.9467998;37.70439521;3717.41;Global;0.289;0.231;0.672;0.371;1.134;m;SINGLE;2023-08-05 12:03:44.2 UTC+02:00;2023-08-05 12:03:54.2 UTC+02:00;51;1;;;;;;;;Global CS
E18;;;;;;72.94684377;37.70438546;3718.922;Global;0.142;0.153;0.333;0.209;1.134;m;SINGLE;2023-08-05 12:04:09.2 UTC+02:00;2023-08-05 12:04:19.2 UTC+02:00;51;1;;;;;;;;Global CS
E19;;;;;;72.94686911;37.70438807;3719.428;Global;0.144;0.273;0.425;0.309;1.134;m;SINGLE;2023-08-05 12:04:32.0 UTC+02:00;2023-08-05 12:04:42.0 UTC+02:00;51;1;;;;;;;;Global CS
E20;;;;;;72.94689278;37.7043996;3718.667;Global;0.132;0.125;0.451;0.182;1.134;m;SINGLE;2023-08-05 12:04:52.6 UTC+02:00;2023-08-05 12:05:02.6 UTC+02:00;51;1;;;;;;;;Global CS
E21;;;;;;72.94690961;37.70440659;3718.864;Global;0.371;0.139;0.552;0.396;1.134;m;SINGLE;2023-08-05 12:05:22.2 UTC+02:00;2023-08-05 12:05:32.2 UTC+02:00;51;1.1;;;;;;;;Global CS
E22;;;;;;72.94691125;37.70440771;3720.048;Global;0.186;0.108;0.347;0.215;1.134;m;SINGLE;2023-08-05 12:05:43.2 UTC+02:00;2023-08-05 12:05:53.2 UTC+02:00;51;1.1;;;;;;;;Global CS
E23;;;;;;72.94692649;37.70441114;3720.999;Global;0.131;0.109;0.288;0.171;1.134;m;SINGLE;2023-08-05 12:06:02.6 UTC+02:00;2023-08-05 12:06:12.6 UTC+02:00;51;1.1;;;;;;;;Global CS
E24;;;;;;72.94694592;37.70441492;3721.689;Global;0.122;0.101;0.257;0.158;1.134;m;SINGLE;2023-08-05 12:06:23.4 UTC+02:00;2023-08-05 12:06:33.4 UTC+02:00;51;1;;;;;;;;Global CS
E25;;;;;;72.94696657;37.70442058;3722.15;Global;0.122;0.097;0.245;0.156;1.134;m;SINGLE;2023-08-05 12:06:49.0 UTC+02:00;2023-08-05 12:06:59.0 UTC+02:00;51;1;;;;;;;;Global CS
E26;;;;;;72.94698534;37.70442563;3722.108;Global;0.12;0.1;0.244;0.156;1.134;m;SINGLE;2023-08-05 12:07:09.2 UTC+02:00;2023-08-05 12:07:19.2 UTC+02:00;51;1;;;;;;;;Global CS
E27;;;;;;72.94700758;37.70442821;3722.192;Global;0.111;0.097;0.232;0.147;1.134;m;SINGLE;2023-08-05 12:07:32.0 UTC+02:00;2023-08-05 12:07:42.0 UTC+02:00;51;1;;;;;;;;Global CS
E28;;;;;;72.94703105;37.70443197;3722.231;Global;0.117;0.092;0.227;0.149;1.134;m;SINGLE;2023-08-05 12:07:50.6 UTC+02:00;2023-08-05 12:08:00.6 UTC+02:00;51;1;;;;;;;;Global CS
E29;;;;;;72.94705376;37.70443756;3722.301;Global;0.112;0.093;0.232;0.145;1.134;m;SINGLE;2023-08-05 12:08:10.0 UTC+02:00;2023-08-05 12:08:20.0 UTC+02:00;51;1;;;;;;;;Global CS
E30;;;;;;72.94707523;37.70444275;3722.31;Global;0.116;0.097;0.239;0.151;1.134;m;SINGLE;2023-08-05 12:08:28.4 UTC+02:00;2023-08-05 12:08:38.4 UTC+02:00;51;1;;;;;;;;Global CS
E31;;;;;;72.94709667;37.70444724;3722.349;Global;0.11;0.099;0.235;0.148;1.134;m;SINGLE;2023-08-05 12:08:47.6 UTC+02:00;2023-08-05 12:08:57.6 UTC+02:00;51;1;;;;;;;;Global CS
E32;;;;;;72.94711891;37.70445368;3722.363;Global;0.111;0.094;0.231;0.145;1.134;m;SINGLE;2023-08-05 12:09:07.0 UTC+02:00;2023-08-05 12:09:17.0 UTC+02:00;51;1.1;;;;;;;;Global CS
E33;;;;;;72.94714;37.70445845;3722.302;Global;0.11;0.101;0.237;0.149;1.134;m;SINGLE;2023-08-05 12:09:24.8 UTC+02:00;2023-08-05 12:09:34.8 UTC+02:00;51;1;;;;;;;;Global CS
E34;;;;;;72.94716185;37.70446289;3722.078;Global;0.121;0.102;0.255;0.158;1.134;m;SINGLE;2023-08-05 12:09:42.8 UTC+02:00;2023-08-05 12:09:52.8 UTC+02:00;51;1;;;;;;;;Global CS
E35;;;;;;72.94718461;37.70446759;3721.884;Global;0.113;0.102;0.248;0.152;1.134;m;SINGLE;2023-08-05 12:10:02.8 UTC+02:00;2023-08-05 12:10:12.8 UTC+02:00;51;1.1;;;;;;;;Global CS
E36;;;;;;72.94720616;37.7044721;3722.115;Global;0.113;0.104;0.248;0.154;1.134;m;SINGLE;2023-08-05 12:10:20.8 UTC+02:00;2023-08-05 12:10:30.8 UTC+02:00;51;1.1;;;;;;;;Global CS
E37;;;;;;72.94722642;37.7044765;3722.252;Global;0.114;0.095;0.248;0.149;1.134;m;SINGLE;2023-08-05 12:10:40.0 UTC+02:00;2023-08-05 12:10:50.0 UTC+02:00;51;1.1;;;;;;;;Global CS
E38;;;;;;72.94724587;37.70448215;3722.547;Global;0.119;0.098;0.249;0.154;1.134;m;SINGLE;2023-08-05 12:10:56.2 UTC+02:00;2023-08-05 12:11:06.2 UTC+02:00;51;1;;;;;;;;Global CS
E39;;;;;;72.94726688;37.70448759;3722.62;Global;0.122;0.101;0.255;0.158;1.134;m;SINGLE;2023-08-05 12:11:13.2 UTC+02:00;2023-08-05 12:11:23.2 UTC+02:00;51;1;;;;;;;;Global CS
E40;;;;;;72.94728739;37.70449314;3722.267;Global;0.121;0.106;0.258;0.161;1.134;m;SINGLE;2023-08-05 12:11:31.2 UTC+02:00;2023-08-05 12:11:41.2 UTC+02:00;51;1;;;;;;;;Global CS
E41;;;;;;72.94730959;37.70449975;3722.205;Global;0.122;0.101;0.246;0.158;1.134;m;SINGLE;2023-08-05 12:11:48.6 UTC+02:00;2023-08-05 12:11:58.6 UTC+02:00;51;1;;;;;;;;Global CS
E42;;;;;;72.94732949;37.70450636;3722.197;Global;0.123;0.102;0.251;0.16;1.134;m;SINGLE;2023-08-05 12:12:05.8 UTC+02:00;2023-08-05 12:12:15.8 UTC+02:00;51;1;;;;;;;;Global CS
E43;;;;;;72.94734981;37.70451228;3722.122;Global;0.12;0.111;0.258;0.164;1.134;m;SINGLE;2023-08-05 12:12:28.0 UTC+02:00;2023-08-05 12:12:38.0 UTC+02:00;51;1.1;;;;;;;;Global CS
E44;;;;;;72.94737082;37.7045184;3722.195;Global;0.122;0.106;0.251;0.162;1.134;m;SINGLE;2023-08-05 12:12:46.0 UTC+02:00;2023-08-05 12:12:56.0 UTC+02:00;51;1;;;;;;;;Global CS
