Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,74.48657623,42.47941860,3244.381,0.010,0.011,0.012,0.015,2.134,m,FIX,2022-08-07 10:35:36.3 UTC+06:00,2022-08-07 10:35:42.3 UTC+06:00,7,1.5,,,,74.48622099,42.48116982,3210.508,200.077,Global CS
2,,,,,74.48653796,42.47944824,3243.012,0.013,0.015,0.013,0.019,2.134,m,FIX,2022-08-07 10:36:15.3 UTC+06:00,2022-08-07 10:36:20.3 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,196.178,Global CS
3,,,,,74.48648971,42.47947545,3241.326,0.012,0.012,0.011,0.017,2.134,m,FIX,2022-08-07 10:36:54.3 UTC+06:00,2022-08-07 10:36:59.3 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,192.440,Global CS
4,,,,,74.48645168,42.47950245,3239.598,0.011,0.010,0.010,0.015,2.134,m,FIX,2022-08-07 10:37:47.3 UTC+06:00,2022-08-07 10:37:53.3 UTC+06:00,7,1.4,,,,74.48622099,42.48116982,3210.508,188.880,Global CS
5,,,,,74.48640413,42.47952768,3239.666,0.011,0.011,0.010,0.015,2.134,m,FIX,2022-08-07 10:38:21.3 UTC+06:00,2022-08-07 10:38:26.4 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,185.783,Global CS
6,,,,,74.48635913,42.47955848,3239.100,0.012,0.012,0.016,0.017,2.134,m,FIX,2022-08-07 10:38:58.3 UTC+06:00,2022-08-07 10:39:03.3 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,182.052,Global CS
7,,,,,74.48631925,42.47958681,3238.859,0.012,0.018,0.018,0.021,2.134,m,FIX,2022-08-07 10:39:27.3 UTC+06:00,2022-08-07 10:39:32.4 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,178.753,Global CS
8,,,,,74.48627345,42.47961608,3237.750,0.011,0.010,0.012,0.015,2.134,m,FIX,2022-08-07 10:40:26.4 UTC+06:00,2022-08-07 10:40:31.4 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,175.218,Global CS
9,,,,,74.48622275,42.47964384,3237.580,0.011,0.012,0.011,0.016,2.134,m,FIX,2022-08-07 10:40:54.3 UTC+06:00,2022-08-07 10:40:59.4 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,172.103,Global CS
10,,,,,74.48618790,42.47967511,3237.533,0.011,0.012,0.010,0.017,2.134,m,FIX,2022-08-07 10:41:20.3 UTC+06:00,2022-08-07 10:41:25.4 UTC+06:00,6,1.4,,,,74.48622099,42.48116982,3210.508,168.672,Global CS
11,,,,,74.48614262,42.47970550,3237.223,0.011,0.011,0.011,0.015,2.134,m,FIX,2022-08-07 10:41:42.4 UTC+06:00,2022-08-07 10:41:48.4 UTC+06:00,7,1.4,,,,74.48622099,42.48116982,3210.508,165.407,Global CS
