Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
1;;;;;74.48609364;42.47973033;3236.373;0.014;0.011;0.027;0.018;2.134;m;FIX;2022-08-07 13:46:17.0 UTC+06:00;2022-08-07 13:46:22.0 UTC+06:00;6;1.6;;;;74.48622099;42.48116982;3210.508;162.743;Global CS
2;;;;;74.48611842;42.47971263;3236.855;0.012;0.01;0.015;0.016;2.134;m;FIX;2022-08-07 13:46:46.0 UTC+06:00;2022-08-07 13:46:51.0 UTC+06:00;6;1.4;;;;74.48622099;42.48116982;3210.508;164.653;Global CS
3;;;;;74.48614211;42.47970727;3237.135;0.012;0.012;0.015;0.017;2.134;m;FIX;2022-08-07 13:47:17.0 UTC+06:00;2022-08-07 13:47:23.0 UTC+06:00;7;1.4;;;;74.48622099;42.48116982;3210.508;165.208;Global CS
4;;;;;74.48616782;42.47968151;3237.753;0.011;0.013;0.012;0.017;2.134;m;FIX;2022-08-07 13:47:51.0 UTC+06:00;2022-08-07 13:47:57.0 UTC+06:00;7;1.4;;;;74.48622099;42.48116982;3210.508;168.062;Global CS
5;;;;;74.48618235;42.47966853;3237.924;0.011;0.011;0.014;0.016;2.134;m;FIX;2022-08-07 13:48:22.0 UTC+06:00;2022-08-07 13:48:28.0 UTC+06:00;7;1.4;;;;74.48622099;42.48116982;3210.508;169.474;Global CS
6;;;;;74.48620806;42.47965507;3238.009;0.01;0.015;0.016;0.018;2.134;m;FIX;2022-08-07 13:49:08.0 UTC+06:00;2022-08-07 13:49:13.0 UTC+06:00;6;1.6;;;;74.48622099;42.48116982;3210.508;170.946;Global CS
7;;;;;74.48622483;42.4796419;3237.699;0.01;0.011;0.013;0.015;2.134;m;FIX;2022-08-07 13:49:29.0 UTC+06:00;2022-08-07 13:49:34.0 UTC+06:00;6;1.5;;;;74.48622099;42.48116982;3210.508;172.331;Global CS
8;;;;;74.48625085;42.47963119;3237.218;0.01;0.011;0.012;0.015;2.134;m;FIX;2022-08-07 13:49:53.0 UTC+06:00;2022-08-07 13:49:58.0 UTC+06:00;6;1.5;;;;74.48622099;42.48116982;3210.508;173.43;Global CS
9;;;;;74.48627143;42.47961734;3237.592;0.011;0.012;0.015;0.016;2.134;m;FIX;2022-08-07 13:50:15.0 UTC+06:00;2022-08-07 13:50:20.0 UTC+06:00;6;1.5;;;;74.48622099;42.48116982;3210.508;175.056;Global CS
10;;;;;74.48629184;42.47960094;3238.583;0.011;0.013;0.019;0.017;2.134;m;FIX;2022-08-07 13:50:41.0 UTC+06:00;2022-08-07 13:50:46.0 UTC+06:00;6;1.6;;;;74.48622099;42.48116982;3210.508;177.046;Global CS
11;;;;;74.48631578;42.4795839;3239.069;0.01;0.011;0.012;0.015;2.134;m;FIX;2022-08-07 13:51:07.0 UTC+06:00;2022-08-07 13:51:13.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;179.081;Global CS
12;;;;;74.48634186;42.47957203;3239.015;0.011;0.015;0.011;0.018;2.134;m;FIX;2022-08-07 13:51:34.0 UTC+06:00;2022-08-07 13:51:39.0 UTC+06:00;6;1.5;;;;74.48622099;42.48116982;3210.508;180.465;Global CS
13;;;;;74.48635667;42.47955811;3239.221;0.011;0.012;0.011;0.016;2.134;m;FIX;2022-08-07 13:52:00.0 UTC+06:00;2022-08-07 13:52:06.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;182.097;Global CS
14;;;;;74.4863808;42.47953965;3239.696;0.011;0.01;0.012;0.015;2.134;m;FIX;2022-08-07 13:52:29.0 UTC+06:00;2022-08-07 13:52:35.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;184.332;Global CS
15;;;;;74.48639978;42.47952603;3239.792;0.01;0.012;0.013;0.016;2.134;m;FIX;2022-08-07 13:53:00.0 UTC+06:00;2022-08-07 13:53:06.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;185.963;Global CS
16;;;;;74.48641934;42.4795145;3239.912;0.01;0.012;0.013;0.016;2.134;m;FIX;2022-08-07 13:53:37.0 UTC+06:00;2022-08-07 13:53:43.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;187.356;Global CS
17;;;;;74.48644415;42.47949817;3240.366;0.011;0.011;0.011;0.016;2.134;m;FIX;2022-08-07 13:54:02.0 UTC+06:00;2022-08-07 13:54:07.0 UTC+06:00;6;1.5;;;;74.48622099;42.48116982;3210.508;189.409;Global CS
18;;;;;74.48647137;42.47949246;3240.169;0.013;0.012;0.01;0.018;2.134;m;FIX;2022-08-07 13:54:39.0 UTC+06:00;2022-08-07 13:54:45.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;190.235;Global CS
19;;;;;74.48648696;42.47947199;3241.697;0.016;0.018;0.01;0.024;2.134;m;FIX;2022-08-07 13:55:12.0 UTC+06:00;2022-08-07 13:55:17.0 UTC+06:00;6;1.5;;;;74.48622099;42.48116982;3210.508;192.883;Global CS
20;;;;;74.4865104;42.47946203;3242.205;0.011;0.011;0.011;0.016;2.134;m;FIX;2022-08-07 13:55:42.0 UTC+06:00;2022-08-07 13:55:48.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;194.258;Global CS
21;;;;;74.48653686;42.47944883;3242.903;0.011;0.012;0.012;0.017;2.134;m;FIX;2022-08-07 13:56:10.0 UTC+06:00;2022-08-07 13:56:16.0 UTC+06:00;7;1.6;;;;74.48622099;42.48116982;3210.508;196.095;Global CS
22;;;;;74.48655608;42.47943578;3243.705;0.01;0.011;0.011;0.015;2.134;m;FIX;2022-08-07 13:56:38.0 UTC+06:00;2022-08-07 13:56:44.0 UTC+06:00;7;1.5;;;;74.48622099;42.48116982;3210.508;197.863;Global CS
23;;;;;74.48657511;42.47941836;3244.388;0.01;0.012;0.011;0.016;2.134;m;FIX;2022-08-07 13:57:05.0 UTC+06:00;2022-08-07 13:57:11.0 UTC+06:00;7;1.6;;;;74.48622099;42.48116982;3210.508;200.092;Global CS
0;;;;;74.48607705;42.47974809;3235.891;0.012;0.013;0.013;0.018;2.134;m;FIX;2022-08-07 14:00:33.0 UTC+06:00;2022-08-07 14:00:38.1 UTC+06:00;6;1.6;;;;74.48622099;42.48116982;3210.508;160.829;Global CS
