Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,74.48979672,42.47999775,3212.296,0.016,0.077,0.025,0.079,2.134,m,FIX,2022-08-08 16:32:08.5 UTC+06:00,2022-08-08 16:32:13.5 UTC+06:00,6,1.6,,,,74.48979589,42.48000102,3213.017,1.461,Global CS
1,,,,,74.48981516,42.4800167,3211.804,0.011,0.013,0.015,0.017,2.134,m,FIX,2022-08-08 16:33:35.5 UTC+06:00,2022-08-08 16:33:41.5 UTC+06:00,7,1.5,,,,74.48979589,42.48000102,3213.017,2.528,Global CS
2,,,,,74.48985239,42.48005356,3210.055,0.012,0.01,0.011,0.016,2.134,m,FIX,2022-08-08 16:34:06.5 UTC+06:00,2022-08-08 16:34:11.6 UTC+06:00,6,1.4,,,,74.48979589,42.48000102,3213.017,7.515,Global CS
3,,,,,74.48988207,42.48008789,3208.605,0.013,0.023,0.014,0.026,2.134,m,FIX,2022-08-08 16:34:56.5 UTC+06:00,2022-08-08 16:35:02.5 UTC+06:00,7,1.4,,,,74.48979589,42.48000102,3213.017,12.223,Global CS
4,,,,,74.48991932,42.48012331,3207.222,0.326,0.115,0.065,0.346,2.134,m,FIX,2022-08-08 16:36:51.6 UTC+06:00,2022-08-08 16:36:57.6 UTC+06:00,7,1.4,,,,74.48979589,42.48000102,3213.017,17.829,Global CS
5,,,,,74.48994581,42.48016318,3205.554,0.011,0.013,0.011,0.017,2.134,m,FIX,2022-08-08 16:37:36.6 UTC+06:00,2022-08-08 16:37:42.6 UTC+06:00,7,1.4,,,,74.48979589,42.48000102,3213.017,22.482,Global CS
6,,,,,74.48997004,42.48020066,3204.301,0.011,0.048,0.01,0.049,2.134,m,FIX,2022-08-08 16:38:18.6 UTC+06:00,2022-08-08 16:38:23.6 UTC+06:00,6,1.4,,,,74.48979589,42.48000102,3213.017,27.202,Global CS
7,,,,,74.48999347,42.48023621,3202.629,0.016,0.015,0.011,0.021,2.134,m,FIX,2022-08-08 16:38:49.6 UTC+06:00,2022-08-08 16:38:55.6 UTC+06:00,7,1.5,,,,74.48979589,42.48000102,3213.017,31.864,Global CS
8,,,,,74.49002651,42.48028513,3201.624,0.015,0.019,0.011,0.024,2.134,m,FIX,2022-08-08 16:39:34.6 UTC+06:00,2022-08-08 16:39:39.6 UTC+06:00,6,1.3,,,,74.48979589,42.48000102,3213.017,37.969,Global CS
9,,,,,74.49004187,42.48031739,3200.39,0.019,0.015,0.01,0.025,2.134,m,FIX,2022-08-08 16:40:08.6 UTC+06:00,2022-08-08 16:40:13.6 UTC+06:00,6,1.5,,,,74.48979589,42.48000102,3213.017,41.89,Global CS
10,,,,,74.4900767,42.48034859,3199.252,0.015,0.011,0.011,0.019,2.134,m,FIX,2022-08-08 16:40:44.6 UTC+06:00,2022-08-08 16:40:50.6 UTC+06:00,7,1.5,,,,74.48979589,42.48000102,3213.017,46.496,Global CS
11,,,,,74.49009583,42.48039582,3199.04,0.011,0.019,0.011,0.022,2.134,m,FIX,2022-08-08 16:41:26.6 UTC+06:00,2022-08-08 16:41:32.6 UTC+06:00,7,1.5,,,,74.48979589,42.48000102,3213.017,51.735,Global CS
12,,,,,74.49011147,42.4804305,3199.398,0.01,0.012,0.013,0.016,2.134,m,FIX,2022-08-08 16:42:10.6 UTC+06:00,2022-08-08 16:42:15.6 UTC+06:00,6,1.5,,,,74.48979589,42.48000102,3213.017,55.54,Global CS
13,,,,,74.49013537,42.48047696,3200.104,0.02,0.013,0.012,0.024,2.134,m,FIX,2022-08-08 16:43:10.6 UTC+06:00,2022-08-08 16:43:15.6 UTC+06:00,6,1.5,,,,74.48979589,42.48000102,3213.017,60.769,Global CS
14,,,,,74.49014982,42.48052472,3200.199,0.01,0.01,0.01,0.015,2.134,m,FIX,2022-08-08 16:43:56.6 UTC+06:00,2022-08-08 16:44:01.6 UTC+06:00,6,1.5,,,,74.48979589,42.48000102,3213.017,65.951,Global CS
15,,,,,74.49017632,42.48056087,3200.342,0.017,0.019,0.011,0.025,2.134,m,FIX,2022-08-08 16:44:34.6 UTC+06:00,2022-08-08 16:44:40.6 UTC+06:00,7,1.5,,,,74.48979589,42.48000102,3213.017,70.451,Global CS
16,,,,,74.49021714,42.48059688,3199.264,0.012,0.024,0.012,0.027,2.134,m,FIX,2022-08-08 16:45:13.6 UTC+06:00,2022-08-08 16:45:18.6 UTC+06:00,6,1.5,,,,74.48979589,42.48000102,3213.017,75.662,Global CS
17,,,,,74.49023689,42.48063683,3198.522,0.012,0.012,0.011,0.017,2.134,m,FIX,2022-08-08 16:53:38.6 UTC+06:00,2022-08-08 16:53:44.6 UTC+06:00,7,1.7,,,,74.48979589,42.48000102,3213.017,80.383,Global CS
18,,,,,74.49024346,42.480678,3197.73,0.01,0.01,0.011,0.014,2.134,m,FIX,2022-08-08 16:54:13.6 UTC+06:00,2022-08-08 16:54:18.6 UTC+06:00,6,1.7,,,,74.48979589,42.48000102,3213.017,84.789,Global CS
19,,,,,74.49025878,42.48072394,3196.282,0.014,0.014,0.012,0.02,2.134,m,FIX,2022-08-08 16:54:56.6 UTC+06:00,2022-08-08 16:55:02.6 UTC+06:00,7,1.7,,,,74.48979589,42.48000102,3213.017,90.092,Global CS
20,,,,,74.49027913,42.48075878,3195.106,0.01,0.014,0.013,0.018,2.134,m,FIX,2022-08-08 16:55:35.6 UTC+06:00,2022-08-08 16:55:41.6 UTC+06:00,7,1.7,,,,74.48979589,42.48000102,3213.017,94.463,Global CS
21,,,,,74.49029579,42.48080439,3194.009,0.01,0.011,0.012,0.015,2.134,m,FIX,2022-08-08 16:57:10.6 UTC+06:00,2022-08-08 16:57:15.6 UTC+06:00,6,1.7,,,,74.48979589,42.48000102,3213.017,99.74,Global CS
22,,,,,74.49032912,42.4808375,3194.265,0.011,0.013,0.01,0.017,2.134,m,FIX,2022-08-08 16:57:38.6 UTC+06:00,2022-08-08 16:57:43.6 UTC+06:00,6,1.7,,,,74.48979589,42.48000102,3213.017,104.126,Global CS
23,,,,,74.49035439,42.48088232,3194.245,0.014,0.018,0.018,0.023,2.134,m,FIX,2022-08-08 16:58:03.6 UTC+06:00,2022-08-08 16:58:09.6 UTC+06:00,7,1.7,,,,74.48979589,42.48000102,3213.017,109.475,Global CS
24,,,,,74.49037411,42.4809197,3193.236,0.01,0.011,0.016,0.015,2.134,m,FIX,2022-08-08 16:58:41.6 UTC+06:00,2022-08-08 16:58:47.6 UTC+06:00,7,1.7,,,,74.48979589,42.48000102,3213.017,114.006,Global CS
25,,,,,74.49039158,42.48094423,3192.744,0.01,0.01,0.011,0.015,2.134,m,FIX,2022-08-08 17:02:44.6 UTC+06:00,2022-08-08 17:02:50.6 UTC+06:00,7,1.6,,,,74.48979589,42.48000102,3213.017,117.134,Global CS
26,,,,,74.49042544,42.48098346,3191.683,0.01,0.01,0.011,0.014,2.134,m,FIX,2022-08-08 17:03:20.6 UTC+06:00,2022-08-08 17:03:26.6 UTC+06:00,7,1.6,,,,74.48979589,42.48000102,3213.017,122.361,Global CS
27,,,,,74.49047044,42.48099186,3191.934,0.29,0.696,0.267,0.754,2.134,m,FIX,2022-08-08 17:03:44.6 UTC+06:00,2022-08-08 17:03:49.6 UTC+06:00,6,1.6,,,,74.48979589,42.48000102,3213.017,125.31,Global CS
