Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
1;G1;GOL07a;;;74.49917252;42.48218591;3192.405;0.53;0.407;1;0.668;2.134;m;SINGLE;2022-08-09 15:16:52.7 UTC+06:00;2022-08-09 15:16:57.7 UTC+06:00;6;1.3;;;;;;;;Global CS
2;G2;;;;74.49913424;42.48220677;3191.74;0.53;0.423;1;0.678;2.134;m;SINGLE;2022-08-09 15:17:30.7 UTC+06:00;2022-08-09 15:17:36.7 UTC+06:00;7;1.3;;;;;;;;Global CS
3;G3;;;;74.49909203;42.48223867;3191.546;0.525;0.428;1;0.677;2.134;m;SINGLE;2022-08-09 15:17:50.7 UTC+06:00;2022-08-09 15:17:55.7 UTC+06:00;6;1.4;;;;;;;;Global CS
4;G4;;;;74.49904071;42.48226628;3191.55;0.47;0.412;0.986;0.626;2.134;m;SINGLE;2022-08-09 15:18:09.7 UTC+06:00;2022-08-09 15:18:14.7 UTC+06:00;6;1.4;;;;;;;;Global CS
5;G5;;;;74.49898135;42.48230158;3189.879;0.37;0.365;0.835;0.519;2.134;m;SINGLE;2022-08-09 15:18:47.7 UTC+06:00;2022-08-09 15:18:53.7 UTC+06:00;7;1.4;;;;;;;;Global CS
6;G6;;;;74.49893777;42.48232126;3190.536;0.373;0.351;0.803;0.512;2.134;m;SINGLE;2022-08-09 15:19:06.7 UTC+06:00;2022-08-09 15:19:12.7 UTC+06:00;7;1.2;;;;;;;;Global CS
7;G7;;;;74.49889113;42.48235175;3190.148;0.46;0.407;0.921;0.614;2.134;m;SINGLE;2022-08-09 15:19:24.7 UTC+06:00;2022-08-09 15:19:29.7 UTC+06:00;6;1.3;;;;;;;;Global CS
8;G8;;;;74.49883607;42.48238654;3188.367;0.502;0.413;0.99;0.65;2.134;m;SINGLE;2022-08-09 15:20:00.7 UTC+06:00;2022-08-09 15:20:05.7 UTC+06:00;6;1.2;;;;;;;;Global CS
9;G9;;;;74.49879782;42.48241448;3188.108;0.501;0.419;0.996;0.653;2.134;m;SINGLE;2022-08-09 15:20:16.7 UTC+06:00;2022-08-09 15:20:21.7 UTC+06:00;6;1.2;;;;;;;;Global CS
10;G10;;;;74.4987557;42.48244709;3187.65;0.472;0.393;0.939;0.614;2.134;m;SINGLE;2022-08-09 15:20:37.7 UTC+06:00;2022-08-09 15:20:48.7 UTC+06:00;12;1.2;;;;;;;;Global CS
11;G11;;;;74.49871798;42.48247746;3187.233;0.416;0.292;0.772;0.509;2.134;m;SINGLE;2022-08-09 15:21:06.7 UTC+06:00;2022-08-09 15:21:17.7 UTC+06:00;12;1.1;;;;;;;;Global CS
12;G12;;;;74.49866404;42.48249982;3187.506;0.413;0.301;0.772;0.511;2.134;m;SINGLE;2022-08-09 15:21:32.7 UTC+06:00;2022-08-09 15:21:42.7 UTC+06:00;11;1.1;;;;;;;;Global CS
13;G13;;;;74.49861606;42.48252819;3187.493;0.351;0.246;0.721;0.428;2.134;m;SINGLE;2022-08-09 15:21:58.7 UTC+06:00;2022-08-09 15:22:08.7 UTC+06:00;11;1.1;;;;;;;;Global CS
14;G14;;;;74.4985793;42.4825523;3186.431;0.325;0.254;0.714;0.413;2.134;m;SINGLE;2022-08-09 15:22:25.7 UTC+06:00;2022-08-09 15:22:36.7 UTC+06:00;12;1.2;;;;;;;;Global CS
15;G15;;;;74.49853804;42.48258159;3185.017;0.32;0.336;0.743;0.464;2.134;m;SINGLE;2022-08-09 15:22:50.7 UTC+06:00;2022-08-09 15:23:01.7 UTC+06:00;12;1.1;;;;;;;;Global CS
16;G16;;;;74.4984943;42.48260593;3184.053;0.386;0.23;0.706;0.45;2.134;m;SINGLE;2022-08-09 15:23:15.7 UTC+06:00;2022-08-09 15:23:25.7 UTC+06:00;11;1.1;;;;;;;;Global CS
17;G17;;;;74.49844827;42.48263093;3182.694;0.343;0.313;0.708;0.465;2.134;m;SINGLE;2022-08-09 15:23:42.7 UTC+06:00;2022-08-09 15:23:52.7 UTC+06:00;11;1.1;;;;;;;;Global CS
18;G18;;;;74.49838577;42.48266343;3182.081;0.327;0.241;0.69;0.407;2.134;m;SINGLE;2022-08-09 15:24:19.7 UTC+06:00;2022-08-09 15:24:30.7 UTC+06:00;12;1.2;;;;;;;;Global CS
19;G19;;;;74.49834527;42.48268618;3181.788;0.318;0.293;0.699;0.432;2.134;m;SINGLE;2022-08-09 15:25:08.7 UTC+06:00;2022-08-09 15:25:18.7 UTC+06:00;11;1.2;;;;;;;;Global CS
20;G20;;;;74.49829443;42.4827202;3181.787;0.374;0.31;0.723;0.486;2.134;m;SINGLE;2022-08-09 15:25:38.7 UTC+06:00;2022-08-09 15:25:49.7 UTC+06:00;12;1.2;;;;;;;;Global CS
21;G21;;;;74.49825758;42.48275443;3177.987;0.324;0.27;0.901;0.421;2.134;m;SINGLE;2022-08-09 15:26:15.7 UTC+06:00;2022-08-09 15:26:26.7 UTC+06:00;12;1.1;;;;;;;;Global CS
22;G22;;;;74.49822711;42.48277986;3178.241;0.327;0.257;0.84;0.416;2.134;m;SINGLE;2022-08-09 15:26:44.7 UTC+06:00;2022-08-09 15:26:54.7 UTC+06:00;11;1.1;;;;;;;;Global CS
23;G23;;;;74.49816991;42.48282034;3177.561;0.473;0.278;0.801;0.549;2.134;m;SINGLE;2022-08-09 15:27:28.7 UTC+06:00;2022-08-09 15:27:39.7 UTC+06:00;12;1.1;;;;;;;;Global CS
24;G24;;;;74.49811742;42.48285269;3177.298;0.346;0.256;0.74;0.431;2.134;m;SINGLE;2022-08-09 15:27:58.7 UTC+06:00;2022-08-09 15:28:09.7 UTC+06:00;12;1.1;;;;;;;;Global CS
25;G1;GOL07b;;;74.49805517;42.48288293;3176.399;0.343;0.263;0.732;0.432;2.134;m;SINGLE;2022-08-09 15:29:20.7 UTC+06:00;2022-08-09 15:29:30.7 UTC+06:00;11;1.1;;;;;;;;Global CS
26;G2;;;;74.49801587;42.48290863;3176.056;0.34;0.259;0.729;0.427;2.134;m;SINGLE;2022-08-09 15:29:56.7 UTC+06:00;2022-08-09 15:30:06.7 UTC+06:00;11;1.1;;;;;;;;Global CS
