Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
G01,,,,,,73.54607365,38.99865190,3898.910,Global,0.010,0.010,0.011,0.014,1.134,m,FIX,2024-08-15 07:13:53.4 UTC+02:00,2024-08-15 07:13:58.4 UTC+02:00,26,1.0,1.2,,,,73.54594755,38.99877236,3898.229,17.375,,Global CS,8,6,7,7,0
G02,,,,,,73.54611956,38.99862467,3899.063,Global,0.011,0.010,0.012,0.015,1.134,m,FIX,2024-08-15 07:14:23.4 UTC+02:00,2024-08-15 07:14:28.4 UTC+02:00,26,1.0,1.2,,,,73.54594755,38.99877236,3898.229,22.255,,Global CS,8,6,7,7,0
G03,,,,,,73.54616510,38.99859629,3899.144,Global,0.010,0.010,0.011,0.014,1.134,m,FIX,2024-08-15 07:14:49.0 UTC+02:00,2024-08-15 07:14:54.0 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,27.246,,Global CS,8,6,7,7,0
G04,,,,,,73.54620899,38.99856688,3899.342,Global,0.010,0.010,0.011,0.014,1.134,m,FIX,2024-08-15 07:15:16.4 UTC+02:00,2024-08-15 07:15:21.4 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,32.247,,Global CS,8,6,7,7,0
G05,,,,,,73.54625474,38.99853948,3899.496,Global,0.010,0.010,0.012,0.015,1.134,m,FIX,2024-08-15 07:15:41.4 UTC+02:00,2024-08-15 07:15:46.4 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,37.202,,Global CS,8,6,7,7,0
G06,,,,,,73.54629959,38.99851102,3899.620,Global,0.011,0.011,0.012,0.015,1.134,m,FIX,2024-08-15 07:16:06.6 UTC+02:00,2024-08-15 07:16:11.6 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,42.193,,Global CS,8,6,7,7,0
G07,,,,,,73.54634475,38.99848282,3899.802,Global,0.010,0.010,0.011,0.015,1.134,m,FIX,2024-08-15 07:16:32.0 UTC+02:00,2024-08-15 07:16:37.0 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,47.196,,Global CS,8,6,7,7,0
G08,,,,,,73.54638976,38.99845440,3899.823,Global,0.010,0.010,0.010,0.014,1.134,m,FIX,2024-08-15 07:16:55.8 UTC+02:00,2024-08-15 07:17:00.8 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,52.194,,Global CS,8,6,7,7,0
G09,,,,,,73.54643488,38.99842593,3899.964,Global,0.011,0.010,0.011,0.015,1.134,m,FIX,2024-08-15 07:17:21.4 UTC+02:00,2024-08-15 07:17:26.4 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,57.210,,Global CS,9,6,7,7,0
G10,,,,,,73.54647828,38.99839594,3900.103,Global,0.010,0.010,0.013,0.014,1.134,m,FIX,2024-08-15 07:17:44.4 UTC+02:00,2024-08-15 07:17:49.4 UTC+02:00,26,1.1,1.3,,,,73.54594755,38.99877236,3898.229,62.244,,Global CS,9,6,6,7,0
