Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
G1,,,,,78.07379758,41.81176306,3523.638,0.272,0.195,0.563,0.334,2.134,m,SINGLE,2022-08-18 11:41:31.9 UTC+06:00,2022-08-18 11:41:41.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G2,,,,,78.07382017,41.81175072,3523.620,0.271,0.218,0.571,0.348,2.134,m,SINGLE,2022-08-18 11:41:58.9 UTC+06:00,2022-08-18 11:42:09.9 UTC+06:00,12,1.0,,,,,,,,Global CS
G3,,,,,78.07384189,41.81174127,3523.097,0.273,0.210,0.603,0.345,2.134,m,SINGLE,2022-08-18 11:42:25.9 UTC+06:00,2022-08-18 11:42:35.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G4,,,,,78.07386428,41.81173152,3523.296,0.276,0.210,0.595,0.347,2.134,m,SINGLE,2022-08-18 11:42:58.9 UTC+06:00,2022-08-18 11:43:09.9 UTC+06:00,12,1.0,,,,,,,,Global CS
G5,,,,,78.07388194,41.81171952,3523.518,0.273,0.211,0.581,0.345,2.134,m,SINGLE,2022-08-18 11:43:42.0 UTC+06:00,2022-08-18 11:43:52.9 UTC+06:00,12,1.0,,,,,,,,Global CS
G6,,,,,78.07390387,41.81171012,3523.729,0.273,0.212,0.591,0.346,2.134,m,SINGLE,2022-08-18 11:44:13.9 UTC+06:00,2022-08-18 11:44:23.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G7,,,,,78.07392082,41.81170173,3523.849,0.270,0.217,0.592,0.346,2.134,m,SINGLE,2022-08-18 11:44:36.9 UTC+06:00,2022-08-18 11:44:48.0 UTC+06:00,12,1.0,,,,,,,,Global CS
G8,,,,,78.07394125,41.81169124,3523.496,0.271,0.218,0.599,0.347,2.134,m,SINGLE,2022-08-18 11:45:12.9 UTC+06:00,2022-08-18 11:45:23.9 UTC+06:00,12,1.0,,,,,,,,Global CS
G9,,,,,78.07395810,41.81168348,3523.256,0.286,0.221,0.614,0.362,2.134,m,SINGLE,2022-08-18 11:45:48.0 UTC+06:00,2022-08-18 11:45:58.9 UTC+06:00,12,1.0,,,,,,,,Global CS
G10,,,,,78.07398149,41.81167177,3523.301,0.274,0.222,0.620,0.352,2.134,m,SINGLE,2022-08-18 11:46:13.9 UTC+06:00,2022-08-18 11:46:24.0 UTC+06:00,11,1.0,,,,,,,,Global CS
G11,,,,,78.07400107,41.81166184,3523.392,0.270,0.224,0.601,0.351,2.134,m,SINGLE,2022-08-18 11:46:42.9 UTC+06:00,2022-08-18 11:46:52.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G12,,,,,78.07401931,41.81165395,3523.115,0.272,0.226,0.619,0.353,2.134,m,SINGLE,2022-08-18 11:47:08.9 UTC+06:00,2022-08-18 11:47:18.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G13,,,,,78.07404646,41.81164100,3524.019,0.285,0.222,0.599,0.361,2.134,m,SINGLE,2022-08-18 11:47:36.0 UTC+06:00,2022-08-18 11:47:46.9 UTC+06:00,12,1.0,,,,,,,,Global CS
G14,,,,,78.07406079,41.81163460,3523.854,0.276,0.223,0.623,0.355,2.134,m,SINGLE,2022-08-18 11:48:26.9 UTC+06:00,2022-08-18 11:48:37.9 UTC+06:00,12,1.1,,,,,,,,Global CS
G15,,,,,78.07407880,41.81162634,3523.711,0.279,0.232,0.631,0.363,2.134,m,SINGLE,2022-08-18 11:48:51.9 UTC+06:00,2022-08-18 11:49:02.9 UTC+06:00,12,1.1,,,,,,,,Global CS
G16,,,,,78.07410278,41.81161705,3523.914,0.279,0.221,0.620,0.355,2.134,m,SINGLE,2022-08-18 11:49:24.0 UTC+06:00,2022-08-18 11:49:34.9 UTC+06:00,12,1.1,,,,,,,,Global CS
G17,,,,,78.07412439,41.81160621,3523.954,0.273,0.224,0.632,0.353,2.134,m,SINGLE,2022-08-18 11:49:57.9 UTC+06:00,2022-08-18 11:50:08.9 UTC+06:00,12,1.1,,,,,,,,Global CS
G18,,,,,78.07414027,41.81159726,3523.928,0.284,0.222,0.625,0.360,2.134,m,SINGLE,2022-08-18 11:50:22.9 UTC+06:00,2022-08-18 11:50:32.9 UTC+06:00,11,1.1,,,,,,,,Global CS
G19,,,,,78.07416742,41.81158541,3523.824,0.271,0.221,0.620,0.350,2.134,m,SINGLE,2022-08-18 11:50:57.9 UTC+06:00,2022-08-18 11:51:08.0 UTC+06:00,11,1.1,,,,,,,,Global CS
G20,,,,,78.07418223,41.81157798,3523.840,0.271,0.219,0.633,0.348,2.134,m,SINGLE,2022-08-18 11:51:22.9 UTC+06:00,2022-08-18 11:51:32.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G21,,,,,78.07420030,41.81156996,3523.744,0.289,0.220,0.631,0.363,2.134,m,SINGLE,2022-08-18 11:51:46.9 UTC+06:00,2022-08-18 11:51:56.9 UTC+06:00,11,1.0,,,,,,,,Global CS
G22,,,,,78.07422626,41.81155887,3523.622,0.306,0.236,0.635,0.387,2.134,m,SINGLE,2022-08-18 11:52:04.9 UTC+06:00,2022-08-18 11:52:14.9 UTC+06:00,11,1.1,,,,,,,,Global CS
G23,,,,,78.07424985,41.81154913,3523.507,0.275,0.223,0.623,0.354,2.134,m,SINGLE,2022-08-18 11:52:24.9 UTC+06:00,2022-08-18 11:52:36.0 UTC+06:00,12,1.0,,,,,,,,Global CS
G24,,,,,78.07427144,41.81153998,3523.822,0.303,0.238,0.606,0.385,2.134,m,SINGLE,2022-08-18 11:52:44.9 UTC+06:00,2022-08-18 11:52:55.9 UTC+06:00,12,1.0,,,,,,,,Global CS
